tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized
"Después de tantos años ayudando al movimiento social de nuestro país, Elias Santana necesita de nuestra ayuda para recuperar su salud. Necesitamos muchos héroes como el y esta es una excelente oportunidad para demostrar nuestro agradecimiento.  https://t.co/ReX3oRPJDC","['después', 'tantos', 'años', 'ayudando', 'movimiento', 'social', 'país', 'elias', 'santana', 'necesita', 'ayuda', 'recuperar', 'salud', 'necesitamos', 'héroes', 'excelente', 'oportunidad', 'demostrar', 'agradecimiento']","After so many years helping the social movement of our country, Elias Santana needs our help to regain his health. We need many heroes like him and this is an excellent opportunity to show our appreciation. https://t.co/ReX3oRPJDC","['many', 'years', 'helping', 'social', 'movement', 'country', 'elias', 'santana', 'needs', 'help', 'regain', 'health', 'need', 'many', 'heroes', 'like', 'excellent', 'opportunity', 'show', 'appreciation']"
@arielmorantes No. Solo tuvieron que negociar con Stalin para enfrentar a Hitler.,"['arielmorantes', 'solo', 'negociar', 'stalin', 'enfrentar', 'hitler']",@arielmorantes No. They only had to negotiate with Stalin to confront Hitler.,"['arielmorantes', 'negotiate', 'stalin', 'confront', 'hitler']"
"Cuando te pregunten si vale la pena negociar, puedes responder: no está claro y hay mil incertidumbres y riesgos, pero ¿ha valido la pena no negociar?  Porque ahí la certidumbre de fracaso es ha sido más clara que el agua de Los Roques.","['pregunten', 'si', 'vale', 'pena', 'negociar', 'puedes', 'responder', 'claro', 'mil', 'incertidumbres', 'riesgos', '¿ha', 'valido', 'pena', 'negociar', 'ahí', 'certidumbre', 'fracaso', 'sido', 'clara', 'agua', 'roques']","When asked if it is worth trading, you can answer: it is not clear and there are a thousand uncertainties and risks, but has it been worth not trading? Because there the certainty of failure has been clearer than the water of Los Roques.","['asked', 'worth', 'trading', 'answer', 'clear', 'thousand', 'uncertainties', 'risks', 'worth', 'trading', 'certainty', 'failure', 'clearer', 'water', 'los', 'roques']"
"La unidad opositora sigue siendo fundamental. Por eso la estrategia ganadora es separar los acuerdos humanitarios (comida, medicina y combustible-diésel-gas) y las elecciones regionales del resto de condiciones democráticas, atando estas a las sanciones financieras y personales.","['unidad', 'opositora', 'sigue', 'siendo', 'fundamental', 'estrategia', 'ganadora', 'separar', 'acuerdos', 'humanitarios', 'comida', 'medicina', 'combustible', 'diésel', 'gas', 'elecciones', 'regionales', 'resto', 'condiciones', 'democráticas', 'atando', 'sanciones', 'financieras', 'personales']","The opposition unit continues to be fundamental. That is why the winning strategy is to separate humanitarian agreements (food, medicine and fuel-diesel-gas) and regional elections from the rest of democratic conditions, tying these to financial and personal sanctions.","['opposition', 'unit', 'continues', 'fundamental', 'winning', 'strategy', 'separate', 'humanitarian', 'agreements', 'food', 'medicine', 'fuel', 'diesel', 'gas', 'regional', 'elections', 'rest', 'democratic', 'conditions', 'tying', 'financial', 'personal', 'sanctions']"
"Pero el rechazo del gob interino a participar en regionales sin acuerdo integral es relevante y anuncia división de fuerzas, lo que debilitaría a los participantes en regionales (que enfrentarán alta abstención) y también a las negociaciones integrales, que serían dinamitadas.","['rechazo', 'gob', 'interino', 'participar', 'regionales', 'acuerdo', 'integral', 'relevante', 'anuncia', 'división', 'fuerzas', 'debilitaría', 'participantes', 'regionales', 'enfrentarán', 'alta', 'abstención', 'negociaciones', 'integrales', 'dinamitadas']","But the rejection of the interim gov to participate in regionals without a comprehensive agreement is relevant and announces a division of forces, which would weaken the participants in regionals (who will face high abstention) and also the comprehensive negotiations, which would be dynamited.","['rejection', 'interim', 'gov', 'participate', 'regionals', 'without', 'comprehensive', 'agreement', 'relevant', 'announces', 'division', 'forces', 'would', 'weaken', 'participants', 'regionals', 'face', 'high', 'abstention', 'also', 'comprehensive', 'negotiations', 'would', 'dynamited']"
"Cada día que pasa, las fuerzas internas en la oposición a favor de participar en regionales crecen sustancialmente, incluyendo dentro de los liderazgos del G4. La situación se percibe muy distinta al evento parlamentario.","['cada', 'día', 'pasa', 'fuerzas', 'internas', 'oposición', 'favor', 'participar', 'regionales', 'crecen', 'sustancialmente', 'incluyendo', 'dentro', 'liderazgos', 'situación', 'percibe', 'distinta', 'evento', 'parlamentario']","With each passing day, the internal forces in the opposition in favor of participating in regionals grow substantially, including within the leadership of the G4. The situation is perceived very different from the parliamentary event.","['passing', 'day', 'internal', 'forces', 'opposition', 'favor', 'participating', 'regionals', 'grow', 'substantially', 'including', 'within', 'leadership', 'situation', 'perceived', 'different', 'parliamentary', 'event']"
"Maduro entiende que las regionales son un factor híper sensible para la oposición. Por eso cede condiciones, tarjetas, habilitación de candidatos, miembros del CNE, observación internacional. Su apuesta es: “la oposición debe participar, pero mejor para él que lo haga desunida”.","['maduro', 'entiende', 'regionales', 'factor', 'híper', 'sensible', 'oposición', 'cede', 'condiciones', 'tarjetas', 'habilitación', 'candidatos', 'miembros', 'cne', 'observación', 'internacional', 'apuesta', 'oposición', 'debe', 'participar', 'mejor', 'haga', 'desunida”']","Maduro understands that the regionals are a hyper sensitive factor for the opposition. That is why he gives conditions, cards, qualification of candidates, members of the CNE, international observation. His bet is: ""the opposition must participate, but it is better for him to do so disunited.""","['maduro', 'understands', 'regionals', 'hyper', 'sensitive', 'factor', 'opposition', 'gives', 'conditions', 'cards', 'qualification', 'candidates', 'members', 'cne', 'international', 'observation', 'bet', 'opposition', 'must', 'participate', 'better', 'disunited']"
"En las elecciones regionales los grupos opositores que creen necesario participar van a ir a esa elección con o sin acuerdo. Esto pone una presión complicada a las negociaciones generales, pues si no hay acuerdos parciales sobre regionales, se derrumba la negociación global.","['elecciones', 'regionales', 'grupos', 'opositores', 'creen', 'necesario', 'participar', 'van', 'ir', 'elección', 'acuerdo', 'pone', 'presión', 'complicada', 'negociaciones', 'generales', 'pues', 'si', 'acuerdos', 'parciales', 'regionales', 'derrumba', 'negociación', 'global']","In regional elections, opposition groups that believe it is necessary to participate will go to that election with or without an agreement. This puts a difficult pressure on the general negotiations, because if there are no partial regional agreements, the global negotiation collapses.","['regional', 'elections', 'opposition', 'groups', 'believe', 'necessary', 'participate', 'go', 'election', 'without', 'agreement', 'puts', 'difficult', 'pressure', 'general', 'negotiations', 'partial', 'regional', 'agreements', 'global', 'negotiation', 'collapses']"
"Para la comunidad internacional esa división opositora es un dolor de cabeza, pues sin acuerdos internos en la oposición es imposible avanzar en cualquier acuerdo nacional con el adversario, convirtiéndose en una papa caliente.","['comunidad', 'internacional', 'división', 'opositora', 'dolor', 'cabeza', 'pues', 'acuerdos', 'internos', 'oposición', 'imposible', 'avanzar', 'cualquier', 'acuerdo', 'nacional', 'adversario', 'convirtiéndose', 'papa', 'caliente']","For the international community, this opposition division is a headache, because without internal agreements in the opposition it is impossible to advance in any national agreement with the adversary, becoming a hot potato.","['international', 'community', 'opposition', 'division', 'headache', 'without', 'internal', 'agreements', 'opposition', 'impossible', 'advance', 'national', 'agreement', 'adversary', 'becoming', 'hot', 'potato']"
"La oposición se fractura frente al dilema: todo o nada o negociaciones parciales. El climax de esa división son las regionales: negociarlas por separado o meterlas en el paquete global, sabiendo que no habrá acuerdo previo a una fecha en la que Maduro las ejecutará de todas todas","['oposición', 'fractura', 'frente', 'dilema', 'negociaciones', 'parciales', 'climax', 'división', 'regionales', 'negociarlas', 'separado', 'meterlas', 'paquete', 'global', 'sabiendo', 'acuerdo', 'previo', 'fecha', 'maduro', 'ejecutará', 'todas', 'todas']","The opposition is fractured by the dilemma: all or nothing or partial negotiations. The climax of this division is the regional ones: negotiate them separately or put them in the global package, knowing that there will be no agreement prior to a date when Maduro will execute them all.","['opposition', 'fractured', 'dilemma', 'nothing', 'partial', 'negotiations', 'climax', 'division', 'regional', 'ones', 'negotiate', 'separately', 'put', 'global', 'package', 'knowing', 'agreement', 'prior', 'date', 'maduro', 'execute']"
La unidad alrededor del acuerdo de salvación tiene el reto de decidir si se plantea una negociación integral de todo o nada o si se debe negociar acuerdos incrementales en los que se intercambien cosas específicas y se presenten victorias tempranas que no incluyen presidenciales.,"['unidad', 'alrededor', 'acuerdo', 'salvación', 'reto', 'decidir', 'si', 'plantea', 'negociación', 'integral', 'si', 'debe', 'negociar', 'acuerdos', 'incrementales', 'intercambien', 'cosas', 'específicas', 'presenten', 'victorias', 'tempranas', 'incluyen', 'presidenciales']",The unit around the salvation agreement has the challenge of deciding whether to consider a comprehensive all-or-nothing negotiation or whether to negotiate incremental agreements in which specific things are exchanged and early victories are presented that do not include presidential ones.,"['unit', 'around', 'salvation', 'agreement', 'challenge', 'deciding', 'whether', 'consider', 'comprehensive', 'nothing', 'negotiation', 'whether', 'negotiate', 'incremental', 'agreements', 'specific', 'things', 'exchanged', 'early', 'victories', 'presented', 'include', 'presidential', 'ones']"
"La oposición se une alrededor de la necesidad de negociar con Maduro. Esto ya es un logro clave porque hace poco la oposición institucional sostenía que no iba a negociar con Maduro, desconociendo la realidad de su control territorial. El problema viene después: ¿qué negociar?","['oposición', 'une', 'alrededor', 'necesidad', 'negociar', 'maduro', 'logro', 'clave', 'hace', 'oposición', 'institucional', 'sostenía', 'iba', 'negociar', 'maduro', 'desconociendo', 'realidad', 'control', 'territorial', 'problema', 'viene', 'después', '¿qué', 'negociar']","The opposition rallies around the need to negotiate with Maduro. This is already a key achievement because recently the institutional opposition argued that it was not going to negotiate with Maduro, ignoring the reality of its territorial control. The problem comes later: what to negotiate?","['opposition', 'rallies', 'around', 'need', 'negotiate', 'maduro', 'already', 'key', 'achievement', 'recently', 'institutional', 'opposition', 'argued', 'going', 'negotiate', 'maduro', 'ignoring', 'reality', 'territorial', 'control', 'problem', 'comes', 'later', 'negotiate']"
Maduro y la oposición  comienzan pidiendo el máximo de sus expectativas: Maduro flexibilización total de sanciones y la oposición elecciones presidenciales democráticas. Es obvio que ninguna de las dos cosas ocurrirá. Eso significa que cualquier negociación estará en el medio.,"['maduro', 'oposición', 'comienzan', 'pidiendo', 'máximo', 'expectativas', 'maduro', 'flexibilización', 'total', 'sanciones', 'oposición', 'elecciones', 'presidenciales', 'democráticas', 'obvio', 'ninguna', 'dos', 'cosas', 'ocurrirá', 'significa', 'cualquier', 'negociación', 'medio']",Maduro and the opposition begin by asking for the maximum of their expectations: Maduro total relaxation of sanctions and the opposition democratic presidential elections. It is obvious that neither of the two things will happen. That means any negotiation will be in the middle.,"['maduro', 'opposition', 'begin', 'asking', 'maximum', 'expectations', 'maduro', 'total', 'relaxation', 'sanctions', 'opposition', 'democratic', 'presidential', 'elections', 'obvious', 'neither', 'two', 'things', 'happen', 'means', 'negotiation', 'middle']"
"En las negociaciones hay muchas incertidumbres, pero también algunos predeterminados: 1) no van a acordarse ni presidenciales ni referéndum. 2) no se van a flexibilizar las sanciones personales ni financieras  y 3) una parte relevante de la oposición va a participar en regionales","['negociaciones', 'muchas', 'incertidumbres', 'predeterminados', 'van', 'acordarse', 'presidenciales', 'referéndum', 'van', 'flexibilizar', 'sanciones', 'personales', 'financieras', 'parte', 'relevante', 'oposición', 'va', 'participar', 'regionales']","In the negotiations there are many uncertainties, but also some predetermined ones: 1) neither presidential nor referendum will be agreed upon. 2) personal or financial sanctions will not be relaxed and 3) a relevant part of the opposition will participate in regional","['negotiations', 'many', 'uncertainties', 'also', 'predetermined', 'ones', 'neither', 'presidential', 'referendum', 'agreed', 'upon', 'personal', 'financial', 'sanctions', 'relaxed', 'relevant', 'part', 'opposition', 'participate', 'regional']"
