frequency,bigram/trigram
128,salir pais
33,calidad vida
32,irse pais
15,puede salir
13,posibilidad irse
11,salir venezuela
11,posibilidad irme
11,ganas salir
10,quiero salir
10,puede salir pais
9,venezuela mejor
9,mejor venezuela
8,venezuela si
8,ganas salir pais
8,estudiar salir pais
8,estudiar salir
7,oportunidad salir
6,si posibilidad
6,salir corriendo
6,salir adelante
6,pais da
6,mejor calidad vida
6,mejor calidad
6,irse vivir
6,cada dia
6,buscar oportunidad
5,vivir venezuela
5,vez mas
5,venezuela va
5,venezuela jovenes
5,va salir
5,seguridad social
5,quiero salir pais
5,pais si
5,pais mejor
5,oportunidad irse
5,oportunidad buscar
5,mas nunca
5,ma ana
5,irse venezuela
5,irme pais
5,cuba venezuela
5,cada vez
4,vivir pais
4,vida venezuela
4,venezuela solo
4,venezuela pa
4,venezuela mas
4,venezuela est
4,venezuela dios
4,si oportunidad
4,salir aqui
4,quieren ir
4,pueblo venezolano
4,podemos salir
4,pais mas
4,pa ses
4,mierda ahora
4,mejor pa
4,lejos venezuela
4,irse pais mejor
4,ir pais
4,final dia
4,dios bendiga
4,cada vez mas
3,vota verde vota
3,vota verde
3,vivir rey podes
3,vivir rey
3,verde vota
3,venezuela quiere
3,venezuela habla
3,venezuela est mejor
3,venezuela disfrutar
3,venezuela cuba
3,venezuela asi
3,vale pena
3,vacio dentro familia
3,vacio dentro
3,unico queda salir
3,unico queda
3,unica solucion
3,triste familia
3,toca salir
3,tener final dia
3,tener final
3,siempre dije queria
3,siempre dije
3,si si
3,si puede
3,si da
3,ser mejor
3,seguis vacio dentro
3,seguis vacio
3,salir ahi
3,rey podes tener
3,rey podes
3,recagada patas feliz
3,recagada patas
3,quieren salir
3,quieren irse
3,quiere decir
3,queria ir mierda
3,queria ir
3,quedarse venezuela
3,quedarme recagada patas
3,quedarme recagada
3,queda salir pais
3,queda salir
3,presidente venezuela
3,posibilidad volver
3,posibilidad vivir rey
3,posibilidad vivir
3,posibilidad quedarme recagada
3,posibilidad quedarme
3,posibilidad poder
3,podes tener final
3,podes tener
3,patas feliz ansiosa
3,patas feliz
3,pais va
3,pais solucion
3,pais ser
3,pais mierda
3,pais mejor oportunidad
3,pais da posibilidad
3,pais conmigo
3,pais ahora
3,oportunidad salir venezuela
3,oportunidad irse pais
3,oportunidad irme
3,oportunidad futuro asimila
3,oportunidad futuro
3,nerviosa triste familia
3,nerviosa triste
3,millones venezolanos
3,mierda ahora llego
3,mejorar calidad vida
3,mejorar calidad
3,mejor salir
3,mejor presidente venezuela
3,mejor presidente
3,mejor pais
