tweet_tokenized_translated,opinion,NB_a favor,NB_en contra,NB_neutro,SVM_a favor,SVM_en contra,SVM_neutro,DT_a favor,DT_en contra,DT_neutro,MaxEnt_a favor,MaxEnt_en contra,MaxEnt_neutro
,a favor,0.4160441062061334,0.4277129815128949,0.1562429122809729,0.4292107438855574,0.4799947734928261,0.0907944826216165,1.0,0.0,0.0,0.4810402963820815,0.3992273883686738,0.11973231524924464
,a favor,0.5508283555132841,0.3765970749248281,0.072574569561886,0.4887144520342329,0.4720170114770536,0.0392685364887134,1.0,0.0,0.0,0.4549980330904175,0.4472931491074183,0.09770881780216432
,en contra,0.6675342002210589,0.2842630484775206,0.0482027513014204,0.626377436458136,0.3126272286060756,0.0609953349357883,1.0,0.0,0.0,0.5538734200443319,0.34327603430405773,0.10285054565161027
,en contra,0.7179788347787754,0.245335099959615,0.0366860652616077,0.7282455765266794,0.2500541300665602,0.0217002934067604,1.0,0.0,0.0,0.7263674802803503,0.2147601383277468,0.058872381391902956
,en contra,0.7662377134668089,0.197115457676675,0.0366468288565173,0.7354744795387786,0.2492581721112746,0.0152673483499468,1.0,0.0,0.0,0.7299054522275952,0.2115642174912253,0.05853033028117956
,neutro,0.6756382264534339,0.2246252387184435,0.0997365348281223,0.050720714333314,0.0125395449294901,0.936739740737196,0.0,0.0,1.0,0.5263808496321213,0.2131010768003993,0.2605180735674793
,en contra,0.4936893796188425,0.4073685631024555,0.0989420572786991,0.3674327657401059,0.4513180400316681,0.1812491942282258,1.0,0.0,0.0,0.417254832559653,0.4356404210157754,0.14710474642457164
,en contra,0.6003518664711699,0.3552036073720594,0.0444445261567702,0.4528203625904662,0.4874334093459881,0.0597462280635456,1.0,0.0,0.0,0.4705590751283999,0.4325669040263185,0.09687402084528174
,a favor,0.8376188747303484,0.1423378429746654,0.0200432822949852,0.8393050599777874,0.15043774501715,0.0102571950050629,0.0,1.0,0.0,0.740723967615939,0.197940158484514,0.061335873899546964
,en contra,0.4935476312351105,0.3545529892378726,0.1518993795270162,0.4525398704503389,0.3433511446565238,0.2041089848931371,0.0,1.0,0.0,0.48538867163714794,0.3714770590364877,0.1431342693263644
,a favor,0.7823549271716888,0.1735741671091635,0.044070905719145,0.6220098006778265,0.1160280543572803,0.2619621449648931,1.0,0.0,0.0,0.6217953553846214,0.24120869822102892,0.13699594639434962
,a favor,0.726244695385601,0.2284291162621746,0.0453261883522258,0.6427142494950193,0.2136002152461553,0.1436855352588251,1.0,0.0,0.0,0.6593079242769241,0.24413117057684022,0.09656090514623575
,en contra,0.3766848587169035,0.4627907430828663,0.160524398200228,0.3463263489927699,0.5560505188807652,0.0976231321264649,1.0,0.0,0.0,0.4469099695203374,0.43103900652523125,0.12205102395443122
,neutro,0.6918765578852285,0.2556544480427739,0.0524689940719994,0.6890303849544704,0.2440216566066572,0.0669479584388721,1.0,0.0,0.0,0.6149190009970923,0.2890953689285123,0.09598563007439558
,en contra,0.5118896334059025,0.4303998301219676,0.0577105364721272,0.2801665875553766,0.6966219223147332,0.0232114901298904,0.0,1.0,0.0,0.33615360572874775,0.579758536371108,0.0840878579001442
,a favor,0.5211151687033853,0.3799364087648055,0.0989484225318099,0.3831152778787058,0.491416098020426,0.1254686241008682,1.0,0.0,0.0,0.4406469534310812,0.41792049366055767,0.141432552908361
