tweet,tweet_tokenized,tweet_translated,tweet_tokenized_translated,opinion
"Escuchar a un Venezolano que huye del socialismo para Espa¤a es gracioso. Les parece buenisim""Seguridad Social"",pero les parece terrible que no haya contratos a termino indefinido,los salarios bajos,que haya muchos impuestos y servicios publicos costosos. No aprendieron nada.","['escuchar', 'venezolano', 'huye', 'socialismo', 'espa¤a', 'gracioso', 'parece', 'buenisim', 'seguridad', 'social', 'parece', 'terrible', 'contratos', 'termino', 'indefinido', 'salarios', 'bajos', 'impuestos', 'servicios', 'publicos', 'costosos', 'aprendieron']","Listening to a Venezuelan fleeing socialism for Spain is funny. They think the ""Social Security"" is great, but they think it is terrible that there are no permanent contracts, low salaries, high taxes and expensive public services. They did not learn anything.","['listening', 'venezuelan', 'fleeing', 'socialism', 'spain', 'funny', 'think', 'social', 'security', 'great', 'think', 'terrible', 'permanent', 'contracts', 'low', 'salaries', 'high', 'taxes', 'expensive', 'public', 'services', 'learn', 'anything']",en contra
Si no vas a comentar nada productivo mejor callate si por la organizacion del CICPC trabaja duro dia a dia por la proteccion y seguridad de Venezuela gf y ustedes queriendo irse? Malagradecidos con s,"['si', 'vas', 'comentar', 'productivo', 'mejor', 'callate', 'si', 'organizacion', 'cicpc', 'trabaja', 'duro', 'dia', 'dia', 'proteccion', 'seguridad', 'venezuela', 'gf', 'ustedes', 'queriendo', 'irse', 'malagradecidos']",If you are not going to comment anything productive you better shut up if for the CICPC organization works hard day by day for the protection and security of Venezuela gf and you guys want to leave... Ungrateful with your homeland,"['going', 'comment', 'anything', 'productive', 'better', 'shut', 'cicpc', 'organization', 'works', 'hard', 'day', 'day', 'protection', 'security', 'venezuela', 'gf', 'guys', 'want', 'leave', 'ungrateful', 'homeland']",en contra
@laucharo_ Es gente que tiene la posibilidad de irse para empezar en otro lado,"['laucharo', 'gente', 'posibilidad', 'irse', 'empezar', 'lado']",@laucharo_ It is people who have the possibility of leaving to start somewhere else.,"['laucharo', 'people', 'possibility', 'leaving', 'start', 'somewhere', 'else']",a favor
@Vero_Mendoza_F A la plena miseria como en Venezuela de eso si hay seguridad.,"['vero', 'mendoza', 'plena', 'miseria', 'venezuela', 'si', 'seguridad']",@Vero_Mendoza_F To full misery as in Venezuela of that if there is security.,"['vero', 'mendoza', 'full', 'misery', 'venezuela', 'security']",neutro
"el retiro lo hizo Venezuela, gracias a la gestion de la gobernacion de Norte de Santander, al sector comercial, industrial y de transporte del departamento   -Migracion Colombia espera Que Venezuela abra nuevamente su frontera, en Un marco de orden y seguridad","['retiro', 'hizo', 'venezuela', 'gracias', 'gestion', 'gobernacion', 'norte', 'santander', 'sector', 'comercial', 'industrial', 'transporte', 'departamento', 'migracion', 'colombia', 'espera', 'venezuela', 'abra', 'nuevamente', 'frontera', 'marco', 'orden', 'seguridad']","the withdrawal was made by Venezuela, thanks to the efforts of the government of Norte de Santander, the commercial, industrial and transport sector of the department -Migracion Colombia expects Venezuela to reopen its border, in a framework of order and security.","['withdrawal', 'made', 'venezuela', 'thanks', 'efforts', 'government', 'norte', 'de', 'santander', 'commercial', 'industrial', 'transport', 'sector', 'department', 'migracion', 'colombia', 'expects', 'venezuela', 'reopen', 'border', 'framework', 'order', 'security']",neutro
"La policia de RD no sirve pana, ningun cuerpo de seguridad. En Venezuela te resuelven un caso rapidito (si te bajas de la mula mucho mas rapido) pero aja te resuelven tu vaina.","['policia', 'rd', 'sirve', 'pana', 'ningun', 'cuerpo', 'seguridad', 'venezuela', 'resuelven', 'caso', 'rapidito', 'si', 'bajas', 'mula', 'mas', 'rapido', 'aja', 'resuelven', 'vaina']","The police in the DR is useless, no security force. In Venezuela they solve a case quickly (if you get off the mule much faster) but they solve your case.","['police', 'dr', 'useless', 'security', 'force', 'venezuela', 'solve', 'case', 'quickly', 'get', 'mule', 'much', 'faster', 'solve', 'case']",en contra
"Peor, a veces. En Venezuela arrebataron los derechos individuales a cambio de nada: ni seguridad ni bienestar. Si tienes la oportunidad hasta un favor y vete?","['peor', 'veces', 'venezuela', 'arrebataron', 'derechos', 'individuales', 'cambio', 'seguridad', 'bienestar', 'si', 'oportunidad', 'favor', 'vete']","Worse, sometimes. In Venezuela they took away individual rights in exchange for nothing: neither security nor welfare. If you have the opportunity to do yourself a favor and leave....","['worse', 'sometimes', 'venezuela', 'took', 'away', 'individual', 'rights', 'exchange', 'nothing', 'neither', 'security', 'welfare', 'opportunity', 'favor', 'leave']",a favor
"Que cosa administra bien el gobierno de Venezuela en la actualidad? Ni salud, ni seguridad, ni recursos naturales. Darle la energia seria solo para que se vayan.","['cosa', 'administra', 'bien', 'gobierno', 'venezuela', 'actualidad', 'salud', 'seguridad', 'recursos', 'naturales', 'darle', 'energia', 'seria', 'solo', 'vayan']","What does the Venezuelan government administer well nowadays? Neither health, nor security, nor natural resources. Giving them energy would be just to make them go away.","['venezuelan', 'government', 'administer', 'well', 'nowadays', 'neither', 'health', 'security', 'natural', 'resources', 'giving', 'energy', 'would', 'make', 'go', 'away']",a favor
Si tuviera la posibilidad de irme a vivir al extranjero. Me voy a la mierda con tal de no vivir en la miseria que significa hoy en dia Venezuela.,"['si', 'posibilidad', 'irme', 'vivir', 'extranjero', 'voy', 'mierda', 'tal', 'vivir', 'miseria', 'significa', 'hoy', 'dia', 'venezuela']",If I had the possibility to go live abroad. I would go to shit as long as I don't live in the misery that Venezuela means today.,"['possibility', 'go', 'live', 'abroad', 'would', 'go', 'shit', 'long', 'live', 'misery', 'venezuela', 'means', 'today']",a favor
Venezuela no le mato. Lo mato las compa¤ias que sabiendo el riesgo pais no le tenian un plan de seguridad social para alguna eventualidad y asi es como pierdes a toda tu poblacion jo,"['venezuela', 'mato', 'mato', 'compa¤ias', 'sabiendo', 'riesgo', 'pais', 'tenian', 'plan', 'seguridad', 'social', 'alguna', 'eventualidad', 'asi', 'pierdes', 'toda', 'poblacion', 'jo']",Venezuela did not kill him. He was killed by the companies that knowing the country risk did not have a social security plan for any eventuality and that is how you lose all your young population...,"['venezuela', 'kill', 'killed', 'companies', 'knowing', 'country', 'risk', 'social', 'security', 'plan', 'eventuality', 'lose', 'young', 'population']",en contra
