date,username,tweet,tweet_translated,sentimiento,opinion
10/3/2021,reptilsu,"Escuchar a un Venezolano que huye del socialismo para Espa§a es gracioso. Les parece buenisim""Seguridad Social"",pero les parece terrible que no haya contratos a termino indefinido,los salarios bajos,que haya muchos impuestos y servicios publicos costosos. No aprendieron nada.","Listening to a Venezuelan fleeing socialism for Spain is funny. They think the ""Social Security"" is great, but they think it is terrible that there are no permanent contracts, low salaries, high taxes and expensive public services. They did not learn anything.",ira,en contra
10/3/2021,yocsinm,Si no vas a comentar nada productivo mejor callate si por la organizacion del CICPC trabaja duro dia a dia por la proteccion y seguridad de Venezuela gf y ustedes queriendo irse? Malagradecidos con s,If you are not going to comment anything productive you better shut up if for the CICPC organization works hard day by day for the protection and security of Venezuela gf and you guys want to leave... Ungrateful with your homeland,ira,en contra
10/4/2021,tabonqn,@laucharo_ Es gente que tiene la posibilidad de irse para empezar en otro lado,@laucharo_ It is people who have the possibility of leaving to start somewhere else.,tristeza,a favor
10/4/2021,luisdiazherrer3,@Vero_Mendoza_F A la plena miseria como en Venezuela de eso si hay seguridad.,@Vero_Mendoza_F To full misery as in Venezuela of that if there is security.,ira,neutro
10/4/2021,raylilujan,"el retiro lo hizo Venezuela, gracias a la gestion de la gobernacion de Norte de Santander, al sector comercial, industrial y de transporte del departamento   -Migracion Colombia espera Que Venezuela abra nuevamente su frontera, en Un marco de orden y seguridad","the withdrawal was made by Venezuela, thanks to the efforts of the government of Norte de Santander, the commercial, industrial and transport sector of the department -Migracion Colombia expects Venezuela to reopen its border, in a framework of order and security.",tristeza,neutro
10/4/2021,a12ajp,"La policia de RD no sirve pana, ningun cuerpo de seguridad. En Venezuela te resuelven un caso rapidito (si te bajas de la mula mucho mas rapido) pero aja te resuelven tu vaina.","The police in the DR is useless, no security force. In Venezuela they solve a case quickly (if you get off the mule much faster) but they solve your case.",felicidad,en contra
10/4/2021,eriniand,"Peor, a veces. En Venezuela arrebataron los derechos individuales a cambio de nada: ni seguridad ni bienestar. Si tienes la oportunidad hasta un favor y vete?","Worse, sometimes. In Venezuela they took away individual rights in exchange for nothing: neither security nor welfare. If you have the opportunity to do yourself a favor and leave....",tristeza,a favor
10/4/2021,ebautistav,"Que cosa administra bien el gobierno de Venezuela en la actualidad? Ni salud, ni seguridad, ni recursos naturales. Darle la energia seria solo para que se vayan.","What does the Venezuelan government administer well nowadays? Neither health, nor security, nor natural resources. Giving them energy would be just to make them go away.",tristeza,a favor
10/4/2021,fiaaamu77,Si tuviera la posibilidad de irme a vivir al extranjero. Me voy a la mierda con tal de no vivir en la miseria que significa hoy en dia Venezuela.,If I had the possibility to go live abroad. I would go to shit as long as I don't live in the misery that Venezuela means today.,ira,a favor
10/4/2021,isasalome66,Venezuela no le mato. Lo mato las compa§ias que sabiendo el riesgo pais no le tenian un plan de seguridad social para alguna eventualidad y asi es como pierdes a toda tu poblacion jo,Venezuela did not kill him. He was killed by the companies that knowing the country risk did not have a social security plan for any eventuality and that is how you lose all your young population...,tristeza,en contra
10/4/2021,luijobarreto,"Ya los pacos estan cada vez mas fuera de control, los verdaderos enemigos de la sociedad venezolana, los cuerpos de seguridad. Es irse del pais o morir en el intento","Already the pacos are getting more and more out of control, the real enemies of the Venezuelan society, the security forces. It's leave the country or die trying",miedo,a favor
10/5/2021,itsjorgetto," jajajaja si, tiene la posibilidad por su trabajo. Ya esta buscando fechas para irse. Ya llegara nuestro momento bro, paciencia"," hahahaha yes, he has the chance because of his job. He is already looking for dates to go. Our time will come bro, patience",felicidad,a favor
10/5/2021,alexbalza306, Lo haz dicho Marie. Si bien hay cosas buenas fuera de Venezuela. Hay malas. Lo bueno. La seguridad y estar tranquilo. Feliz de haberme ido., You said it Marie. While there are good things out of Venezuela. There are bad. The good. Safety and peace of mind. Happy to be gone.,tristeza,a favor
10/5/2021,gorgeousholland,"""Al cabo de tres intentos, habia desperdiciado la unica posibilidad de volver a escuchar la voz de mama.   Llore. Esa noche llore hasta quedarme dormida""   BASTA NO PUEDO MAS","After three attempts, I had wasted the only chance to hear my mother's voice again.   I cried. That night I cried myself to sleep BASTA NO PUEDO MAS",tristeza,en contra
