frequency,bigram/trigram
152,to leave
109,to be
99,out of
97,want to
92,leave country
85,have to
79,if you
77,to get
76,going to
72,it is
69,to leave country
62,this country
59,watch this
58,this is
56,this amazing
55,when you
54,you re
54,you have
54,watch this amazing
54,to go
54,this amazing live
54,ly broadcast by
54,ly broadcast
54,live ly broadcast
54,live ly
54,broadcast by
54,amazing live ly
54,amazing live
49,you are
47,get out
44,get out of
43,go to
40,you can
40,it was
39,there is
39,of this
38,do not
37,to get out
36,we are
34,will be
34,that is
34,of my
33,so much
33,out of this
33,is to
32,to do
32,quality of
32,of life
29,quality of life
28,we have
28,want to leave
28,is not
27,to work
27,they re
27,one of
27,do you
26,that you
26,on my
26,need to
26,lively musically
26,but it
25,we re
25,don know
24,possibility of
24,of venezuela
23,opportunity to
23,leave this
22,venezuela is
22,to make
22,should be
22,my life
22,back to
21,you know
21,you don
21,to watch
21,to stay
21,they have
21,for my
20,to see
20,look for
20,ll be
20,leave this country
20,is that
20,do it
20,about it
19,you want
19,to go to
19,time to
19,it not
19,go out
18,would be
18,to have
18,they are
18,of your
18,of this country
18,is going
18,how to
18,have been
18,had to
18,can be
18,away from
18,are you
17,with my
17,to start
17,to say
17,to live
17,to leave this
17,this week
17,there are
17,that was
17,right now
17,look at
17,know what
17,is an
17,because you
17,at all
17,afraid of
16,you want to
16,you ve
16,way to
16,ve been
16,trying to
16,that we
16,needs to
16,don think
16,can leave
15,you have to
15,you do
15,wanted to
15,to look
15,so that
15,of it
15,my heart
15,is it
15,if it
15,can wait
15,all of
14,you will
14,to my
14,out to
14,of country
14,not to
14,not have
14,looking for
14,like this
14,know how
14,kind of
14,it to
14,feel like
14,does not
14,can do
14,can believe
14,be happy
14,are not
14,another country
14,able to
13,you to
13,you guys
13,to talk
13,to give
13,that they
13,talking about
13,side of
13,possibility to
13,part of
13,of us
13,of our
13,it will
13,it just
13,is like
13,is going to
13,if they
13,have to leave
13,everyone is
13,don let
13,country is
13,at least
12,you think
12,will never
12,when you re
12,wants to
12,ve ever
12,to you
12,to look for
12,that have
12,of you
12,not sure
12,more than
12,leave venezuela
12,know that
12,just want
12,is best
12,if you have
12,for an
12,don want
12,did not
12,country with
12,can you
12,can leave country
12,can go
12,because of
12,are so
11,you get
11,would have
11,try to
11,too much
11,to study
11,talk about
11,supposed to
11,so long
11,should have
11,of those
11,of leaving
11,of his
11,life is
11,is so
11,is good
11,going to be
11,future of
11,for all
11,did you
11,chance to
11,afraid to
10,you were
10,who have
10,when they
10,when it
10,we will
10,wait to
10,to stop
10,to go out
10,to change
10,think it
10,they will
10,that venezuela
10,that it
10,thanks for
10,so many
10,say that
10,possibility of leaving
10,now that
10,not going
10,may be
10,leaving country
10,it time
10,is why
10,is better
10,how can
10,for your
10,for you
10,for this
10,everything is
10,every day
10,customer service
10,come to
10,can we
10,can get
10,better than
10,because they
10,as if
10,all time
9,your own
9,you ll
9,with you
9,will not
9,will have
9,who are
9,when we
9,we can
9,wake up
9,waiting for
9,used to
9,to your
9,to tell
9,to leave venezuela
9,to find
9,to another
9,time for
9,those who
9,they should
9,they can
9,so angry
9,out of country
9,of them
9,of course
9,of all
9,not going to
9,must be
9,makes you
9,make it
9,like you
9,like that
9,it when
9,it so
9,it makes
9,it for
9,it been
9,is to leave
9,is still
9,is on
9,is more
9,is fucking
9,happy birthday
9,good morning
9,gonna be
9,from your
9,every time
9,elated to
9,do is
9,can wait to
9,are going to
9,are going
9,all day
8,you just
8,worry about
8,why is
8,which is
8,when your
8,what you
8,we need
8,we have to
8,wait for
8,to venezuela
8,to think
8,to them
8,to take
8,to run
8,to know
8,to help
8,to hear
8,tired of
8,this morning
8,there was
8,them to
8,their own
8,that what
8,that don
8,that can
8,talking to
8,study to
8,someone who
8,she was
8,she is
8,pick up
8,penny dreadful
8,opportunity to leave
8,only thing
8,on other
8,of that
8,of terrorism
8,not that
8,never make
8,my own
8,my house
8,make you
8,know how to
8,just want to
8,it time to
8,it ll
8,it funny
8,it all
8,is very
8,is one
8,into my
8,happened to
8,got to
8,good but
8,going to get
8,for us
8,first time
8,far away
8,ever ever
8,don want to
8,don have
8,don get
8,do that
8,didn have
8,but they
8,but there
8,better to
8,believe that
8,because it
8,be afraid
8,at my
8,as well
8,always be
8,all my
8,about to
7,your day
7,you so
7,you need
7,you even
7,you don know
7,with your
7,with that
7,will get
7,why does
7,who is
7,what is
7,we were
7,we go
7,we don
7,we do
7,venezuela we
7,venezuela to
7,ve seen
7,up with
7,to win
7,to play
7,to our
7,to offend
7,to eat
7,to do it
7,to die
7,to come
7,to another country
7,this one
7,think that
7,think of
7,they were
7,they say
7,they don
7,that my
7,talk to
7,some of
7,so you
7,so bad
7,shouldn be
7,see you
7,rest of
7,re all
7,poor of
7,over years
7,one can
7,on it
7,of time
7,of everything
7,now they
7,not be
7,my head
7,my family
7,more of
7,love it
7,lots of
7,lost my
7,looks like
7,long time
7,like to
7,like it
7,lack of
7,it would
7,it really
7,it out
7,is to be
7,is only
7,instead of
7,if you don
7,if were
7,going on
7,go back
7,get to
7,get discouraged
7,from venezuela
7,from this
7,for that
7,feels like
7,fact that
7,exhilaration of
7,end of
7,don know what
7,don even
7,day of
7,could have
7,care of
7,can see
7,but this
7,but then
7,but my
7,be like
7,anger is
7,all over
6,your life
6,you would
6,you make
6,you go
6,you feel
6,you can feel
6,you all
6,with it
6,with all
6,will make
6,will always be
6,will always
6,why do
6,who you
6,who can
6,what they
6,what happens
6,we ve
6,we should
6,was so
6,want to be
6,vote for
6,venezuela they
6,ve got
6,upside down
6,up my
6,to pick
6,to move
6,to mourn
6,to just
6,to it
6,to fight
6,think they
6,thing is
6,they have to
6,that why
6,that way
6,that one
6,that doesn
6,that all
6,soon as
6,so that you
6,so bitter
6,should not
6,shitty country
6,say it
6,ready to
6,re not
6,re going to
6,re going
6,rather than
6,panic attack
6,over it
6,out there
6,out of my
6,our country
6,or not
6,one of those
6,on youtube
6,off to
6,of young
6,of victory
6,of love
6,of fall
6,of being
6,now that have
6,nothing but
6,never be
6,needs to be
6,my mind
6,my iphone
6,my first
6,my alarm
6,might be
6,listening to
6,let that
6,let out
6,let it
6,leaving venezuela
6,leaving this country
6,leaving this
6,leave my
6,leave country with
6,know you
6,just to
6,just like
6,just have
6,it wasn
6,it true
6,it like
6,it is not
6,is there
6,is terrible
6,is really
6,is one of
6,is depressing
6,is cheap
6,is better than
6,if you get
6,if you are
6,how is
6,his own
6,here is
6,heart is
6,have you
6,have to get
6,have possibility
6,have an
6,hard to
6,god is
6,go to another
6,give you
6,full of
6,front of
6,forgot to
6,for them
6,for so
6,for it
6,for future
6,find out
6,feel exhilaration of
6,feel exhilaration
6,fear of
6,exhilaration of victory
6,ever ever ever
6,enough to
6,don wanna
6,don like
6,don know how
6,don be
6,do you want
6,depression anxiety
6,day is
6,country to
6,continue to
6,come back
6,challenges so that
6,challenges so
6,can tell
6,can go to
6,can feel
6,can even
6,but you
6,but what
6,but we
6,but don
6,best revenge
6,being able to
6,being able
6,been so
6,because you can
6,be more
6,based on
6,at this
6,at her
6,as you
6,as always
6,after you
6,accept challenges so
6,accept challenges
6,about this
5,your smile
5,your mother
5,you really
5,you give
5,you find
5,you can see
5,you can leave
5,years ago
5,wrath of
5,wonder what
5,with possibility of
5,with possibility
5,with his
5,with her
5,wish it
5,will have to
5,why not
5,why are
5,where you
5,when you are
5,when was
5,what would
5,what if
5,well can
5,we re all
5,we did
5,way out
5,was an
5,wants to leave
5,want to get
5,venezuela you
5,up to
5,up from
5,turn that
5,tomorrow is
5,to use
5,to their
5,to talk to
5,to study to
5,to read
5,to rage
5,to protest
5,to mention
5,to keep
5,to juggle just
5,to juggle
5,to intimidate
5,to collect
5,thousands of
5,thought of
5,this shitty country
5,this shitty
5,think we
5,think about
5,things we
5,they do
5,then it
5,that you can
5,that would
5,that will
5,that when
5,that venezuela is
5,that this
5,that there
5,that right
5,that man did
5,that man
5,than to
5,than ever
5,study to leave
5,still can
5,stay venezuela
5,sound like
5,sort of
5,sorry to
5,something that
5,so happy
5,side of everything
5,should do
5,seems to
5,see it
5,see if
5,see good side
5,see good
5,security of
5,said to
5,said that
5,right to
5,revenge is
5,return to
5,problem is
5,possibility to leave
5,point of
5,place to
5,paid for
5,out my
5,our young
5,other side
5,other countries
5,ones that
5,on twitter
5,on train
5,on phone
5,on other side
5,oh dear
5,offended by
5,of sleep
5,of her
5,of fear
5,of despair
5,of day
5,now you
5,now if
5,now have
5,not want
5,not that man
5,not know how
5,not know
5,not having
5,not grow weary
5,not grow
5,not because everything
5,not because
5,next to
5,need to get
5,need it
5,my little
5,my hands
5,my friends
5,my favorite
5,my children
5,my blood is
5,my blood
5,my anxiety
5,man did not
5,man did
5,majority of
5,made my
5,love you
5,love how
5,lot of
5,ll have
5,little bit
5,let make
5,leaving country is
5,know why
5,know who
5,know that you
5,just got
5,just do
5,just didn have
5,just didn
5,just because
5,juggle just didn
5,juggle just
5,job interview
5,it would be
5,it up
5,it there
5,it that
5,it not that
5,it my
5,it is to
5,it funny pun
5,it better
5,is your
5,is too
5,is to get
5,is this
5,is just
5,is good but
5,is boiling
5,is afraid of
5,is afraid
5,is about
5,india is
5,im so
5,if you do
5,if there
5,if don
5,how to juggle
5,how much
5,how could
5,horror story
5,horror movie
5,him to
5,have to watch
5,have opportunity
5,have not
5,have it
5,have had
5,have gone
5,have chance to
5,have chance
5,have balls to
5,have balls
5,happy not because
5,happy not
5,guess it
5,grow weary
5,good thing
5,good side of
5,good side
5,good but because
5,go back to
5,glee glee
5,give up
5,get up
5,get over
5,get better
5,get ahead
5,funny pun
5,fucking dreadful
5,from leaving
5,forward to
5,for work
5,for trump
5,for so long
5,for future of
5,for anyone
5,find it
5,feel so
5,everything is good
5,either way
5,don worry
5,doing good
5,do what
5,do not have
5,do not grow
5,do it funny
5,didn have balls
5,did not know
5,country that
5,country but
5,copy of
5,cheer up
5,change your
5,care about
5,can use
5,can see good
5,can not
5,can feel exhilaration
5,by this
5,but still
5,but not
5,but because you
5,but because
5,blood is
5,birthday to
5,better quality of
