,Unnamed: 0,tweet,tweet_translated,tweet_cleaned,tweet_tokenized,compound,neg,neu,pos
0,0,"Un abrazo para todos los periodistas en su día. Que sigan haciendo su trabajo pese a las limitaciones y riesgos es una muestra de compromiso, pasión y valor.","A hug for all the journalists in their day. That they continue to do their job despite limitations and risks is a sign of commitment, passion and courage.",un abrazo para todos los periodistas en su día que sigan haciendo su trabajo pese a las limitaciones y riesgos es una muestra de compromiso pasión y valor ,"['un', 'abrazo', 'para', 'todos', 'los', 'periodistas', 'en', 'su', 'día', 'que', 'sigan', 'haciendo', 'su', 'trabajo', 'pese', 'las', 'limitaciones', 'riesgos', 'es', 'una', 'muestra', 'de', 'compromiso', 'pasión', 'valor']",0.9138,0.0,0.626,0.374
1,1,"“Lo notable era la division y descalificaciones que se lanzaban, el resentimiento que supuraban. Estás conmigo o contra mí. Y tuvo ingredientes para su pesimismo. ¿Quién cedería? Los que más gritaban eran quienes pedían no ceder jamás” Tranquilo. Es Padura hablando de los cubanos","“What was remarkable was the division and disqualifications that were thrown, the resentment that was festering. You are with me or against me. And he had ingredients for his pessimism. Who would give in? Those who shouted the loudest were those who asked never to give in ”Quiet. It's Padura talking about Cubans", lo notable era la division y descalificaciones que se lanzaban el resentimiento que supuraban estás conmigo o contra mí y tuvo ingredientes para su pesimismo ¿quién cedería los que más gritaban eran quienes pedían no ceder jamás” tranquilo es padura hablando de los cubanos,"['lo', 'notable', 'era', 'la', 'division', 'descalificaciones', 'que', 'se', 'lanzaban', 'el', 'resentimiento', 'que', 'supuraban', 'estás', 'conmigo', 'contra', 'mí', 'tuvo', 'ingredientes', 'para', 'su', 'pesimismo', '¿quién', 'cedería', 'los', 'que', 'más', 'gritaban', 'eran', 'quienes', 'pedían', 'no', 'ceder', 'jamás”', 'tranquilo', 'es', 'padura', 'hablando', 'de', 'los', 'cubanos']",-0.2023,0.092,0.847,0.061
2,2,"Cristina Aguilera Ochoa (@cotuficcion), compite en el @Nespresso Talents en la categoría ""Film School Award"", y los ganadores se darán a conocer en el 74 ° Festival de Cannes en julio. Aquí está el enlace a su video:  https://t.co/164FRJCXJN Es sensacional. Muchísima suerte.","Cristina Aguilera Ochoa (@cotuficcion), competes in the @Nespresso Talents in the ""Film School Award"" category, and the winners will be announced at the 74th Cannes Film Festival in July. Here's the link to his video: https://t.co/164FRJCXJN It's sensational. Best of luck.",cristina aguilera ochoa cotuficcion compite en el nespresso talents en la categoría film school award y los ganadores se darán a conocer en el ° festival de cannes en julio aquí está el enlace a su video es sensacional muchísima suerte ,"['cristina', 'aguilera', 'ochoa', 'cotuficcion', 'compite', 'en', 'el', 'nespresso', 'talents', 'en', 'la', 'categoría', 'film', 'school', 'award', 'los', 'ganadores', 'se', 'darán', 'conocer', 'en', 'el', 'festival', 'de', 'cannes', 'en', 'julio', 'aquí', 'está', 'el', 'enlace', 'su', 'video', 'es', 'sensacional', 'muchísima', 'suerte']",0.9638,0.0,0.636,0.364
3,3,Tendencias del Consumidor Venezolano @datanalisis “la dolarización transaccional de Vzla alcanza ya casi el 70% de las transacciones totales y es un proceso irreversible”. @luisvicenteleon,"Venezuelan Consumer Trends @datanalisis ""Vzla's transactional dollarization now reaches almost 70% of total transactions and is an irreversible process."" @luisvicenteleon",tendencias del consumidor venezolano datanalisis la dolarización transaccional de vzla alcanza ya casi el de las transacciones totales y es un proceso irreversible” luisvicenteleon,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'la', 'dolarización', 'transaccional', 'de', 'vzla', 'alcanza', 'ya', 'casi', 'el', 'de', 'las', 'transacciones', 'totales', 'es', 'un', 'proceso', 'irreversible”', 'luisvicenteleon']",-0.1531,0.086,0.857,0.057
4,4,"Tendencias del Consumidor Vzlano @datanalisis “luego de una destrucción de tres cuartas partes del PIB desde 2013, las proyecciones 2021-2022 muestran una primera estabilización, aunque dejando una economía significativamente más pequeña que su tamaño histórico” Francisco Allen","Consumer Trends Vzlano @datanalisis ""after a destruction of three quarters of GDP since 2013, the 2021-2022 projections show a first stabilization, although leaving an economy significantly smaller than its historical size"" Francisco Allen",tendencias del consumidor vzlano datanalisis luego de una destrucción de tres cuartas partes del pib desde las proyecciones muestran una primera estabilización aunque dejando una economía significativamente más pequeña que su tamaño histórico” francisco allen,"['tendencias', 'del', 'consumidor', 'vzlano', 'datanalisis', 'luego', 'de', 'una', 'destrucción', 'de', 'tres', 'cuartas', 'partes', 'del', 'pib', 'desde', 'las', 'proyecciones', 'muestran', 'una', 'primera', 'estabilización', 'aunque', 'dejando', 'una', 'economía', 'significativamente', 'más', 'pequeña', 'que', 'su', 'tamaño', 'histórico”', 'francisco', 'allen']",-0.5719,0.104,0.896,0.0
5,5,"Tendencias del Consumidor Venezolano: “La pérdida de poder de compra interna del dólar en Venezuela ha sido de 62,6% entre enero 2020 y abril 2021 debido al desfase entre devaluación e inflación” Francisco Allen","Venezuelan Consumer Trends: ""The loss of internal purchasing power of the dollar in Venezuela has been 62.6% between January 2020 and April 2021 due to the gap between devaluation and inflation"" Francisco Allen",tendencias del consumidor venezolano la pérdida de poder de compra interna del dólar en venezuela ha sido de entre enero y abril debido al desfase entre devaluación e inflación” francisco allen,"['tendencias', 'del', 'consumidor', 'venezolano', 'la', 'pérdida', 'de', 'poder', 'de', 'compra', 'interna', 'del', 'dólar', 'en', 'venezuela', 'ha', 'sido', 'de', 'entre', 'enero', 'abril', 'debido', 'al', 'desfase', 'entre', 'devaluación', 'inflación”', 'francisco', 'allen']",-0.3182,0.067,0.933,0.0
6,6,"Tendencias del Consumidor Venezolano @datanalisis “Si bien la pandemia ha estimulado el crecimiento regional de la compra por Internet, en el caso vzlano su penetracion es significativamente inferior (14%) que el promedio regional (45%)”. @CarlosJimenez","Venezuelan Consumer Trends @datanalisis ""Although the pandemic has stimulated the regional growth of Internet shopping, in the Venezuelan case its penetration is significantly lower (14%) than the regional average (45%)"". @CarlosJimenez",tendencias del consumidor venezolano datanalisis si bien la pandemia ha estimulado el crecimiento regional de la compra por internet en el caso vzlano su penetracion es significativamente inferior que el promedio regional ” carlosjimenez,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'si', 'bien', 'la', 'pandemia', 'ha', 'estimulado', 'el', 'crecimiento', 'regional', 'de', 'la', 'compra', 'por', 'internet', 'en', 'el', 'caso', 'vzlano', 'su', 'penetracion', 'es', 'significativamente', 'inferior', 'que', 'el', 'promedio', 'regional', 'carlosjimenez']",0.3182,0.063,0.807,0.13
7,7,"Tendencias del Consumidor Venezolano @datanalisis : “los consumidores locales presentan la menor fidelidad de marcas de toda la región latinoamericana, llegando apenas del 7% frente a un promedio latino de 26%” @CarlosJimenez","Venezuelan Consumer Trends @datanalisis: ""local consumers have the lowest brand loyalty in the entire Latin American region, barely reaching 7% compared to a Latin average of 26%"" @CarlosJimenez",tendencias del consumidor venezolano datanalisis los consumidores locales presentan la menor fidelidad de marcas de toda la región latinoamericana llegando apenas del frente a un promedio latino de ” carlosjimenez,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'los', 'consumidores', 'locales', 'presentan', 'la', 'menor', 'fidelidad', 'de', 'marcas', 'de', 'toda', 'la', 'región', 'latinoamericana', 'llegando', 'apenas', 'del', 'frente', 'un', 'promedio', 'latino', 'de', 'carlosjimenez']",0.3415,0.08,0.767,0.154
8,8,"Tendencias del Consumidor Venezolano @datanalisis : “54% de los consumidores locales manifiestan comparar precios antes de comprar, una  penetración de casi el doble que sus pares latinoamericanos, lo que indica su mayor sensibilidad”. @CarlosJimenez","Venezuelan Consumer Trends @datanalisis: ""54% of local consumers say they compare prices before buying, a penetration of almost double that of their Latin American peers, which indicates their greater sensitivity."" @CarlosJimenez",tendencias del consumidor venezolano datanalisis de los consumidores locales manifiestan comparar precios antes de comprar una penetración de casi el doble que sus pares latinoamericanos lo que indica su mayor sensibilidad” carlosjimenez,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'de', 'los', 'consumidores', 'locales', 'manifiestan', 'comparar', 'precios', 'antes', 'de', 'comprar', 'una', 'penetración', 'de', 'casi', 'el', 'doble', 'que', 'sus', 'pares', 'latinoamericanos', 'lo', 'que', 'indica', 'su', 'mayor', 'sensibilidad”', 'carlosjimenez']",0.3612,0.0,0.923,0.077
9,9,Gracias a nuestros patrocinantes:  @cocuyleal  @banplusonline @jvhcorp  @ingritechven @delcopve  @idcartonaje  @jamonarichuna  @cloverfilevzla @traslados24horas @lapieldetuhogar  @simpletvve @kores_venezuela @movistar @AlimentosMaryVe   @CeproAlarm  @gpcconsulting @PagoChinchin,Thanks to our sponsors: @cocuyleal @banplusonline @jvhcorp @ingritechven @delcopve @idcartonaje @jamonarichuna @cloverfilevzla @ traslados24horas @lapieldetuhogar @simpletvve @kores_venezuela @movistar @AlimentosMaryVe @CepproAlarmcons,gracias a nuestros patrocinantes cocuyleal banplusonline jvhcorp ingritechven delcopve idcartonaje jamonarichuna cloverfilevzla traslados horas lapieldetuhogar simpletvve kores venezuela movistar alimentosmaryve ceproalarm gpcconsulting pagochinchin,"['gracias', 'nuestros', 'patrocinantes', 'cocuyleal', 'banplusonline', 'jvhcorp', 'ingritechven', 'delcopve', 'idcartonaje', 'jamonarichuna', 'cloverfilevzla', 'traslados', 'horas', 'lapieldetuhogar', 'simpletvve', 'kores', 'venezuela', 'movistar', 'alimentosmaryve', 'ceproalarm', 'gpcconsulting', 'pagochinchin']",0.4404,0.0,0.868,0.132
