,tweet,tweet_translated,tweet_cleaned,tweet_tokenized
0,"Un abrazo para todos los periodistas en su día. Que sigan haciendo su trabajo pese a las limitaciones y riesgos es una muestra de compromiso, pasión y valor.","A hug for all journalists in their day.Keeping your work despite limitations and risks is a sample of commitment, passion and value.",un abrazo para todos los periodistas en su día que sigan haciendo su trabajo pese a las limitaciones y riesgos es una muestra de compromiso pasión y valor ,"['un', 'abrazo', 'para', 'todos', 'los', 'periodistas', 'en', 'su', 'día', 'que', 'sigan', 'haciendo', 'su', 'trabajo', 'pese', 'las', 'limitaciones', 'riesgos', 'es', 'una', 'muestra', 'de', 'compromiso', 'pasión', 'valor']"
1,"“Lo notable era la division y descalificaciones que se lanzaban, el resentimiento que supuraban. Estás conmigo o contra mí. Y tuvo ingredientes para su pesimismo. ¿Quién cedería? Los que más gritaban eran quienes pedían no ceder jamás” Tranquilo. Es Padura hablando de los cubanos","""The remarkable was the division and disqualifications that were launched, the resentment they supposed.You are with me or against me.And he had ingredients for the pessimism of her.Who would care?The ones who shouted the most were the ones who asked never to yield ""quiet.He is a paddle talking about the Cubans", lo notable era la division y descalificaciones que se lanzaban el resentimiento que supuraban estás conmigo o contra mí y tuvo ingredientes para su pesimismo quién cedería los que más gritaban eran quienes pedían no ceder jamás tranquilo es padura hablando de los cubanos,"['lo', 'notable', 'era', 'la', 'division', 'descalificaciones', 'que', 'se', 'lanzaban', 'el', 'resentimiento', 'que', 'supuraban', 'estás', 'conmigo', 'contra', 'mí', 'tuvo', 'ingredientes', 'para', 'su', 'pesimismo', '¿quién', 'cedería', 'los', 'que', 'más', 'gritaban', 'eran', 'quienes', 'pedían', 'no', 'ceder', 'jamás”', 'tranquilo', 'es', 'padura', 'hablando', 'de', 'los', 'cubanos']"
2,"Cristina Aguilera Ochoa (@cotuficcion), compite en el @Nespresso Talents en la categoría ""Film School Award"", y los ganadores se darán a conocer en el 74 ° Festival de Cannes en julio. Aquí está el enlace a su video:  https://t.co/164FRJCXJN Es sensacional. Muchísima suerte.","Cristina Aguilera Ochoa (@CotFicton), compete in the @nespresso talents in the category ""Film School Award"", and the winners will be announced at the 74th Cannes Festival in July.Here is the link to the video of it: https://t.co/164FRJCXJN is sensational.Many luck",cristina aguilera ochoa cotuficcion compite en el nespresso talents en la categoría film school award y los ganadores se darán a conocer en el ° festival de cannes en julio aquí está el enlace a su video es sensacional muchísima suerte ,"['cristina', 'aguilera', 'ochoa', 'cotuficcion', 'compite', 'en', 'el', 'nespresso', 'talents', 'en', 'la', 'categoría', 'film', 'school', 'award', 'los', 'ganadores', 'se', 'darán', 'conocer', 'en', 'el', 'festival', 'de', 'cannes', 'en', 'julio', 'aquí', 'está', 'el', 'enlace', 'su', 'video', 'es', 'sensacional', 'muchísima', 'suerte']"
3,Tendencias del Consumidor Venezolano @datanalisis “la dolarización transaccional de Vzla alcanza ya casi el 70% de las transacciones totales y es un proceso irreversible”. @luisvicenteleon,"Venezuelan consumer trends @Datanalisis ""The transactional dollarization of VZLA already reaches almost 70% of total transactions and is an irreversible process.""@luisvicenteleon.",tendencias del consumidor venezolano datanalisis la dolarización transaccional de vzla alcanza ya casi el de las transacciones totales y es un proceso irreversible luisvicenteleon,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'la', 'dolarización', 'transaccional', 'de', 'vzla', 'alcanza', 'ya', 'casi', 'el', 'de', 'las', 'transacciones', 'totales', 'es', 'un', 'proceso', 'irreversible”', 'luisvicenteleon']"
4,"Tendencias del Consumidor Vzlano @datanalisis “luego de una destrucción de tres cuartas partes del PIB desde 2013, las proyecciones 2021-2022 muestran una primera estabilización, aunque dejando una economía significativamente más pequeña que su tamaño histórico” Francisco Allen","CONSUMER TRENDS VZLANO @DATANALISIS ""After a three-quarters destruction of GDP since 2013, projections 2021-2022 show a first stabilization, although leaving a significantly smaller economy than its historical size"" Francisco Allen",tendencias del consumidor vzlano datanalisis luego de una destrucción de tres cuartas partes del pib desde las proyecciones muestran una primera estabilización aunque dejando una economía significativamente más pequeña que su tamaño histórico francisco allen,"['tendencias', 'del', 'consumidor', 'vzlano', 'datanalisis', 'luego', 'de', 'una', 'destrucción', 'de', 'tres', 'cuartas', 'partes', 'del', 'pib', 'desde', 'las', 'proyecciones', 'muestran', 'una', 'primera', 'estabilización', 'aunque', 'dejando', 'una', 'economía', 'significativamente', 'más', 'pequeña', 'que', 'su', 'tamaño', 'histórico”', 'francisco', 'allen']"
5,"Tendencias del Consumidor Venezolano: “La pérdida de poder de compra interna del dólar en Venezuela ha sido de 62,6% entre enero 2020 y abril 2021 debido al desfase entre devaluación e inflación” Francisco Allen","Venezuelan consumer trends: ""The loss of internal purchase power of the dollar in Venezuela has been 62.6% between January 2020 and April 2021 due to the gap between devaluation and inflation"" Francisco Allen",tendencias del consumidor venezolano la pérdida de poder de compra interna del dólar en venezuela ha sido de entre enero y abril debido al desfase entre devaluación e inflación francisco allen,"['tendencias', 'del', 'consumidor', 'venezolano', 'la', 'pérdida', 'de', 'poder', 'de', 'compra', 'interna', 'del', 'dólar', 'en', 'venezuela', 'ha', 'sido', 'de', 'entre', 'enero', 'abril', 'debido', 'al', 'desfase', 'entre', 'devaluación', 'inflación”', 'francisco', 'allen']"
6,"Tendencias del Consumidor Venezolano @datanalisis “Si bien la pandemia ha estimulado el crecimiento regional de la compra por Internet, en el caso vzlano su penetracion es significativamente inferior (14%) que el promedio regional (45%)”. @CarlosJimenez","Venezuelan consumer trends @datanalisis ""While the pandemic has stimulated the regional growth of the purchase over the Internet, in the Vzlano case its penetration is significantly lower (14%) than the regional average (45%)"".@Carlosjimenez.",tendencias del consumidor venezolano datanalisis si bien la pandemia ha estimulado el crecimiento regional de la compra por internet en el caso vzlano su penetracion es significativamente inferior que el promedio regional carlosjimenez,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'si', 'bien', 'la', 'pandemia', 'ha', 'estimulado', 'el', 'crecimiento', 'regional', 'de', 'la', 'compra', 'por', 'internet', 'en', 'el', 'caso', 'vzlano', 'su', 'penetracion', 'es', 'significativamente', 'inferior', 'que', 'el', 'promedio', 'regional', 'carlosjimenez']"
7,"Tendencias del Consumidor Venezolano @datanalisis : “los consumidores locales presentan la menor fidelidad de marcas de toda la región latinoamericana, llegando apenas del 7% frente a un promedio latino de 26%” @CarlosJimenez","Venezuelan consumer trends @Datanalisis: ""Local consumers have the slightest faithfulness of brands from the entire Latin American region, arriving just 7% in front of a latin average of 26%"" @carlosjimenez",tendencias del consumidor venezolano datanalisis los consumidores locales presentan la menor fidelidad de marcas de toda la región latinoamericana llegando apenas del frente a un promedio latino de carlosjimenez,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'los', 'consumidores', 'locales', 'presentan', 'la', 'menor', 'fidelidad', 'de', 'marcas', 'de', 'toda', 'la', 'región', 'latinoamericana', 'llegando', 'apenas', 'del', 'frente', 'un', 'promedio', 'latino', 'de', 'carlosjimenez']"
8,"Tendencias del Consumidor Venezolano @datanalisis : “54% de los consumidores locales manifiestan comparar precios antes de comprar, una  penetración de casi el doble que sus pares latinoamericanos, lo que indica su mayor sensibilidad”. @CarlosJimenez","Venezuelan consumer trends @datanalisis: ""54% of local consumers manifest compare prices before buying, an penetration of almost double that their Latin American pairs, which indicates its greatest sensitivity.""@Carlosjimenez.",tendencias del consumidor venezolano datanalisis de los consumidores locales manifiestan comparar precios antes de comprar una penetración de casi el doble que sus pares latinoamericanos lo que indica su mayor sensibilidad carlosjimenez,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'de', 'los', 'consumidores', 'locales', 'manifiestan', 'comparar', 'precios', 'antes', 'de', 'comprar', 'una', 'penetración', 'de', 'casi', 'el', 'doble', 'que', 'sus', 'pares', 'latinoamericanos', 'lo', 'que', 'indica', 'su', 'mayor', 'sensibilidad”', 'carlosjimenez']"
9,Gracias a nuestros patrocinantes:  @cocuyleal  @banplusonline @jvhcorp  @ingritechven @delcopve  @idcartonaje  @jamonarichuna  @cloverfilevzla @traslados24horas @lapieldetuhogar  @simpletvve @kores_venezuela @movistar @AlimentosMaryVe   @CeproAlarm  @gpcconsulting @PagoChinchin,Thanks to our sponsors: @cocuyleal @banplusonline @jvhcorp @Ingritechven @Delcopve @idcartonje @jamonarichuna @cloverfilevzla @ transfers24horas @lapielduhogar @simpletvve @kores_venezuela @movistar @alimentsmaryve @ceprolarm @gpcconsulting @PagoConal,gracias a nuestros patrocinantes cocuyleal banplusonline jvhcorp ingritechven delcopve idcartonaje jamonarichuna cloverfilevzla traslados horas lapieldetuhogar simpletvve kores venezuela movistar alimentosmaryve ceproalarm gpcconsulting pagochinchin,"['gracias', 'nuestros', 'patrocinantes', 'cocuyleal', 'banplusonline', 'jvhcorp', 'ingritechven', 'delcopve', 'idcartonaje', 'jamonarichuna', 'cloverfilevzla', 'traslados', 'horas', 'lapieldetuhogar', 'simpletvve', 'kores', 'venezuela', 'movistar', 'alimentosmaryve', 'ceproalarm', 'gpcconsulting', 'pagochinchin']"
10,"Listos para comenzar nuestro evento de Tendencias del Consumidor Vzlano a casa completamente llena y acompañados por un grupo estelar de empresas que muestran día a día su compromiso para atender al consumidor, más allá de la crisis. Gracias a todos. Nos vemos en un momento.","Ready to start our Vzlano consumer trend event home completely full and accompanied by a star group of companies that show their commitment day by day to attend to the consumer, beyond the crisis.Thank you all.See you in a moment.",listos para comenzar nuestro evento de tendencias del consumidor vzlano a casa completamente llena y acompañados por un grupo estelar de empresas que muestran día a día su compromiso para atender al consumidor más allá de la crisis gracias a todos nos vemos en un momento ,"['listos', 'para', 'comenzar', 'nuestro', 'evento', 'de', 'tendencias', 'del', 'consumidor', 'vzlano', 'casa', 'completamente', 'llena', 'acompañados', 'por', 'un', 'grupo', 'estelar', 'de', 'empresas', 'que', 'muestran', 'día', 'día', 'su', 'compromiso', 'para', 'atender', 'al', 'consumidor', 'más', 'allá', 'de', 'la', 'crisis', 'gracias', 'todos', 'nos', 'vemos', 'en', 'un', 'momento']"
11,"Lamento el fallecimiento de la Sra Adnaloy Zamora, madre de nuestros grandes amigos Gabriel y Miguel Osio Zamora. Envío un abrazo y toda mi solidaridad para ellos, sus hermanas, familiares y amigos. Que los recuerdos felices la mantengan siempre viva en sus mentes y corazones.","I regret the death of Mrs. Adnaloy Zamora, mother of our great friends Gabriel and Miguel Osio Zamora.I send a hug and all my solidarity for them, their sisters, family and friends.That the happy memories of her always keep her alive in her minds and hearts.",lamento el fallecimiento de la sra adnaloy zamora madre de nuestros grandes amigos gabriel y miguel osio zamora envío un abrazo y toda mi solidaridad para ellos sus hermanas familiares y amigos que los recuerdos felices la mantengan siempre viva en sus mentes y corazones ,"['lamento', 'el', 'fallecimiento', 'de', 'la', 'sra', 'adnaloy', 'zamora', 'madre', 'de', 'nuestros', 'grandes', 'amigos', 'gabriel', 'miguel', 'osio', 'zamora', 'envío', 'un', 'abrazo', 'toda', 'mi', 'solidaridad', 'para', 'ellos', 'sus', 'hermanas', 'familiares', 'amigos', 'que', 'los', 'recuerdos', 'felices', 'la', 'mantengan', 'siempre', 'viva', 'en', 'sus', 'mentes', 'corazones']"
12,Mañana conversando con ⁦@laureanomar⁩ en su Instagram LIVE camino a su monólogo: “El Miedo” que realizará en streaming el próximo 27 de Junio a las 5 pm. Nos vemos.  https://t.co/getz9cjMCx,"Tomorrow conversing with @laureanomar on his Instagram Live on his way to his monologue: ""The fear"" that will perform in streaming next June 27 at 5 pm.See you.https://t.co/getz9cjcx.",mañana conversando con ⁦ laureanomar⁩ en su instagram live camino a su monólogo el miedo que realizará en streaming el próximo de junio a las pm nos vemos ,"['mañana', 'conversando', 'con', 'laureanomar\u2069', 'en', 'su', 'instagram', 'live', 'camino', 'su', 'monólogo', 'el', 'miedo”', 'que', 'realizará', 'en', 'streaming', 'el', 'próximo', 'de', 'junio', 'las', 'pm', 'nos', 'vemos']"
13,"En la recta final para nuestro evento Tendencias del Consumidor Venezolano, que se realizará el jueves a las 10 am. Gracias a patrocinantes y participantes, quienes superaron con creces todas nuestras expectativas. Es un honor contar siempre con su confianza e interés. Nos vemos.  https://t.co/E5HP3bjnbR","In the final stretch for our event Venezuelan consumer trends, which will take place on Thursday at 10 am.Thanks to sponsors and participants, who far exceeded all our expectations.It is an honor to always count on your trust and interest.See you.https://t.co/e5hp3bjnbr.",en la recta final para nuestro evento tendencias del consumidor venezolano que se realizará el jueves a las am gracias a patrocinantes y participantes quienes superaron con creces todas nuestras expectativas es un honor contar siempre con su confianza e interés nos vemos ,"['en', 'la', 'recta', 'final', 'para', 'nuestro', 'evento', 'tendencias', 'del', 'consumidor', 'venezolano', 'que', 'se', 'realizará', 'el', 'jueves', 'las', 'am', 'gracias', 'patrocinantes', 'participantes', 'quienes', 'superaron', 'con', 'creces', 'todas', 'nuestras', 'expectativas', 'es', 'un', 'honor', 'contar', 'siempre', 'con', 'su', 'confianza', 'interés', 'nos', 'vemos']"
14,Fue un placer compartir con ustedes… como siempre.,It was a pleasure to share with you ... as always.,fue un placer compartir con ustedes… como siempre ,"['fue', 'un', 'placer', 'compartir', 'con', 'ustedes…', 'como', 'siempre']"
15,"@Francisco19643 Puedes pedir lo que quieras y merezcas. La pregunta real es si te lo van a dar o lo puedes conseguir. Y la respuesta es obviamente no. Con ese marco, se analiza la realidad. No con base en los deseos o derechos, incluso merecidos.","@ Francisco19643 You can ask for what you want and deserve.The real question is if you are going to give it to you or can you get it.And the answer is obviously not.With that frame, reality is analyzed.Not based on the desires or rights, even deserved.", francisco puedes pedir lo que quieras y merezcas la pregunta real es si te lo van a dar o lo puedes conseguir y la respuesta es obviamente no con ese marco se analiza la realidad no con base en los deseos o derechos incluso merecidos ,"['francisco', 'puedes', 'pedir', 'lo', 'que', 'quieras', 'merezcas', 'la', 'pregunta', 'real', 'es', 'si', 'te', 'lo', 'van', 'dar', 'lo', 'puedes', 'conseguir', 'la', 'respuesta', 'es', 'obviamente', 'no', 'con', 'ese', 'marco', 'se', 'analiza', 'la', 'realidad', 'no', 'con', 'base', 'en', 'los', 'deseos', 'derechos', 'incluso', 'merecidos']"
16,"@luisdiazt69 No existe posibilidad de que se liberen sin conseguir el Quid Pro Quo (algo a cambio) y eso sólo se logra negociando. Pero las sanciones que generan costos humanitarios, sin afectar al gobierno, han sido un error desde el principio y deben ser retiradas cuanto antes.","@ luisdiazt69 There is no chance that they will be released without getting the quid pro quo (something in return) and that is only achieved by negotiating.But the sanctions that generate humanitarian costs, without affecting the government, have been a mistake from the beginning and should be withdrawn as soon as possible.", luisdiazt no existe posibilidad de que se liberen sin conseguir el quid pro quo algo a cambio y eso sólo se logra negociando pero las sanciones que generan costos humanitarios sin afectar al gobierno han sido un error desde el principio y deben ser retiradas cuanto antes ,"['luisdiazt', 'no', 'existe', 'posibilidad', 'de', 'que', 'se', 'liberen', 'sin', 'conseguir', 'el', 'quid', 'pro', 'quo', 'algo', 'cambio', 'eso', 'sólo', 'se', 'logra', 'negociando', 'pero', 'las', 'sanciones', 'que', 'generan', 'costos', 'humanitarios', 'sin', 'afectar', 'al', 'gobierno', 'han', 'sido', 'un', 'error', 'desde', 'el', 'principio', 'deben', 'ser', 'retiradas', 'cuanto', 'antes']"
17,"@iElViento ¿Y quien dijo que votar, sin una estrategia, ha funcionado?  Si así fuera no estaríamos aquí. Lo que significa decir que votar o no votar no es el dilema, es que ninguno sirve sin estrategia, pues a tu argumento deberías agregar que abstenerse, sin ella, ha sido incluso peor.","@elviento And who said to vote, without a strategy, has worked?If so, we would not be here.What it means to say that voting or not voting is not the dilemma, is that none serves without strategy, because to your argument you should add that refrain, without it, has even worse.", ielviento y quien dijo que votar sin una estrategia ha funcionado si así fuera no estaríamos aquí lo que significa decir que votar o no votar no es el dilema es que ninguno sirve sin estrategia pues a tu argumento deberías agregar que abstenerse sin ella ha sido incluso peor ,"['ielviento', '¿y', 'quien', 'dijo', 'que', 'votar', 'sin', 'una', 'estrategia', 'ha', 'funcionado', 'si', 'así', 'fuera', 'no', 'estaríamos', 'aquí', 'lo', 'que', 'significa', 'decir', 'que', 'votar', 'no', 'votar', 'no', 'es', 'el', 'dilema', 'es', 'que', 'ninguno', 'sirve', 'sin', 'estrategia', 'pues', 'tu', 'argumento', 'deberías', 'agregar', 'que', 'abstenerse', 'sin', 'ella', 'ha', 'sido', 'incluso', 'peor']"
