tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['although', 'think']",Negativo,0.23831002612065705,0.7616899738793433,0.07910383374967725,0.9208961662503228,1.0,0.0,0.3156067087073935,0.6843932912926065
"['premise', 'fidel', 'castro', 'would', 'born', '🇨🇺']",Negativo,0.3782713998615265,0.6217286001384731,0.6347053073547372,0.3652946926452628,1.0,0.0,0.43600315345670937,0.5639968465432906
"['gusrojasmatute', 'eduardomassieu', 'undoubtedly', 'agree', 'letter', 'legality', 'weak', 'venezuela', 'hey', 'want', 'think', 'floor', 'gives', 'nothing', 'chavismo', 'seeking', 'provide', 'legality', 'legitimacy', 'many', 'acts']",Positivo,0.30597970230506244,0.6940202976949379,0.32924472073472194,0.6707552792652781,0.0,1.0,0.37355563652776336,0.6264443634722366
"['gusrojasmatute', 'eduardomassieu', 'perception', 'depends', 'talk', 'mean', 'seen', 'conflicting', 'opinions', 'unions', 'parties', 'civil', 'society', 'personally', 'apply', 'acta', 'non', 'verba', 'let', 'facts', 'prove', 'things']",Negativo,0.4025943805297368,0.5974056194702642,0.7613001439302309,0.23869985606976885,1.0,0.0,0.460634474757905,0.539365525242095
"['eduardomassieu', 'gusrojasmatute', 'issue', 'fair', 'prices', 'law', 'undergoing', 'modifications', 'since', 'memory', 'serves', 'correctly', 'name', 'alleged', 'illegal', 'acts', 'sanctioned', 'things', 'eliminated', 'others', 'modified', 'famous', 'indepabis']",Negativo,0.3813327803635931,0.6186672196364068,0.5398210343475917,0.4601789656524083,0.0,1.0,0.402724264642882,0.597275735357118
"['carlosl', 'serbinpont', 'gtaveledo', 'could', 'speak', 'operational', 'pauperization', 'military', 'due', 'lack', 'resources', 'adaptation', 'resources', 'new', 'venezuelan', 'reality', 'mix']",Negativo,0.4266068668336328,0.5733931331663689,0.6617645680284462,0.3382354319715539,1.0,0.0,0.44981864437461583,0.5501813556253842
"['carlosl', 'serbinpont', 'gtaveledo', 'kind', 'special', 'weaponry', 'excuse', 'ignorance', 'subject']",Positivo,0.3182992498526262,0.6817007501473726,0.2911190811525505,0.7088809188474495,1.0,0.0,0.3656065966707486,0.6343934033292514
"['jesus', 'pinero', 'friend', 'interested', 'subject', 'data', 'could', 'talk', 'wonder', 'improvement', 'respect', 'food', 'consumption', 'situation', 'worsened', 'greetings']",Positivo,0.15483170526644036,0.8451682947335581,0.043884970673447966,0.956115029326552,0.0,1.0,0.2542708437224873,0.7457291562775127
"['serbinpont', 'gtaveledo', 'would', 'come', 'next', 'could', 'elaborate', 'thanks', 'advance']",Positivo,0.2989677793622037,0.701032220637798,0.4205498492342848,0.5794501507657153,0.0,1.0,0.38504400124405946,0.6149559987559405
"['precisely', 'controversy', 'concept', 'speculation', 'wrote', 'months', 'ago', 'academic', 'article', 'use', 'venezuelan', 'law', 'impact', 'economy', 'hope', 'useful', 'link']",Positivo,0.17489787985103755,0.8251021201489619,0.1625156687737484,0.8374843312262514,1.0,0.0,0.3268032534797277,0.6731967465202723
