tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized
"No mucho atrás por aquí abundaban tweets de queja por hamburguesas que llegaban a costar entre 10-15$.  Ahora, por el contrario, veo una amplia oferta de hamburguesas incluso por 1$ en Venezuela. Hubo un cambio en el mercado que vale la pena destacar.","['atrás', 'aquí', 'abundaban', 'tweets', 'queja', 'hamburguesas', 'llegaban', 'costar', 'ahora', 'contrario', 'veo', 'amplia', 'oferta', 'hamburguesas', 'incluso', 'venezuela', 'cambio', 'mercado', 'vale', 'pena', 'destacar']","Not long ago around here there were plenty of burger complaint tweets that could cost between $ 10-15. Now, on the contrary, I see a wide range of hamburgers even for $ 1 in Venezuela. There was a change in the market that is worth noting.","['long', 'ago', 'around', 'plenty', 'burger', 'complaint', 'tweets', 'could', 'cost', 'contrary', 'see', 'wide', 'range', 'hamburgers', 'even', 'venezuela', 'change', 'market', 'worth', 'noting']"
"Termino de leer ""El último Marqués"" de Inés Quintero. Me llevo la historia de un aristócrata que en su momento formó parte de la familia más rica de Venezuela. Luchó por la independencia del país, no sin controversias, errores y laberintos propios del mantuanaje. Recomendado.  https://t.co/RmPiM6iRdQ","['termino', 'leer', 'último', 'marqués', 'inés', 'quintero', 'llevo', 'historia', 'aristócrata', 'momento', 'formó', 'parte', 'familia', 'rica', 'venezuela', 'luchó', 'independencia', 'país', 'controversias', 'errores', 'laberintos', 'propios', 'mantuanaje', 'recomendado']","I finish reading ""The Last Marquis"" by Inés Quintero. I take with me the story of an aristocrat who at the time was part of the richest family in Venezuela. He fought for the independence of the country, not without controversies, errors and labyrinths typical of the Mantuanaje. Recommended. https://t.co/RmPiM6iRdQ","['finish', 'reading', 'last', 'marquis', 'inés', 'quintero', 'take', 'story', 'aristocrat', 'time', 'part', 'richest', 'family', 'venezuela', 'fought', 'independence', 'country', 'without', 'controversies', 'errors', 'labyrinths', 'typical', 'mantuanaje', 'recommended']"
Hoy me atendió un mesonero y fue tal la buena calidad de su servicio que le pedí su número para contratarlo en un evento privado. Moraleja: esfuérzate en lo que hagas. Da lo mejor de ti. Nunca sabes cuándo y cómo surgen las oportunidades para crecer.,"['hoy', 'atendió', 'mesonero', 'tal', 'buena', 'calidad', 'servicio', 'pedí', 'número', 'contratarlo', 'evento', 'privado', 'moraleja', 'esfuérzate', 'hagas', 'da', 'mejor', 'nunca', 'sabes', 'cuándo', 'cómo', 'surgen', 'oportunidades', 'crecer']",Today I was attended by an innkeeper and the quality of his service was such that I asked him for his number to hire him at a private event. Moral: make an effort in what you do. Give the best of you. You never know when and how opportunities to grow arise.,"['today', 'attended', 'innkeeper', 'quality', 'service', 'asked', 'number', 'hire', 'private', 'event', 'moral', 'make', 'effort', 'give', 'best', 'never', 'know', 'opportunities', 'grow', 'arise']"
"""La confianza es la forma más elevada de motivación humana"". Stephen Covey","['confianza', 'forma', 'elevada', 'motivación', 'humana', 'stephen', 'covey']","""Trust is the highest form of human motivation."" Stephen Covey","['trust', 'highest', 'form', 'human', 'motivation', 'stephen', 'covey']"
Una buena cultura corporativa puede hacer brillar a un talento. Una mala cultura corporativa puede destruirlo.,"['buena', 'cultura', 'corporativa', 'puede', 'hacer', 'brillar', 'talento', 'mala', 'cultura', 'corporativa', 'puede', 'destruirlo']",A good corporate culture can make a talent shine. A bad corporate culture can destroy you.,"['good', 'corporate', 'culture', 'make', 'talent', 'shine', 'bad', 'corporate', 'culture', 'destroy']"
"Me complace anunciar la incorporación de @Capote_Marcos al equipo de Omnis Business Partners. Cada vez sumamos más talentos a nuestra organización, que creen en el país y tienen el compromiso de mejorar el ámbito financiero y empresarial venezolano. Bienvenido al equipo, Marcos.  https://t.co/u50Jg7H1Wj","['complace', 'anunciar', 'incorporación', 'capote', 'marcos', 'equipo', 'omnis', 'business', 'partners', 'cada', 'vez', 'sumamos', 'talentos', 'organización', 'creen', 'país', 'compromiso', 'mejorar', 'ámbito', 'financiero', 'empresarial', 'venezolano', 'bienvenido', 'equipo', 'marcos']","I am pleased to announce the addition of @Capote_Marcos to the Omnis Business Partners team. We are adding more and more talents to our organization, who believe in the country and are committed to improving the Venezuelan financial and business environment. Welcome to the team, Marcos. https://t.co/u50Jg7H1Wj","['pleased', 'announce', 'addition', 'capote', 'marcos', 'omnis', 'business', 'partners', 'team', 'adding', 'talents', 'organization', 'believe', 'country', 'committed', 'improving', 'venezuelan', 'financial', 'business', 'environment', 'welcome', 'team', 'marcos']"
"@carlossalinas49 Ninguna molestia. Vivimos en un entorno muy difícil, pero si está en nuestra mano ayudar con la mayor disposición lo haré. Por favor contácteme a esta dirección de correo aguevara @somosomnis.com","['carlossalinas', 'ninguna', 'molestia', 'vivimos', 'entorno', 'difícil', 'si', 'mano', 'ayudar', 'mayor', 'disposición', 'haré', 'favor', 'contácteme', 'dirección', 'correo', 'aguevara', 'somosomnis', 'com']","@ carlossalinas49 No hassle. We live in a very difficult environment, but if it is in our power to help with the greatest willingness I will. Please contact me at this email address aguevara @ somosomnis.com","['carlossalinas', 'hassle', 'live', 'difficult', 'environment', 'power', 'help', 'greatest', 'willingness', 'please', 'contact', 'email', 'address', 'aguevara', 'somosomnis', 'com']"
"@HenkelGarcia @rafaelarraiz No lo dijo en el contexto exclusivamente venezolano, aunque la charla sí tenía como público target a Venezuela.","['henkelgarcia', 'rafaelarraiz', 'dijo', 'contexto', 'exclusivamente', 'venezolano', 'aunque', 'charla', 'público', 'target', 'venezuela']","@HenkelGarcia @rafaelarraiz He did not say it in the exclusively Venezuelan context, although the talk did target Venezuela.","['henkelgarcia', 'rafaelarraiz', 'say', 'exclusively', 'venezuelan', 'context', 'although', 'talk', 'target', 'venezuela']"
"Hace un par de días escuché una conferencia privada de un conocido empresario venezolano quien dijo que hay 2 grandes limitantes para nuestro éxito: el ego y la envidia. Todos nacemos con ellas, son propias del hombre. Pero debemos controlarlas para avanzar.","['hace', 'par', 'días', 'escuché', 'conferencia', 'privada', 'conocido', 'empresario', 'venezolano', 'dijo', 'grandes', 'limitantes', 'éxito', 'ego', 'envidia', 'nacemos', 'propias', 'hombre', 'debemos', 'controlarlas', 'avanzar']","A couple of days ago I heard a private conference from a well-known Venezuelan businessman who said that there are 2 great limitations to our success: ego and envy. We are all born with them, they are typical of man. But we must control them to move forward.","['couple', 'days', 'ago', 'heard', 'private', 'conference', 'well', 'known', 'venezuelan', 'businessman', 'said', 'great', 'limitations', 'success', 'ego', 'envy', 'born', 'typical', 'man', 'must', 'control', 'move', 'forward']"
@arondon75 Muy de acuerdo con el comentario Andrea. Saludos!,"['arondon', 'acuerdo', 'comentario', 'andrea', 'saludos']",@ arondon75 Strongly agree with Andrea's comment. Greetings!,"['arondon', 'strongly', 'agree', 'andrea', 'comment', 'greetings']"
¿Hasta qué punto la privacidad puede afectar el valor de una acción en la bolsa? Analizamos el reciente caso de Didi Global en China 🇨🇳 y su impacto en el mercado de EEUU🇺🇸. Todo ello en nuestra videocolumna de esta semana para @eldiario.,"['¿hasta', 'punto', 'privacidad', 'puede', 'afectar', 'valor', 'acción', 'bolsa', 'analizamos', 'reciente', 'caso', 'didi', 'global', 'china', '🇨🇳', 'impacto', 'mercado', 'eeuu🇺🇸', 'ello', 'videocolumna', 'semana', 'eldiario']",To what extent can privacy affect the value of a stock on the stock market? We analyze the recent case of Didi Global in China 🇨🇳 and its impact on the US market🇺🇸. All this in our video column this week for @eldiario.,"['extent', 'privacy', 'affect', 'value', 'stock', 'stock', 'market', 'analyze', 'recent', 'case', 'didi', 'global', 'china', '🇨🇳', 'impact', 'us', 'market🇺🇸', 'video', 'column', 'week', 'eldiario']"
Gobierno de #Francia🇫🇷 multó a #Google con 500 millones de euros por no llegar a un acuerdo con los medios de comunicación franceses por el pago de contenido de noticias para Google News. Es la multa más elevada en la historia de las autoridades francesas en tema competencia.,"['gobierno', 'francia🇫🇷', 'multó', 'google', 'millones', 'euros', 'llegar', 'acuerdo', 'medios', 'comunicación', 'franceses', 'pago', 'contenido', 'noticias', 'google', 'news', 'multa', 'elevada', 'historia', 'autoridades', 'francesas', 'tema', 'competencia']",Government of #France🇫🇷 fined #Google with 500 million euros for not reaching an agreement with the French media for the payment of news content for Google News. It is the highest fine in the history of the French authorities on competition matters.,"['government', 'france🇫🇷', 'fined', 'google', 'million', 'euros', 'reaching', 'agreement', 'french', 'media', 'payment', 'news', 'content', 'google', 'news', 'highest', 'fine', 'history', 'french', 'authorities', 'competition', 'matters']"
@cguilliod Interesante. Me gusta Grupo Zuliano. Compañía manejada por gente seria. Aunque confieso que a veces la liquidez de su acción en bolsa no es de mis preferidas. Sobre todo para montos pequeños. Ojalá la emisión de nuevas acciones ayude a mejorar eso. Saludos.,"['cguilliod', 'interesante', 'gusta', 'grupo', 'zuliano', 'compañía', 'manejada', 'gente', 'seria', 'aunque', 'confieso', 'veces', 'liquidez', 'acción', 'bolsa', 'preferidas', 'montos', 'pequeños', 'ojalá', 'emisión', 'nuevas', 'acciones', 'ayude', 'mejorar', 'saludos']",@cguilliod Interesting. I like Grupo Zuliano. Company run by serious people. Although I confess that sometimes the liquidity of its stock is not one of my favorites. Especially for small amounts. Hopefully the issuance of new shares helps to improve that. Greetings.,"['cguilliod', 'interesting', 'like', 'grupo', 'zuliano', 'company', 'run', 'serious', 'people', 'although', 'confess', 'sometimes', 'liquidity', 'stock', 'one', 'favorites', 'especially', 'small', 'amounts', 'hopefully', 'issuance', 'new', 'shares', 'helps', 'improve', 'greetings']"
"Si les interesa la teoría política y la historia, sugiero que vean la serie documental de #Netflix ""How to become a tyrant"". Al menos a mí me aportó datos que desconocía de las biografías de sujetos como Idi Amin o Saddam Hussein. Reafirma la importancia de querer libertad.","['si', 'interesa', 'teoría', 'política', 'historia', 'sugiero', 'vean', 'serie', 'documental', 'netflix', 'how', 'to', 'become', 'tyrant', 'menos', 'aportó', 'datos', 'desconocía', 'biografías', 'sujetos', 'idi', 'amin', 'saddam', 'hussein', 'reafirma', 'importancia', 'querer', 'libertad']","If you are interested in political theory and history, I suggest you watch the #Netflix documentary series ""How to become a tyrant."" At least he gave me data that I was unaware of from the biographies of subjects like Idi Amin or Saddam Hussein. Reaffirm the importance of wanting freedom.","['interested', 'political', 'theory', 'history', 'suggest', 'watch', 'netflix', 'documentary', 'series', 'become', 'tyrant', 'least', 'gave', 'data', 'unaware', 'biographies', 'subjects', 'like', 'idi', 'amin', 'saddam', 'hussein', 'reaffirm', 'importance', 'wanting', 'freedom']"
@jesus_pinero @editorial_alfa Qué bueno vale. Felicidades.,"['jesus', 'pinero', 'editorial', 'alfa', 'bueno', 'vale', 'felicidades']",@jesus_pinero @editorial_alfa How good it is. Congratulations.,"['jesus', 'pinero', 'editorial', 'alfa', 'good', 'congratulations']"
@rafaelarraiz Gracias por siempre ayudarme a difundir las cosas buenas que quedan en el país. Muy agradecido.,"['rafaelarraiz', 'gracias', 'siempre', 'ayudarme', 'difundir', 'cosas', 'buenas', 'quedan', 'país', 'agradecido']",@rafaelarraiz Thank you for always helping me spread the good things that remain in the country. Very thankful.,"['rafaelarraiz', 'thank', 'always', 'helping', 'spread', 'good', 'things', 'remain', 'country', 'thankful']"
@_victormrl Yo sé cuáles son esos. Lo máximo.,"['victormrl', 'sé', 'cuáles', 'máximo']",@_victormrl I know what those are. The most.,"['victormrl', 'know']"
