,word,count
0,año,11
1,sido,2
2,tan,20
3,extraño,1
4,veces,3
5,pasa,10
6,desesperas,1
7,cosas,7
8,nunca,7
9,imaginastes,1
10,pudieran,1
11,pasar,6
12,así,26
13,hacen,4
14,semanas,1
15,constituyente,1
16,sirve,2
17,llenarse,1
18,boca,3
19,país,3
20,democracia,1
21,libertad,1
22,soloconverte,15
23,siiii,1
24,tantos,1
25,vendrán,1
26,lt,55
27,fpetrocelli,5
28,hermano,2
29,problema,5
30,inferiores,1
31,si,44
32,fallas,2
33,salto,1
34,juvenil,1
35,profesional,1
36,falta,5
37,nadie,5
38,mas,15
39,salado,2
40,grande,17
41,wilker,1
42,fariñez,1
43,finalistas,1
44,nojonaaaaaa,1
45,muchachos,2
46,punta,1
47,bolas,3
48,vamos,19
49,arriba,1
50,carajoooo,2
51,ganamos,3
52,carajooo,2
53,mientras,2
54,pasan,4
55,minutos,4
56,ansiedad,2
57,crece,1
58,única,2
59,hablar,3
60,horas,5
61,teléfono,7
62,sinceridad,2
63,máxima,1
64,expresión,1
65,dormir,6
66,novia,1
67,puedo,2
68,seguir,4
69,sueño,5
70,peor,3
71,cansa,1
72,pierde,2
73,aspectos,1
74,vida,3
75,equivocamos,1
76,importante,2
77,aprender,1
78,cometer,1
79,dos,3
80,mismo,4
81,error,2
82,gente,24
83,hace,5
84,señal,4
85,casa,4
86,corta,1
87,gracias,6
88,dios,7
89,alejarme,1
90,vale,9
91,pena,1
92,real,6
93,muerte,2
94,ahora,6
95,clases,3
96,casi,1
97,online,1
98,menos,5
99,puede,6
100,cumplir,2
101,marchas,1
102,estudios,1
103,queda,6
104,mucha,3
105,visión,1
106,conformista,1
107,aun,7
108,corazón,1
109,ganas,3
110,luchar,1
111,salir,1
112,adelante,1
113,alguien,3
114,sabe,2
115,cuales,1
116,estaciones,1
117,cerradas,1
118,mañana,12
119,temprano,4
120,das,2
121,cuenta,4
122,importas,1
123,pega,3
124,curda,3
125,mueren,1
126,siguen,3
127,esperando,4
128,jajaja,10
129,loviu,1
130,baby,1
131,jajajaja,10
132,ganaste,1
133,competir,1
134,sabes,2
135,partido,11
136,ter,1
137,stegen,1
138,busquet,1
139,messi,8
140,impresionante,1
141,tiempo,13
142,grandes,4
143,animales,1
144,carajo,4
145,amoooo,1
146,malditoooo,1
147,cada,4
148,madrid,5
149,vs,2
150,barcelona,4
151,verdad,2
152,clásicos,1
153,partidazo,3
154,viene,3
155,complicado,2
156,adaptarse,1
157,empezar,1
158,nuevo,5
159,gusta,6
160,interesa,1
161,mejores,5
162,ayer,2
163,psicópata,1
164,naguebona,1
165,jajajajajajaja,3
166,vas,3
167,lluvia,1
168,canciones,2
169,antiguas,1
170,aparentemente,1
171,calmo,1
172,sectores,1
173,teques,5
174,maldita,6
175,zozobra,1
176,hora,8
177,prendida,1
178,lados,2
179,fuerte,3
180,represion,1
181,colectivos,3
182,saqueos,2
183,abril,2
184,licorerias,1
185,demás,2
186,idiosmio,1
187,varias,1
188,partes,1
189,vaina,3
190,arrecha,1
191,calle,3
192,saben,3
193,esquinas,1
194,lostequesenlacalle,1
195,malditos,2
196,coño,25
197,fin,4
198,prendió,1
199,chimbo,1
200,frío,1
201,bueno,6
202,gustado,2
203,vídeo,2
204,youtube,2
205,vpi,1
206,tv,1
207,vivo,3
208,venezolanos,4
209,información,2
210,va,16
211,accesible,1
212,avila,1
213,jajajajaj,1
214,gusto,1
215,naaaa,1
216,dijo,1
217,miedo,2
