tweet,tweet_tokenized
Este año ha sido tan extraño.,"['año', 'sido', 'tan', 'extraño']"
A veces pasa que te desesperas tanto por cosas que nunca imaginastes que pudieran pasar...,"['veces', 'pasa', 'desesperas', 'cosas', 'nunca', 'imaginastes', 'pudieran', 'pasar']"
"Es así.... Por algo lo hacen a 2 semanas de la constituyente, sirve para llenarse la boca que estamos en un país con democracia y libertad  https://t.co/wQTLLL1lEh","['así', 'hacen', 'semanas', 'constituyente', 'sirve', 'llenarse', 'boca', 'país', 'democracia', 'libertad']"
@SoloConVerte Siiii de tantos que vendrán &lt;3,"['soloconverte', 'siiii', 'tantos', 'vendrán', 'lt']"
"@fpetrocelli hermano el problema no es tanto las inferiores si hay sus fallas, el problema es el salto entre juvenil y profesional le falta.","['fpetrocelli', 'hermano', 'problema', 'inferiores', 'si', 'fallas', 'problema', 'salto', 'juvenil', 'profesional', 'falta']"
No hay nada ni nadie mas salado que yo.,"['nadie', 'mas', 'salado']"
QUE GRANDE WILKER FARIÑEZ...,"['grande', 'wilker', 'fariñez']"
SOMOS FINALISTAS NOJONAAAAAA,"['finalistas', 'nojonaaaaaa']"
QUE GRANDE MUCHACHOS A PUNTA DE BOLAS ...,"['grande', 'muchachos', 'punta', 'bolas']"
VAMOS PARA ARRIBA CARAJOOOO,"['vamos', 'arriba', 'carajoooo']"
VAMOS QUE LO GANAMOS CARAJOOO,"['vamos', 'ganamos', 'carajooo']"
Vamos carajooo!,"['vamos', 'carajooo']"
Mientras pasan los minutos la ansiedad crece.,"['mientras', 'pasan', 'minutos', 'ansiedad', 'crece']"
Ella es única.,['única']
Hablar más de 4 horas por teléfono a estas horas es sinceridad en su máxima expresión.,"['hablar', 'horas', 'teléfono', 'horas', 'sinceridad', 'máxima', 'expresión']"
Hablar horas y horas antes de dormir con tu novia ....,"['hablar', 'horas', 'horas', 'dormir', 'novia']"
No se como puedo dormir 16 horas y seguir con sueño.,"['puedo', 'dormir', 'horas', 'seguir', 'sueño']"
Así o peor?...,"['así', 'peor']"
El que se cansa pierde en todos los aspectos de la vida.,"['cansa', 'pierde', 'aspectos', 'vida']"
"Todos nos equivocamos, lo importante es aprender y no cometer dos veces el mismo error.","['equivocamos', 'importante', 'aprender', 'cometer', 'dos', 'veces', 'mismo', 'error']"
Con gente así no hace falta mas nadie ...,"['gente', 'así', 'hace', 'falta', 'mas', 'nadie']"
La señal en mi casa si la corta...,"['señal', 'casa', 'si', 'corta']"
Gracias dios por no alejarme de la gente que vale la pena... Real hasta la muerte.,"['gracias', 'dios', 'alejarme', 'gente', 'vale', 'pena', 'real', 'muerte']"
Ahora las clases serán casi que online por lo menos así se puede cumplir con las marchas y los estudios.,"['ahora', 'clases', 'casi', 'online', 'menos', 'así', 'puede', 'cumplir', 'marchas', 'estudios']"
Así como cuando te falta algo...,"['así', 'falta']"
Como también queda mucha sin visión y conformista!,"['queda', 'mucha', 'visión', 'conformista']"
"Aun queda mucha gente con corazón, con ganas de luchar y salir adelante.","['aun', 'queda', 'mucha', 'gente', 'corazón', 'ganas', 'luchar', 'salir', 'adelante']"
Alguien sabe cuales son las estaciones que estarán cerradas mañana temprano ?,"['alguien', 'sabe', 'cuales', 'estaciones', 'cerradas', 'mañana', 'temprano']"
Cosas así es que te das cuenta que le importas y mucho.,"['cosas', 'así', 'das', 'cuenta', 'importas']"
Cuando te pega la curda  https://t.co/3gXE84ix7O,"['pega', 'curda']"
Mueren y siguen esperando jajaja  https://t.co/iymKrWFns5,"['mueren', 'siguen', 'esperando', 'jajaja']"
@SoloConVerte Loviu baby &lt;3  !,"['soloconverte', 'loviu', 'baby', 'lt']"
"@SoloConVerte Jajajaja no vale para nada, ganaste sin competir","['soloconverte', 'jajajaja', 'vale', 'ganaste', 'competir']"
@SoloConVerte Jajajaja tu sabes como es todo &lt;3,"['soloconverte', 'jajajaja', 'sabes', 'lt']"
"El partido de Ter Stegen, Busquet y Messi fue impresionante.","['partido', 'ter', 'stegen', 'busquet', 'messi', 'impresionante']"
Tiempo sin un partido así de Messi.,"['tiempo', 'partido', 'así', 'messi']"
QUE GRANDES ANIMALES.,"['grandes', 'animales']"
QUE PARTIDO DEL CARAJO.,"['partido', 'carajo']"
MESSI TE AMOOOO,"['messi', 'amoooo']"
MALDITOOOO MESSI,"['malditoooo', 'messi']"
Ahora cada Madrid vs Barcelona vale de verdad.,"['ahora', 'cada', 'madrid', 'vs', 'barcelona', 'vale', 'verdad']"
Nada como antes que habían mas clásicos...,"['mas', 'clásicos']"
Que partidazo se nos viene.,"['partidazo', 'viene']"
Que complicado es adaptarse a empezar las clases de nuevo.,"['complicado', 'adaptarse', 'empezar', 'clases', 'nuevo']"
Sí no gusta no interesa.,"['gusta', 'interesa']"
@SoloConVerte Mejores que el de ayer....,"['soloconverte', 'mejores', 'ayer']"
Que psicópata naguebona JAJAJAJAJAJAJA.,"['psicópata', 'naguebona', 'jajajajajajaja']"
Así como cuando sabes que vas a dormir con lluvia...,"['así', 'sabes', 'vas', 'dormir', 'lluvia']"
Nada como esas canciones antiguas.,"['canciones', 'antiguas']"
Aparentemente se calmo un poco en algunos sectores de Los Teques.,"['aparentemente', 'calmo', 'sectores', 'teques']"
Maldita zozobra.,"['maldita', 'zozobra']"
"Los Teques a esta hora 10:55 está prendida por todos lados... fuerte represion, colectivos y saqueos #13Abril","['teques', 'hora', 'prendida', 'lados', 'fuerte', 'represion', 'colectivos', 'saqueos', 'abril']"
Lo peor es que son saqueos a Licorerias y demás...  https://t.co/lCrewUTkqw,"['peor', 'saqueos', 'licorerias', 'demás']"
@iDiosMio Si colectivos por varias partes,"['idiosmio', 'si', 'colectivos', 'varias', 'partes']"
La vaina está arrecha.... Todo Los Teques en la calle,"['vaina', 'arrecha', 'teques', 'calle']"
Que saben de las 4 esquinas en los Teques ? #LosTequesEnLaCalle #13abril,"['saben', 'esquinas', 'teques', 'lostequesenlacalle', 'abril']"
MALDITOS COLECTIVOS,"['malditos', 'colectivos']"
Coño por fin se prendió Los Teques.,"['coño', 'fin', 'prendió', 'teques']"
Que chimbo vale.,"['chimbo', 'vale']"
Como cuando todo se te queda frío... Bueno así.,"['queda', 'frío', 'bueno', 'así']"
Me ha gustado un vídeo de @YouTube ( https://t.co/EkU8bSvBW7 - VPI TV EN VIVO - Venezolanos por la Información).,"['gustado', 'vídeo', 'youtube', 'vpi', 'tv', 'vivo', 'venezolanos', 'información']"
@SoloConVerte JAJAJA si va por lo menos esta mas accesible que el avila,"['soloconverte', 'jajaja', 'si', 'va', 'menos', 'mas', 'accesible', 'avila']"
@SoloConVerte JAJAJAJAJ no vale para nada,"['soloconverte', 'jajajajaj', 'vale']"
@SoloConVerte JAJAJA a mi me gusto,"['soloconverte', 'jajaja', 'gusto']"
@SoloConVerte Naaaa vamos de nuevo... Quien dijo miedo Jajaja &lt;3,"['soloconverte', 'naaaa', 'vamos', 'nuevo', 'dijo', 'miedo', 'jajaja', 'lt']"
Que noche...,['noche']
@SoloConVerte &lt;3,"['soloconverte', 'lt']"
@SoloConVerte Jajajaja así mismo hasta cocinero y todo,"['soloconverte', 'jajajaja', 'así', 'mismo', 'cocinero']"
@SoloConVerte Nooo bueno vamos abrir el gym pues jajaja,"['soloconverte', 'nooo', 'bueno', 'vamos', 'abrir', 'gym', 'pues', 'jajaja']"
@SoloConVerte Jajajaja y si no?,"['soloconverte', 'jajajaja', 'si']"
