id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1211329642709303296,1211329642709303296,2019-12-29 12:54:26 Venezuela Standard Time,2019-12-29,12:54:26,-0400,79051477,demenciand0,Jorge Alejandro,,Este año ha sido tan extraño.,es,[],[],[],0,0,2,[],[],https://twitter.com/Demenciand0/status/1211329642709303296,False,,0,,,,,,,,[],,,,
1066438039096963072,1066438039096963072,2018-11-24 17:06:56 Venezuela Standard Time,2018-11-24,17:06:56,-0400,79051477,demenciand0,Jorge Alejandro,,A veces pasa que te desesperas tanto por cosas que nunca imaginastes que pudieran pasar...,es,[],[],[],0,1,2,[],[],https://twitter.com/Demenciand0/status/1066438039096963072,False,,0,,,,,,,,[],,,,
883743634272776192,883743634272776192,2017-07-08 13:44:36 Venezuela Standard Time,2017-07-08,13:44:36,-0400,79051477,demenciand0,Jorge Alejandro,,"Es así.... Por algo lo hacen a 2 semanas de la constituyente, sirve para llenarse la boca que estamos en un país con democracia y libertad  https://t.co/wQTLLL1lEh",es,[],['https://twitter.com/fpetrocelli/status/883687735101403136'],[],0,0,1,[],[],https://twitter.com/Demenciand0/status/883743634272776192,False,https://twitter.com/fpetrocelli/status/883687735101403136,0,,,,,,,,[],,,,
876995773749186561,876994512379412480,2017-06-19 22:51:00 Venezuela Standard Time,2017-06-19,22:51:00,-0400,79051477,demenciand0,Jorge Alejandro,,@SoloConVerte Siiii de tantos que vendrán &lt;3,es,[],[],[],0,0,1,[],[],https://twitter.com/Demenciand0/status/876995773749186561,False,,0,,,,,,,,"[{'screen_name': 'SoloConVerte', 'name': '♥♫☼Kelly Peña☼♫♥', 'id': '328766813'}]",,,,
873885978850623488,873885978850623488,2017-06-11 08:53:48 Venezuela Standard Time,2017-06-11,08:53:48,-0400,79051477,demenciand0,Jorge Alejandro,,"@fpetrocelli hermano el problema no es tanto las inferiores si hay sus fallas, el problema es el salto entre juvenil y profesional le falta.",es,[],[],[],0,0,0,[],[],https://twitter.com/Demenciand0/status/873885978850623488,False,,0,,,,,,,,[],,,,
873756430389608448,873756430389608448,2017-06-11 00:19:01 Venezuela Standard Time,2017-06-11,00:19:01,-0400,79051477,demenciand0,Jorge Alejandro,,No hay nada ni nadie mas salado que yo.,es,[],[],[],0,0,5,[],[],https://twitter.com/Demenciand0/status/873756430389608448,False,,0,,,,,,,,[],,,,
872768185971466240,872768185971466240,2017-06-08 06:52:05 Venezuela Standard Time,2017-06-08,06:52:05,-0400,79051477,demenciand0,Jorge Alejandro,,QUE GRANDE WILKER FARIÑEZ...,es,[],[],[],0,5,5,[],[],https://twitter.com/Demenciand0/status/872768185971466240,False,,0,,,,,,,,[],,,,
872767312755118081,872767312755118081,2017-06-08 06:48:37 Venezuela Standard Time,2017-06-08,06:48:37,-0400,79051477,demenciand0,Jorge Alejandro,,SOMOS FINALISTAS NOJONAAAAAA,es,[],[],[],0,0,2,[],[],https://twitter.com/Demenciand0/status/872767312755118081,False,,0,,,,,,,,[],,,,
872752723065790464,872752723065790464,2017-06-08 05:50:38 Venezuela Standard Time,2017-06-08,05:50:38,-0400,79051477,demenciand0,Jorge Alejandro,,QUE GRANDE MUCHACHOS A PUNTA DE BOLAS ...,es,[],[],[],0,0,4,[],[],https://twitter.com/Demenciand0/status/872752723065790464,False,,0,,,,,,,,[],,,,
872752537459445761,872752537459445761,2017-06-08 05:49:54 Venezuela Standard Time,2017-06-08,05:49:54,-0400,79051477,demenciand0,Jorge Alejandro,,VAMOS PARA ARRIBA CARAJOOOO,es,[],[],[],0,1,5,[],[],https://twitter.com/Demenciand0/status/872752537459445761,False,,0,,,,,,,,[],,,,
