frequency,bigram/trigram
9,hace rato
6,piedrerick tommarias
6,hace años
5,gtaveledo juanchotrak
5,gracias bro
5,endsequera edgarjbb_
4,sé si
4,mil veces
4,miguel_rivas5 j_gorrin
4,gtaveledo tonyfrangiem
4,endsequera andreseduardog_
4,dald96 endsequera andreseduardog_
4,dald96 endsequera
4,cada día
3,vaniadosreis libertasve
3,va ser
3,tonyfrangiem chegoyo thstraka
3,tonyfrangiem chegoyo
3,thstraka gash276 jacgoldberg
3,thstraka gash276
3,they are
3,sociedad civil
3,sigue siendo
3,si mejor
3,si gana
3,rusia irán
3,rolandorangelf miguel_rivas5 j_gorrin
3,rolandorangelf miguel_rivas5
3,rick8988 endsequera edgarjbb_
3,rick8988 endsequera
3,rick8988 eaprieto
3,recuperar democracia
3,puede ser
3,pregunta honesta
3,mucha gente
3,mal gusto
3,libre mercado
3,jacgoldberg lombardiboscan
3,irán china
3,hoy solo
3,hace ruido
3,hace falta
3,gtaveledo tonyfrangiem chegoyo
3,gtaveledo johanna_garcias
3,gran parte
3,gracias hermano
3,gash276 jacgoldberg lombardiboscan
3,gash276 jacgoldberg
3,felipetorresg cerati
3,endsequera edgarjbb_ danielechangc
3,edgarjbb_ danielechangc
3,dios bendiga
3,comprar comida
3,chegoyo thstraka gash276
3,chegoyo thstraka
3,casa blanca
3,camilairimia ricardoaveledo
3,buen humor
3,bro abrazo
3,billón euros
3,aún así
3,abrazo grande
3,aaad25 danieljct
2,yeah basically
2,yaldimar usted
2,yaldimar si
2,we have
2,we can agree
2,we can
2,voy gastar gb
2,voy gastar
2,votos magnífico razonamiento
2,votos magnífico
2,vivir dictadura
2,viendo juego madrid
2,viendo juego
2,viaje largo
2,va dejar sacarlo
2,va dejar
2,usuarios google
2,términos prácticos
2,tommarias danielhtowers
2,toda generación
2,to free
2,to disagree
2,tiar solución
2,this is
2,thanks to
2,tan buen
2,suele ser
2,sueldos mínimos
2,soprano_35 josea2410
2,solo queda
2,simple idea
2,siglo xv
2,si va
2,si tan
2,si parece
2,si llega
2,si chavismo
2,si alguien
2,ser tan
2,seguir hablando polarización
2,seguir hablando
2,saracosco miguelarturo131
2,sacarlo votos magnífico
2,sacarlo votos
2,rusia irán china
2,rick8988 tonyfrangiem
2,rick8988 eaprieto acuerdo
2,ricardoaveledo danielhtowers
2,recesión histórica
2,puro bait
2,puestos poder
2,puede seguir hablando
2,puede seguir
2,puede opinar
2,pradocardenas elsabonin
2,políticos exitosos
2,política fiscal
