,word,count
0,cada,14
1,episodio,1
2,ted,1
3,lasso,1
4,literal,5
5,abrazo,16
6,da,13
7,fuerza,4
8,pura,4
9,gente,30
10,promedio,2
11,genuina,1
12,único,10
13,especial,1
14,dan,5
15,mala,6
16,vida,15
17,frente,9
18,desgracia,2
19,medicina,1
20,pesimismo,1
21,nunca,21
22,sobra,3
23,ah,6
24,fútbol,4
25,puns,1
26,risa,3
27,véanla,1
28,oriana,16
29,gv,16
30,imposible,3
31,quejarse,1
32,ramiroc,6
33,vallha,1
34,edul,26
35,on,33
36,expenses,1
37,are,11
38,significantly,1
39,lower,1
40,too,4
41,tho,4
42,sebaspelaezf,5
43,compartimos,1
44,mismo,23
45,flow,1
46,jsjaja,1
47,luis,13
48,sencillamente,1
49,increíble,5
50,orgullo,5
51,patrio,1
52,unimet,4
53,usb,2
54,ucab,2
55,ucv,3
56,marilgarciam,12
57,adrienartez,5
58,fuerte,5
59,segundos,2
60,despierto,1
61,cruzo,1
62,xd,1
63,feliz,7
64,miércoles,1
65,alessandrxo,4
66,formalmente,1
67,cierto,10
68,resultados,5
69,contradictorios,1
70,relativa,1
71,facilidad,1
72,neutralizaron,1
73,tales,2
74,mayorías,3
75,ilustra,1
76,grip,1
77,aparataje,1
78,político,15
79,última,5
80,división,2
81,pondría,1
82,pelo,3
83,enmienda,1
84,reelección,1
85,legislativa,1
86,empíricamente,1
87,poder,22
88,ejecutivo,2
89,cooptó,1
90,espacios,3
91,resto,3
92,raíces,1
93,cubanas,2
94,años,36
95,hecatombe,1
96,chavista,5
97,hacen,8
98,inmune,1
99,creer,3
100,buena,13
101,voluntad,4
102,matones,3
103,rojos,2
104,si,88
105,calle,3
106,medio,7
107,convicción,1
108,haciendo,5
109,ruido,5
110,impresentables,1
111,mueren,3
112,gobernando,1
113,cómo,41
114,castro,2
115,chávez,14
116,corea,1
117,rubio,1
118,verdadero,1
119,espectáculo,2
120,argumentativo,1
121,explica,2
122,comunidades,2
123,latinas,1
124,florida,1
125,votan,1
126,seguirán,3
127,votando,1
128,republicano,3
129,clase,9
130,magistral,1
131,tibios,1
132,electoralistas,1
133,resume,2
134,principio,4
135,básico,2
136,dictaduras,4
137,condenan,1
138,confrontan,1
139,verochop,3
140,va,24
141,rato,14
142,mal,12
143,timing,1
144,verdad,14
