,word,count
0,primeros,1
1,años,5
2,infancia,1
3,mejores,1
4,¡feliz,1
5,día,2
6,niño,1
7,aquí,1
8,adelante,1
9,pensar,1
10,nuevos,1
11,retos,1
12,experiencias,1
13,vienen,1
14,💪🏽,1
15,dicen,1
16,mano,2
17,vuelve,1
18,crossfit,1
19,pendiente,1
20,morir,1
21,cosa,1
22,ayuda,1
23,drenar,1
24,vas,1
25,sentir,2
26,mejor,3
27,cuánta,1
28,razón,2
29,guten,1
30,morgen,1
31,gran,2
32,semana,1
33,francisbels,1
34,edgarramirez,3
35,microtdh,2
36,luisitocomunica,2
37,alextienda,2
38,dayanamendoza,2
39,maitedelgadovv,2
40,losmesoneros,2
41,lamusublog,2
42,rawayana,2
43,deynac,2
44,luissilvatwitt,2
45,miguelromero,1
46,jajajaja,1
47,pares,1
48,sube,1
49,foto,1
50,camisa,1
51,mueca,1
52,caso,1
53,creo,1
54,superliga,1
55,valor,2
56,si,5
57,hiciera,1
58,cada,2
59,ejm,1
60,convierte,1
61,competición,1
62,regular,1
63,va,1
64,perder,1
65,emoción,1
66,grandes,1
67,clubes,1
68,van,1
69,terminar,3
70,siendo,1
71,pequeños,1
72,torneo,1
73,crisis,1
74,fútbol,2
75,encanta,1
76,recientes,1
77,veo,1
78,misma,1
79,forma,2
80,intensidad,1
81,pasa,1
82,confirma,1
83,pienso,1
84,plata,2
85,nunca,1
86,tarde,2
87,reconstruir,1
88,vida,2
89,hacer,2
90,cosas,2
91,bien,2
92,✌️,1
93,tan,4
94,pronto,3
95,interrumpe,1
96,obstaculiza,1
97,habilidad,1
98,humana,1
99,relacionarse,1
100,prepara,1
101,terreno,1
102,opresión,1
103,what,1
104,does,1
105,it,1
106,mean,1
107,to,2
108,be,1
109,masculine,1
110,dw,1
111,documentary,1
112,debe,7
113,experimentar,1
114,paz,1
115,alegría,1
116,confort,1
117,lugar,3
118,allí,2
119,hacemos,2
120,alguien,3
121,soluciona,1
122,problema,1
123,sentimos,1
124,gusto,1
125,llaman,1
126,mundo,2
127,personas,1
128,aparentan,1
129,serlo,1
130,verdad,4
131,ángeles,2
132,disfrazados,1
133,humanos,3
134,sincero,1
135,cálido,1
136,abrazo,2
137,hecho,1
138,llegar,1
139,mensaje,3
140,apoyo,8
141,oguevaras,1
142,jmpuentec,1
143,buenas,7
144,tardes,2
145,agradezco,3
146,trato,1
147,escribirle,3
148,dm,2
149,aparece,1
150,contactarle,1
151,pulidobelkys,2
152,vinzorsky,2
153,urijijami,2
154,buenos,4
155,días,2
156,sra,1
157,belkys,1
158,muchas,15
159,gracias,15
160,ánimos,1
161,recomendaciones,2
162,cómo,2
163,puedo,2
164,contactar,1
165,hijo,1
166,bendiciones,7
167,palabras,1
168,saber,2
169,agradecer,1
170,difusión,3
171,dado,1
172,interés,2
173,ayudarme,1
174,vivo,2
175,estudio,1
176,sede,1
177,ucab,4
178,puerto,2
179,ordaz,2
180,sugerencia,1
181,cuenta,2
182,nuevamente,7
183,vibras,4
184,alberto,1
185,hermano,1
186,gabrielalizardo,1
187,nacholacriatura,1
188,alejandraoraa,1
