,word,count
0,nivel,5
1,cansancio,1
2,tal,2
3,café,4
4,efecto,2
5,dolor,4
6,dr,2
7,lawc,2
8,felicidadeeees🥳🥳🎉🎉❤️,1
9,rccs,2
10,ahorita,1
11,escribooooo,1
12,love,12
13,❤️,17
14,pasó,2
15,primer,4
16,día,25
17,trabajo,2
18,😂😂😂😂,1
19,saimn,23
20,😍😍😍😍😍😍😍😍,2
21,nooooooooooooo,1
22,dónde,1
23,sentasteeeeeeeee,1
24,bueno,2
25,disculpa,1
26,desaparecerme,1
27,meses,3
28,jejeje,1
29,aquí,14
30,cuéntame,1
31,cómo,5
32,andas,2
33,cara,3
34,tabla,1
35,respondiendo,2
36,chats,1
37,abrir,1
38,whatsapp,3
39,am,14
40,christianelzc,1
41,jaksjksjskjskajskajajajajjajajaa,1
42,dramaticvikingg,20
43,mood,21
44,visto,1
45,estooooo😭😭,1
46,lloré,1
47,escribirlo,1
48,amo,25
49,inmensamente,1
50,ta,1
51,loca,3
52,afectando,1
53,tragos,1
54,pa,10
55,terapia,1
56,busques,1
57,instagram,4
58,papi,3
59,búscame,1
60,casa,4
61,veas,2
62,pasa,5
63,thewarchafter,1
64,lunes,2
65,entrego,1
66,esperar,1
67,digan,1
68,fecha,2
69,defensa,1
70,🥺🥺🥺,2
71,comiencen,1
72,tratarme,1
73,bien,7
74,aparezcan,1
75,dedicatoria,3
76,tesis,7
77,gaboq,1
78,así,8
79,sentí,1
80,hoy,8
81,fuí,1
82,tweet,4
83,apreciación,1
84,hermosa,1
85,ucab,2
86,🔰❤️,1
87,enlaucab,1
88,onvre,1
89,quiero,31
90,saber,4
91,mas,2
92,bendita,1
93,😭😭😭😭😭😭😭😭😭😭😭,2
94,permiso,1
95,amo😭😭❤️❤️,1
96,si,38
97,pruebas,1
98,casas,1
99,bad,10
100,bunny,10
101,dice,6
102,kyō,2
103,wa,2
104,sekkusushitai,2
105,demo,2
106,anata,2
107,to,13
108,dake,2
109,doko,4
110,imasu,4
111,ka,4
112,bro,1
113,really,1
114,felt,1
115,that,5
116,shit,1
117,misma,4
118,xrob,1
119,dólares,2
120,buenas,13
121,tardes,4
122,paso,6
123,recordarles,1
124,mes,2
125,cumplo,1
126,años,8
127,puta,3
128,disfruta,1
129,marlys,9
130,hotmail,1
131,com,2
132,😔😔😔😔,1
133,dayerlys,12
134,bella,7
135,😍😍😍😍😍😍😍😍😍,1
136,miento,1
137,digo,3
138,vida,40
139,novela,6
140,conmigo,20
141,amigos,3
142,aburren,1
143,nunca,5
144,extrademimos,1
145,perdón,3
146,if,2
147,happy,2
148,ever,1
149,after”,1
150,did,2
151,exist,1
152,would,1
153,still,1
154,be,2
155,holding,1
156,you,11
157,like,2
158,this,1
159,dios,5
160,mierda,10
161,pensando,1
162,elegí,1
163,tema,1
164,tragicomedia,1
165,bellaaaaa,1
166,fácil,4
167,anís,1
168,feliz,10
169,mamá,1
170,dramáticas🙂,1
171,hago,7
172,ganas,12
173,beber,3
174,amor,17
175,dio,1
176,batazos,1
177,invitan,1
178,salir,24
179,🎶🎶😎,1
180,yoooooooooo,1
181,quién,9
182,lata,3
183,pirulin,4
184,flaquitos,1
185,nevados,1
186,yop,1
187,voy,14
188,contigo,11
