tweet,tweet_tokenized
Mi nivel de cansancio es tal que ya el café no tiene efecto en mí.,"['nivel', 'cansancio', 'tal', 'café', 'efecto']"
Qué dolor... 💔,['dolor']
@Dr_LawC FELICIDADEEEES🥳🥳🎉🎉❤️,"['dr', 'lawc', 'felicidadeeees🥳🥳🎉🎉❤️']"
Mía 😍,[]
Sí soy,[]
@Rccs999 Ahorita te escribooooo. Love u ❤️,"['rccs', 'ahorita', 'escribooooo', 'love', '❤️']"
Esto pasó en mi primer día de trabajo 😂😂😂😂  https://t.co/kmlmQdHiM0,"['pasó', 'primer', 'día', 'trabajo', '😂😂😂😂']"
@Saimn_ 😍😍😍😍😍😍😍😍,"['saimn', '😍😍😍😍😍😍😍😍']"
NOOOooooOoooOo EN DÓNDE TE SENTASTEEEEEEEEE,"['nooooooooooooo', 'dónde', 'sentasteeeeeeeee']"
"bueno sí, disculpa por desaparecerme por 2 meses jejeje pero aquí estoy. Cuéntame, cómo andas? 😊","['bueno', 'disculpa', 'desaparecerme', 'meses', 'jejeje', 'aquí', 'cuéntame', 'cómo', 'andas']"
Cara de tabla nivel: respondiendo 62 chats que tenía sin abrir en WhatsApp a las 2:00 AM,"['cara', 'tabla', 'nivel', 'respondiendo', 'chats', 'abrir', 'whatsapp', 'am']"
@ChristianELZC JAKSJKSJSKJSKAJSKAJAJAJAJJAJAJAA @DramaticVikingg,"['christianelzc', 'jaksjksjskjskajskajajajajjajajaa', 'dramaticvikingg']"
mood,['mood']
@DramaticVikingg No había visto estooooo😭😭 lloré tanto como tú al escribirlo. Te amo inmensamente ❤️,"['dramaticvikingg', 'visto', 'estooooo😭😭', 'lloré', 'escribirlo', 'amo', 'inmensamente', '❤️']"
@Saimn_ Ta loca,"['saimn', 'ta', 'loca']"
@Saimn_ Te están afectando los tragos????,"['saimn', 'afectando', 'tragos']"
Pa la terapia.,"['pa', 'terapia']"
"no me busques en instagram, papi búscame en casa, pa' que veas lo que pasa.  https://t.co/uU9ABteAnH","['busques', 'instagram', 'papi', 'búscame', 'casa', 'pa', 'veas', 'pasa']"
@TheWarchafter El lunes al entrego y tengo que esperar que me digan la fecha de la defensa 🥺🥺🥺,"['thewarchafter', 'lunes', 'entrego', 'esperar', 'digan', 'fecha', 'defensa', '🥺🥺🥺']"
Comiencen a tratarme bien para que aparezcan en la dedicatoria de mi tesis 😌,"['comiencen', 'tratarme', 'bien', 'aparezcan', 'dedicatoria', 'tesis']"
@GaboQ92 Así me sentí hoy cuando fuí 💔,"['gaboq', 'así', 'sentí', 'hoy', 'fuí']"
Tweet de apreciación de lo hermosa que es la UCAB 🔰❤️ @enlaucab  https://t.co/5YePg8Cdem,"['tweet', 'apreciación', 'hermosa', 'ucab', '🔰❤️', 'enlaucab']"
Onvre,['onvre']
No quiero saber mas nada de la bendita tesis 😭😭😭😭😭😭😭😭😭😭😭,"['quiero', 'saber', 'mas', 'bendita', 'tesis', '😭😭😭😭😭😭😭😭😭😭😭']"
permiso,['permiso']
@DramaticVikingg La amo😭😭❤️❤️,"['dramaticvikingg', 'amo😭😭❤️❤️']"
"si tú me pruebas, te casas","['si', 'pruebas', 'casas']"
Cuando Bad Bunny dice:    kyō wa sekkusushitai demo anata to dake doko ni imasu ka? doko ni imasu ka? kyō wa sekkusushitai demo anata to dake doko ni imasu ka? doko ni imasu ka?   Bro... I really felt that shit,"['bad', 'bunny', 'dice', 'kyō', 'wa', 'sekkusushitai', 'demo', 'anata', 'to', 'dake', 'doko', 'imasu', 'ka', 'doko', 'imasu', 'ka', 'kyō', 'wa', 'sekkusushitai', 'demo', 'anata', 'to', 'dake', 'doko', 'imasu', 'ka', 'doko', 'imasu', 'ka', 'bro', 'really', 'felt', 'that', 'shit']"
Yo misma soy,['misma']
@xRob88 dólares,"['xrob', 'dólares']"
