frequency,bigram/trigram
35,través correodelcaroni
8,empresas básicas
8,ciudad guayana
7,puerto ordaz
6,feliz cumpleaños
6,covid 19
5,través elpais_america
5,través el_pais
5,rangel gómez
5,arco minero
4,josé jiménez
4,epa epa
4,correodelcaroni convicciónporguayana
3,través youtube
3,través elpitazotv
3,través correodelcaroni convicciónporguayana
3,sur bolívar
3,stepozzebon melaniobar osmarycnn
3,stepozzebon melaniobar
3,stepozzebon correodelcaroni
3,oliverggl alextienda
3,natalia lafourcade
3,mlclisanchez correodelcaroni
3,melaperezarias marielozadab darielasosa
3,melaperezarias marielozadab
3,melaniobar osmarycnn
3,marilachang lavidadenos
3,marielozadab darielasosa
3,leonerhh alexiscorreia
3,how to
3,gracias asistir
3,foto perfil
3,destilado soyarepita
3,cuatro años
3,correodelcaroni mramirezcabello
3,control obrero
3,cc marcosdavidv
3,caramba caramba
3,buena noticia
3,buen trabajo
3,bonny cepeda
3,_verolerolero danielajtb
3,50 mil
2,últimos días
2,zimrirosas correodelcaroni
2,yugoslava21 gagueando josepulido2015
2,yugoslava21 gagueando
2,when you
2,whatsapp infopublicave
2,vivoplaynet anakenamusica desordenpublico
2,vivoplaynet anakenamusica
2,victoriaarm_30 celesteariela
2,via correodelcaroni
2,via armandoinfo
2,ver si
2,venezolanos calle
2,vencer cáncer
2,urgente pacientes
2,ucabguayana ecsucabg
2,tres semanas
2,través wsj
2,trabajo codehciu
2,tom hanks
2,to be
2,terapia intensiva
2,sé rick
2,sábanas lágrimas artificiales
2,sábanas lágrimas
2,sumar conversación
2,studios nyc by
2,studios nyc
2,soyarepita suscríbete
2,soyarepita naranjoguajeo
2,soyarepita leonerhh alexiscorreia
2,soyarepita leonerhh
2,soyarepita hoy
2,soyarepita gracias
2,siempre tan
2,si visto
2,si posibilidades
2,señor orlando
2,según datos
2,seguridad laboral
2,rt mil
2,regulator says
2,redacción correodelcaroni
2,recorded at
2,rather go blind
2,rather go
2,quizás puedan
2,quiero leer
2,quemados explosión monagas
2,quemados explosión
2,puede ser
2,primera vez
2,políticas públicas
2,pocas veces
2,plan guayana socialista
2,plan guayana
2,pfcontrerasv victoriaarm_30 celesteariela
2,pfcontrerasv victoriaarm_30
2,pfcontrerasv excelente
2,petruscosas watcher_ven
2,perfil sola
2,pañales niños sábanas
2,pañales niños
2,papá amiga francys
2,papá amiga
2,pacientes quemados explosión
2,pacientes quemados
2,pacientes psiquiátricos
2,orlando papá amiga
2,orlando papá
2,oliverggl alextienda entiendo
2,ola denuncias abuso
2,ola denuncias
2,néstor astudillo
2,nyc by
2,niños sábanas lágrimas
2,niños sábanas
2,nina simone
2,necesitan mosquiteros ciprofloxacina
2,necesitan mosquiteros
2,naldoxx vivirmejor949
2,méxico colombia
2,mucha gente
2,movimiento sindical
2,mosquiteros ciprofloxacina ketoprofeno
2,mosquiteros ciprofloxacina
2,monagas necesitan mosquiteros
2,monagas necesitan
2,modern love
2,minero orinoco
2,mineral hierro
2,mil gracias
2,mil bs
2,miami herald
2,melaperezarias epa
2,medios comunicación
2,maturin centro acopio
2,maturin centro
