tweet_translated_tokenized,sentiment,NB,SVM,DF,MaxEnt
"['manitaho', 'write', 'stay', 'stuck', 'time', 'time', 'circumstances', 'remember', 'capable']",Positivo,Negativo,Negativo,Negativo,Negativo
"['luisjlopezm', 'love', 'annotated']",Positivo,Positivo,Positivo,Positivo,Positivo
"['lmaracara', 'adricultora', 'cc', 'marcosdavidv', 'small', 'farms', 'poor', 'guacas']",Negativo,Negativo,Negativo,Negativo,Negativo
"['savedra', 'dias', 'opening', 'patreon']",Negativo,Negativo,Negativo,Negativo,Negativo
"['ciscoinc', 'study', 'together', '❤️❤️']",Negativo,Negativo,Negativo,Negativo,Negativo
"['gregorio', 'afonso', 'yes', 'world', 'great', 'experience']",Positivo,Positivo,Positivo,Positivo,Positivo
"['middle', 'pandemic', 'hospitals', 'edge', 'bauxilum', 'celebrates', 'massive', 'assistance', 'lighting', 'little', 'tree']",Positivo,Negativo,Negativo,Negativo,Negativo
"['sidoristarrr', 'fortunately', 'camp', 'trailers', 'equipment', 'sold', 'house', 'still', 'furniture', 'dryer', 'dishes', 'etc', 'sidor', 'like', 'chávez', 'amp', 'co']",Positivo,Negativo,Negativo,Positivo,Negativo
"['someday', 'write', 'book', 'mapanare', 'endearing', 'sidor', 'camp', 'grew', 'stories', 'thanks', 'anecdotes']",Positivo,Negativo,Negativo,Positivo,Negativo
"['💗💗', 'rare', 'extraordinary', 'year', 'learning', 'collaboration', 'resilience']",Positivo,Positivo,Negativo,Negativo,Negativo
"['siriagastelum', 'gi', 'toc', 'judiekaberia', 'isazuleta', 'mariais', 'raffylerma', 'juanachange', 'eliberarero', 'thanks', 'wonderful', 'team', 'support', 'given', 'us', 'invaluable']",Positivo,Positivo,Positivo,Positivo,Negativo
"['che', 'stop']",Negativo,Negativo,Negativo,Negativo,Negativo
"['augustocesar', 'incredible']",Negativo,Negativo,Negativo,Negativo,Negativo
"['tochekarla', 'good', 'idea']",Positivo,Positivo,Positivo,Positivo,Positivo
"['ipysvenezuela', 'revealed', 'growing', 'map', 'information', 'deserts', '🇻🇪', 'disconnected', 'uninformed', 'citizens', 'whatsapp', 'infopublicave', 'reaches', 'groups', 'listeners', 'replicate', 'amplify', 'rigorous', 'work', 'journalists', 'throughout', 'country', 'help', 'us', 'grow']",Positivo,Negativo,Negativo,Positivo,Negativo
"['hero', '‘hotel', 'rwanda’', 'fell', 'trap', 'vengeful', 'dictator', 'story']",Positivo,Negativo,Negativo,Negativo,Negativo
"['lausolorzano', 'onu', 'es', 'since', 'december', 'already']",Negativo,Negativo,Negativo,Negativo,Negativo
['daniealbarranr'],Negativo,Negativo,Negativo,Negativo,Negativo
"['daniealbarranr', 'maybe', 'google', 'photos', 'takes', 'away', 'storage', 'space']",Negativo,Negativo,Negativo,Negativo,Negativo
"['let', 'help', 'dear', 'colleague', 'luisa', 'defeat', 'cancer']",Negativo,Positivo,Positivo,Positivo,Positivo
"['root', 'natalia', 'lafourcade', 'los', 'cojolites', 'los', 'authentic', 'decadentes', 'nowplaying']",Negativo,Negativo,Negativo,Negativo,Negativo
"['venezuela', 'raids', 'food', 'charity', 'interrupting', 'meals', 'children']",Positivo,Negativo,Negativo,Negativo,Negativo
"['hundreds', 'families', 'organized', 'around', 'dining', 'room', 'children', 'bread', 'grown', 'network', 'solidarity', 'friendship', 'resilience', 'goes', 'beyond', 'plate', 'food', 'feedsolidarity']",Positivo,Negativo,Negativo,Negativo,Negativo
"['support', 'codehciu', 'lavidadenos', 'compiled', 'dossier', 'stories', 'disappeared', 'gi', 'toc', 'helped', 'us', 'place', 'phenomenon', 'global', 'level', 'correodelcaroni', 'follow', 'believe', 'partnerships', 'collaborative', 'work']",Positivo,Negativo,Negativo,Negativo,Negativo
"['sonindelebles', 'count', 'build', 'memory', 'impact', 'violence', 'maduro', 'regime', 'called', 'orinoco', 'mining', 'arc', 'seek', 'survive', 'return', 'families', 'waiting', 'state', 'must', 'look']",Negativo,Negativo,Negativo,Negativo,Negativo
"['laurahcastillo', 'wtf']",Negativo,Negativo,Negativo,Negativo,Negativo
['totally'],Negativo,Positivo,Negativo,Negativo,Negativo
"['arlettemontilla', 'love', 'balconies']",Positivo,Positivo,Positivo,Positivo,Positivo
"['oscarmedina', 'willymckey', 'juanvilloro', 'hahahaha', 'title', 'maradona', 'idols', 'keep', 'silent']",Negativo,Negativo,Negativo,Negativo,Negativo
"['jeanfreddy', 'kathypennacchio', 'naldoxx', 'microtdh', 'want', 'read', 'call', 'recording', 'day', 'xd']",Positivo,Negativo,Negativo,Negativo,Negativo
"['cafecontodo', 'production', 'contract', 'dancers', 'contract', 'turkey']",Negativo,Negativo,Negativo,Negativo,Negativo
"['want', 'see', 'bloopers']",Positivo,Negativo,Negativo,Positivo,Negativo
"['netzahuatl', 'jajaajajajjaajajaja', 'know', 'take']",Negativo,Negativo,Negativo,Negativo,Negativo
"['go', 'facebook', 'take', 'first', 'profile', 'picture', 'alone', 'take', 'last', 'profile', 'picture', 'alone', 'put', 'side', 'side', 'let', 'see', 'change']",Negativo,Negativo,Negativo,Negativo,Negativo
"['president', 'elect', 'joe', 'biden', 'sworn', 'jan', 'face', 'fundamental', 'challenge', 'unlike', 'incoming', 'president', 'tens', 'millions', 'americans', 'doubt', 'legitimacy']",Negativo,Negativo,Negativo,Negativo,Negativo
"['paho', 'activate', 'mobile', 'laboratory', 'pcr', 'tests', 'bolívar', 'amazonas', 'mlclisanchez', 'correodelcaroni']",Negativo,Negativo,Negativo,Negativo,Negativo
"['minister', 'trinidad', 'questioned', 'children', 'children', 'la', 'soyarepita', 'del', 'nov']",Negativo,Negativo,Negativo,Negativo,Negativo
"['investigate', 'narrate', 'disappearances', 'mines', 'southern', 'venezuela', 'disappeared', 'fosesdelsilencio']",Negativo,Negativo,Negativo,Negativo,Negativo
"['back', 'first']",Negativo,Negativo,Negativo,Negativo,Negativo
"['situation', 'honduras', '🇭🇳', 'correspondent', 'reports', 'times', 'tragedy', 'size', 'invisible']",Negativo,Negativo,Negativo,Negativo,Negativo
"['pfcontrerasv', 'calendly', 'patricio', 'share', 'give', 'link', 'reserve', 'time', 'selected', 'available']",Positivo,Negativo,Negativo,Negativo,Negativo
"['one', 'case', 'live', 'hundreds', 'forced', 'pendular', 'migrants']",Negativo,Negativo,Negativo,Positivo,Negativo
"['che', 'need', 'talk']",Negativo,Negativo,Negativo,Negativo,Negativo
['che'],Negativo,Negativo,Negativo,Negativo,Negativo
"['lorebornacelly', 'sent', 'dm']",Negativo,Negativo,Negativo,Negativo,Negativo
"['luusalomon', 'luisa', 'thank', 'time', 'inspiration', 'enthusiasm', '❤️', 'great', 'experience', 'lot', 'learning', 'continue']",Positivo,Positivo,Positivo,Positivo,Negativo
"['pleasure', 'accompanied', 'thanks', 'luusalomon', 'provision', 'good', 'work']",Positivo,Positivo,Positivo,Positivo,Positivo
"['andreinaclo', 'love']",Positivo,Positivo,Positivo,Positivo,Positivo
"['rodoarico', 'cafecontodo', 'beautiful', 'kisses', 'cafecontodo', 'deserved']",Positivo,Positivo,Positivo,Positivo,Negativo
"['conviene', 'saber', 'feat', 'rozalén', 'marwán', 'rozalén', 'nowplaying']",Negativo,Negativo,Negativo,Negativo,Negativo
"['hl', 'lucena', 'sorry']",Negativo,Negativo,Negativo,Negativo,Negativo
"['lassomusica', 'anaguerra', 'carlosb']",Negativo,Negativo,Negativo,Negativo,Negativo
"['verolerolero', 'che', 'let', 'live', 'cc', 'che']",Negativo,Negativo,Negativo,Negativo,Negativo
"['carmenchu', 'happen', 'hahaha', 'gift']",Positivo,Positivo,Positivo,Positivo,Negativo
"['vosto', 'ah']",Negativo,Negativo,Negativo,Negativo,Negativo
"['ximena', 'sariñana', 'nowplaying']",Negativo,Negativo,Negativo,Negativo,Negativo
"['vosto', 'hurt', 'lepe']",Negativo,Negativo,Negativo,Negativo,Negativo
"['yanefernandez', 'che']",Negativo,Negativo,Negativo,Negativo,Negativo
"['golden', 'slumbers', 'carry', 'weight', 'takes', 'medley', 'de', 'beatles', 'nowplaying']",Negativo,Negativo,Negativo,Negativo,Negativo
