frequency,bigram/trigram
62,vecinos chacao
55,crisis agua
43,palos grandes
27,falta agua
24,servicios públicos
22,casco chacao
22,agua llega
20,municipio chacao
20,derecho agua
16,vemos mañana
16,semanas agua
16,agua municipio
15,gabriel santana
15,cada día
13,servicio agua
13,exigiendo derechos
13,culpa hidrocapital
13,calidad agua
12,vecino chacao
11,acueducto metropolitano
10,mala calidad
10,llegando agua
10,hoy junto
10,esquina plomer
10,agua chacao
9,violación derecho
9,vamos seguir
9,toda caracas
9,seguir luchando
9,restituya servicio
9,primero justicia
9,lavarse manos
9,junto vecinos
9,hidrocapital responsable
9,chacao vemos
9,chacao agua
9,cansados excusas
9,así llegando
9,agua potable
9,agua chacaoquiereagua
8,presión hidrocapital
8,potabilizar agua
8,poca agua llega
8,poca agua
8,plomer chacao
8,plaza palos grandes
8,plaza palos
8,grave crisis
8,falta agua municipio
8,esquina plomer chacao
8,crisis servicios
8,chacaoquiereagua queremossoluciones
8,calle exigiendo
8,así llegando agua
8,asamblea nacional
8,agua casas
7,zonas chacao
7,vivir agua
7,violación derecho agua
7,vemos plaza
7,queremos soluciones
7,llega casas
7,hoy denunciamos
7,hidrocapitalnocumple chacaoquiereagua
7,hacerle frente
7,gota agua
7,francisco miranda
7,falta inversión
7,días agua
7,conversando vecinos
7,cese usurpación
7,agua vecinos
7,agua hidrocapital
6,yolanda pérez
6,vivimos chacao
6,violación derechos
6,solo poca agua
6,solo poca
6,registro electoral
6,prevenir coronavirus
6,plaza altamira
6,parque cristal
6,momentos tan
6,ministerio aguas
6,medidas prevención
6,llegado agua
6,ley condominios
6,junto diputados
6,junto carlosocariz
6,horas luz
6,exigir derecho
6,día día
6,derecho humano
6,crisis vivimos
6,crisis servicios públicos
6,chacao llegado
6,camión cisterna
6,cada vecinos chacao
6,cada vecinos
6,bello campo
6,agua culpa
6,10am plaza
5,vecinos vemos mañana
5,vecinos vemos
5,vecinos palos grandes
5,vecinos palos
5,varias zonas
5,tan difíciles
5,servicios públicos vivimos
5,seguir presión
5,sector pajaritos
5,salud chacaoquiereagua
5,salir calle
