,word,count
0,whatsapp,7
1,could,1
2,take,5
3,notes,1
4,braacho,6
5,ivy,2
6,is,56
7,mood,12
8,👁👄👁✨,2
9,peach,9
10,baby,1
11,👑💖,1
12,ferduque,1
13,capricarlos,16
14,veces,7
15,salsa,1
16,lista,2
17,mezclar,2
18,comprar,2
19,tomates,1
20,hacer,10
21,mismo,4
22,vaina,2
23,voy,3
24,coordinar,1
25,instalen,1
26,windows,2
27,llama,2
28,atención,3
29,try,4
30,hard,8
31,tener,6
32,resolver,1
33,vainas,2
34,sistemas,1
35,operativos,1
36,simplemente,1
37,funciona,3
38,¿cuántos,2
39,reinicios,1
40,harán,1
41,falta,4
42,computador,1
43,trabajo,5
44,ubuntu,1
45,decida,1
46,iniciar,1
47,bien,7
48,carlosedrincon,4
49,melanie,1
50,arkhast,1
51,alejoboreal,30
52,bello,1
53,gracias,6
54,amamos,1
55,🥺💖,2
56,sebasabes,1
57,stronger,2
58,finale,2
59,tho,7
60,mtiradoarq,2
61,yohakunst,2
62,maybe,1
63,god,3
64,definitely,1
65,bottom,1
66,ophcourse,1
67,venezolano,1
68,trabajando,2
69,colombia,10
70,amo,2
71,festivos,2
72,💖🇨🇴,1
73,so,15
74,sour,2
75,pussy,1
76,📢🎶,1
77,tritti,14
78,nación,1
79,chavismo,1
80,evitó,1
81,siguiera,1
82,llegando,1
83,randyck,20
84,bolas,3
85,soñé,2
86,pride,1
87,month,1
88,vacunando,1
89,aquel,1
90,demostrara,1
91,ser,17
92,lgbtq™️,1
93,luego,8
94,desperté,1
95,realidad,2
96,prioridad,2
97,mivacuna,1
98,🥲✨,1
99,as,26
100,side,2
101,effect…,1
102,lunes,1
103,festivo,1
104,but,20
105,also,4
106,día,8
107,menos,6
108,sprint,1
109,✨👁👄👁✨💸💸💸,1
110,hahsgajahah,1
111,same,9
112,tampoco,1
113,priorizado,1
114,you,45
115,are…,1
116,not,19
117,safe,2
118,thesugarradar,6
119,maestría,1
120,this,29
121,trying,3
122,to,99
123,get,12
124,with,15
125,ahri,5
126,✨✨✨,1
127,ver,9
128,perritos,1
129,equipo,3
130,sacar,1
131,juguete,1
132,cayó,1
133,bajo,2
134,mueble,1
135,súper,5
136,tierno,1
137,🐶🐶💖,1
138,acestarthe,1
139,rd,2
140,that,60
141,moment,1
142,during,2
143,song,1
144,hits,1
145,in,47
146,the,110
147,feels,1
148,😩🥺❄️,1
149,daniflohe,4
150,quieras,1
151,ilustrar,1
152,svg,4
153,👨🏻‍💻✨,1
154,fin,3
155,llegó,1
156,útil,1
157,saber,4
158,armar,1
159,manualmente,1
160,utilizar,3
161,software,1
162,diseño,1
163,👨🏻‍💻🎨✨,1
164,pov,1
165,ves,2
166,haciendo,4
167,ejercicios,1
168,evidentemente,1
169,mal,5
170,redactados,1
171,profesora,1
172,admite,1
173,equivoca,1
174,⚡️,1
175,común,2
176,sentidos”,1
177,sabias,1
178,palabras,1
179,preparan,1
180,decepcionarte,1
181,ciertas,1
182,situaciones,2
183,😵‍💫,1
184,trata,3
185,oistessss,1
186,si,28
187,hazme,1
188,pasticho,4
189,fi,1
190,quiero,2
191,comer,1
192,lasaña,1
193,🍽🥺💖,1
194,yaaaaas,1
195,😱✨,3
196,viene,2
197,bop,1
198,girl,1
199,group,2
200,challenge,2
201,haha,2
202,ojalá,5
203,pagaran,1
204,tiempo,12
205,invierto,1
206,viendo,5
207,secuencias,1
208,transformación,1
209,sailor,2
210,moon,6
211,youtube,2
212,🤣🌙,1
213,¿cuáles,1
214,años,3
215,inocencia,1
216,señora,2
217,devs,1
218,hacen,1
219,darse,1
220,cuenta,8
221,✨👁👄👁✨,1
222,procrastinarlo,1
223,terminé,1
224,botw,2
225,puedo,4
226,pasar,7
227,página,1
228,listo,2
229,anuncios,4
230,mañana,2
231,justo,2
232,jupiter,1
233,uranus,1
234,🪐✨,1
235,leaf,2
236,pch,2
237,envidia,6
238,basically,1
239,pasó,3
240,👁👄👁,2
241,necesariamente,2
242,naruto,2
243,ml,10
244,ayuda,10
245,número,1
246,compra,2
247,sido,2
248,capaz,4
249,empezar,4
250,apenas,4
251,definí,1
252,clave,1
253,empezó,1
254,tratar,1
255,validar,1
256,identidad,1
257,documento,4
258,podido,1
259,ahí,1
260,reconoce,3
261,cédula,4
262,extranjería,4
263,legal,1
264,colombiano,1
265,seguir,3
266,pasos,1
267,menciona,2
268,siempre,6
269,quedo,2
270,estancado,2
271,pantalla,2
272,¿no,1
273,sirve,3
274,correo,3
275,asociado,1
276,opción,3
277,inicio,2
278,sesión,1
279,validación,1
280,identidad”,1
281,recién,1
282,creada,1
283,teoría,2
284,existe,3
285,permitió,1
286,colocar,2
287,explícitamente,1
288,solicita,1
289,foto,3
290,intento,2
291,dice,3
292,error,2
293,país,1
294,caso,4
295,hola,2
296,extranjero,1
297,residente,1
298,plataforma,1
299,escaneo,1
300,pesar,2
301,dio,1
302,usar,3
303,cc,4
304,ce,1
305,formulario,1
306,favor,1
307,chrishigurashi,2
308,pena,1
309,equivoco,2
310,caraqueños,1
311,contrario,1
312,exclusively,1
313,on,14
314,software”,1
315,mes,2
316,orgullo,1
317,espero,1
318,relacionados,1
319,guardianas,1
320,estelares,1
321,lollatam,1
322,😌🌈🌟,1
323,lonchikicker,4
324,arjbilbao,13
325,ceo,1
326,of,49
327,calamity,1
328,llorar,1
329,después,6
330,too,5
331,i’d,1
332,like,25
333,report,4
334,norway,1
335,stan,2
336,justice,3
337,for,49
338,🇭🇷😢,1
339,croatiawasrobbed,1
340,🇭🇷,1
341,xxmsbc,7
342,because,11
343,gotta,4
344,work,7
345,from,6
346,home,1
347,oh,4
348,🙊🙊🙊,1
349,malzahar,2
350,buscado,1
351,gifs,1
352,mostró,1
353,campeón,1
354,danielanezd,2
355,yasss,2
356,🦊🔵💞💅,1
357,franciag,14
358,comenzar,2
359,ideal,1
360,necesario,2
361,verlas,1
362,orden,3
363,pronto,2
364,quieres,3
365,all,9
366,stars,2
367,podría,2
368,atractivo,1
369,haber,2
370,visto,3
371,temporadas,1
372,normales,1
373,primero,1
374,estrictamente,1
375,van,2
376,capítulos,1
377,puedes,6
378,ponerte,2
379,chama,9
380,🇦🇺🇳🇿,1
381,gamer”,1
382,which,2
383,means,1
384,luces,1
385,steph,2
386,feel,6
387,dolor,2
388,insoportable,1
389,solo,15
390,hombro,1
391,long,5
392,they,6
393,make,19
394,playable,1
395,entregando,1
396,proyecto,1
397,pijama,1
398,cause,3
399,anybody,1
400,got,7
401,time,14
402,necesito,5
403,cómo,2
404,consigo,1
405,copio,1
406,sailorjess,3
407,omg,2
408,there,8
409,trick,1
410,do,7
411,float,1
412,cancel,1
413,bair,1
414,quickly,1
415,asking,2
416,myself,4
417,mipeloloco,1
418,cabello,1
419,largo,1
420,queda,5
421,genial,5
422,foureira,2
423,eleni,3
424,resultado,1
425,antemano,1
426,apoyando,1
427,final,6
428,true,2
429,queen,2
430,🔥🔥🔥🔥,1
431,variedad,1
432,canciones,4
433,escucharé,1
434,próximos,1
435,días,6
436,cortesía,1
437,eurovision,2
438,muchas,6
439,geniales,1
440,conocía,1
441,💖🎶,1
442,just,21
443,finished,7
444,watching,4
445,i’m,3
446,now,7
447,and,54
448,teamcyprus,1
449,🇨🇾,1
450,increíble,1
451,carajitos,1
452,recuerdo,1
453,colegio,2
454,menores,1
455,alturas,2
456,historial,1
457,abuso,1
458,way,4
459,go,3
460,eliminar,1
461,machismo,1
462,ardan,1
463,deban,1
464,arder,1
465,mientras,5
466,🔥🔥🔥,1
467,bonillageronimo,2
468,jeesuscova,5
469,jorunderwear,1
470,creo,6
471,envíos,1
472,internacionales,1
473,marcipan,1
474,only,2
475,¿qué,6
476,dijo,3
477,llegué,1
478,cancelado,1
479,bloqueada,1
480,dunno,1
481,‼️‼️‼️‼️‼️,1
482,feliz,6
483,cumpleaños,4
484,chamaaa,1
485,🎁🍁,1
486,equivocaste,1
487,mención,1
488,referías,1
489,jconde,1
490,ladilla,1
491,ahora,3
492,futuro,1
493,efectos,1
494,contraste,1
495,ten,1
496,presente,1
497,estudio,2
498,hizo,4
499,animación,1
500,odiable,1
501,comparación,2
502,manga,3
503,pasa,5
504,autor,1
505,sabe,3
506,escribir,2
507,personajes,1
508,femeninos”,1
509,full,3
510,estereotipo,1
511,basic,3
512,co,2
513,protagonista,1
514,da,5
515,pereza,1
516,celebrar,1
517,combatir,1
518,estereotipos”,1
519,vistan,1
520,cosas,9
521,mujer,1
522,hombres,3
523,queer,1
524,hecho,1
525,hace,9
526,mucha,3
527,mejor,3
528,calidad,1
529,antoniocolvaz,1
530,capricorn,2
531,attacked,4
532,enviar,1
533,manifestando,1
534,interés,1
535,perfil,1
536,año,3
537,ignorarme,1
538,desempleado,1
539,vultstanding,1
540,people,11
541,will,9
542,say,1
543,something,5
544,doesn’t,2
545,matter,1
546,pikachu,3
547,broken,2
548,even,7
549,though,6
550,results”,1
551,really,6
552,femme,1
553,busca,3
554,referencias,1
555,cuáles,1
556,episodios,2
557,relleno,2
558,ignores,1
559,échale,1
