,word,count
0,esposa,5
1,compañero,2
2,correo,4
3,caroní,25
4,william,2
5,urdaneta,2
6,juliomoya,4
7,oliviadelv,22
8,gobjustonoguera,1
9,tatachavista,1
10,isp,1
11,bolivar,5
12,prensagobol,1
13,sec,2
14,gob,3
15,amigo,6
16,postulación,1
17,nancy,6
18,parapeto,1
19,primarias,4
20,psuv,5
21,obligatoriamente,1
22,haber,6
23,candidatos,1
24,candidatas,1
25,cada,17
26,cargo,2
27,hicieron,9
28,acto,2
29,distanciamiento,3
30,gente,27
31,tapabocas,2
32,sale,4
33,video,7
34,tata,1
35,bolívar,122
36,mañana,32
37,jul,23
38,despachan,2
39,combustible,15
40,terminales,4
41,placas,5
42,plan,11
43,especial,14
44,suspende,1
45,día,20
46,informó,12
47,zodibolivar,3
48,calle,7
49,cuchivero,1
50,carrera,1
51,caruachi,2
52,alta,9
53,vista,17
54,hará,3
55,inicio,1
56,campaña,3
57,guayana,138
58,puertoordaz,35
59,año,19
60,dupla,1
61,justo,23
62,noguera,20
63,reelección,1
64,gobernación,9
65,jrl,3
66,postulado,1
67,ubch,1
68,ir,7
69,ser,23
70,candidato,1
71,alcaldía,4
72,cúpula,1
73,partido,4
74,excluyó,1
75,postulaciones,2
76,igual,16
77,ángel,6
78,marcano,3
79,detenido,18
80,imputado,2
81,delitos,4
82,corrupción,6
83,caso,41
84,pasó,11
85,juicio,4
86,nunca,8
87,fecha,6
88,apertura,2
89,tribunal,7
90,siempre,12
91,difirió,1
92,después,16
93,arresto,4
94,domiciliario,4
95,vio,1
96,nuevamente,9
97,calles,4
98,¿que,2
99,lograron,2
100,misle,6
101,marcar,3
102,leído,2
103,casi,8
104,grupos,4
105,leer,11
106,mensajes,1
107,perdieron,5
108,marte,1
109,retoman,1
110,despacho,15
111,gasolina,64
112,placa,16
113,solo,49
114,estaciones,5
115,servicio,13
116,reportan,13
117,familias,5
118,vieron,2
119,afectadas,2
120,sector,12
121,luis,7
122,hurtado,2
123,higuera,2
124,san,17
125,félix,15
126,fuerte,11
127,lluvia,3
128,tarde,8
129,cayeron,2
130,postes,2
131,electricidad,12
132,fotos,10
133,cortesía,5
134,estactarde,1
135,pm,74
136,varios,21
137,sectores,15
138,puerto,32
139,ordaz,31
140,piermatteyjhoan,1
141,juliocastrom,1
142,efecto,3
143,vacuna,1
144,vacunados,2
145,si,60
146,contagiamos,1
147,veamos,1
148,comprometidos,1
149,llegar,7
150,cuidados,2
151,intensivos,1
152,podemos,2
153,contagiar,1
154,personas,23
155,cuidado,1
156,debe,10
157,mantenerse,1
158,lesmerojas,1
159,diogelis,5
160,lamentablemente,7
161,falta,22
162,transparencia,1
163,mismas,1
164,acciones,1
165,actores,1
166,políticos,1
167,oposición,2
168,generaron,3
169,población,5
170,trata,6
171,creer,1
172,tener,9
173,fe,2
174,retomar,1
175,demostrar,1
176,política,1
177,seria,1
178,aspiramos,1
179,ejemplo,6
180,cierto,6
181,schantalmilano,1
182,pensado,1
183,irte,1
184,país,23
185,vas,1
186,empezaste,1
187,producir,1
188,personales,1
189,novio,1
190,cuándo,5
191,casas,6
192,pa,3
193,hijos,10
194,terminan,5
195,guaidó,5
196,voluntad,1
197,popular,1
198,denuncia,7
199,secuestro,1
200,freddy,4
201,guevara,2
202,parte,25
203,faes,8
204,última,6
205,comunicación,7
206,hizo,9
207,transmisión,2
208,vivo,2
209,vehículo,5
210,interceptado,1
211,¿cuándo,2
212,detendrán,2
213,koki,1
214,toda,5
215,dictadura,3
216,respuesta,8
217,sometida,2
218,miseria,1
219,años,40
220,aguanta,1
221,clama,1
222,libertad,18
223,soscuba,1
224,detención,6
225,fabiana,1
226,rodales,1
227,presencia,3
228,casa,14
229,objetivo,1
230,detener,3
231,juan,4
232,así,39
233,aplican,2
234,castigo,2
235,ciudad,34
236,excluyen,1
237,carlossuniagag,10
238,cubrir,3
239,pauta,1
240,anarquía,1
241,resultado,6
242,crea,1
243,caos,7
244,problema,12
245,desabastecimiento,2
246,sigue,15
247,serviciopublico,4
248,niña,6
249,fernanda,1
250,márquez,2
251,diagnosticada,1
252,covid,40
253,requiere,7
254,ayuda,18
255,urgente,3
256,junio,1
257,acababan,1
258,colas,16
259,segun,1
260,tareckpsuv,1
261,cola,28
262,celyspc,1
263,dravillegasm,3
264,reduce,2
265,riesgos,1
266,impide,3
