tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized,neg,neu,pos,sentiment
Ayudemos a @Almagro_OEA2015 a verificar dónde fue está brutal represión!!!  Venezuela Cuba Nicaragua  Si es EEUU 🤐 . Porque le suspenden el sueldo.,"['ayudemos', 'almagro', 'oea', 'verificar', 'dónde', 'brutal', 'represión', 'venezuela', 'cuba', 'nicaragua', 'si', 'eeuu', 'suspenden', 'sueldo']",Let's help @ Almagro_OEA2015 to verify where this brutal repression was !!! Venezuela Cuba Nicaragua If it is the US 🤐. Because his salary is suspended.,"['let', 'help', 'almagro', 'oea', 'verify', 'brutal', 'repression', 'venezuela', 'cuba', 'nicaragua', 'us', 'salary', 'suspended']",0.456,0.419,0.126,Negativo
"Que decían la derecha del pueblo Cubano??? Vean cómo sale a las calles en defensa de su patria, de su libertad, de su Revolución!!  Viva Cuba!!! Viva Fidel!!! Viva la Revolución Cubana!!!","['decían', 'derecha', 'pueblo', 'cubano', 'vean', 'cómo', 'sale', 'calles', 'defensa', 'patria', 'libertad', 'revolución', 'viva', 'cuba', 'viva', 'fidel', 'viva', 'revolución', 'cubana']","What did the right wing of the Cuban people say ??? See how he takes to the streets in defense of his homeland, his freedom, his Revolution! Long live Cuba !!! Long live Fidel!!! Long live the Cuban Revolution !!!","['right', 'wing', 'cuban', 'people', 'say', 'see', 'takes', 'streets', 'defense', 'homeland', 'freedom', 'revolution', 'long', 'live', 'cuba', 'long', 'live', 'fidel', 'long', 'live', 'cuban', 'revolution']",0.0,0.778,0.222,Positivo
Mucho por seguir haciendo!!! Y bajo la dirección del Presidente @nicolasmaduro  continuar fortaleciendo el Sistema Penitenciario Venezolano.    https://t.co/OGx2XUohaF  https://t.co/tcC7hmzOGA,"['seguir', 'haciendo', 'bajo', 'dirección', 'presidente', 'nicolasmaduro', 'continuar', 'fortaleciendo', 'sistema', 'penitenciario', 'venezolano']",Much to continue doing !!! And under the direction of President @nicolasmaduro continue to strengthen the Venezuelan Penitentiary System. https://t.co/OGx2XUohaF https://t.co/tcC7hmzOGA,"['much', 'continue', 'direction', 'president', 'nicolasmaduro', 'continue', 'strengthen', 'venezuelan', 'penitentiary', 'system']",0.0,0.796,0.204,Positivo
"El Penitenciarismo es una actividad que, a pesar de estar conectada directamente a lo jurídico, es una actividad principal y profundamente social. Agradezco a Dios y a la Revolución haberme permitido formarme académica y profesionalmente en esta área.  https://t.co/CMdBKA0iXn","['penitenciarismo', 'actividad', 'pesar', 'conectada', 'directamente', 'jurídico', 'actividad', 'principal', 'profundamente', 'social', 'agradezco', 'dios', 'revolución', 'haberme', 'permitido', 'formarme', 'académica', 'profesionalmente', 'área']","Penitentiary is an activity that, despite being directly connected to the legal, is a main and deeply social activity. I thank God and the Revolution for allowing me to train academically and professionally in this area. https://t.co/CMdBKA0iXn","['penitentiary', 'activity', 'despite', 'directly', 'connected', 'legal', 'main', 'deeply', 'social', 'activity', 'thank', 'god', 'revolution', 'allowing', 'train', 'academically', 'professionally', 'area']",0.065,0.706,0.229,Positivo
Uno de mis libros preferidos de Historia de Venezuela. 👏👏👏,"['libros', 'preferidos', 'historia', 'venezuela', '👏👏👏']",One of my favorite books on the History of Venezuela. 👏👏👏,"['one', 'favorite', 'books', 'history', 'venezuela', '👏👏👏']",0.0,0.786,0.214,Positivo
"Que orgullo pertenecer al Partido más democrático, más participativo y más grande de nuestra Patria. Nuestro @PartidoPSUV legado del Comandante Chávez hoy sigue ejerciendo la democracia plena con sus militantes guiados por nuestro Presidente @NicolasMaduro  https://t.co/1C4A9wVXmu","['orgullo', 'pertenecer', 'partido', 'democrático', 'participativo', 'grande', 'patria', 'partidopsuv', 'legado', 'comandante', 'chávez', 'hoy', 'sigue', 'ejerciendo', 'democracia', 'plena', 'militantes', 'guiados', 'presidente', 'nicolasmaduro']","What pride to belong to the most democratic, most participatory and largest Party in our country. Our @PartidoPSUV legacy of Commander Chávez today continues to exercise full democracy with his militants guided by our President @NicolasMaduro https://t.co/1C4A9wVXmu","['pride', 'belong', 'democratic', 'participatory', 'largest', 'party', 'country', 'partidopsuv', 'legacy', 'commander', 'chávez', 'today', 'continues', 'exercise', 'full', 'democracy', 'militants', 'guided', 'president', 'nicolasmaduro']",0.0,0.779,0.221,Positivo
"Como profesional y especialista en materia Penitenciaria, pero sobre todo como Jóven Revolucionario, aplaudo la decisión del Presidente  @NicolasMaduro en instruir la renovación permanente del Sistema de Justicia garante de los #DDHH  Lo acompañamos Presidente!!!  https://t.co/ieUTZfkcgC","['profesional', 'especialista', 'materia', 'penitenciaria', 'jóven', 'revolucionario', 'aplaudo', 'decisión', 'presidente', 'nicolasmaduro', 'instruir', 'renovación', 'permanente', 'sistema', 'justicia', 'garante', 'ddhh', 'acompañamos', 'presidente']","As a professional and specialist in Penitentiary matters, but above all as a Young Revolutionary, I applaud the decision of the President @NicolasMaduro to instruct the permanent renewal of the Justice System that guarantees the #DDHH. We accompany him President !!! https://t.co/ieUTZfkcgC","['professional', 'specialist', 'penitentiary', 'matters', 'young', 'revolutionary', 'applaud', 'decision', 'president', 'nicolasmaduro', 'instruct', 'permanent', 'renewal', 'justice', 'system', 'guarantees', 'ddhh', 'accompany', 'president']",0.0,0.681,0.319,Positivo
Los peruanos habrán leído de la maldición de @liliantintori ???? Cuenta la leyenda que el que se toma fotografía con ella muerde el polvo del fracaso. 🤣😂🤣😂  Perú Castillo Fujimori Vargas Llosa  https://t.co/GCdfkn6fWE,"['peruanos', 'leído', 'maldición', 'liliantintori', 'cuenta', 'leyenda', 'toma', 'fotografía', 'muerde', 'polvo', 'fracaso', '🤣😂🤣😂', 'perú', 'castillo', 'fujimori', 'vargas', 'llosa']",Peruvians have read about the curse of @liliantintori ???? Legend has it that whoever takes a picture with her bites the dust of failure. 🤣😂🤣😂 Peru Castillo Fujimori Vargas Llosa https://t.co/GCdfkn6fWE,"['peruvians', 'read', 'curse', 'liliantintori', 'legend', 'whoever', 'takes', 'picture', 'bites', 'dust', 'failure', '🤣😂🤣😂', 'peru', 'castillo', 'fujimori', 'vargas', 'llosa']",0.198,0.541,0.261,Positivo
El liderazgo de nuestro Presidente @NicolasMaduro su equipo de trabajo como Ministro @CTrompiz2 y la sabiduría de nuestro pueblo es la garantía de vencer no solo el covid 19 sino cualquier ataque de los enemigos de Venezuela.,"['liderazgo', 'presidente', 'nicolasmaduro', 'equipo', 'trabajo', 'ministro', 'ctrompiz', 'sabiduría', 'pueblo', 'garantía', 'vencer', 'solo', 'covid', 'sino', 'cualquier', 'ataque', 'enemigos', 'venezuela']","The leadership of our President @NicolasMaduro, his work team as Minister @ CTrompiz2 and the wisdom of our people is the guarantee of defeating not only covid 19 but any attack by the enemies of Venezuela.","['leadership', 'president', 'nicolasmaduro', 'work', 'team', 'minister', 'ctrompiz', 'wisdom', 'people', 'guarantee', 'defeating', 'covid', 'attack', 'enemies', 'venezuela']",0.366,0.412,0.222,Negativo
Cómo Joven Revolucionario me siento orgulloso de pertenecer al @PartidoPSUV que transformó la Política Venezolana y hoy contamos con una Política con P mayúscula. Basada en una verdadera democracia participativa y protagónica. Es Gobernar obedeciendo.  @NicolasMaduro  https://t.co/V8eC7xZUOp,"['cómo', 'joven', 'revolucionario', 'siento', 'orgulloso', 'pertenecer', 'partidopsuv', 'transformó', 'política', 'venezolana', 'hoy', 'contamos', 'política', 'mayúscula', 'basada', 'verdadera', 'democracia', 'participativa', 'protagónica', 'gobernar', 'obedeciendo', 'nicolasmaduro']",As a Young Revolutionary I am proud to belong to the @PartidoPSUV that transformed Venezuelan Politics and today we have a Politics with a capital P. Based on a true participatory and protagonist democracy. It is to rule by obeying. @NicolasMaduro https://t.co/V8eC7xZUOp,"['young', 'revolutionary', 'proud', 'belong', 'partidopsuv', 'transformed', 'venezuelan', 'politics', 'today', 'politics', 'capital', 'based', 'true', 'participatory', 'protagonist', 'democracy', 'rule', 'obeying', 'nicolasmaduro']",0.0,0.742,0.258,Positivo
