,word,count
0,arturodelatella,2
1,lugar,4
2,bien,7
3,bonito,1
4,mercedes,1
5,creo,10
6,literal,6
7,agotador,2
8,meegandm,3
9,valen,15
10,marico,13
11,wtf,3
12,internet,8
13,pudrición,1
14,hoy,24
15,mood,4
16,cantante,1
17,esperen,2
18,pongo,1
19,despecho,1
20,lloro,4
21,fiorella,1
22,amo,18
23,ajajkakakak,1
24,menos,7
25,janiceportes,18
26,🤩❤️,1
27,epa,1
28,recomienden,1
29,ahí,7
30,vainita,1
31,nesfli,1
32,voy,20
33,pa,18
34,vamos,9
35,xfa,3
36,fiorellaagb,14
37,date,1
38,pues,10
39,necesito,8
40,acabe,1
41,semestre,2
42,odio,10
43,universidad,4
44,aquí,6
45,mátenme,2
46,mañana,5
47,vez,10
48,lunes,1
49,coño,9
50,madre,3
51,vale,6
52,quiero,40
53,🥺❤️,2
54,mismo,7
55,vibe,1
56,ewinsitooo,1
57,tweetazo,1
58,segundo,1
59,sh,1
60,glennpzz,1
61,dile,1
62,vicio,1
63,alguien,11
64,recomiende,1
65,unas,3
66,meditaciones,2
67,fa,2
68,perro,5
69,alo,4
70,funcionó,1
71,divino,3
72,deseo,1
73,día,14
74,helado,4
75,va,13
76,naguevonada,1
77,rolo,1
78,webona,2
79,rota,1
80,verga,5
81,lante,1
82,bb,2
83,magalystika,20
84,así,8
85,lees,1
86,mierda,6
87,deprimida,1
88,responsable😛,1
89,puedo,12
90,escuchar,7
91,música,2
92,tampoco,3
93,hablen,1
94,vuelvo,2
95,llorar,9
96,forzar,9
97,dejo,2
98,manos,1
99,jmbckt,1
100,na,1
101,tutorial,1
102,cómo,13
103,dejar,2
104,desgraciada,1
105,cosas,12
106,ser,12
107,tan,5
108,difíciles,1
109,quieras,2
110,persona,5
111,aceptar,1
112,veces,7
113,funciona,1
114,pasa,12
115,mejor,18
116,aunque,2
117,leas,1
118,nunca,3
119,vida,8
120,amamos,1
121,imposibles,1
122,suerte,3
123,lesbiana,1
