tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized,neg,neu,pos,sentiment
@Daniel_Santolo Saludos,"['daniel', 'santolo', 'saludos']",@Daniel_Santolo Greetings,"['daniel', 'santolo', 'greetings']",0.0,0.417,0.583,Neutral
"@Daniel_Santolo En lo absoluto, como no la hace marciano, demócrata, marxista o fascista","['daniel', 'santolo', 'absoluto', 'hace', 'marciano', 'demócrata', 'marxista', 'fascista']","@Daniel_Santolo Not at all, as it does not make it a Martian, a democrat, a Marxist or a fascist","['daniel', 'santolo', 'make', 'martian', 'democrat', 'marxist', 'fascist']",0.375,0.625,0.0,Neutral
@Daniel_Santolo Somos ciudadanos que necesitamos gasolina y que tenemos que hacer enormes colas por la pésima política energética del modelo del socialismo del siglo 21,"['daniel', 'santolo', 'ciudadanos', 'necesitamos', 'gasolina', 'hacer', 'enormes', 'colas', 'pésima', 'política', 'energética', 'modelo', 'socialismo', 'siglo']",@Daniel_Santolo We are citizens who need gasoline and who have to queue for the terrible energy policy of the 21st century model of socialism,"['daniel', 'santolo', 'citizens', 'need', 'gasoline', 'queue', 'terrible', 'energy', 'policy', 'st', 'century', 'model', 'socialism']",0.191,0.679,0.13,Neutral
@lajula13 Alto pana y buena persona descansa en paz  Jaime,"['lajula', 'alto', 'pana', 'buena', 'persona', 'descansa', 'paz', 'jaime']",@ lajula13 High corduroy and good person rest in peace Jaime,"['lajula', 'high', 'corduroy', 'good', 'person', 'rest', 'peace', 'jaime']",0.0,0.484,0.516,Neutral
Sera que veremos afiches del Che flaqueados por otros de Steven Seagal?   https://t.co/x7zb404C8o,"['sera', 'veremos', 'afiches', 'che', 'flaqueados', 'steven', 'seagal']",Will we see posters of Check wavered by others of Steven Seagal? https://t.co/x7zb404C8o,"['see', 'posters', 'check', 'wavered', 'others', 'steven', 'seagal']",0.0,1.0,0.0,Neutral
"Difícil algo más conservador que un gobierno ""revolucionario"" que se ha consolidado en el poder","['difícil', 'conservador', 'gobierno', 'revolucionario', 'consolidado', 'poder']","Difficult something more conservative than a ""revolutionary"" government that has consolidated itself in power","['difficult', 'something', 'conservative', 'revolutionary', 'government', 'consolidated', 'power']",0.294,0.706,0.0,Neutral
algo inaceptable y aborrecible  para los “revolucionarios.” que es la alternabilidad,"['inaceptable', 'aborrecible', 'revolucionarios', 'alternabilidad']","something unacceptable and abhorrent to ""revolutionaries."" what is alternation","['something', 'unacceptable', 'abhorrent', 'revolutionaries', 'alternation']",0.703,0.297,0.0,Neutral
"La izquierda democrática en el poder es consistente en su anhelo de transformación sin pretender la destrucción de la democracia, la izquierda autoritaria utiliza la revolución como pretexto para concentrar el poder y aniquilar al sistema cuyas reglas establecen","['izquierda', 'democrática', 'poder', 'consistente', 'anhelo', 'transformación', 'pretender', 'destrucción', 'democracia', 'izquierda', 'autoritaria', 'utiliza', 'revolución', 'pretexto', 'concentrar', 'poder', 'aniquilar', 'sistema', 'cuyas', 'reglas', 'establecen']","The democratic left in power is consistent in its desire for transformation without seeking the destruction of democracy, the authoritarian left uses the revolution as a pretext to concentrate power and annihilate the system whose rules establish","['democratic', 'left', 'power', 'consistent', 'desire', 'transformation', 'without', 'seeking', 'destruction', 'democracy', 'authoritarian', 'left', 'uses', 'revolution', 'pretext', 'concentrate', 'power', 'annihilate', 'system', 'whose', 'rules', 'establish']",0.0,0.778,0.222,Neutral
"Mutación clásica de la izquierda autoritaria cuando llega al poder democráticamente: cuando son oposición se definen como progresistas, durante la reuniónprimera etapa en el poder como socialistas y una vez consolidados como revolucionarios es entonces cuando salen del closet","['mutación', 'clásica', 'izquierda', 'autoritaria', 'llega', 'poder', 'democráticamente', 'oposición', 'definen', 'progresistas', 'reuniónprimera', 'etapa', 'poder', 'socialistas', 'vez', 'consolidados', 'revolucionarios', 'entonces', 'salen', 'closet']","Classic mutation of the authoritarian left when it comes to power democratically: when they are in the opposition they define themselves as progressives, during the meeting, the first stage in power as socialists and once consolidated as revolutionaries, that is when they come out of the closet.","['classic', 'mutation', 'authoritarian', 'left', 'comes', 'power', 'democratically', 'opposition', 'define', 'progressives', 'meeting', 'first', 'stage', 'power', 'socialists', 'consolidated', 'revolutionaries', 'come', 'closet']",0.0,1.0,0.0,Neutral
@MireyaM97032871 Gracias saludos,"['mireyam', 'gracias', 'saludos']",@ MireyaM97032871 Thank you greetings,"['mireyam', 'thank', 'greetings']",0.0,0.159,0.841,Neutral
Grande el maestro Aldemaro Romero - El Negro José - LatinWMG  https://t.co/Fzgx3O0ngu a través de @YouTube,"['grande', 'maestro', 'aldemaro', 'romero', 'negro', 'josé', 'latinwmg', 'través', 'youtube']",Grande el maestro Aldemaro Romero - El Negro José - LatinWMG https://t.co/Fzgx3O0ngu via @YouTube,"['grande', 'el', 'maestro', 'aldemaro', 'romero', 'el', 'negro', 'josé', 'latinwmg', 'via', 'youtube']",0.0,1.0,0.0,Neutral
Patéticos quienes con pose  de especialistas o consultores plantean la necesidad de una solución como si estuvieran proponiéndola,"['patéticos', 'pose', 'especialistas', 'consultores', 'plantean', 'necesidad', 'solución', 'si', 'proponiéndola']",Pathetic who with the pose of specialists or consultants raise the need for a solution as if they were proposing it,"['pathetic', 'pose', 'specialists', 'consultants', 'raise', 'need', 'solution', 'proposing']",0.308,0.5,0.192,Neutral
"Sin desperdicio, Contra la dictadura de lo políticamente correcto  https://t.co/PuPrm4xCsk vía @larazon_es","['desperdicio', 'dictadura', 'políticamente', 'correcto', 'vía', 'larazon']","Without waste, Against the dictatorship of the politically correct https://t.co/PuPrm4xCsk via @larazon_es","['without', 'waste', 'dictatorship', 'politically', 'correct', 'via', 'larazon', 'es']",0.0,0.75,0.25,Neutral
"Un relato conmovedor, My Brother’s Keeper  https://t.co/AA5CzPJKvr a través de @NewYorker","['relato', 'conmovedor', 'my', 'brother’s', 'keeper', 'través', 'newyorker']","A moving tale, My Brother’s Keeper https://t.co/AA5CzPJKvr via @NewYorker","['moving', 'tale', 'brother’s', 'keeper', 'via', 'newyorker']",0.0,1.0,0.0,Neutral
