frequency,bigram/trigram
24,vía elpitazotv
16,alta vista
11,official video
10,puerto ordaz
10,elena uairén
9,santa elena
8,ayuda humanitaria
8,acosaresdelito unisinacoso
7,santa elena uairén
7,covid 19
6,gran sabana
6,feliz día
6,coronavirus italia
6,agua potable
5,sur bolívar
5,san félix
5,official music video
5,official music
5,music video
5,ciudad guayana
5,ciudad bolívar
5,ayer hoy
5,ah ah
4,violencia género
4,violaciones derechos humanos
4,violaciones derechos
4,this is
4,protección civil
4,lady gaga
4,humanos venezuela
4,hace tiempo
4,hace años
4,fin semana
4,elias_rivas leonervis
4,derechos humanos venezuela
4,derechos humanos
4,arma fuego
4,arctic monkeys
4,agua tuberías
3,vía youtube
3,vía rainews
3,vista norte
3,tumbar estatua
3,toro muerto
3,toda ciudad
3,sta elena uairén
3,sta elena
3,soda stereo
3,sigue siendo
3,raúl leoni
3,pueden hacer
3,news mundo
3,municipio caroní
3,menca leoni
3,lugar plaza
3,llega agua
3,hoy día
3,hacer fila
3,gracias saludos
3,frontera venezuela
3,frontera brasil
3,find your
3,falta agua
3,echar gasolina
3,dr raúl leoni
3,dr raúl
3,dos años
3,distribución agua
3,derecho humano
3,churún merú
3,cd guayana
3,casos positivos
3,cabildo abierto
3,boa vista
3,bbc news mundo
3,bbc news
3,banda zacarías
3,alta vista norte
3,ah ah ah
3,agua puertoordaz
3,acoso sexual
3,acceso agua potable
3,acceso agua
2,últimos dos años
2,últimos dos
2,ángela aguirre
2,zona residencial
2,you re
2,welcome to
2,we know
2,vía pitazo
2,vía el_pais
2,vía caracas
2,vocesdeldesamparo proyecto
2,vocesdeldesamparo gpsf4tqluv
2,vista antena emisora
2,vista antena
2,violaciones ddhh
2,viernes pasado
2,videos educativos tik
2,videos educativos
2,venezuela brasil
2,ve been
2,vandalizadas últimos dos
2,vandalizadas últimos
2,utombou raeinforma
2,unisinacoso acoso
2,ubicada azotea conj
2,ubicada azotea
2,término español
2,tumbar estatua hugo
2,tous mêmes
2,tormenta tarde puertoordaz
2,tormenta tarde
2,toda italia
2,tipo cliente
2,tik tok
2,tener agua
2,tarde puertoordaz derrumbó
2,tarde puertoordaz
2,sur venezuela
2,sto piangendo
2,solidaridad colega
2,so this is
2,so this
2,sigue siendo serie
2,siga buen trabajo
2,siga buen
2,siendo serie
2,sido vandalizadas últimos
2,sido vandalizadas
2,sexual deseado
2,servicio agua
2,serie vocesdeldesamparo
2,serie podcasts
2,san félix ciudad
2,salud pública
2,runrunesweb diariotalcual voyzes
2,runrunesweb diariotalcual
2,rolando garcía
2,rodríguez viña
2,robinson crusoe
2,robbie williams
2,resd churún merú
2,resd churún
2,repetidora ubicada azotea
2,repetidora ubicada
2,región afectada
2,refuerzos militares
2,reencuentro friends
2,redoma chilemex puertoordaz
2,redoma chilemex
2,redes sociales
2,redes distribución agua
2,redes distribución
2,red social
2,radio local
2,quiere decir
2,puertoordaz zonas
2,puertoordaz derrumbó antena
2,puertoordaz derrumbó
2,pueden hacer videos
2,puede ser
2,pueblo llano
2,protección civil it
2,promesas incumplidas
2,productos 1era necesidad
2,productos 1era
2,primera vez
2,preguntaron si
2,positivos covid19 italia
2,positivos covid19
2,pop 911
2,ponte pensar
2,pocas horas
2,pobreza extrema
2,plaza chipía olivos
2,plaza chipía
2,pediátrico menca leoni
2,pediátrico menca
2,país medicinas
2,pasó carro
2,paso fronterizo
2,pasaporte nuevo
2,partir hoy 8pm
2,partir hoy
2,ortega gasset
2,one only
2,ojos así
2,ojo ciento
2,off record
2,nicolás maduro
2,news mundo coronavirus
2,my biggest enemy
2,my biggest
2,murió hambre olvido
2,murió hambre
2,mundo coronavirus
2,mujer pobreza extrema
2,mujer pobreza
2,muertes coronavirus italia
2,muertes coronavirus
2,mramirezcabello jhoalys
2,momento ver
2,mismo tiempo
2,minas sur
2,miembros banda zacarías
2,miembros banda
2,merú alta vista
2,merú alta
2,mejores pregones
2,mejor red social
2,mejor red
2,mañana 23e
2,matthew perry
2,maiquetía sinluz
2,maduro ordenó
2,luego escuchas
2,lucio battisti
2,lorent saleh
2,lorebornacelly jajaja
2,lorebornacelly ah ah
2,lorebornacelly ah
2,lombardía véneto
2,live amp off
2,live amp
2,libertad plena
2,leonervis feliz
2,leonervis elias_rivas
2,leche condensada
2,lavarse manos
2,lata atún
2,lado venezolano
2,julia rodríguez viña
2,julia rodríguez
2,juego ollas
2,juan guaidó
2,jaja fan
2,italiano pronuncia
2,italia zona
2,italia euro2020
2,italia cuarentena
2,is pop 911
2,is pop
2,is happening
2,insumos tratar
2,informarnoesdelito venezuela
2,igualdad género
2,hugo chávez
2,hoy dedico mejores
2,hoy dedico
2,hoy aprendí
2,hoy 8pm
2,hospital san
2,historias abuso
2,historia podcast
2,heridos mujer
2,hambre olvido
2,hacer videos educativos
2,hacer videos
2,hacer cola
2,hace días
2,hace año
2,gustavo cerati
2,guayana bolívar
2,guardia nacional
2,grande italia euro2020
2,grande italia
2,gran equipo
2,gran abrazo
2,gol gol
2,gobierno venezolano
2,gobierno brasil
2,gobernador roraima
2,gladylisflores jaja
2,gedv86 jajaja
2,félix ciudad bolívar
2,félix ciudad
2,fuerzas armadas atlántico
2,fuerzas armadas
2,fuerza armada
2,frontera venezuela brasil
2,from live amp
2,from live
2,freebritney freebritney
2,francisco contreras
2,forrest gump
2,forma parte
2,fiebre amarilla
2,feliz año
2,fecha vencimiento
2,fallecidos ayer
2,fall apart
2,eversalazar jajajaja
2,estatuas chávez sido
2,estatuas chávez
2,estatua hugo chávez
2,estatua hugo
2,escuela julia rodríguez
2,escuela julia
2,entrada ayuda humanitaria
2,entrada ayuda
2,entiendo porqué
2,enero 2019
2,enemy is pop
2,enemy is
2,empresas básicas
2,emisora radio local
2,emisora radio
2,emilia romagna
2,emergencia coronavirus
2,elpitazotv runrunesweb diariotalcual
2,elpitazotv runrunesweb
2,elianajv jhoalys
