tweet,tweet_tokenized
"¿Le aconsejarían a un niño/joven ""que te consigas una mujer con dinero que te mantenga""? ¿No?   Exacto. Tampoco se lo digan a las niñas 🤘","['¿le', 'aconsejarían', 'niño', 'joven', 'consigas', 'mujer', 'dinero', 'mantenga', '¿no', 'exacto', 'tampoco', 'digan', 'niñas']"
@AurelisConTwtt Thanks 🤗,"['aureliscontwtt', 'thanks']"
"Hoy he tenido uno de mis peores días con la menstruación. Estoy acostumbrada, es normal en algunas mujeres tener dolores agudos horrorosos, nauseas, inflamación... pero siempre se sufre. Uno debería poder pedir un sick day en el trabajo en días así 😭","['hoy', 'peores', 'días', 'menstruación', 'acostumbrada', 'normal', 'mujeres', 'tener', 'dolores', 'agudos', 'horrorosos', 'nauseas', 'inflamación', 'siempre', 'sufre', 'debería', 'poder', 'pedir', 'sick', 'day', 'trabajo', 'días', 'así']"
@lorebornacelly Que dice que es María Fernanda 😂,"['lorebornacelly', 'dice', 'maría', 'fernanda']"
@eversalazar Es este. Este es el momento.,"['eversalazar', 'momento']"
La mamma è sempre la mamma ❤,"['mamma', 'sempre', 'mamma']"
"Qué impotencia me da ver y leer sobre Cuba. Me desespera. Pienso en Venezuela y en lo indefenso que se está ante tales dictaduras.  Protestar es valentía, guáramo, fuerza de espíritu. ¡Fuerza! #SosCuba","['impotencia', 'da', 'ver', 'leer', 'cuba', 'desespera', 'pienso', 'venezuela', 'indefenso', 'tales', 'dictaduras', 'protestar', 'valentía', 'guáramo', 'fuerza', 'espíritu', '¡fuerza', 'soscuba']"
"-Ayer hubo tormenta con granizo, fue terrible, qué nervios...  -¿Pero le pasó algo al carro?  👀😅","['ayer', 'tormenta', 'granizo', 'terrible', 'nervios', '¿pero', 'pasó', 'carro', '👀😅']"
"Mi papá todavía me regaña porque ""es media noche y estás despierta"" ❤😅","['papá', 'todavía', 'regaña', 'media', 'noche', 'despierta', '❤😅']"
"""GRAZIE DONNARUMA! Il calcio torna a casa, ma la casa del calcio è l'Italia, non l'Inghilterra""   ITALIA CAMPEONE #EURO2020 Mitico!!","['grazie', 'donnaruma', 'il', 'calcio', 'torna', 'casa', 'ma', 'casa', 'calcio', 'italia', 'non', 'inghilterra', 'italia', 'campeone', 'euro', 'mitico']"
GRANDEEEEE GIGGIOOOOO,"['grandeeeee', 'giggiooooo']"
"(Chiesa en italiano se pronuncia ""quiesa"" y significa Iglesia)","['chiesa', 'italiano', 'pronuncia', 'quiesa', 'significa', 'iglesia']"
Che bravo Chiesa #Euro2020Final,"['che', 'bravo', 'chiesa', 'euro', 'final']"
No supero el gol de Inglaterra...,"['supero', 'gol', 'inglaterra']"
Grande Donnaruma e grande L'Italia! #EURO2020,"['grande', 'donnaruma', 'grande', 'italia', 'euro']"
Estos penales no los vi venir.  #ForzaAzzurri #EURO2020,"['penales', 'vi', 'venir', 'forzaazzurri', 'euro']"
@LaTuristaKAM 🤗,['laturistakam']
"Oggi ho fatto il #vaccinoCovid  Pfizer BioNtech.  Giuro che non ho sentito la puntura, ne dolore, ne nausea, ne niente 🙌  https://t.co/dnCnNeE28j","['oggi', 'ho', 'fatto', 'il', 'vaccinocovid', 'pfizer', 'biontech', 'giuro', 'che', 'non', 'ho', 'sentito', 'puntura', 'ne', 'dolore', 'ne', 'nausea', 'ne', 'niente']"
¡¡Qué emoción!! #MiAniversarioDeTwitter  https://t.co/zd3cQ7lOx4,"['¡¡qué', 'emoción', 'mianiversariodetwitter']"
"Y ya que estamos, yo creo que Paul Rudd hizo falta en el reencuentro de #Friends","['creo', 'paul', 'rudd', 'hizo', 'falta', 'reencuentro', 'friends']"
Siempre es genial hablar de cine con mi querido @raulvejarw 🎬,"['siempre', 'genial', 'hablar', 'cine', 'querido', 'raulvejarw']"
"Silenzio, Bruno!","['silenzio', 'bruno']"
"Es que yo no puedo entender que, si Britney estaba tan mal psicologicamente, la hayan tenido trabajando full bajo la tutela legal.  Tenían que darle su tiempo de recuperación total, alejada de todo. Este mundo está mal 💔 #FreeBritney","['puedo', 'entender', 'si', 'britney', 'tan', 'mal', 'psicologicamente', 'trabajando', 'full', 'bajo', 'tutela', 'legal', 'darle', 'tiempo', 'recuperación', 'total', 'alejada', 'mundo', 'mal', 'freebritney']"
@Soydesireelugo Hot Girls Wanted... es interesante,"['soydesireelugo', 'hot', 'girls', 'wanted', 'interesante']"
GRANDE L'ITALIA 🇮🇹 #EURO2020 a semi!,"['grande', 'italia', '🇮🇹', 'euro', 'semi']"
"Donnaruma, grande","['donnaruma', 'grande']"
"@Ismet1987 Verdaderamente, Mancini se está luciendo","['ismet', 'verdaderamente', 'mancini', 'luciendo']"
"(En italiano, se pronuncia ""insiñe"", la unión de la G y la N tiene sonido de Ñ)","['italiano', 'pronuncia', 'insiñe', 'unión', 'sonido']"
"El segundo gol de Italia, de Insigne, fue 🤩 2 a 1 #Euro2021","['segundo', 'gol', 'italia', 'insigne', 'euro']"
Gol gol gol 🇮🇹 ⚽,"['gol', 'gol', 'gol', '🇮🇹']"
"Les digo ""no, gracias"", en tono normal, ni molesta ni riéndome y sigo.  Cuando salgo me dicen ""¿entonces? ¿Pudiste ir sin ayuda?""   No somos ""generación de cristal"", solo queremos respeto. Punto.","['digo', 'gracias', 'tono', 'normal', 'molesta', 'riéndome', 'sigo', 'salgo', 'dicen', '¿entonces', '¿pudiste', 'ir', 'ayuda', 'generación', 'cristal', 'solo', 'queremos', 'respeto', 'punto']"
"Ayer fui a tomarme algo a un bar... cuando fui al baño, dos señores mayores que estaban en la barra, cerca del baño, se paran y me dicen ""nosotros somos los que acompañamos a las mujeres al baño"", en tono de broma, wow qué chistoso 🤡","['ayer', 'tomarme', 'bar', 'baño', 'dos', 'señores', 'mayores', 'barra', 'cerca', 'baño', 'paran', 'dicen', 'acompañamos', 'mujeres', 'baño', 'tono', 'broma', 'wow', 'chistoso']"
"En Italia, ""la vuelta del bobo"" se dice ""il giro dell'oca"" 🦢.   (Y si te dicen ""oca"", obvio, te están diciendo bobo 😅)","['italia', 'vuelta', 'bobo', 'dice', 'il', 'giro', 'dell', 'oca', 'si', 'dicen', 'oca', 'obvio', 'diciendo', 'bobo']"
Ordenar tu casa te ordena los pensamientos. Es el consejo que me dio siempre mi mamá y yo lo suscribo y lo comparto ahora ❤,"['ordenar', 'casa', 'ordena', 'pensamientos', 'consejo', 'dio', 'siempre', 'mamá', 'suscribo', 'comparto', 'ahora']"
L'Italia vince 2 a 1. Rumbo a cuantos de final   #Euro2021,"['italia', 'vince', 'rumbo', 'cuantos', 'final', 'euro']"
GOOOOOOOOOOOLLLLLL 🇮🇹🇮🇹🇮🇹🇮🇹,"['gooooooooooollllll', '🇮🇹🇮🇹🇮🇹🇮🇹']"
"Britney Spears confirmó los rumores, está prácticamente secuestrada por su papá y su manager. No la dejan NI DECIDIR NO HACER UN PASO EN UNA COREOGRAFÍA.   La mujer genera cientos de millones de $ y no la dejan decidir nada sobre su carrera o su propia vida. Es abominable","['britney', 'spears', 'confirmó', 'rumores', 'prácticamente', 'secuestrada', 'papá', 'manager', 'dejan', 'decidir', 'hacer', 'paso', 'coreografía', 'mujer', 'genera', 'cientos', 'millones', 'dejan', 'decidir', 'carrera', 'propia', 'vida', 'abominable']"
#AMood,['amood']
#FreeBritney #FreeBritney  #FreeBritney,"['freebritney', 'freebritney', 'freebritney']"
El prime day fue un poco chimbo...,"['prime', 'day', 'chimbo']"
JAJA,['jaja']
This,['this']
"@Naky Casualmente, esta película la vi por primera vez con mi papá y fue lo máximo ❤😂","['naky', 'casualmente', 'película', 'vi', 'primera', 'vez', 'papá', 'máximo', '❤😂']"
"""Le preguntaré a mi papá, seguro él sabe""  Y sí, siempre sabe.  Soy afortunada de tener a mi papá ❤   ¡Feliz día del padre!","['preguntaré', 'papá', 'seguro', 'sabe', 'siempre', 'sabe', 'afortunada', 'tener', 'papá', '¡feliz', 'día', 'padre']"
@xabierizar Así es.,"['xabierizar', 'así']"
"Ustedes no lo van a creer, pero conversando sobre el tema, una mujer me dijo que era mejor *no contratar mujeres* porque se ""podían poner de acuerdo para embarazarse al mismo tiempo"" y así fregar al patrón/empleador   Por eso y más el feminismo es necesario.","['ustedes', 'van', 'creer', 'conversando', 'tema', 'mujer', 'dijo', 'mejor', 'contratar', 'mujeres', 'podían', 'poner', 'acuerdo', 'embarazarse', 'mismo', 'tiempo', 'así', 'fregar', 'patrón', 'empleador', 'feminismo', 'necesario']"
@eversalazar Debería ser D as in Dragon 🔥,"['eversalazar', 'debería', 'ser', 'as', 'in', 'dragon']"
Que se te queme el ajo debe ser una de las peores tragedias de cuando uno cocina...,"['queme', 'ajo', 'debe', 'ser', 'peores', 'tragedias', 'cocina']"
Mi vecino tiene 83 años y sale a manejar bicicleta por 1 hora todos los días...   Y yo aquí quejándome del dolor de espalda 😅 #MondayMotivation #Italia,"['vecino', 'años', 'sale', 'manejar', 'bicicleta', 'hora', 'días', 'aquí', 'quejándome', 'dolor', 'espalda', 'mondaymotivation', 'italia']"
Estoy viendo #Friends en orden por enésima vez y es increíble cómo me sigo riendo aunque me sepa los capítulos ❤😂,"['viendo', 'friends', 'orden', 'enésima', 'vez', 'increíble', 'cómo', 'sigo', 'riendo', 'aunque', 'sepa', 'capítulos', '❤😂']"
"Una de las víctimas había enfrentado al alcalde de El Callao,  en un video, ""Si no me mata el COVID, me va a matar el hambre (…) Ustedes comen, nosotros no. Que me maten... si me matan fue él, porque no le importó lo que yo dije""   #Venezuela     https://t.co/ov84G8cIRi","['víctimas', 'enfrentado', 'alcalde', 'callao', 'video', 'si', 'mata', 'covid', 'va', 'matar', 'hambre', 'ustedes', 'comen', 'maten', 'si', 'matan', 'importó', 'dije', 'venezuela']"
"@diogelis En ese campo, me sorprendió mucho Matthew Perry 😮","['diogelis', 'campo', 'sorprendió', 'matthew', 'perry']"
 https://t.co/3TlGYB8TA5,[]
"@diogelis Chama pero él fue tan genuino, lo amé demasiado","['diogelis', 'chama', 'tan', 'genuino', 'amé', 'demasiado']"
"Qué bolas, ya es junio DE 2021!   🤯","['bolas', 'junio']"
Matt Le Blanc fue el mejor en el reencuentro de Friends,"['matt', 'blanc', 'mejor', 'reencuentro', 'friends']"
"Tanti auguri a mi favorito, el mitico #ClintEastwood","['tanti', 'auguri', 'favorito', 'mitico', 'clinteastwood']"
@lorebornacelly 🤣,['lorebornacelly']
@eversalazar  https://t.co/JCjxMFlqei,['eversalazar']
Pues la opción de escuchar los audios más rápidos en WhatsApp la vengo teniendo HOY,"['pues', 'opción', 'escuchar', 'audios', 'rápidos', 'whatsapp', 'vengo', 'hoy']"
Yo cuando confieso que no me gusta el plátano,"['confieso', 'gusta', 'plátano']"
@Laura_Weffer Me sumo al grupo que ama los voice largos 🙌,"['laura', 'weffer', 'sumo', 'grupo', 'ama', 'voice', 'largos']"
"Hoy aprendí que en italiano también existe la expresión ""rabo de paja"" y se dice ""coda di paglia"".   🇻🇪 🤝 🇮🇹","['hoy', 'aprendí', 'italiano', 'existe', 'expresión', 'rabo', 'paja', 'dice', 'coda', 'di', 'paglia', '🇻🇪', '🇮🇹']"
#informarnoesdelito,['informarnoesdelito']
L'Italia ha vinto #Eurovision2021 siamo fuori di testaaa 🎶 Grandi  #maneskin,"['italia', 'vinto', 'eurovision', 'siamo', 'fuori', 'di', 'testaaa', 'grandi', 'maneskin']"
@diogelis  https://t.co/QqKW29vANs,['diogelis']
But they don't know that we know they know we know,"['but', 'they', 'don', 'know', 'that', 'we', 'know', 'they', 'know', 'we', 'know']"
😍  (¿Pero qué tiene Matthew Perry?),"['¿pero', 'matthew', 'perry']"
Qué lindo recordar la emoción que me daba leer los libros de #HarryPotter cuando era niña 💛,"['lindo', 'recordar', 'emoción', 'daba', 'leer', 'libros', 'harrypotter', 'niña']"
este niño 😍,['niño']
 https://t.co/BXD7q1jYei,[]
Always stay gracious Best revenge is your paper 🎶,"['always', 'stay', 'gracious', 'best', 'revenge', 'is', 'your', 'paper']"
Hoy sería un día perfecto para comprarme una comida china venezolana para llevar 💛😥,"['hoy', 'día', 'perfecto', 'comprarme', 'comida', 'china', 'venezolana', 'llevar', '💛😥']"
Doloroso. No tiene nombre lo que han hecho con @ElNacionalWeb #InformarNoEsDelito,"['doloroso', 'nombre', 'hecho', 'elnacionalweb', 'informarnoesdelito']"
@CarlosCarli Forza!,"['carloscarli', 'forza']"
"@CarlosCarli Ah no, existen si estás sacando la licencia y quieren hacerte ver la vaina como imposible de lograr.  ""Después que tengas la licencia manejas como te dé la gana"", un poema 🌼","['carloscarli', 'ah', 'existen', 'si', 'sacando', 'licencia', 'quieren', 'hacerte', 'ver', 'vaina', 'imposible', 'lograr', 'después', 'licencia', 'manejas', 'dé', 'gana', 'poema']"
Manejar en Italia es tener ansiedad por la gente que te va a adelantar a lo loco cuando vas al máximo de velocidad permitido  Hay una via en la que pareciera que la única que respeta el límite de 90km/h soy yo ☹,"['manejar', 'italia', 'tener', 'ansiedad', 'gente', 'va', 'adelantar', 'loco', 'vas', 'máximo', 'velocidad', 'permitido', 'via', 'pareciera', 'única', 'respeta', 'límite', 'km']"
I'm glad you're here  Just holding me...  So say that you won't live 'Cause since the day you came I've been glad 🎶 #JLo #Bennifer,"['glad', 'you', 're', 'here', 'just', 'holding', 'so', 'say', 'that', 'you', 'won', 'live', 'cause', 'since', 'the', 'day', 'you', 'came', 've', 'been', 'glad', 'jlo', 'bennifer']"
Español: No hay Italiano: non c'è Dialecto Véneto: nol ghe nè,"['español', 'italiano', 'non', 'dialecto', 'véneto', 'nol', 'ghe', 'nè']"
Actualización: las arepas se vendieron. Arepita con pollo nunca defrauda #LoLogramosVenezuela,"['actualización', 'arepas', 'vendieron', 'arepita', 'pollo', 'nunca', 'defrauda', 'lologramosvenezuela']"
@NetflixIT Dark 😱,"['netflixit', 'dark']"
Hoy hice este tiramisú escuchando el Super Increíble Podcast de @nanutria. Me acompañó en momentos difíciles haciendo el merengue y además me enteré del chisme de la Superliga 😅 #MondayMotivation  https://t.co/DiYm7p8WzK,"['hoy', 'hice', 'tiramisú', 'escuchando', 'super', 'increíble', 'podcast', 'nanutria', 'acompañó', 'momentos', 'difíciles', 'haciendo', 'merengue', 'además', 'enteré', 'chisme', 'superliga', 'mondaymotivation']"
"La escena de capitana Marvel peleando, con I'm Just a Girl de fondo 💛","['escena', 'capitana', 'marvel', 'peleando', 'just', 'girl', 'fondo']"
@daguirrev1 @RAEinforma JAJAJAJA WTF,"['daguirrev', 'raeinforma', 'jajajaja', 'wtf']"
Loca people,"['loca', 'people']"
@RAEinforma Chupi chupi 🇻🇪,"['raeinforma', 'chupi', 'chupi', '🇻🇪']"
Meteora es un gran álbum. Siempre lo digo.,"['meteora', 'gran', 'álbum', 'siempre', 'digo']"
@danizuritac @elias_rivas Ya no existe el de Alta Vista? 😢,"['danizuritac', 'elias', 'rivas', 'existe', 'alta', 'vista']"
"@AurelisConTwtt Jajaja pero que no se metan con eso, quise decir. Vi mucho hate por ahí","['aureliscontwtt', 'jajaja', 'metan', 'quise', 'decir', 'vi', 'hate', 'ahí']"
"Dejen a las chamas bailar sus TikTok en las fiestas, vale","['dejen', 'chamas', 'bailar', 'tiktok', 'fiestas', 'vale']"
