frequency,bigram/trigram
7,dios mio
6,fraudeenvenezuela fraudeenvenezuela
5,redes sociales
5,fraudeenvenezuela fraudeenvenezuela fraudeenvenezuela
4,pregunta n8iah24jan
4,hazme pregunta n8iah24jan
4,hazme pregunta
4,623 millones
3,soyunasabrina jajaja
3,si quieres
3,sabes si
3,pesadilla pesadilla
3,mejor amiga
3,greys anatomy
3,fin cabo
3,feliz día
3,clases online
2,única joven bailoterapia
2,única joven
2,you re
2,vicerrector administrativo
2,verdad si
2,ver si
2,ver netflix
2,toque pagar
2,toda venezuela
2,tipo normal
2,soyunasabrina jajajjaja
2,sofiangm_ johadesantos
2,so horny
2,sigo siendo
2,si luz
2,ser única joven
2,ser única
2,rueda prensa
2,really really
2,quiz mañana
2,puedo mas
2,puede llegar ser
2,puede llegar
2,pollo adobado
2,pesadilla pesadilla pesadilla
2,paso atrás
2,oscarvzla99 josesamuelc
2,misma ucab
2,mientras veo
2,mas feliz
2,mande correos
2,love you
2,llegar ser
2,llegando casa
2,llamar banco
2,kikingball tampoco
2,joven bailoterapia
2,johadesantos semana
2,jdlarosa neriopalo
2,itsjustarianna jaja
2,iguana jajaja
2,habian pasado
2,gracial200 livingicecream
2,flaco hcapriles
2,feliz cumpleaños
2,espero puedan
2,director finanzas
2,dinero cuenta
2,dias 623
2,defender votos
2,dale puej
2,da gana
2,da ansiedad
2,cuenta universidad
2,comprar dolares
2,cola gasolina
2,caja virtual
2,c4millx máscara
2,bueno pues
2,buena kikingball tampoco
2,buena kikingball
2,asi mismo
2,amor vida
2,amor primera
2,alinear chakras
2,ahora si
2,abre cancha
1,único importante aqui
1,único importante
1,única situación gente
1,única situación
1,única persona actually
1,única persona
1,única manera encontrar
1,única manera
1,último día año
1,último día
1,últimas palabras 12
1,últimas palabras
1,zoom dandole mientras
1,zoom dandole
1,zi paza
1,zelanda olvidarme mundo
1,zelanda olvidarme
1,yureisi venimoj rato
1,yureisi venimoj
1,you ve found
1,you ve
1,you stronger
1,you say we
1,you say
1,you re not
1,you re best
1,you miss now
1,you miss
1,you makes you
1,you makes
1,you leave
1,you don have
1,you don
1,you cause love
1,you cause
1,you can laugh
1,you can
1,yotrasmanerasdeenamorarme amor primera
1,yotrasmanerasdeenamorarme amor
1,yooo bella vale
1,yooo bella
1,yisu989 costó si
1,yisu989 costó
1,yeliboli oscarvzla99 josesamuelc
1,yeliboli oscarvzla99
1,yeixonpino feel
1,year amo deseo
1,year amo
1,yeaahh woooo
1,yaggo11 enlaucab jajajajjajaja
1,yaggo11 enlaucab
1,wtf ubíquense
1,wtf lluvia endemoniada
1,wtf lluvia
1,wow blackberry ahora
1,wow blackberry
1,would do if
1,would do
1,wlydita imaginese tristeza
1,wlydita imaginese
1,without understanding my
1,without understanding
1,with you ve
1,with you
1,will there way
1,will there
1,why did you
1,why did
1,when there will
1,when there
1,when nobody around
1,when nobody
1,whattt asi
1,what would do
1,what would
1,what doesn kill
1,what doesn
1,weefoundcaro recreo usar
1,weefoundcaro recreo
1,we re just
1,we re
1,wasabi boca gatito
1,wasabi boca
1,wanna iguana jajaja
1,wanna iguana
1,vzla pasando fucking
1,vzla pasando
1,vzla barranco salida
1,vzla barranco
1,vuelve acurrucarte conmigo
1,vuelve acurrucarte
1,vuelvas esperare solodimeandre
1,vuelvas esperare
1,vuelvan favor
1,vueltas escuchar musica
1,vueltas escuchar
1,vueltas cosas pasión
1,vueltas cosas
1,vuelta atrás
1,voz fondo presente
1,voz fondo
1,voz alguien tomado
1,voz alguien
1,voy ver hago
1,voy ver
1,voy tatuar sola
1,voy tatuar
1,voy señor educado
1,voy señor
1,voy seguir siendo
1,voy seguir
1,voy hacer organizar
1,voy hacer
1,voy dormir inspirador
1,voy dormir
1,voy contigo
1,votos futuro dejen
1,votos futuro
1,votos extranjero veo
1,votos extranjero
1,voto menor edad
1,voto menor
1,votasinmiedo votar cambio
1,votasinmiedo votar
1,votar quede
1,votar cambio mejor
1,votar cambio
1,volviéndome loca dos
1,volviéndome loca
1,volviendo romper corazon
1,volviendo romper
1,volver tw
1,volver personas vieron
1,volver personas
1,volver pasado solo
1,volver pasado
1,volteas almohada mas
1,volteas almohada
1,vivo mismo mundo
1,vivo mismo
1,vivir vida feliz
1,vivir vida
1,vivir sola tener
1,vivir sola
1,vivir enseñaste seguiré
1,vivir enseñaste
1,vivir amor odio
1,vivir amor
1,vivimos propia guerra
1,vivimos propia
1,vivimos mundo mierda
1,vivimos mundo
1,viva pepa
1,visto vida jaja
1,visto vida
1,visto greys anatomy
1,visto greys
1,vista si mar
1,vista si
1,vista gorda espero
1,vista gorda
1,vista cualquier cosa
1,vista cualquier
1,vis vis mejor
1,vis vis
1,vis mejor serie
1,vis mejor
1,virtual tarjeta internacional
1,virtual tarjeta
1,virtual segunda parte
1,virtual segunda
1,viral exigir justicia
1,viral exigir
1,vino cada dos
1,vino cada
1,vinito par cigarritos
1,vinito par
1,vieron cara tonta
1,vieron cara
1,viernes 10pm sabado
1,viernes 10pm
1,vienes decir vale
1,vienes decir
1,vienen vacaciones quiero
1,vienen vacaciones
1,viene jaja
1,viendo noticias jennifer
1,viendo noticias
1,viendo mismo episodio
1,viendo mismo
1,viendo hannah montana
1,viendo hannah
1,viejas corazon sigue
1,viejas corazon
1,vida vienes decir
1,vida vienes
1,vida sinceramente
1,vida simplemente desastre
1,vida simplemente
1,vida perseguir amor
1,vida perseguir
1,vida perder sueño
1,vida perder
1,vida nunca puede
1,vida nunca
1,vida maravillosa contigo
1,vida maravillosa
1,vida mamá
1,vida jaja
1,vida gracias alex
1,vida gracias
1,vida feliz
1,vida demás tan
1,vida demás
1,vida cariño arman
1,vida cariño
1,vida can change
1,vida can
1,vida cambio
1,vida alcohol cosa
1,vida alcohol
1,vida agota
1,vicerrector obviamente echo
1,vicerrector obviamente
1,vicerrector administrativo si
1,vicerrector administrativo explicara
1,vibra contigo
1,vez tia ofrecio
1,vez tia
1,vez resolver rapido
1,vez resolver
1,vez mando mierda
1,vez mando
1,vez hacer haciendo
1,vez hacer
1,vez favor pido
1,vez favor
1,vez 21
1,vete preparando llegando
1,vete preparando
1,vestido hermoso
1,ves tipa arrancandose
1,ves tipa
1,verte retrovisor
1,verte crecer hace
1,verte crecer
1,verlas mas nunca
1,verlas mas
1,verla parada calle
1,verla parada
1,verifiquemos podremos retornarte
1,verifiquemos podremos
1,vergüenza dios mio
1,vergüenza dios
1,verga sashazamorano camillacedi
1,verga sashazamorano
1,verdad verdad fuckkkk
1,verdad verdad
1,verdad todavia
1,verdad si miras
1,verdad ser insensible
1,verdad ser
1,verdad odio gente
1,verdad odio
1,verdad nunca va
1,verdad nunca
1,verdad hecho mismo
1,verdad hecho
1,verdad gente mas
1,verdad gente
1,verdad fuckkkk
1,verdad existe algún
1,verdad existe
1,verdad da ansiedad
1,verdad da
1,verdad considero asi
1,verdad considero
1,verdad amo calor
1,verdad amo
1,verdad almas conectan
1,verdad almas
1,verdad ahhh pensaba
1,verdad ahhh
1,verdaaad dm ps
1,verdaaad dm
1,ver si compras
1,ver si aqui
1,ver persona quieres
1,ver persona
1,ver netflix solo
1,ver ka nueva
1,ver ka
1,ver hago
1,ver esconde pantalón
1,ver esconde
1,ver dicen
1,ver convertido
1,ver clases online
1,ver clases
1,veo única persona
1,veo única
1,veo vacaciones solo
1,veo vacaciones
1,veo tw
1,veo despues
1,veo capriles beeeeeeeeeeeeeeeeeeeeeeeeee
1,veo capriles
1,veo aqui mana
1,veo aqui
1,vente miercoles cuenta
1,vente miercoles
1,ventana segundos creer
1,ventana segundos
1,ventana aun saber
1,ventana aun
1,venimoj rato
1,venia gaitas equivocó
1,venia gaitas
1,vengo todas clases
1,vengo todas
1,vengo mostrar gusta
1,vengo mostrar
1,vengas joder
1,vengas decir nuevo
1,vengas decir
1,venezuelasomostodos votasinmiedo votar
1,venezuelasomostodos votasinmiedo
1,venezuela va luchar
1,venezuela va
1,venezuela puras noticias
1,venezuela puras
1,venezuela primero mírate
1,venezuela primero
1,venezuela perfecta contigo
1,venezuela perfecta
1,venezuela nuevamente
1,venezuela mato plo
1,venezuela mato
1,venezuela dije
1,venezuela da ansiedad
1,venezuela da
1,venezuela activa capriles
1,venezuela activa
1,venezolanos venden camisa
1,venezolanos venden
1,venezolana chiste
1,veneno esperar muera
1,veneno esperar
1,vendrían siendo 1246
1,vendrían siendo
1,venden camisa 30
1,venden camisa
1,ven normal gusta
1,ven normal
1,ven nap date
1,ven nap
1,velas buena musica
1,velas buena
1,veen miiii
1,veces universidad recibieron
1,veces universidad
1,veces quiero odiarte
1,veces quiero
1,veces musica clases
1,veces musica
1,veces monto 623
1,veces monto
1,veces debe haber
1,veces debe
1,veces bloquean cuenta
1,veces bloquean
1,vean universidad ucab
1,vean universidad
1,vean greys anatomy
1,vean greys
1,ve ver si
1,ve ver
1,ve ok
1,ve found true
1,ve found
1,ve ever made
1,ve ever
1,ve clavo aja
1,ve clavo
1,ve bajaando mol
1,ve bajaando
1,vaya pasar necesito
1,vaya pasar
1,vas misma fácil
1,vas misma
1,vas caminando traquilita
1,vas caminando
1,varias veces bloquean
1,varias veces
1,varias cosas sorprendieron
1,varias cosas
1,van relaciones toxicas
1,van relaciones
1,van desbancar feliz
1,van desbancar
1,vamos venezuela puras
1,vamos venezuela
1,vamos quedar callados
1,vamos quedar
1,vamos contigo hcapriles
1,vamos contigo
1,valorar extender alas
1,valorar extender
1,valita1601 gracias valee
1,valita1601 gracias
1,valita1601 2a982216
1,valeryacevedo exactamenteee pánico
1,valeryacevedo exactamenteee
1,valentía decir derecho
1,valentía decir
1,valee extraño
1,vale sólo pasa
1,vale sólo
1,vale pena tremendo
1,vale pena
1,vale destacar unas
1,vale destacar
1,valdria dinero abonado
1,valdria dinero
1,valdran coño
1,valcape compre marica
1,valcape compre
1,valcape chama jajajja
1,valcape chama
1,vainas universidad vez
1,vainas universidad
1,vaina odie mas
1,vaina odie
1,vacaciones solo episodios
1,vacaciones solo
1,vacaciones quiero empezar
1,vacaciones quiero
1,va stop it
1,va stop
1,va solodimeandre
1,va ponerse habian
1,va ponerse
1,va michistedice morder
1,va michistedice
1,va luchar capriles
1,va luchar
