,word,count
0,dios,12
1,mio,8
2,odio,9
3,dejen,4
4,esperando,2
5,amor,10
6,magia,1
7,dijo,6
8,tito,1
9,tipooo,1
10,yisu,1
11,costó,1
12,si😂,1
13,ayer,3
14,panas,1
15,salimos,1
16,comer,2
17,perros,2
18,bueno,18
19,grupo,3
20,habia,4
21,niña,1
22,hiper,1
23,sifrina,1
24,insoportable,1
25,gracioso,1
26,verla,1
27,parada,1
28,calle,3
29,comiendo,4
30,am,3
31,adrianchilis,4
32,asie,1
33,verdad,17
34,considero,1
35,asi,19
36,jajaja,15
37,equisde,1
38,millx,6
39,tambien,6
40,quede,2
41,quiiiiiiii,1
42,plástico,1
43,adobo,1
44,encima,2
45,jajajajajjaja,2
46,ay,4
47,tata,1
48,pollo,3
49,adobado,2
50,nevera,1
51,ven,3
52,nap,1
53,date,1
54,porfa,4
55,si,59
56,mejor,23
57,clase,3
58,semestre,7
59,internet,4
60,deja,5
61,escuchar,4
62,oracion,1
63,completa,2
64,aquiiiii,1
65,diganme,1
66,existe,2
67,algún,2
68,estudiante,4
69,psicología,1
70,jna,1
71,buena,7
72,salud,1
73,mental,1
74,kreo,1
75,despertar,2
76,abrazado,1
77,alguien,12
78,deberia,1
79,ser,13
80,maravillas,1
81,mundo,16
82,hombres,2
83,complican,1
84,bro,3
85,relájense,1
86,miras,3
87,boca,2
88,hablamos,1
89,vuelta,2
90,atrás,6
91,valcape,2
92,chama,1
93,jajajja,1
94,quizas,2
95,fume,1
96,completo,2
97,rumbeando,1
98,chimbo,2
99,compre,2
100,marica😂,1
101,señores,2
102,llego,2
103,fuckgirl,1
104,moment😛,1
105,compré,1
106,primer,1
107,puff,1
108,viernes,1
109,pm,4
110,sabado,1
111,muerto,1
112,compren,1
113,van,2
114,desbancar,1
115,feliz,13
116,lunes,1
117,necesito,13
118,amigos,6
119,fastidio,1
120,tener,7
121,nadie,9
122,dar,3
123,vueltas,2
124,musica,3
125,you,12
126,say,3
127,we’re,1
128,just,3
129,friends,1
130,but,3
131,swear,1
132,when,2
133,nobody’s,1
134,around…,1
135,quieres,6
136,conmigo,8
137,amigo,2
138,confusión,1
139,cada,7
140,día,11
141,afirmo,1
142,mas,29
143,decia,2
144,amiga,5
145,gocha,1
146,ustedes,3
147,dicen,4
148,monte,1
149,culebra,1
150,unico,1
151,edificio,1
152,rodeado,2
153,barrios”,1
154,esperé,1
155,encargaste,1
156,demostrarme,1
157,darme,2
158,sebass,4
159,puteria,1
160,tipo,13
161,nene,1
162,manda,1
163,foto,1
164,dm,2
165,insta,1
166,mostrarsela,1
167,di,5
168,screenshot,1
169,pensando,3
170,llegaba,1
171,notificación,1
172,resulta,3
173,sale,2
174,vergüenza,2
175,mio😂😂,1
176,aunque,2
177,deboo,1
178,ey,1
179,pensar,2
180,bebeee,1
181,fuerte,4
182,fin,5
183,semana🥴,1
184,cansada,1
185,tapabocas,2
186,destruyan,1
187,fotos🥲,1
188,lalabustamante,2
189,tarde,4
190,reyna,1
191,ahorita,2
192,relajación,1
193,movieron,1
194,quiz,2
195,mañana,9
196,dia,8
197,hoy,14
198,sera,1
199,ver,11
200,ka,1
201,nueva,2
202,temporada,1
203,elite,1
204,aaaaaaa,1
205,echame,2
206,beta,1
207,pue,2
208,odiar,3
209,beber,1
210,veneno,1
211,esperar,5
212,muera”,1
213,wao,1
214,quiero,23
215,desaparecer,1
216,guardame,1
217,favor,7
218,gracias,16
219,lojamo,1
220,nojoda,2
221,miren,2
222,bebes🥺🤤,1
223,voy,7
224,tatuar,1
225,sola,4
226,tenkiu,1
227,veri,1
228,normal,7
229,gusta,4
230,diablito,1
231,aguacate,1
232,llorar,4
233,viendo,3
234,hannah,1
235,montana,1
236,declaro,1
237,fan,3
238,epa,3
239,hambre,3
240,entonces,2
241,pregunte,2
242,pa,8
243,pintarme,1
244,cabello,2
245,llevaron,1
246,dignidad,1
247,plataaaaaaa,1
248,gente,18
249,entiende,3
250,da,7
251,gana,2
252,entender,1
253,realmente,4
254,diciendo🤦🏼‍♀️,1
255,cuesta,1
256,demasiado,7
257,concentrarme,1
258,leer,3
259,siempre,8
260,ando,1
261,perdida,1
262,creo,3
263,mejores,3
264,capítulos,1
265,visto,2
266,greys,3
267,anatomy,3
268,boda,1
269,amelia,1
270,casanovadaph,2
271,mana,2
272,sacar,1
273,casas,1
274,bien,8
275,arrecho,1
276,oyo,2
277,veo,7
278,aqui,5
279,hola,3
280,terminar,2
281,carrera,4
282,largarme,1
283,aquiiiiiiiiii,1
284,laaaksmi,2
285,menos,8
286,cool,2
287,wtf,4
