tweet,tweet_tokenized
Dios mio como odio que me dejen esperando,"['dios', 'mio', 'odio', 'dejen', 'esperando']"
"El amor es una magia dijo tito, pero no con ese tipooo  https://t.co/fNU6xDc6Vr","['amor', 'magia', 'dijo', 'tito', 'tipooo']"
@Yisu989 Le costó pero si😂,"['yisu', 'costó', 'si😂']"
"Ayer estaba con unos panas y salimos a comer unos perros, bueno en el grupo habia una niña que es hiper sifrina y fue insoportable pero gracioso verla parada en la calle comiendo perros a las 3am","['ayer', 'panas', 'salimos', 'comer', 'perros', 'bueno', 'grupo', 'habia', 'niña', 'hiper', 'sifrina', 'insoportable', 'gracioso', 'verla', 'parada', 'calle', 'comiendo', 'perros', 'am']"
@adrianchilis Asie,"['adrianchilis', 'asie']"
@adrianchilis La verdad es que considero que es asi jajaja equisde,"['adrianchilis', 'verdad', 'considero', 'asi', 'jajaja', 'equisde']"
@c4millx Yo tambien me quede y que QUIIIIIIII,"['millx', 'tambien', 'quede', 'quiiiiiiii']"
Tiene el plástico y el adobo por encima JAJAJAJAJJAJA ay no,"['plástico', 'adobo', 'encima', 'jajajajajjaja', 'ay']"
Mi tata: hay pollo adobado en la nevera El pollo adobado:  https://t.co/MsjCrUPb5o,"['tata', 'pollo', 'adobado', 'nevera', 'pollo', 'adobado']"
Ven y tenemos una nap date porfa,"['ven', 'nap', 'date', 'porfa']"
"Dios mio es que si la mejor clase del semestre y mi internet no me deja escuchar ni una oracion completa, odio aquiiiii","['dios', 'mio', 'si', 'mejor', 'clase', 'semestre', 'internet', 'deja', 'escuchar', 'oracion', 'completa', 'odio', 'aquiiiii']"
"Diganme la verdad, existe algún estudiante de psicología que tenga jna buena salud mental?? No lo kreo","['diganme', 'verdad', 'existe', 'algún', 'estudiante', 'psicología', 'jna', 'buena', 'salud', 'mental', 'kreo']"
Despertar abrazado con alguien deberia ser una de las maravillas del mundo,"['despertar', 'abrazado', 'alguien', 'deberia', 'ser', 'maravillas', 'mundo']"
"Odio a los hombres que complican todo, bro relájense","['odio', 'hombres', 'complican', 'bro', 'relájense']"
"Es verdad, si me miras la boca cuando hablamos ya no hay vuelta atrás","['verdad', 'si', 'miras', 'boca', 'hablamos', 'vuelta', 'atrás']"
