tweet_translated_tokenized,sentiment,NB,SVM,DF,MaxEnt
"['totally', 'true']",Positivo,Positivo,Positivo,Positivo,Negativo
"['like', 'disease', 'regresses']",Positivo,Positivo,Positivo,Positivo,Positivo
"['come', 'shame', 'almagallanesvoy']",Negativo,Negativo,Negativo,Negativo,Negativo
"['ronny', 'one', 'players', 'leaves', 'runners', 'circulation', 'today', 'noooooo', 'magellan']",Negativo,Positivo,Positivo,Positivo,Positivo
"['remember', 'came', 'like', 'new']",Positivo,Positivo,Positivo,Positivo,Positivo
"['strength', 'faith', 'carlosocariz', 'son', 'greatest', 'cannot', 'leader', 'know', 'father', 'today', 'prayers', 'son']",Positivo,Positivo,Negativo,Positivo,Positivo
"['omg', 'playing', 'adonis']",Positivo,Positivo,Positivo,Positivo,Positivo
"['best', 'style', 'maría', 'bolívar', 'giving', 'little', 'help', 'cheetah']",Positivo,Positivo,Positivo,Positivo,Positivo
"['mlisson', 'great', 'let', 'write', 'statistics', 'favor', 'yosoymagallanero', 'mag', 'car']",Positivo,Positivo,Positivo,Positivo,Positivo
"['come', 'mlisson', 'cover', 'glory']",Positivo,Positivo,Negativo,Negativo,Negativo
"['two', 'races', 'bases', 'vital', 'face', 'closure', 'peace', 'mind']",Positivo,Positivo,Positivo,Negativo,Positivo
"['double', 'play', 'class', 'magellan']",Positivo,Positivo,Positivo,Positivo,Positivo
"['may', 'ready', 'win', 'another', 'pod']",Positivo,Positivo,Positivo,Positivo,Positivo
"['installing', 'ip', 'video', 'systems', 'never', 'easy', 'new', 'samsung', 'cctv', 'ip', 'kits', 'optrimadist']",Negativo,Positivo,Negativo,Negativo,Positivo
"['great', 'participation', 'level', 'attendees', 'samsung', 'ccs', 'road', 'show']",Positivo,Positivo,Positivo,Positivo,Positivo
"['excellent', 'experience', 'samsung', 'optrima', 'road', 'show', 'activities', 'needed', 'enhance', 'capabilities', 'integrators']",Positivo,Positivo,Negativo,Negativo,Positivo
"['hassan', 'spend', 'penalty']",Negativo,Negativo,Negativo,Negativo,Negativo
"['drowning', 'kicks', 'passed', 'street', 'bat', 'deserve', 'repeat']",Negativo,Negativo,Negativo,Negativo,Negativo
"['pineapple', 'dtvs', 'damn', 'things', 'linking', 'caracas', 'teeth']",Negativo,Positivo,Negativo,Positivo,Negativo
"['hassan', 'hassan', 'going']",Negativo,Positivo,Positivo,Negativo,Positivo
"['would', 'like', 'gif', 'adonis', 'dropping', 'bat', 'home', 'run']",Positivo,Positivo,Positivo,Positivo,Positivo
"['come', 'magellan', 'go']",Negativo,Negativo,Negativo,Negativo,Negativo
"['caraquistas', 'answer', 'carlitos', 'ugly', 'would', 'something', 'else']",Negativo,Positivo,Negativo,Negativo,Positivo
"['good', 'see', 'deolisguerra', 'magellan', 'dogout', 'solvency', 'pitching', 'hint', 'better', 'things', 'come']",Positivo,Positivo,Positivo,Positivo,Positivo
"['come', 'let', 'go', 'magallaneros', 'tonight', 'win']",Positivo,Positivo,Positivo,Positivo,Negativo
"['sadness', 'attendance', 'valencia', 'stadium', 'empty', 'little', 'noise', 'correspond', 'importance', 'game']",Negativo,Negativo,Negativo,Negativo,Negativo
"['meanwhile', 'increase', 'popularity', 'opposition', 'nico', 'chained', 'caracas', 'magallanes', 'nomejodas']",Positivo,Negativo,Negativo,Negativo,Negativo
"['ah', 'ha', 'ha']",Negativo,Positivo,Negativo,Negativo,Negativo
"['yes', 'course', 'nothing', 'hulks', 'stews', 'concacaf', 'conmebol', 'made']",Positivo,Positivo,Positivo,Positivo,Positivo
"['gm', 'workers', 'denounce', 'pickup', 'trucks', 'thief', 'stealing', 'thief']",Negativo,Negativo,Negativo,Negativo,Negativo
"['zapping', 'future', 'meche']",Negativo,Positivo,Negativo,Negativo,Negativo
"['anxiety', 'ccs', 'mag', 'put', 'leeeeejos']",Negativo,Positivo,Negativo,Negativo,Negativo
"['hypocrisy', 'world', 'anti', 'bullying', 'campaigns', 'channels', 'programs', 'always', 'nerds', 'bullies', 'cool']",Negativo,Negativo,Negativo,Negativo,Negativo
"['mercedes', 'good', 'race', 'pastor', 'hamilton', 'tri', 'champion']",Positivo,Positivo,Positivo,Positivo,Positivo
"['greetings', 'fpetrocelli', 'successes', 'always', 'pablo', 'girard', 'talks', 'change', 'roben', 'müller', 'money', 'di', 'maria', 'pablo', 'smoke']",Positivo,Positivo,Negativo,Negativo,Negativo
"['copaamericadirectvvargas', 'tt', 'candal']",Negativo,Positivo,Negativo,Negativo,Negativo
"['happens', 'machinery', 'copaamericadirectvvargas', 'one', 'chair']",Negativo,Positivo,Positivo,Negativo,Positivo
"['agree', 'turk', 'angelito', 'part', 'tomorrow', 'take', 'advantage', 'copaamericadirectvvargas', 'cut']",Positivo,Positivo,Positivo,Negativo,Positivo
"['happens', 'machinery', 'let', 'go', 'mohican', 'cut', 'copaamericadirectvvargas']",Negativo,Negativo,Negativo,Negativo,Negativo
"['let', 'go', 'machinery', 'cut', 'hair', 'copaamericadirectvvargas']",Negativo,Negativo,Negativo,Negativo,Negativo
"['copaamericadirectvvargas', 'cuidaoooo']",Negativo,Positivo,Negativo,Negativo,Negativo
"['nothing', 'better', 'finish', 'total', 'football', 'cut', 'hair', 'android', 'vargas', 'copaamericadirectvvargas']",Negativo,Positivo,Positivo,Positivo,Positivo
"['copaamericadirectvmilitary', 'vargas', 'android', 'vargas']",Negativo,Positivo,Negativo,Negativo,Positivo
"['strange', 'virus', 'makes', 'raise', 'hand', 'involuntarily', 'playing', 'soccer', 'small', 'area']",Positivo,Positivo,Positivo,Positivo,Positivo
"['futboltotaldirectv', 'began', 'program', 'came', 'alex', 'candal']",Negativo,Positivo,Negativo,Negativo,Negativo
"['would', 'tell', 'east', 'peel', 'shit', 'one', 'without', 'nose', 'catch']",Negativo,Positivo,Negativo,Negativo,Positivo
"['laperezperdomo', 'counting', 'ha', 'ha', 'mostro', 'broke']",Negativo,Positivo,Negativo,Negativo,Negativo
"['futboltotaldirectvalexdelagente', 'show', 'thank', 'world', 'ha', 'ha', 'ha']",Positivo,Positivo,Negativo,Positivo,Negativo
"['jarvargas', 'alex', 'candal', 'ja', 'good', 'identical']",Positivo,Positivo,Positivo,Positivo,Positivo
"['futboltotaldirectvalexdelagente', 'candal', 'lose', 'even', 'tibisay', 'cne', 'count', 'mentions']",Negativo,Negativo,Negativo,Negativo,Negativo
"['futboltotaldirectvalexdelagente', 'think', 'missing', 'pablo', 'selling', 'smoke', 'zappo']",Negativo,Positivo,Negativo,Negativo,Negativo
"['futboltotaldirectvalexdelagente', 'vargas', 'false', 'modesty', 'put', 'pants', 'stand', 'colombia']",Negativo,Positivo,Negativo,Negativo,Positivo
"['laperezperdomo', 'well', 'summarized', 'twitt']",Positivo,Positivo,Positivo,Positivo,Positivo
"['futboltotaldirectvalexdelagente', 'candal', 'challenge', 'zappo', 'make', 'harder']",Positivo,Positivo,Positivo,Negativo,Positivo
"['futboltotaldirectvalexdelagente', 'vargas', 'wearing', 'vinotinto', 'tie', 'day', 'game', 'brazil', 'cabal']",Negativo,Positivo,Negativo,Negativo,Positivo
"['futboltotaldirectvalexdelagente', 'careful', 'careful', 'zappo', 'comes', 'machinery']",Positivo,Negativo,Negativo,Negativo,Negativo
"['futboltotaldirectvalexdelagente', 'zapponi', 'sells', 'smoke', 'take', 'care', 'take', 'care']",Positivo,Positivo,Positivo,Negativo,Positivo
"['futboltotaldirectvalexdelagente', 'zzaponi', 'life']",Negativo,Positivo,Negativo,Negativo,Positivo
"['zapponi', 'good', 'lacks', 'futboltotaldirectvalexdelagente']",Positivo,Positivo,Positivo,Positivo,Positivo
"['futboltotaldirectvalexdelagente', 'always', 'tt']",Negativo,Negativo,Negativo,Negativo,Negativo
"['laverogomez', 'exists', 'refers', 'bad', 'luck', 'starting', 'business', 'project', 'case', 'hope', 'dwarfs', 'stay', 'small']",Positivo,Positivo,Negativo,Positivo,Negativo
"['today', 'selevinotinto', 'advances', 'ven', 'vamosvinotinto', 'chile']",Negativo,Negativo,Negativo,Positivo,Positivo
"['enderjchacon', 'much', 'work']",Negativo,Positivo,Negativo,Negativo,Positivo
['futboltotaldirectvno'],Negativo,Positivo,Negativo,Negativo,Negativo
"['futboltotaldirectv', 'good', 'alex', 'candal', 'excellent', 'measure', 'public', 'relationsist', 'vote', 'vargas', 'ha', 'ha']",Positivo,Positivo,Positivo,Positivo,Positivo
"['futboltotaldirectvmalo', 'fair']",Positivo,Negativo,Negativo,Negativo,Negativo
"['roboavenezuela', 'way', 'say', 'alex', 'candal']",Negativo,Positivo,Negativo,Negativo,Negativo
"['roboavenezuela', 'agree', 'candal', 'everything', 'brazil', 'pass']",Positivo,Positivo,Positivo,Negativo,Positivo
['footballtotaldirectvsi'],Negativo,Negativo,Negativo,Negativo,Negativo
['copaamericadirectvvenezuela'],Negativo,Negativo,Negativo,Negativo,Negativo
"['copaamericadirectvvenezuela', 'wait', 'avatar']",Negativo,Negativo,Negativo,Negativo,Negativo
"['futboltotaldirectvvenezuela', 'agree', 'zzaponi', 'neymar', 'irresponsible', 'selection', 'points']",Negativo,Positivo,Positivo,Negativo,Positivo
"['futboltotaldirectvvenezuela', 'neymar', 'disappointing', 'performance', 'game']",Negativo,Positivo,Negativo,Negativo,Negativo
"['angryabal', 'april', 'mother', 'would', 'say', 'late', 'tweeted', 'little', 'bird', 'right', 'would', 'late', 'tweeted', 'little', 'bird']",Negativo,Positivo,Negativo,Negativo,Negativo
"['peru', 'today', 'two', 'minutes', 'everything', 'minutes', 'st', 'goal', 'minutes', 'tie', 'minutes', 'remaining', 'win']",Positivo,Positivo,Positivo,Negativo,Positivo
"['much', 'lose', 'much', 'gain']",Positivo,Negativo,Negativo,Negativo,Negativo
"['tlongart', 'futboltotaldirectvganavenezuela', 'make', 'count', 'red', 'wine']",Negativo,Negativo,Negativo,Negativo,Negativo
"['rosadlopez', 'course', 'love']",Positivo,Positivo,Positivo,Positivo,Positivo
