tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['totally', 'true']",Positivo,0.4557192773722161,0.5442807226277839,0.4194626951003945,0.5805373048996054,0.0,1.0,0.5246103275699142,0.4753896724300858
"['like', 'disease', 'regresses']",Positivo,0.3291631827846473,0.6708368172153532,0.07598030349145536,0.9240196965085448,0.0,1.0,0.3324183527700396,0.6675816472299604
"['come', 'shame', 'almagallanesvoy']",Negativo,0.6928776775248121,0.3071223224751877,0.969416596585939,0.030583403414061024,1.0,0.0,0.693378130099471,0.306621869900529
"['ronny', 'one', 'players', 'leaves', 'runners', 'circulation', 'today', 'noooooo', 'magellan']",Negativo,0.4550790546830786,0.5449209453169203,0.3002574223759166,0.6997425776240833,0.0,1.0,0.42623815725131975,0.5737618427486803
"['remember', 'came', 'like', 'new']",Positivo,0.2624288720691369,0.7375711279308629,0.044475559995108174,0.955524440004892,0.0,1.0,0.2808562849596937,0.7191437150403063
"['strength', 'faith', 'carlosocariz', 'son', 'greatest', 'cannot', 'leader', 'know', 'father', 'today', 'prayers', 'son']",Positivo,0.3635966959640524,0.6364033040359474,0.5642322065064546,0.4357677934935455,0.0,1.0,0.46615018007351205,0.533849819926488
"['omg', 'playing', 'adonis']",Positivo,0.4459151226502118,0.5540848773497878,0.4039444961896702,0.5960555038103298,0.0,1.0,0.46924250188592065,0.5307574981140794
"['best', 'style', 'maría', 'bolívar', 'giving', 'little', 'help', 'cheetah']",Positivo,0.2532903623995797,0.7467096376004206,0.023646997077150102,0.97635300292285,0.0,1.0,0.31605016421091425,0.6839498357890857
"['mlisson', 'great', 'let', 'write', 'statistics', 'favor', 'yosoymagallanero', 'mag', 'car']",Positivo,0.4693629097433915,0.5306370902566073,0.3438068882236553,0.6561931117763448,0.0,1.0,0.4841138205338402,0.5158861794661598
"['come', 'mlisson', 'cover', 'glory']",Positivo,0.4695563644798434,0.5304436355201568,0.5810209618169633,0.4189790381830367,1.0,0.0,0.511017506001475,0.48898249399852495
"['two', 'races', 'bases', 'vital', 'face', 'closure', 'peace', 'mind']",Positivo,0.41053964920049535,0.5894603507995031,0.4205166746227337,0.5794833253772663,1.0,0.0,0.47683332734642936,0.5231666726535706
"['double', 'play', 'class', 'magellan']",Positivo,0.3674743565833845,0.6325256434166158,0.1140033311130693,0.8859966688869306,0.0,1.0,0.386440336359282,0.613559663640718
"['may', 'ready', 'win', 'another', 'pod']",Positivo,0.25604227408099484,0.7439577259190046,0.06076188248305513,0.9392381175169447,0.0,1.0,0.3399739106535655,0.6600260893464345
"['installing', 'ip', 'video', 'systems', 'never', 'easy', 'new', 'samsung', 'cctv', 'ip', 'kits', 'optrimadist']",Negativo,0.4411041341792349,0.558895865820764,0.5,0.5,1.0,0.0,0.4786180433456384,0.5213819566543616
"['great', 'participation', 'level', 'attendees', 'samsung', 'ccs', 'road', 'show']",Positivo,0.4274951737004749,0.5725048262995251,0.4144908210383521,0.5855091789616477,0.0,1.0,0.44306343555071626,0.5569365644492837
"['excellent', 'experience', 'samsung', 'optrima', 'road', 'show', 'activities', 'needed', 'enhance', 'capabilities', 'integrators']",Positivo,0.4727600780823288,0.5272399219176702,0.5708975383112792,0.4291024616887208,1.0,0.0,0.4767837848162976,0.5232162151837024
"['hassan', 'spend', 'penalty']",Negativo,0.504865745602445,0.4951342543975553,0.7057466521306089,0.2942533478693912,1.0,0.0,0.5327485497204261,0.4672514502795739
"['drowning', 'kicks', 'passed', 'street', 'bat', 'deserve', 'repeat']",Negativo,0.5552216841376724,0.4447783158623289,0.6600938551919401,0.33990614480806003,1.0,0.0,0.5506134238371776,0.44938657616282246
"['pineapple', 'dtvs', 'damn', 'things', 'linking', 'caracas', 'teeth']",Negativo,0.4915593922267551,0.5084406077732436,0.70854935464191,0.2914506453580898,0.0,1.0,0.5058558844213732,0.49414411557862686
"['hassan', 'hassan', 'going']",Negativo,0.42008555891786337,0.5799144410821367,0.4286125136816269,0.5713874863183733,1.0,0.0,0.4955844064966901,0.5044155935033099
"['would', 'like', 'gif', 'adonis', 'dropping', 'bat', 'home', 'run']",Positivo,0.3533872742178001,0.6466127257821983,0.08468832832555061,0.9153116716744496,0.0,1.0,0.36310719489577825,0.6368928051042217
"['come', 'magellan', 'go']",Negativo,0.6790074397487217,0.32099256025127754,0.8301388741741776,0.16986112582582238,1.0,0.0,0.6651987076242271,0.33480129237577294
"['caraquistas', 'answer', 'carlitos', 'ugly', 'would', 'something', 'else']",Negativo,0.3936314812793161,0.6063685187206851,0.6348596956140817,0.3651403043859182,1.0,0.0,0.4833106109480254,0.5166893890519746
"['good', 'see', 'deolisguerra', 'magellan', 'dogout', 'solvency', 'pitching', 'hint', 'better', 'things', 'come']",Positivo,0.3532288688390827,0.646771131160916,0.07280018572441414,0.9271998142755856,0.0,1.0,0.3368487339723367,0.6631512660276633
"['come', 'let', 'go', 'magallaneros', 'tonight', 'win']",Positivo,0.4995160153525785,0.5004839846474216,0.3527248999328545,0.6472751000671458,0.0,1.0,0.5289777787240011,0.47102222127599885
"['sadness', 'attendance', 'valencia', 'stadium', 'empty', 'little', 'noise', 'correspond', 'importance', 'game']",Negativo,0.5378195965066257,0.4621804034933749,0.7251884561505021,0.2748115438494978,1.0,0.0,0.5352641595069658,0.4647358404930341
"['meanwhile', 'increase', 'popularity', 'opposition', 'nico', 'chained', 'caracas', 'magallanes', 'nomejodas']",Positivo,0.5105905735751011,0.4894094264249008,0.6207339120916777,0.3792660879083224,1.0,0.0,0.519121270331811,0.480878729668189
"['ah', 'ha', 'ha']",Negativo,0.477067961156069,0.5229320388439306,0.7853176104732599,0.21468238952674032,1.0,0.0,0.5651493003782878,0.4348506996217122
"['yes', 'course', 'nothing', 'hulks', 'stews', 'concacaf', 'conmebol', 'made']",Positivo,0.3077417318438286,0.6922582681561712,0.18680152015242696,0.8131984798475729,0.0,1.0,0.37425606070230133,0.6257439392976987
"['gm', 'workers', 'denounce', 'pickup', 'trucks', 'thief', 'stealing', 'thief']",Negativo,0.5565020389840281,0.4434979610159721,0.7668682296014121,0.2331317703985878,1.0,0.0,0.5378804954703065,0.46211950452969347
"['zapping', 'future', 'meche']",Negativo,0.4936439103382286,0.5063560896617708,0.7539142547887299,0.2460857452112702,1.0,0.0,0.5231989459985635,0.4768010540014364
"['anxiety', 'ccs', 'mag', 'put', 'leeeeejos']",Negativo,0.4898770201612159,0.5101229798387851,0.564988000050203,0.43501199994979706,1.0,0.0,0.5059246251725584,0.49407537482744157
"['hypocrisy', 'world', 'anti', 'bullying', 'campaigns', 'channels', 'programs', 'always', 'nerds', 'bullies', 'cool']",Negativo,0.54732808043061,0.4526719195693887,0.7741196795174036,0.2258803204825965,1.0,0.0,0.5534906905968408,0.44650930940315925
"['mercedes', 'good', 'race', 'pastor', 'hamilton', 'tri', 'champion']",Positivo,0.4088084434205707,0.5911915565794302,0.27286270318002515,0.727137296819975,0.0,1.0,0.40732706708659794,0.5926729329134021
"['greetings', 'fpetrocelli', 'successes', 'always', 'pablo', 'girard', 'talks', 'change', 'roben', 'müller', 'money', 'di', 'maria', 'pablo', 'smoke']",Positivo,0.4990437976219784,0.5009562023780219,0.7429991315659431,0.25700086843405684,1.0,0.0,0.521387390376819,0.478612609623181
"['copaamericadirectvvargas', 'tt', 'candal']",Negativo,0.4729176469830388,0.5270823530169605,0.5838764668642455,0.4161235331357546,1.0,0.0,0.5063058355375196,0.4936941644624803
"['happens', 'machinery', 'copaamericadirectvvargas', 'one', 'chair']",Negativo,0.4219935396933681,0.5780064603066325,0.42151822658946375,0.5784817734105363,1.0,0.0,0.45251156666450276,0.5474884333354972
"['agree', 'turk', 'angelito', 'part', 'tomorrow', 'take', 'advantage', 'copaamericadirectvvargas', 'cut']",Positivo,0.3834957757437962,0.6165042242562022,0.3323082457318484,0.6676917542681519,1.0,0.0,0.4492846368939778,0.5507153631060222
"['happens', 'machinery', 'let', 'go', 'mohican', 'cut', 'copaamericadirectvvargas']",Negativo,0.5940461090667002,0.4059538909333011,0.8023727468105114,0.1976272531894885,1.0,0.0,0.6078211769104627,0.3921788230895374
"['let', 'go', 'machinery', 'cut', 'hair', 'copaamericadirectvvargas']",Negativo,0.682466961087302,0.31753303891269863,0.914278547873956,0.0857214521260437,1.0,0.0,0.6595298842333273,0.34047011576667274
"['copaamericadirectvvargas', 'cuidaoooo']",Negativo,0.4965645453737407,0.5034354546262586,0.6708640490500052,0.3291359509499949,1.0,0.0,0.5200950592607052,0.4799049407392948
"['nothing', 'better', 'finish', 'total', 'football', 'cut', 'hair', 'android', 'vargas', 'copaamericadirectvvargas']",Negativo,0.4777066723204681,0.5222933276795331,0.4665389085122289,0.533461091487771,0.0,1.0,0.4910426700411651,0.5089573299588349
"['copaamericadirectvmilitary', 'vargas', 'android', 'vargas']",Negativo,0.4439026146523958,0.5560973853476036,0.5308961996660263,0.4691038003339738,1.0,0.0,0.49541414074470613,0.5045858592552939
