frequency,bigram/trigram
16,fuerte abrazo
11,muchas gracias
6,larga vida
6,abrazo inmenso
5,ruiz pineda
5,mil gracias
5,gran abrazo
5,gracias cariño
5,feliz navidad
5,aplausos pie
5,28jun bolívar
4,puede ser
4,penalverc bracamontedavid
4,parque leonardo ruiz
4,parque leonardo
4,nuevo nivel
4,leonardo ruiz pineda
4,leonardo ruiz
4,feliz día
4,feliz cumple
4,federiconiche_ tonyfrangiem
4,debe ser
4,covid 19
4,ciudad bolívar
4,bolívar 28jun
3,éxito mundo
3,yolirmav muchas gracias
3,yolirmav muchas
3,washington post
3,tasar valor
3,siglo xxi
3,sigan éxitos
3,revolución industrial
3,recomiendo lectura
3,principio fin
3,noticias falsas
3,música electrónica
3,mil gracias cariño
3,medio comunicación
3,mariposatuitera yolirmav
3,lista discosperfectos
3,lenguaje inclusivo
3,inconsciente colectivo
3,gracias dios
3,francisco_022 iguanagabor
3,forma tasar valor
3,forma tasar
3,feliz año
3,feliz 2021
3,entender parte
3,dinámicas sociales
3,crisis política
3,contacto visual
3,cada vez
3,buenos días
3,buena parte
3,be like
3,así claro
3,américa latina
2,éxito nueva
2,you re
2,yanefernandez supuesto
2,yanefernandez luisfcocabezas
2,yanefernandez bostonrex
2,white trash
2,violencia mujeres
2,vigente solo
2,vida siempre
2,venezuela país
2,venezolana psiquiatría
2,varias veces
2,vanessavenezia hágale
2,vanessavenezia hermosa
2,valor signo
2,vale mira
2,usa tapabocas
2,umberto eco
2,triunfo ignorancia
2,trabajo doméstico
2,to be shocked
2,to be
2,time bts_twt
2,this is
2,think so
2,teoría musical
2,tantos temas
2,tal caso
2,sé si
2,sustituyó trabajo doméstico
2,sustituyó trabajo
2,steve vai
2,statu quo
2,sra nancy
2,sociedad venezolana psiquiatría
2,sociedad venezolana
2,sitio web
2,simbolismo número 40
2,simbolismo número
2,sigan creciendo
2,siempre ofrece
2,siempre mejor
2,sido proceso
2,si sumamos
2,si pagaran
2,si hablamos
2,si dudas
2,ser enfático
2,semejante nivel
2,sector privado
2,sabes si
2,ruiz pineda bolívar
2,rr ss
2,romper tensión
2,rinconesrosix freddyguevarac
2,revista sociedad venezolana
2,revista sociedad
2,referencia obligada
2,red hot
2,recomiendo entrevista
2,reacciones adversas
2,purificación inconsciente colectivo
2,purificación inconsciente
2,puerto ordaz
2,profesional abrazo
2,proceso histórico
2,primera persona
2,primera generación
2,pretends to be
2,pretends to
2,preguntas señoría
2,política venezolana
2,política estadounidense
2,pleno siglo xxi
2,pleno siglo
2,pineda bolívar
2,personal salud
2,permítanse decir
2,percusión orgánica tambores
2,percusión orgánica
2,peor pasó
2,pedrovalverdeva yanefernandez
2,paul gillman
2,partes iguales
2,parece lugar
2,padre abrazo
2,orgánica tambores
2,opinión pública
2,of god
2,número 40 lectura
2,número 40
2,nunca causa
2,nuevo ciclo
2,nivel técnico
2,ninguna relación
2,necesidad romper tensión
2,necesidad romper
2,naomi wolf
2,música viejos
2,momento histórico
2,millones personas
2,messi messi
2,mes orgullo
2,mentiras medias verdades
2,mentiras medias
2,mensajes odio
2,mensaje texto
2,menos hace
2,medios cómplices
2,medias verdades
2,mayor espíritu
2,maripuerta gash276
2,manifestación concreta
2,mala leche
2,m_betancourtm vanessarosales_
2,love you
2,love of god
2,love of
2,lobby político
2,libertad expresión
2,lengua siempre
2,lengua española
2,legalización aborto
2,lectura arquetipo purificación
2,lectura arquetipo
2,lasso dice
2,justo contrario
2,justicia poética
2,jungkeullaudia supuesto
2,jueves santo
2,josé gregorio
2,jornada vacunación
2,jmndoza_ danielajtb
2,invito leer
2,individual colectiva
2,hágale hágale
2,hold my
2,historia política
2,heavy metal
2,hace justicia
2,hace años
2,gran responsabilidad
2,gran institución
2,gracias padre
2,gracias cariño fuerte
2,gracias cariño feliz
2,ganas verlo
2,franela diga
2,francisco_022 oriana_sps
2,francisco_022 oocwhapp
2,francisco_022 espaiq_espiguel
2,francisco_022 consequence
2,francescosarpi candy66oficial
2,formar parte
2,forma dominación
2,for love of
2,for love
2,finales siglo
2,felicidades sigan éxitos
2,felicidades sigan
2,felicidades rodolfo
2,felicidades pana
2,felicidades mejor
2,extrema derecha
2,explicar parte
2,exilio venezolano
2,excelente hilo
2,estupidez humana
2,est vie
2,espero bien
2,espectáculo morbo
2,enfants patrie
2,end is
2,emergencia humanitaria
2,el_caps marusaez_
2,ejército rojo
2,efecto halo
2,económicas sociales
2,dramatis personae
2,dos semanas
2,discurso impostado
2,dejar lado
2,decirte abras
2,deben regir
2,dd hh
2,datos privados
2,dame dame
2,dale campeón
2,daft punk
2,cómo usa
2,cuba libre
2,cualquier persona
2,covid 19 simbolismo
2,convención americana
2,conoce efecto
2,comportamiento colectivo
2,com int
2,ciertas formas
2,chávez vive
2,cariño fuerte abrazo
2,cariño fuerte
2,cariño feliz
2,camilagon sheryl
2,camilagon jajajajajajajajaja
2,camilagon gracias
2,buenas vibras
2,bob dylan
2,black album
2,be shocked
2,años después
2,año pasado
2,así vida
2,así old
2,astrazéneca oxford
2,asalto capitolio
2,arquetipo purificación inconsciente
2,arquetipo purificación
2,aquí ahora
2,anótenlo lista discosperfectos
2,anótenlo lista
2,andresmedinave camilagon
2,allons enfants patrie
2,allons enfants
2,algún día
2,ahora creía
2,acompaño sentimiento
2,acompaño dolor
2,acabo ver
2,abrazo muchas
2,abrazo momento
2,40 lectura arquetipo
2,40 lectura
2,19 simbolismo número
2,19 simbolismo
1,útiles esparcir mentiras
1,útiles esparcir
1,útil trozo plástico
1,útil trozo
1,únicos méritos payasear
1,únicos méritos
1,único malo temas
1,único malo
1,único guion solo
1,único guion
1,única recuerdo pude
1,única recuerdo
1,única persona cuerda
1,única persona
1,única disfrútala feliz
1,única disfrútala
1,últimos rockstars nuevos
1,últimos rockstars
1,último salsero venezolano
1,último salsero
1,último prenda mayor
1,último prenda
1,último momento dime
1,último momento
1,último fanático estudiantes
1,último fanático
1,último evidencia necesidad
1,último evidencia
1,último dupla masificó
1,último dupla
1,últimas veces veía
1,últimas veces
1,última vez veamos
1,última vez
1,última hora incluyendo
1,última hora
1,última estación recibir
1,última estación
1,órdenes estrictamente protocolares
1,órdenes estrictamente
1,ópticas distintas partes
1,ópticas distintas
1,íntimos derecho ello
1,íntimos derecho
1,ínfulas dios
1,índole condición obviar
1,índole condición
1,éxitos venir abrazo
1,éxitos venir
1,éxitos saludos
1,éxitos fuerte abrazo
1,éxitos fuerte
1,éxitos bendiciones mereces
1,éxitos bendiciones
1,éxitos abrazo padres
1,éxitos abrazo
1,éxito sacar chavismo
1,éxito sacar
1,éxito opera prima
1,éxito opera
1,éxito nueva etapa
