,word,count
0,¿cómo,7
1,peruanos,1
2,podemos,5
3,confiar,1
4,medios,14
5,incapaces,1
6,enfrentar,1
7,mentiras,4
8,fujimori,1
9,desfile,1
10,conspiracionistas,1
11,peligro,2
12,mayor,12
13,ahora,25
14,asumirá,1
15,poder,10
16,partido,7
17,amenaza,3
18,instituciones,2
19,libertad,6
20,prensa,2
21,detalle,2
22,notar,2
23,gravedad,1
24,crisis,8
25,institucional,1
26,estadounidense,7
27,the,24
28,offspring,1
29,punketos,1
30,nueva,9
31,ee,8
32,uu,8
33,críticos,1
34,mordaces,1
35,sistema,7
36,acaban,1
37,publicar,2
38,tema,10
39,básicamente,1
40,critican,2
41,incumplimiento,1
42,leyes,3
43,non,2
44,oggi,1
45,nottoday,1
46,rafaelgmedina,1
47,sinluz,1
48,avenidas,1
49,táchira,1
50,maracay,1
51,mario,3
52,briceño,1
53,iragorri,1
54,ciudad,7
55,bolívar,18
56,pm,1
57,servicio,4
58,restableció,1
59,progresivamente,1
60,¿qué,17
61,secularización,2
62,fundamental,2
63,génesis,1
64,desarrollo,6
65,moderno,1
66,aquí,27
67,explicación,4
68,joven,2
69,minutos,5
70,filosofers,1
71,cc,3
72,fanzinero,3
73,bueno,11
74,susceptible,2
75,contagios,1
76,perdóname,1
77,cerati,4
78,hoy,24
79,buenos,6
80,aires,1
81,ve,4
82,gritan,1
83,¡messi,1
84,messi,6
85,¿cuántas,1
86,franelas,1
87,nombre,10
88,hecho,20
89,mismos,7
90,algún,3
91,cercano,1
92,merecida,1
93,gracias,35
94,siempre,36
95,corazones,1
96,❤️,9
97,🏆🇦🇷,1
98,¡dale,2
99,campeón,2
100,🇦🇷🏆,1
101,marie,4
102,dommar,4
103,pretends,2
104,to,11
105,be,7
106,shocked,2
107,qepd,1
108,prof,1
109,carlos,2
110,ortiz,1
111,compartimos,1
112,defensas,1
113,tesis,2
114,aún,15
115,discusión,7
116,académica,4
117,trasciende,2
118,salones,1
119,clase,3
120,familia,5
121,ecsucabg,1
122,país,22
123,perdido,1
124,ser,31
125,humano,5
126,valioso,1
127,manuelzdiaz,1
128,inspirada,1
129,libro,2
130,homónimo,1
131,woodward,1
132,bernstein,1
133,referencia,4
134,obligada,3
135,periodista,3
136,vida,23
137,larga,7
138,puedes,4
139,tener,7
140,muchas,15
141,vidas,5
142,diferentes,1
143,aprender,1
144,cosas,4
145,distintas,2
146,nunca,15
147,sabe,5
148,cuándo,2
149,servirán,1
150,así,34
151,aprende,3
152,puedas,2
153,combina,1
154,conocimientos,2
155,manera,9
156,novedosa,1
157,adáptate,1
158,sé,7
159,flexible,1
160,noerapenal,1
161,bel,1
162,ita,1
163,serviciopúblico,3
164,días,4
165,chequea,1
166,si,66
167,buscando,3
168,medicamentos,2
169,puerto,2
170,ordaz,2
171,castigo,2
172,venezuela,20
173,tan,23
174,sórdido,1
175,frecuente,2
176,metáforas,1
177,desgracia,3
178,obvias,1
179,inenarrables,1
180,lectura,8
181,existe,6
182,dictadura,8
183,responsable,3
184,incendio,2
185,universidad,1
186,grande,4
187,¿y,3
188,además,16
189,escuela,3
190,estudios,4
191,políticos,5
192,leninperezperez,1
193,cada,9
194,buscamos,1
195,placer,2
196,evitamos,1
197,dolor,7
198,salí,1
199,sastre,1
200,dio,1
201,talla,2
202,cesararamis,5
203,prosodia,3
204,demás,12
205,importante,10
206,chispa,1
207,composición,3
208,insulto,2
209,destreza,1
210,soltar,1
211,palabras,5
212,gracia,2
213,incluso,7
214,fines,2
215,virtuosos,1
216,vanessavenezia,13
217,¡hágale,2
218,hágale,3
219,davidedesio,2
220,precio,6
221,estupidez,3
222,osmel,1
223,sousa,1
224,ferespinasa,1
225,supuesto,18
226,alejandro,3
227,mhr,1
228,abrazo,59
229,contigo,4
230,oración,2
231,mamá,3
232,acerqué,1
233,cajero,1
234,supermercado,1
235,frecuento,1
236,dije,4
237,oído,1
238,espero,9
239,feliz,15
240,mes,2
241,orgullo,4
242,siéntete,1
243,orgulloso,1
244,agradecimiento,1
245,sonrisa,1
246,aguaron,1
247,ojos,2
248,instante,1
249,solo,40
250,dios,10
251,sabrá,1
252,sufrimiento,3
253,pride,2
254,cuidado,2
255,castigos,1
256,sufre,2
257,terminamos,1
258,sumar,1
259,diezman,1
260,generación,5
261,conocimiento,3
262,recomiendo,6
263,profesores,1
264,evitan,1
265,entrar,1
266,discusiones,3
267,estudiantes,2
268,ejercicio,7
269,necesario,8
270,crítica,1
271,pedagógica,1
272,herir,1
273,sensibilidades,1
274,crear,5
275,espacios,5
276,inseguros,1
277,obsesión,1
278,woke,1
279,safe,1
280,spaces,1
281,seguros,1
282,sterling,1
283,toda,7
284,eurocopa,1
285,montándose,1
286,equipo,3
287,hombro,1
288,jugadorazo,1
289,mats,1
290,hummels,1
291,autor,1
292,autogol,1
293,francia,2
294,hace,27
295,dos,13
296,semanas,2
297,salva,1
298,veces,7
299,arco,1
300,alemán,4
301,primer,6
302,tiempo,14
303,fútbol,7
304,ofrece,2
305,nuevas,6
306,oportunidades,1
307,horas,6
308,programación,1
309,tv,2
310,abierta,1
311,estudio,3
312,encontró,1
313,muestras,1
314,violencia,9
315,mujeres,10
316,niñas,3
317,noticieros,1
318,programas,1
319,entretenimiento,1
320,encuentros,1
321,deportivos,1
322,shows,2
323,infantiles,1
324,telenovelas,1
325,entrevistas,1
326,concursos,1
327,tertulias,1
328,corazón,2
329,reafirmo,1
330,moralexis,3
331,¿sommertime,1
332,estimado,10
333,pana,8
334,duerme,1
335,durísimo,1
336,decíamos,1
337,trinos,1
338,anteriores,2
339,est,3
340,vie,2
341,foot,1
342,aplausos,8
343,mbappé,1
344,reprochar,1
345,allons,2
346,enfants,2
347,patrie,2
348,día,19
349,gloria,2
350,altura,3
351,futbolística,2
352,👏👏👏👏👏👏👏,6
353,fuere,1
354,resultado,6
355,escuelas,1
356,suiza,2
357,pondrán,1
358,obligatoria,1
359,¡qué,13
360,espectáculo,9
361,regalando,1
362,suizos,1
363,franceses,1
364,gran,32
365,juego,6
366,marijoperez,3
367,👏👏👏👏👏👏,2
368,final,9
369,reduce,1
370,pasó,5
371,pies,2
372,perderlo,1
373,hacen,7
374,😍😍😍,1
375,hermoso,2
376,público,4
377,aplaude,1
378,ciencia,2
379,apuesta,2
380,humanidad,8
381,croacia,1
382,hizo,8
383,gol,1
384,caimanera,1
385,cierto,9
386,orgullolgtbi,1
387,repal,1
388,¡hola,2
389,renan,1
390,gusto,4
391,saberte,1
392,saludarte,2
393,nuevo,15
394,¡seguro,2
395,seguiremos,1
396,cuidándonos,1
397,vacunado,1
398,am,2
399,personas,9
400,reacciones,3
401,adversas,2
402,sala,1
403,espera,2
404,proceso,14
405,avanzó,1
406,desinformación,5
407,impericias,1
408,logísticas,1
409,ps,6
410,creo,17
411,falta,6
412,ambulancia,1
413,unidad,1
414,emergencia,3
415,atender,2
416,eventuales,1
417,casos,3
418,graves,2
419,jun,11
420,casi,11
421,luego,10
422,caos,1
423,cédulas,2
424,finalmente,1
425,orden,6
426,última,3
427,estación,1
428,recibir,2
429,vacuna,4
430,parque,5
431,leonardo,4
432,ruiz,5
433,pineda,5
434,desorden,2
435,persiste,2
436,afuera,1
