frequency,bigram/trigram
116,covid 19
24,régimen maduro
18,juan guaidó
14,nueva york
14,casos coronavirus
13,washington dc
12,donald trump
11,nicolás maduro
9,américa latina
8,muertes coronavirus
8,coronavirus video
8,casos covid 19
8,casos covid
7,pandemia coronavirus
7,nuevos casos
7,mike pence
7,juan guaidó jguaido
7,guaidó jguaido
7,far left
7,extrema izquierda
7,covid 19 video
7,19 video
6,migrantes venezolanos
6,casa blanca
5,álex saab
5,venezolanos eeuu
5,vacuna covid 19
5,vacuna covid
5,reino unido
5,presidente juan guaidó
5,presidente juan
5,positivo covid 19
5,positivo covid
5,partido demócrata
5,muertos coronavirus
5,medio pandemia
5,lavado dinero
5,kim jong
5,joe biden
5,granito arena
5,extrema derecha
5,distanciamiento social
5,crédito perdonable
5,casos positivos
5,2019 2020
4,última hora
4,vía com
4,vacuna coronavirus
4,toque queda
4,tiempo latino
4,tareck aissami
4,sotojonathanj vía
4,si sigues
4,sadr hasheminejad
4,política exterior
4,pinilla fmpinilla
4,pandemia video
4,millones dólares
4,mil casos
4,maryland virginia
4,manuel gonzález testino
4,manuel gonzález
4,lópez zakont
4,josé manuel gonzález
4,josé manuel
4,josé luis
4,gonzález testino
4,fernando pinilla fmpinilla
4,fernando pinilla
4,extradición álex saab
4,extradición álex
4,encuesta si
4,emergencia coronavirus
4,diosdado cabello
4,ded venezolanos
4,coronavirus colombia
4,contagio coronavirus
4,biden maduro
4,alminuto nueva york
4,alminuto nueva
4,ali sadr hasheminejad
4,ali sadr
4,abel lópez zakont
4,abel lópez
3,últimas 24 horas
3,últimas 24
3,washingtondc eliecer_cuba
3,vía 3may
3,vía 31mar
3,via youtube
3,venezuela juan guaidó
3,venezuela juan
3,vacunas covid 19
3,vacunas covid
3,trump dice
3,toma posesión
3,to be
3,tiempos pandemia
3,tiempos coronavirus
3,this is
3,teorías conspiración
3,solicitud crédito perdonable
3,solicitud crédito
3,siempre orden
3,secretario general
3,sanciones régimen maduro
3,sanciones régimen
3,régimen venezolano
3,régimen nicolás maduro
3,régimen nicolás
3,redes sociales
3,protesta cubanos washingtondc
3,protesta cubanos
3,primera vez
3,primera potencia
3,presidente electo
3,positivos coronavirus
3,pdvsa 2020
3,pandemia covid 19
3,pandemia covid
3,myriarte19 vía
3,medio covid 19
3,medio covid
3,maduro aquí
3,luis almagro
3,lucha covid 19
