tweet_translated_tokenized,sentiment,NB,SVM,DF,MaxEnt
"['homemade', 'mouth', 'covers', 'effective', 'social', 'distancing', 'video', 'via', 'eltiempolatino']",Positivo,0,0,0,0
"['expert', 'affirms', 'coronavirus', 'cases', 'virginia', 'could', 'decrease', 'video', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['homemade', 'mouth', 'covers', 'effective', 'social', 'distancing', 'video', 'via', 'eltiempolatino']",Positivo,0,0,0,0
"['chile', 'requires', 'residents', 'use', 'masks', 'public', 'transport', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['dubai', 'residents', 'must', 'request', 'permission', 'online', 'leave', 'homes', 'coronavirus', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['nicolasmaduro', 'show', 'two', 'machines', 'coronavirus', 'diagnostics', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['ambassador', 'vecchio', 'carlosvecchio', 'announces', 'release', 'venezuelan', 'migrants', 'detained', 'us', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['colombia', 'opens', 'humanitarian', 'channel', 'border', 'departure', 'venezuelans', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['minutes', 'live', 'program', 'colleague', 'maibort', 'petit', 'maibortpetit', 'historiasdecuarentena', 'talking', 'coronavirus', 'elsalvador', 'interviewing', 'fabricioleon']",Negativo,0,0,1,0
"['usa', 'new', 'york', 'registers', 'thousand', 'covid', 'infections', 'via', 'eltiempolatino', 'abr']",Negativo,0,0,0,0
"['year', 'old', 'man', 'first', 'death', 'covid', 'barranquilla', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['venezuelan', 'schoolchildren', 'could', 'finish', 'year', 'home', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['alminuto', 'miami', 'applies', 'curfew', 'stop', 'coronavirus', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['trump', 'recommends', 'wearing', 'mask', 'clarifies', 'via', 'eltiempolatino']",Positivo,0,0,0,0
"['facing', 'coronavirus', 'challenge', 'mental', 'well', 'video', 'via', 'eltiempolatino']",Positivo,0,0,0,0
"['josé', 'luis', 'parada', 'sánchez', 'fugitive', 'justice', 'corruption', 'pdvsa', 'appeared', 'buying', 'cattle', 'colombia', 'maibortpetit', 'via', 'eltiempolatino']",Positivo,0,0,0,0
"['paho', 'seeks', 'million', 'combat', 'coronavirus', 'pandemic', 'via', 'eltiempolatino', 'abr']",Negativo,0,0,0,0
"['alminuto', 'libya', 'announces', 'first', 'death', 'coronavirus', 'amid', 'fighting', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['alminuto', 'florida', 'exceeds', 'cases', 'coronavirus', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['venezuela', 'registers', 'two', 'new', 'deaths', 'coronavirus', 'two', 'new', 'positive', 'cases', 'via', 'eltiempolatino']",Positivo,0,0,1,0
"['alminuto', 'youth', 'rehabilitation', 'services', 'clerk', 'dies', 'coronavirus', 'via', 'eltiempolatino']",Negativo,0,0,1,0
"['many', 'jobs', 'coronavirus', 'kill', 'us', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['delegate', 'guzmán', 'asks', 'virginia', 'residents', 'prepare', 'strongest', 'part', 'coronavirus', 'video', 'via', 'eltiempolatino']",Positivo,0,0,0,0
"['coronavirus', 'red', 'cloth', 'facade', 'colombian', 'homes', 'mean', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['global', 'deaths', 'coronavirus', 'double', 'week', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['montgomery', 'county', 'ensures', 'financial', 'aid', 'need', 'via', 'eltiempolatino']",Negativo,0,0,0,0
"['colombian', 'government', 'denies', 'extension', 'quarantine', 'via', 'eltiempolatino']",Negativo,0,0,0,0
