tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized,neg,neu,pos,sentiment
Fans regresan al Nationals Park para reanudación del juego de béisbol de ayer interrumpido por tiroteo en las afueras del estadio. Se observa presencia de una patrulla policial al frente de la salida del Metro en Navy Yard / Half Street.  #WashingtonDC 2:06 pm. @MurielBowser  https://t.co/a1NNpKhVyr,"['fans', 'regresan', 'nationals', 'park', 'reanudación', 'juego', 'béisbol', 'ayer', 'interrumpido', 'tiroteo', 'afueras', 'estadio', 'observa', 'presencia', 'patrulla', 'policial', 'frente', 'salida', 'metro', 'navy', 'yard', 'half', 'street', 'washingtondc', 'pm', 'murielbowser']",Fans return to Nationals Park to resume yesterday's baseball game interrupted by shooting outside the stadium. A police patrol is present in front of the Metro exit at Navy Yard / Half Street. #WashingtonDC 2:06 pm. @MurielBowser https://t.co/a1NNpKhVyr,"['fans', 'return', 'nationals', 'park', 'resume', 'yesterday', 'baseball', 'game', 'interrupted', 'shooting', 'outside', 'stadium', 'police', 'patrol', 'present', 'front', 'metro', 'exit', 'navy', 'yard', 'half', 'street', 'washingtondc', 'pm', 'murielbowser']",0.084,0.916,0.0,Neutral
"#ServicioPúblico Amigos de buen corazón, apoyemos a Nordelis. Es paciente oncológico y requiere de operación, pero no tiene recursos. Ya cumplió con tratamiento previo y necesita una mano 🙏🏻 Difundir y/o donar será agradecido por ella. Sabemos circunstancias en las que está Vzla.","['serviciopúblico', 'amigos', 'buen', 'corazón', 'apoyemos', 'nordelis', 'paciente', 'oncológico', 'requiere', 'operación', 'recursos', 'cumplió', 'tratamiento', 'previo', 'necesita', 'mano', '🙏🏻', 'difundir', 'donar', 'agradecido', 'sabemos', 'circunstancias', 'vzla']","#Public Service Kind-hearted friends, let's support Nordelis. He is a cancer patient and requires an operation, but he has no resources. He has already complied with previous treatment and needs a hand 🙏🏻 Spread and / or donate will be grateful for it. We know circumstances that Vzla is in.","['public', 'service', 'kind', 'hearted', 'friends', 'let', 'support', 'nordelis', 'cancer', 'patient', 'requires', 'operation', 'resources', 'already', 'complied', 'previous', 'treatment', 'needs', 'hand', '🙏🏻', 'spread', 'donate', 'grateful', 'know', 'circumstances', 'vzla']",0.098,0.558,0.344,Neutral
Algunas escenas del tiroteo de ayer en las afueras del estadio de Béisbol en #WashingtonDC Nationals Park. La policía de DC reportó al menos tres heridos.Aseguran que no fue un “pistolero activo”dentro del estadio. Todo ocurrió afuera. El juego se suspendió hasta hoy a la 1.05 pm  https://t.co/briG3HdhRN,"['escenas', 'tiroteo', 'ayer', 'afueras', 'estadio', 'béisbol', 'washingtondc', 'nationals', 'park', 'policía', 'dc', 'reportó', 'menos', 'tres', 'heridos', 'aseguran', 'pistolero', 'activo”dentro', 'estadio', 'ocurrió', 'afuera', 'juego', 'suspendió', 'hoy', 'pm']","Some scenes from yesterday's shooting outside the Baseball Stadium in #WashingtonDC Nationals Park. DC police reported at least three injuries. They say he was not an ""active gunman"" inside the stadium. Everything happened outside. The game was suspended until today at 1.05 pm https://t.co/briG3HdhRN","['scenes', 'yesterday', 'shooting', 'outside', 'baseball', 'stadium', 'washingtondc', 'nationals', 'park', 'dc', 'police', 'reported', 'least', 'three', 'injuries', 'say', 'active', 'gunman', 'inside', 'stadium', 'everything', 'happened', 'outside', 'game', 'suspended', 'today', 'pm']",0.101,0.812,0.088,Neutral
"@VIKIVIKI2011 Hola, sería ideal que publiques un tuit con una campaña directa de @gofundme para aportar y difundir.ñ s tu causa. Dios te bendiga, guerrera. 🙏🏻","['vikiviki', 'hola', 'ideal', 'publiques', 'tuit', 'campaña', 'directa', 'gofundme', 'aportar', 'difundir', 'causa', 'dios', 'bendiga', 'guerrera', '🙏🏻']","@ VIKIVIKI2011 Hello, it would be ideal for you to publish a tweet with a direct campaign from @gofundme to contribute and spread your cause. God bless you warrior. 🙏🏻","['vikiviki', 'hello', 'would', 'ideal', 'publish', 'tweet', 'direct', 'campaign', 'gofundme', 'contribute', 'spread', 'cause', 'god', 'bless', 'warrior', '🙏🏻']",0.0,0.684,0.316,Neutral
"At least she condemned Díaz-Canel. But it’s the same deteriorated political discourse from the regime about the embargo. The Empire is responsible,but it’s not communism. It is horrible.Her socialist side came up, despite the fact that she does not know how is living in socialism","['at', 'least', 'she', 'condemned', 'díaz', 'canel', 'but', 'it’s', 'the', 'same', 'deteriorated', 'political', 'discourse', 'from', 'the', 'regime', 'about', 'the', 'embargo', 'the', 'empire', 'is', 'responsible', 'but', 'it’s', 'not', 'communism', 'it', 'is', 'horrible', 'her', 'socialist', 'side', 'came', 'up', 'despite', 'the', 'fact', 'that', 'she', 'does', 'not', 'know', 'how', 'is', 'living', 'in', 'socialism']","At least she condemned Díaz-Canel. But it’s the same deteriorated political discourse from the regime about the embargo. The Empire is responsible,but it’s not communism. It is horrible.Her socialist side came up, despite the fact that she does not know how is living in socialism","['least', 'condemned', 'díaz', 'canel', 'it’s', 'deteriorated', 'political', 'discourse', 'regime', 'embargo', 'empire', 'responsible', 'it’s', 'communism', 'horrible', 'socialist', 'side', 'came', 'despite', 'fact', 'know', 'living', 'socialism']",0.124,0.709,0.167,Neutral
"Al menos condenó a Díaz-Canel. Pero el discurso rayado del embargo como causante de los males del pueblo cubano (“El imperio es el culpable y no no el comunismo”),es terrible. Aquí es cuando le sale el lado socialista, aunque no sepa realmente lo que significa vivir en socialismo","['menos', 'condenó', 'díaz', 'canel', 'discurso', 'rayado', 'embargo', 'causante', 'males', 'pueblo', 'cubano', 'imperio', 'culpable', 'comunismo”', 'terrible', 'aquí', 'sale', 'lado', 'socialista', 'aunque', 'sepa', 'realmente', 'significa', 'vivir', 'socialismo']","At least he condemned Díaz-Canel. But the scratched speech of the embargo as the cause of the ills of the Cuban people (""The empire is the culprit and not communism""), is terrible. This is when the socialist side comes out, even if you don't really know what it means to live in socialism.","['least', 'condemned', 'díaz', 'canel', 'scratched', 'speech', 'embargo', 'cause', 'ills', 'cuban', 'people', 'empire', 'culprit', 'communism', 'terrible', 'socialist', 'side', 'comes', 'even', 'really', 'know', 'means', 'live', 'socialism']",0.113,0.8,0.087,Neutral
"👏 Cosas que inspiran, en internet.","['cosas', 'inspiran', 'internet']","👏 Things that inspire, on the internet.","['things', 'inspire', 'internet']",0.0,0.351,0.649,Positivo
"Cualquier parecido con Venezuela NO es casualidad.Recordemos que guion, accionar y directrices siempre han venido de Cuba.[Imperio como enemigo y causa del problema,medios y periodistas mienten,creación de milicias paramilitares, forma de reprimir, torturar y control social,etc]","['cualquier', 'parecido', 'venezuela', 'casualidad', 'recordemos', 'guion', 'accionar', 'directrices', 'siempre', 'venido', 'cuba', 'imperio', 'enemigo', 'causa', 'problema', 'medios', 'periodistas', 'mienten', 'creación', 'milicias', 'paramilitares', 'forma', 'reprimir', 'torturar', 'control', 'social', 'etc']","Any resemblance to Venezuela is NOT a coincidence. Let us remember that the script, actions and guidelines have always come from Cuba. [Empire as enemy and cause of the problem, media and journalists lie, creation of paramilitary militias, form of repression, torture and social control, etc. ]","['resemblance', 'venezuela', 'coincidence', 'let', 'us', 'remember', 'script', 'actions', 'guidelines', 'always', 'come', 'cuba', 'empire', 'enemy', 'cause', 'problem', 'media', 'journalists', 'lie', 'creation', 'paramilitary', 'militias', 'form', 'repression', 'torture', 'social', 'control', 'etc']",0.336,0.608,0.056,Neutral
@albertdaboin Sin duda alguna debemos reflexionar y accionar. Gracias por el comentario. Saludos,"['albertdaboin', 'duda', 'alguna', 'debemos', 'reflexionar', 'accionar', 'gracias', 'comentario', 'saludos']",@albertdaboin Without a doubt we must reflect and act. Thanks for the comment. Greetings,"['albertdaboin', 'without', 'doubt', 'must', 'reflect', 'act', 'thanks', 'comment', 'greetings']",0.0,0.434,0.566,Positivo
@albertdaboin  https://t.co/ZT8UH8eJnK  https://t.co/uUfVcw9XR5,['albertdaboin'],@albertdaboin https://t.co/ZT8UH8eJnK https://t.co/uUfVcw9XR5,['albertdaboin'],0.0,1.0,0.0,Neutral
"🧵 7/7 Un estado proteccionista parasitario ha dado muestras de NO funcionar ni en la 4ta ni en la 5ta.Y les digo:NO funcionará.Pero hay que tomar en cuenta a las clases más desfavorecidas en una nueva República, con otro norte ideológico.  PD:La opinión expresada acá es personal","['proteccionista', 'parasitario', 'dado', 'muestras', 'funcionar', 'ta', 'ta', 'digo', 'funcionará', 'tomar', 'cuenta', 'clases', 'desfavorecidas', 'nueva', 'república', 'norte', 'ideológico', 'pd', 'opinión', 'expresada', 'acá', 'personal']","🧵 7/7 A parasitic protectionist state has shown signs of NOT working either in the 4th or 5th, and I tell you: it will NOT work, but we must take into account the most disadvantaged classes in a new Republic, with another ideological north . PS: The opinion expressed here is personal","['parasitic', 'protectionist', 'state', 'shown', 'signs', 'working', 'either', 'th', 'th', 'tell', 'work', 'must', 'take', 'account', 'disadvantaged', 'classes', 'new', 'republic', 'another', 'ideological', 'north', 'ps', 'opinion', 'expressed', 'personal']",0.101,0.899,0.0,Neutral
"🧵 6/7 •Necesitamos de forma imperativa que el sistema cambie,pero deben pagar los que tienen que pagar. Rebobinar cassette a la centro izquierda previa a Chávez no funcionará. El liberalismo clásico es en esencia la respuesta,bajo políticas progresivas e inclusivas.","['•necesitamos', 'forma', 'imperativa', 'sistema', 'cambie', 'deben', 'pagar', 'pagar', 'rebobinar', 'cassette', 'centro', 'izquierda', 'previa', 'chávez', 'funcionará', 'liberalismo', 'clásico', 'esencia', 'respuesta', 'bajo', 'políticas', 'progresivas', 'inclusivas']","🧵 6/7 • We absolutely need the system to change, but those who have to pay must pay. Rewinding cassette to the center left before Chávez will not work. Classical liberalism is in essence the answer, under progressive and inclusive policies.","['absolutely', 'need', 'system', 'change', 'pay', 'must', 'pay', 'rewinding', 'cassette', 'center', 'left', 'chávez', 'work', 'classical', 'liberalism', 'essence', 'answer', 'progressive', 'inclusive', 'policies']",0.135,0.865,0.0,Neutral
"🧵 5/7…Entiendo las diferencias partidistas internas, ¿pero a qué costo la primera potencia mundial cambia sus prioridades en política exterior?¿Por qué el partido demócrata no se deshace de esa ala radical pro-socialismo que tanto lo perjudica?","['…entiendo', 'diferencias', 'partidistas', 'internas', '¿pero', 'costo', 'primera', 'potencia', 'mundial', 'cambia', 'prioridades', 'política', 'exterior', '¿por', 'partido', 'demócrata', 'deshace', 'ala', 'radical', 'pro', 'socialismo', 'perjudica']","🧵 5/7… I understand the internal partisan differences, but at what cost does the first world power change its priorities in foreign policy? Why doesn't the Democratic Party get rid of that radical pro-socialism wing that hurts it so much?","['understand', 'internal', 'partisan', 'differences', 'cost', 'first', 'world', 'power', 'change', 'priorities', 'foreign', 'policy', 'democratic', 'party', 'get', 'rid', 'radical', 'pro', 'socialism', 'wing', 'hurts', 'much']",0.12,0.775,0.105,Neutral
"🧵 4/7• Particularmente EEUU bajo esta administración no ha dado muestra de mano dura. Por el contrario, ha iniciado levantamiento de algunas sanciones a Vzla. ¿No es prioridad la lucha contra el comunismo para @JoeBiden?…","['particularmente', 'eeuu', 'bajo', 'administración', 'dado', 'muestra', 'mano', 'dura', 'contrario', 'iniciado', 'levantamiento', 'sanciones', 'vzla', '¿no', 'prioridad', 'lucha', 'comunismo', 'joebiden']","🧵 4/7 • The US particularly under this administration has not shown a strong hand. On the contrary, it has begun lifting some sanctions against Vzla. Isn't the fight against communism a priority for @JoeBiden? ...","['us', 'particularly', 'administration', 'shown', 'strong', 'hand', 'contrary', 'begun', 'lifting', 'sanctions', 'vzla', 'fight', 'communism', 'priority', 'joebiden']",0.122,0.562,0.317,Neutral
