,word,count
0,patymenoni,56
1,parece,10
2,entonces,7
3,quién,3
4,bailo,1
5,just,6
6,dance,5
7,infinitye,2
8,sport,2
9,rainbow,1
10,lol,5
11,meme,3
12,teloresumo,1
13,miren,2
14,kermit,1
15,decían,1
16,ser,10
17,gamer,1
18,iba,1
19,servir,1
20,abrahamafk,17
21,neckolol,1
22,dices,1
23,xd,42
24,fcbesports,1
25,esports,2
26,lec,2
27,arcemiotico,71
28,itsdadoried,30
29,siento,5
30,fallado,1
31,diseñador,15
32,darme,1
33,cuenta,10
34,vida,15
35,misma,2
36,comunicado,1
37,importante,2
38,coño,2
39,madre,1
40,volvió,2
41,ir,1
42,maldita,1
43,luuuuzzzzz,1
44,quiero,17
45,trabajaaaaaaarrrrr,1
46,tweet,15
47,ayer,1
48,dijeron,1
49,cara,2
50,turco,1
51,mararismendi,1
52,total,17
53,itialianos,1
54,levantando,1
55,copa,1
56,eurocopa,1
57,euro,1
58,final,5
59,naaaahhhhh,1
60,crack,10
61,barretoexe,5
62,brutal,7
63,muchas,72
64,gracias,98
65,pana,16
66,¿dónde,2
67,puedo,11
68,encontrar,7
69,libro,1
70,untalsiso,85
71,vaaammmooooosssss,1
72,ay,3
73,dios,4
74,ah,13
75,muerto,1
76,pantallazo,1
77,azul,4
78,windows,4
79,redes,3
80,sociales,3
81,ilumine,1
82,hashtags,1
83,tendencias,1
84,dé,1
85,sabiduría,1
86,saber,3
87,dónde,5
88,publicando,1
89,amén,4
90,xtenesports,1
91,cada,8
92,vez,18
93,cerca,3
94,entiendo,4
95,esgaboruiz,1
96,itsegorraw,3
97,acaba,2
98,agua,1
99,botellón,1
100,gabysininternet,3
101,claro,10
102,vale,22
103,pasa,7
104,link,10
105,falto,1
106,fe,4
107,jpeseteirodt,2
108,gusta,10
109,guayanabbq,1
110,fallé,1
111,ahmanzo,2
112,falló,1
113,😭😭😭,7
114,salganse,1
115,twitter,8
116,solo,16
117,importa,3
118,pase,1
119,apoyo,26
120,incondicional,1
121,vinotinto,3
122,siempre,9
123,voy,8
124,tener,4
125,🇻🇪,1
126,tranqui,2
127,entendí,1
128,totaaaallll,1
129,jajajajaja,4
130,ponle,1
131,diferente,2
132,sabes,1
133,llamativo,1
134,confirmo,15
135,¿la,1
136,finales,1
137,año,10
138,supuesto,7
139,si,72
140,mejor,30
141,hilo,7
142,leído,1
143,fecha,2
144,recomendable,1
145,amigos,9
146,nosfehh,2
147,ahora,14
148,falta,6
149,skyshock,1
150,nojoooooodddddddaaaaaaaaaaaaaaaaaa,1
151,contando,1
152,días,7
153,poder,8
154,usar,2
155,holareserve,7
156,pc,5
157,emulador,1
158,alex,1
159,tienda,3
160,hacer,21
161,aaaaaaaaaaaaaa,1
162,fin,4
163,podrán,2
164,publicar,2
165,instagram,5
166,web,3
167,community,2
168,manager,2
169,agradecido,3
170,mark,1
171,hice,7
172,considero,1
173,grandes,1
174,novedades,1
175,traerá,1
176,échenele,1
177,vistazo,1
178,comentan,1
179,nuevo,5
180,adios,1
181,bluestacks,1
182,hola,31
183,cualquier,2
184,canción,1
185,dua,6
186,lipa,6
187,luis,1
188,corujo,1
189,buenísimo,2
190,deneyberlara,9
191,jeje,14
192,😎👍,10
193,mabm,1
194,puedes,11
195,hippie,1
196,millonario,1
197,dijo,2
198,estendenciavzl,1
199,ibaillanos,4
200,increíble,4
201,believe,1
202,in,4
203,wilker,1
204,fariñez,1
205,supremacy,1
206,haganle,2
207,estatua,1
208,hombre,2
209,necesitan,1
210,bombillos,1
211,nuevos,2
212,promo,1
213,empresa,1
214,puede,8
215,interesar,1
216,😀👇,1
217,maynorumanov,1
218,amazing,1
219,trato,1
220,hecho,8
221,jajajajajajajqjqjajajajsjajsjajsjajskajs,1
222,sssiiiiiiiiiiiii,1
223,invitas,1
224,supremo,1
225,galleta,27
226,totaaaalll,1
227,👉👈,9
228,definitivamente,4
229,buenos,4
230,dias,1
231,quieren,2
232,parar,1
233,cama,1
234,lluvia,1
235,noa,1
236,deja,1
237,giantsgaming,2
238,chupachups,1
239,esp,1
240,vengo,3
241,enterando,1
242,varios,4
243,geminis,1
244,hoy,9
245,sido,3
246,mejores,8
247,razones,1
248,tal,5
249,esperaba,2
250,super,9
251,pasó,3
252,esportmaniacos,1
253,mal,6
254,descargue,1
255,oye,5
256,pues,6
257,depende,4
258,editable,2
259,menú,1
260,incluiría,1
261,veo,5
262,práctico,1
263,nunca,3
264,pedido,1
265,post,1
266,piden,1
267,cobraría,1
268,ello,1
269,vengas,1
270,mismo,5
271,shock,2
272,ok,13
273,acabo,3
274,terminar,3
275,ta,2
276,temporada,1
277,lucifer,3
278,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1
279,jose,1
280,carla,2
281,md,1
282,recomendación,1
283,amigo,36
284,¿en,3
285,ayudar,2
286,vdbravo,38
287,logré,1
288,sacar,1
289,corcho,2
290,lorenarlamprea,1
291,éxito,2
292,primera,2
293,experiencia,1
294,vino,2
295,destroce,1
296,pedacitos,1
297,😎👌,8
298,naciendo,1
299,nueva,4
300,promesa,1
301,jesusfhc,6
302,vaina,2
303,aturde,1
304,rpiconh,1
305,madreee,1
306,nnnnooooo,1
307,shi,2
308,día,17
309,abrí,1
310,perfil,5
311,octubre,1
312,desenvuelvo,1
313,clave,3
314,interactuar,1
315,personas,5
316,quieres,4
317,conectarte,1
318,🤩🤩,1
319,toda,8
320,obra,2
321,arte,2
322,campaña,1
323,pepsi,1
324,🤯🤩,1
325,linkedin,1
326,convirtiendo,1
327,favoritas,2
328,cariño,2
329,intención,2
330,buena,4
331,ejecución,2
332,horrible,1
333,salió,2
334,tiro,1
335,culata,1
336,publicidad,1
337,nojodaaaaaaaaa,1
338,quidvacuo,1
339,demasiado,9
340,wandavision,3
341,versión,5
342,disco,1
343,historia,3
344,top,1
345,cuadra,5
346,menos,9
347,infinito,1
348,oficialmente,2
349,declaro,1
350,género,1
351,billonario,1
352,erga,1
353,foreverfriki,1
354,busca,2
355,compurampzo,1
356,venden,1
357,memorias,1
358,ram,2
359,comprarme,1
360,entrada,1
361,adulto,1
362,responsable,2
363,atender,1
364,prioridades,2
365,juummm,1
366,choices,1
367,encanta,2
368,artistas,1
369,haces,2
370,par,3
371,años,2
372,sacan,1
373,música,1
374,mucha,1
375,influencia,1
376,simplemente,2
377,love,2
378,nivel,6
379,diseño,18
380,😎✨,1
381,nnnnnooooooooo,1
382,soystef,18
383,tampoco,2
384,única,5
385,opción,1
386,¿quién,4
387,cachapa,1
388,cuchillo,1
389,tenedor,1
390,juhammyrlg,1
391,gente,12
392,gustan,3
393,comedias,1
394,románticas,1
395,recomiendo,6
396,vean,1
397,blind,1
398,date,1
399,película,4
400,francesa,1
401,vecinos,1
402,van,4
403,conociendo,1
404,hablarse,1
405,través,1
406,pared,2
407,súper,5
408,chévere,2
409,netflix,1
410,soydesireelugo,1
411,ambos,3
412,teléfonos,1
413,parte,4
414,decisión,1
415,radica,1
416,cuál,2
417,sistema,1
418,operativo,1
419,iphone,1
420,servicios,1
421,actualizaciones,1
422,vas,4
423,note,3
424,pro,2
425,adquiere,1
426,lacrea,1
427,increibles,1
428,pregunta,4
429,seria,4
430,comprar,3
431,almohadas,1
432,pzo,2
433,¿de,1
434,mad,1
435,lions,1
436,terceros,1
437,rick,3
438,intercambio,1
439,esequibo,1
440,cambio,2
441,economía,1
442,estable,2
443,¿trato,1
444,jalearis,6
445,nadie,3
446,gana,1
447,notion,3
448,premium,2
449,personal,4
450,correo,4
451,universitario,1
452,je,5
453,jeeeeeeeeeeelllllllllll,1
454,ggggggaaaaaaaaaaaaaaaaaaannnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,1
455,ains,6
456,orial,2
457,theerikiu,8
458,decir,4
459,gran,1
460,persona,5
461,va,17
462,luz,1
463,odio,1
464,aquí,12
465,ungarrido,6
466,totaaallll,3
467,pensé,4
468,único,2
469,bendiga,1
470,mijo,1
471,sale,6
472,llevarte,1
473,papás,2
474,allá,1
475,skin,1
476,siso,2
477,cabello,2
478,bonito,3
479,cómprate,1
480,carrito,1
481,amiga,14
482,celebrar,1
483,recorta,1
484,imágenes,2
485,comparto,1
486,bonitas,1
487,representativas,1
488,efectividad,1
489,enamoré,1
490,lardzen,2
491,aaaaaaaaa,1
492,mil,5
493,😁🙈,1
494,dawzen,2
495,yes,3
496,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,1
497,juancmerchanm,7
498,🤩🤩🤩,1
499,lgdiaz,1
500,mentir,1
501,camino,2
502,fácil,2
503,forma,6
504,conozco,1
505,atravesarlo,1
506,constancia,1
507,dedicación,3
508,cuestión,5
509,suerte,1
510,actitud,1
511,hermano,8
512,🥺😁,1
513,paulinaeb,2
514,graciaaaaassss,1
515,🥺♥️🥺♥️🥺,1
516,😁🍻,1
517,kekimnte,5
518,ken,1
519,🥰😁,1
520,danipatriciart,9
521,aaaaaaaaaaaaa,1
522,dani,1
523,🤩🥰,1
524,muchísimas,6
525,🥺🥰,2
526,mariamgelik,3
527,graciaaaassss,1
528,🥺🥰🥺🥰,1
529,graciiiaaassss,1
530,🥰🥰🥰🥰,1
531,feliz,7
532,vamos,6
533,pa,4
534,arriba,4
535,omarenrique,2
536,mp,2
537,mano,10
538,anthxnyb,19
539,laujisa,7
540,aaaaaaaaaaaaaaaaaaaa,1
541,acá,5
542,dejo,4
543,den,1
544,amor,2
545,hace,8
546,unas,5
547,semanas,3
548,escribí,3
549,buscando,2
550,trabajo,19
551,ustedes,4
552,contacté,1
553,continente,1
554,realizar,1
555,proyectos,5
556,maravillosos,1
557,incorporarme,1
558,familia,3
559,fuente,2
560,comic,1
561,sans,1
562,regular,1
563,mira,2
564,dice,3
565,nooooo,1
566,mente,3
567,imagen,3
568,bien,10
569,✨chikilukis✨,1
570,dejó,1
571,hacerla,1
572,comentado,2
573,opinado,1
574,acerca,1
575,diseños,3
576,colegas,1
577,😎♥️,1
578,increíbles,1
579,cleversafo,1
580,josmpd,1
581,aaiinnsss,1
582,😍😍😍😍😍,2
583,cracks,2
584,chiguirebipolar,1
585,elmiocidperez,1
586,jaksjaksjkajaakjaksjakahkajskajaksjkajjqjs,1
587,primer,4
588,significa,3
589,segundo,7
590,bueno,7
591,opticolor,1
592,orinokia,1
593,ahí,5
594,to,2
595,mandé,1
596,lentes,1
597,buen,6
598,hagan,3
599,caso,6
600,weplash,7
601,tipo,4
602,clientes,7
603,favor,6
604,provoca,1
605,ver,16
606,capítulos,2
607,maraton,1
608,apreciación,1
609,escribiendo,1
610,papel,2
611,así,23
612,aaaaaaaaaaaaaaaaaaaaaa,1
613,tercera,1
614,vencida,1
615,justo,3
616,sam,1
617,wilson,1
618,personaje,3
619,mcu,1
620,change,1
621,my,3
622,mind,1
623,falconandwintersoldierfinale,2
624,falconandwintersoldier,3
625,em,1
626,aaaaaaaaaa,1
627,😭😭😭😭😭,1
628,luisrojasl,7
629,fallas,3
630,lógica,3
631,sé,7
632,cuiden,1
633,tierra🌎,1
634,recuerden,1
635,tomar,1
636,awita💧,1
637,yei,3
638,😍😍😍😍,1
639,bello,1
640,momento,7
641,espero,7
642,ansias,1
643,ilustración,3
644,ningún,2
645,debería,2
646,pasar,3
647,jaksjaksjaksjakhaa,1
648,real,1
649,chiste,1
650,fan,4
651,comentario,1
652,dr,1
653,jaksjaksjajs,1
654,¿qué,10
655,hacen,3
656,visto,2
657,concierto,1
658,marco,1
659,antonio,2
660,chimbo,1
661,oyó,1
662,williking,8
663,casi,5
664,llore,2
665,escribir,5
666,marcador,1
667,mascarilla,1
668,calle,2
669,chamo,2
670,fa,2
671,salimkure,1
672,vieiraluis,1
673,jaksjaksjajsjajjakajaksjajsjajaksjakajakjajaja,2
674,respira,1
675,hondo,1
676,vieron,1
677,háganle,2
678,pictoline,1
679,elosunacons,3
680,discrepancia,1
681,política,1
682,algún,2
683,país,7
684,prospero,1
