tweet,tweet_tokenized
@patymenoni No me parece :(,"['patymenoni', 'parece']"
@patymenoni Y entonces con quién bailo Just Dance? :(,"['patymenoni', 'entonces', 'quién', 'bailo', 'just', 'dance']"
@InFinitye_sport @Rainbow7lol Ya eres un meme 😂 @teloresumo,"['infinitye', 'sport', 'rainbow', 'lol', 'meme', 'teloresumo']"
"Miren, soy Kermit 😎","['miren', 'kermit']"
Y decían que ser gamer no me iba a servir de nada 😎,"['decían', 'ser', 'gamer', 'iba', 'servir']"
@abrahamafk @NeckoLol tu dices? xD,"['abrahamafk', 'neckolol', 'dices', 'xd']"
@abrahamafk @FCBeSports 👍,"['abrahamafk', 'fcbesports']"
@abrahamafk @G2esports @LEC 👍,"['abrahamafk', 'esports', 'lec']"
Yo :D,[]
@arcemiotico F,['arcemiotico']
@itsdadoried Siento que he fallado como diseñador al no darme cuenta de eso :(,"['itsdadoried', 'siento', 'fallado', 'diseñador', 'darme', 'cuenta']"
@itsdadoried Mi vida ya no es la misma 😔,"['itsdadoried', 'vida', 'misma']"
x2,[]
ª,[]
"Comunicado importante:  COÑO 'E LA MADRE SE VOLVIÓ A IR A LA MALDITA LUUUUZZZZZ. QUIERO TRABAJAAAAAAARRRRR  Ya, ese es el tweet :D","['comunicado', 'importante', 'coño', 'madre', 'volvió', 'ir', 'maldita', 'luuuuzzzzz', 'quiero', 'trabajaaaaaaarrrrr', 'tweet']"
Ayer me dijeron que tengo cara de turco xD,"['ayer', 'dijeron', 'cara', 'turco', 'xd']"
@mararismendi18 Total :(,"['mararismendi', 'total']"
Los itialianos levantando la copa 🏆 #Eurocopa2020 #Euro2020Final  https://t.co/xz7mMAzKao,"['itialianos', 'levantando', 'copa', 'eurocopa', 'euro', 'final']"
NAAAAHHHHH QUE CRACK 😎,"['naaaahhhhh', 'crack']"
@barretoexe BRUTAL!!! Muchas gracias mi pana 😎,"['barretoexe', 'brutal', 'muchas', 'gracias', 'pana']"
@barretoexe ¿Dónde puedo encontrar el libro? :(,"['barretoexe', '¿dónde', 'puedo', 'encontrar', 'libro']"
@untalsiso VAAAMMMOOOOOSSSSS,"['untalsiso', 'vaaammmooooosssss']"
Ay dios 😓,"['ay', 'dios']"
Ah muerto el pantallazo azul de Windows 😔,"['ah', 'muerto', 'pantallazo', 'azul', 'windows']"
