tweet,tweet_tokenized
"No mucho atrás por aquí abundaban tweets de queja por hamburguesas que llegaban a costar entre 10-15$.  Ahora, por el contrario, veo una amplia oferta de hamburguesas incluso por 1$ en Venezuela. Hubo un cambio en el mercado que vale la pena destacar.","['atrás', 'aquí', 'abundaban', 'tweets', 'queja', 'hamburguesas', 'llegaban', 'costar', 'ahora', 'contrario', 'veo', 'amplia', 'oferta', 'hamburguesas', 'incluso', 'venezuela', 'cambio', 'mercado', 'vale', 'pena', 'destacar']"
"Termino de leer ""El último Marqués"" de Inés Quintero. Me llevo la historia de un aristócrata que en su momento formó parte de la familia más rica de Venezuela. Luchó por la independencia del país, no sin controversias, errores y laberintos propios del mantuanaje. Recomendado.  https://t.co/RmPiM6iRdQ","['termino', 'leer', 'último', 'marqués', 'inés', 'quintero', 'llevo', 'historia', 'aristócrata', 'momento', 'formó', 'parte', 'familia', 'rica', 'venezuela', 'luchó', 'independencia', 'país', 'controversias', 'errores', 'laberintos', 'propios', 'mantuanaje', 'recomendado']"
Hoy me atendió un mesonero y fue tal la buena calidad de su servicio que le pedí su número para contratarlo en un evento privado. Moraleja: esfuérzate en lo que hagas. Da lo mejor de ti. Nunca sabes cuándo y cómo surgen las oportunidades para crecer.,"['hoy', 'atendió', 'mesonero', 'tal', 'buena', 'calidad', 'servicio', 'pedí', 'número', 'contratarlo', 'evento', 'privado', 'moraleja', 'esfuérzate', 'hagas', 'da', 'mejor', 'nunca', 'sabes', 'cuándo', 'cómo', 'surgen', 'oportunidades', 'crecer']"
"""La confianza es la forma más elevada de motivación humana"". Stephen Covey","['confianza', 'forma', 'elevada', 'motivación', 'humana', 'stephen', 'covey']"
Una buena cultura corporativa puede hacer brillar a un talento. Una mala cultura corporativa puede destruirlo.,"['buena', 'cultura', 'corporativa', 'puede', 'hacer', 'brillar', 'talento', 'mala', 'cultura', 'corporativa', 'puede', 'destruirlo']"
"Me complace anunciar la incorporación de @Capote_Marcos al equipo de Omnis Business Partners. Cada vez sumamos más talentos a nuestra organización, que creen en el país y tienen el compromiso de mejorar el ámbito financiero y empresarial venezolano. Bienvenido al equipo, Marcos.  https://t.co/u50Jg7H1Wj","['complace', 'anunciar', 'incorporación', 'capote', 'marcos', 'equipo', 'omnis', 'business', 'partners', 'cada', 'vez', 'sumamos', 'talentos', 'organización', 'creen', 'país', 'compromiso', 'mejorar', 'ámbito', 'financiero', 'empresarial', 'venezolano', 'bienvenido', 'equipo', 'marcos']"
"@carlossalinas49 Ninguna molestia. Vivimos en un entorno muy difícil, pero si está en nuestra mano ayudar con la mayor disposición lo haré. Por favor contácteme a esta dirección de correo aguevara @somosomnis.com","['carlossalinas', 'ninguna', 'molestia', 'vivimos', 'entorno', 'difícil', 'si', 'mano', 'ayudar', 'mayor', 'disposición', 'haré', 'favor', 'contácteme', 'dirección', 'correo', 'aguevara', 'somosomnis', 'com']"
"@HenkelGarcia @rafaelarraiz No lo dijo en el contexto exclusivamente venezolano, aunque la charla sí tenía como público target a Venezuela.","['henkelgarcia', 'rafaelarraiz', 'dijo', 'contexto', 'exclusivamente', 'venezolano', 'aunque', 'charla', 'público', 'target', 'venezuela']"
"Hace un par de días escuché una conferencia privada de un conocido empresario venezolano quien dijo que hay 2 grandes limitantes para nuestro éxito: el ego y la envidia. Todos nacemos con ellas, son propias del hombre. Pero debemos controlarlas para avanzar.","['hace', 'par', 'días', 'escuché', 'conferencia', 'privada', 'conocido', 'empresario', 'venezolano', 'dijo', 'grandes', 'limitantes', 'éxito', 'ego', 'envidia', 'nacemos', 'propias', 'hombre', 'debemos', 'controlarlas', 'avanzar']"
@arondon75 Muy de acuerdo con el comentario Andrea. Saludos!,"['arondon', 'acuerdo', 'comentario', 'andrea', 'saludos']"
¿Hasta qué punto la privacidad puede afectar el valor de una acción en la bolsa? Analizamos el reciente caso de Didi Global en China 🇨🇳 y su impacto en el mercado de EEUU🇺🇸. Todo ello en nuestra videocolumna de esta semana para @eldiario.,"['¿hasta', 'punto', 'privacidad', 'puede', 'afectar', 'valor', 'acción', 'bolsa', 'analizamos', 'reciente', 'caso', 'didi', 'global', 'china', '🇨🇳', 'impacto', 'mercado', 'eeuu🇺🇸', 'ello', 'videocolumna', 'semana', 'eldiario']"
Gobierno de #Francia🇫🇷 multó a #Google con 500 millones de euros por no llegar a un acuerdo con los medios de comunicación franceses por el pago de contenido de noticias para Google News. Es la multa más elevada en la historia de las autoridades francesas en tema competencia.,"['gobierno', 'francia🇫🇷', 'multó', 'google', 'millones', 'euros', 'llegar', 'acuerdo', 'medios', 'comunicación', 'franceses', 'pago', 'contenido', 'noticias', 'google', 'news', 'multa', 'elevada', 'historia', 'autoridades', 'francesas', 'tema', 'competencia']"
