tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized
"Desde que estoy en la universidad he visto como los estudiantes eligen como líderes de literalmente lo que sea al que mejor destaca en ese área. Ej: Delegado = mejor estudiante. Dejen de relacionar el área de estudio con liderazgo, no son lo mismo y pueden ser peor de lo esperado","['universidad', 'visto', 'estudiantes', 'eligen', 'líderes', 'literalmente', 'mejor', 'destaca', 'área', 'ej', 'delegado', 'mejor', 'estudiante', 'dejen', 'relacionar', 'área', 'estudio', 'liderazgo', 'mismo', 'pueden', 'ser', 'peor', 'esperado']","Since I have been in college, I have seen how students choose as leaders of literally whatever it is that stands out the best in that area. Ex: Delegate = best student. Stop associating the study area with leadership, they are not the same and may be worse than expected","['since', 'college', 'seen', 'students', 'choose', 'leaders', 'literally', 'whatever', 'stands', 'best', 'area', 'ex', 'delegate', 'best', 'student', 'stop', 'associating', 'study', 'area', 'leadership', 'may', 'worse', 'expected']"
Me recuerda a cierto profesor estrella,"['recuerda', 'cierto', 'profesor', 'estrella']",Reminds me of a certain star teacher,"['reminds', 'certain', 'star', 'teacher']"
"El estrés de la universidad, junto con no poder salir, me ha estado consumiendo psicológicamente a niveles insoportables. Diariamente el 60% de mis pensamientos son existencialistas o de soledad.  Esto no es sano","['estrés', 'universidad', 'junto', 'poder', 'salir', 'consumiendo', 'psicológicamente', 'niveles', 'insoportables', 'diariamente', 'pensamientos', 'existencialistas', 'soledad', 'sano']","The stress of college, along with not being able to get out, has been consuming me psychologically to unbearable levels. Daily 60% of my thoughts are existential or lonely. This is not healthy","['stress', 'college', 'along', 'able', 'get', 'consuming', 'psychologically', 'unbearable', 'levels', 'daily', 'thoughts', 'existential', 'lonely', 'healthy']"
"@untalsiso No mano, me pasa, es que estamos viejos","['untalsiso', 'mano', 'pasa', 'viejos']","@untalsiso No hand, it happens to me, we are old","['untalsiso', 'hand', 'happens', 'old']"
"Ojo, no me refiero solo a nivel político. Lo he visto en cualquier contexto. Siempre que hay un problema con un déspota quieren negociar e ir por las buenas, así les escupan en la cara","['ojo', 'refiero', 'solo', 'nivel', 'político', 'visto', 'cualquier', 'contexto', 'siempre', 'problema', 'déspota', 'quieren', 'negociar', 'ir', 'buenas', 'así', 'escupan', 'cara']","Be careful, I am not just referring to a political level. I've seen it in any context. Whenever there is a problem with a despot, they want to negotiate and go easy, that's how they spit in their faces","['careful', 'referring', 'political', 'level', 'seen', 'context', 'whenever', 'problem', 'despot', 'want', 'negotiate', 'go', 'easy', 'spit', 'faces']"
"Las generaciones anteriores en Venezuela tiene el gran problema de que creen que cualquier cosa se puede resolver mediante una negociación.  Brother acabas de ver cómo patearon la mesa 4 veces seguidas y nos insultaron y quieres seguir negociando? O eres imbécil, o inútil o las 2","['generaciones', 'anteriores', 'venezuela', 'gran', 'problema', 'creen', 'cualquier', 'cosa', 'puede', 'resolver', 'mediante', 'negociación', 'brother', 'acabas', 'ver', 'cómo', 'patearon', 'mesa', 'veces', 'seguidas', 'insultaron', 'quieres', 'seguir', 'negociando', 'imbécil', 'inútil']","Previous generations in Venezuela have the big problem that they believe that anything can be resolved through negotiation. Brother, did you just see how they kicked the table 4 times in a row and insulted us and do you want to continue negotiating? Either you are stupid, or useless or the 2","['previous', 'generations', 'venezuela', 'big', 'problem', 'believe', 'anything', 'resolved', 'negotiation', 'brother', 'see', 'kicked', 'table', 'times', 'row', 'insulted', 'us', 'want', 'continue', 'negotiating', 'either', 'stupid', 'useless']"
This is what heroin does to ppl,"['this', 'is', 'what', 'heroin', 'does', 'to', 'ppl']",This is what heroin does to ppl,"['heroin', 'ppl']"
"En lo que a mí respecta, no importa a qué TT nacional llegó el hashtag o las acciones del Consejo Universitario; la iniciativa fue un rotundo fracaso por estos comportamientos. En vez de buscar añadir a uno a la causa, lo alejaron más de lo que estaba.  Buenas noches.","['respecta', 'importa', 'tt', 'nacional', 'llegó', 'hashtag', 'acciones', 'consejo', 'universitario', 'iniciativa', 'rotundo', 'fracaso', 'comportamientos', 'vez', 'buscar', 'añadir', 'causa', 'alejaron', 'buenas', 'noches']","As far as I'm concerned, it doesn't matter which national TT the hashtag reached or the actions of the University Council; the initiative was a resounding failure due to these behaviors. Instead of seeking to add one to the cause, they alienated him further than he was. Good night.","['far', 'concerned', 'matter', 'national', 'tt', 'hashtag', 'reached', 'actions', 'university', 'council', 'initiative', 'resounding', 'failure', 'due', 'behaviors', 'instead', 'seeking', 'add', 'one', 'cause', 'alienated', 'good', 'night']"
"Felicito a los representantes estudiantiles que dieron respuestas incluyentes y respetuosas, pero como representantes también tienen que llamar al respeto de los demás miembros de la comunidad ucabista","['felicito', 'representantes', 'estudiantiles', 'dieron', 'respuestas', 'incluyentes', 'respetuosas', 'representantes', 'llamar', 'respeto', 'demás', 'miembros', 'comunidad', 'ucabista']","I congratulate the student representatives who gave inclusive and respectful responses, but as representatives they also have to call for the respect of the other members of the Ucabista community","['congratulate', 'student', 'representatives', 'gave', 'inclusive', 'respectful', 'responses', 'representatives', 'also', 'call', 'respect', 'members', 'ucabista', 'community']"
"Bastante que dejan que desear antiguos representantes, tutores, figuras públicas y egresados de la UCAB Guayana de su comportamiento. Dejan bien alto los valores ucabistas atacando de la forma que lo han estado haciendo.","['bastante', 'dejan', 'desear', 'antiguos', 'representantes', 'tutores', 'figuras', 'públicas', 'egresados', 'ucab', 'guayana', 'comportamiento', 'dejan', 'bien', 'alto', 'valores', 'ucabistas', 'atacando', 'forma', 'haciendo']","Quite a lot that they leave to be desired by former representatives, tutors, public figures and graduates of UCAB Guayana for their behavior. They leave the Ucabista values ​​very high attacking in the way that they have been doing.","['quite', 'lot', 'leave', 'desired', 'former', 'representatives', 'tutors', 'public', 'figures', 'graduates', 'ucab', 'guayana', 'behavior', 'leave', 'ucabista', 'values', '\u200b\u200bvery', 'high', 'attacking', 'way']"
"...y dejen de hacer silencio sobre estas actitudes negativas, que es justamente uno de sus argumentos, pero en otro contexto. Comportamiento negativo debe ser reprochable de donde venga y en el contexto que sea.","['dejen', 'hacer', 'silencio', 'actitudes', 'negativas', 'justamente', 'argumentos', 'contexto', 'comportamiento', 'negativo', 'debe', 'ser', 'reprochable', 'venga', 'contexto']","... and stop being silent about these negative attitudes, which is precisely one of your arguments, but in another context. Negative behavior must be reprehensible where it comes from and in whatever context.","['stop', 'silent', 'negative', 'attitudes', 'precisely', 'one', 'arguments', 'another', 'context', 'negative', 'behavior', 'must', 'reprehensible', 'comes', 'whatever', 'context']"
