id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1415540872519819265,1415540872519819265,2021-07-15 01:16:58 Venezuela Standard Time,2021-07-15,01:16:58,-0400,245892239,arthur_canga,Arturo Canga,,"Desde que estoy en la universidad he visto como los estudiantes eligen como líderes de literalmente lo que sea al que mejor destaca en ese área. Ej: Delegado = mejor estudiante. Dejen de relacionar el área de estudio con liderazgo, no son lo mismo y pueden ser peor de lo esperado",es,[],[],[],0,1,1,[],[],https://twitter.com/Arthur_Canga/status/1415540872519819265,False,,0,,,,,,,,[],,,,
1415322899121065986,1415322899121065986,2021-07-14 10:50:49 Venezuela Standard Time,2021-07-14,10:50:49,-0400,245892239,arthur_canga,Arturo Canga,,Me recuerda a cierto profesor estrella,es,[],[],[],0,0,1,[],[],https://twitter.com/Arthur_Canga/status/1415322899121065986,False,https://twitter.com/FitFounder/status/1415321209437396998,0,,,,,,,,[],,,,
1413939088898600964,1413939088898600964,2021-07-10 15:12:03 Venezuela Standard Time,2021-07-10,15:12:03,-0400,245892239,arthur_canga,Arturo Canga,,"El estrés de la universidad, junto con no poder salir, me ha estado consumiendo psicológicamente a niveles insoportables. Diariamente el 60% de mis pensamientos son existencialistas o de soledad.  Esto no es sano",es,[],[],[],0,0,4,[],[],https://twitter.com/Arthur_Canga/status/1413939088898600964,False,,0,,,,,,,,[],,,,
1413703455873683459,1413697693935878144,2021-07-09 23:35:43 Venezuela Standard Time,2021-07-09,23:35:43,-0400,245892239,arthur_canga,Arturo Canga,,"@untalsiso No mano, me pasa, es que estamos viejos",es,[],[],[],0,0,0,[],[],https://twitter.com/Arthur_Canga/status/1413703455873683459,False,,0,,,,,,,,"[{'screen_name': 'untalsiso', 'name': 'José Alexis Siso.', 'id': '95947259'}]",,,,
1408604684433211395,1408597971961327622,2021-06-25 21:55:02 Venezuela Standard Time,2021-06-25,21:55:02,-0400,245892239,arthur_canga,Arturo Canga,,"Ojo, no me refiero solo a nivel político. Lo he visto en cualquier contexto. Siempre que hay un problema con un déspota quieren negociar e ir por las buenas, así les escupan en la cara",es,[],[],[],0,0,1,[],[],https://twitter.com/Arthur_Canga/status/1408604684433211395,False,,0,,,,,,,,[],,,,
1408597971961327622,1408597971961327622,2021-06-25 21:28:21 Venezuela Standard Time,2021-06-25,21:28:21,-0400,245892239,arthur_canga,Arturo Canga,,"Las generaciones anteriores en Venezuela tiene el gran problema de que creen que cualquier cosa se puede resolver mediante una negociación.  Brother acabas de ver cómo patearon la mesa 4 veces seguidas y nos insultaron y quieres seguir negociando? O eres imbécil, o inútil o las 2",es,[],[],[],1,0,4,[],[],https://twitter.com/Arthur_Canga/status/1408597971961327622,False,,0,,,,,,,,[],,,,
1395106217060622341,1395106217060622341,2021-05-19 15:56:56 Venezuela Standard Time,2021-05-19,15:56:56,-0400,245892239,arthur_canga,Arturo Canga,,This is what heroin does to ppl,en,[],[],[],0,0,1,[],[],https://twitter.com/Arthur_Canga/status/1395106217060622341,False,https://twitter.com/estendenciavzl/status/1395074110594719744,0,,,,,,,,[],,,,
1390132487670702085,1390132471149301760,2021-05-05 22:33:07 Venezuela Standard Time,2021-05-05,22:33:07,-0400,245892239,arthur_canga,Arturo Canga,,"En lo que a mí respecta, no importa a qué TT nacional llegó el hashtag o las acciones del Consejo Universitario; la iniciativa fue un rotundo fracaso por estos comportamientos. En vez de buscar añadir a uno a la causa, lo alejaron más de lo que estaba.  Buenas noches.",es,[],[],[],0,0,2,[],[],https://twitter.com/Arthur_Canga/status/1390132487670702085,False,,0,,,,,,,,[],,,,
1390132485351215111,1390132471149301760,2021-05-05 22:33:06 Venezuela Standard Time,2021-05-05,22:33:06,-0400,245892239,arthur_canga,Arturo Canga,,"Felicito a los representantes estudiantiles que dieron respuestas incluyentes y respetuosas, pero como representantes también tienen que llamar al respeto de los demás miembros de la comunidad ucabista",es,[],[],[],1,0,1,[],[],https://twitter.com/Arthur_Canga/status/1390132485351215111,False,,0,,,,,,,,[],,,,
1390132479399432204,1390132471149301760,2021-05-05 22:33:05 Venezuela Standard Time,2021-05-05,22:33:05,-0400,245892239,arthur_canga,Arturo Canga,,"Bastante que dejan que desear antiguos representantes, tutores, figuras públicas y egresados de la UCAB Guayana de su comportamiento. Dejan bien alto los valores ucabistas atacando de la forma que lo han estado haciendo.",es,[],[],[],1,0,1,[],[],https://twitter.com/Arthur_Canga/status/1390132479399432204,False,,0,,,,,,,,[],,,,
