frequency,bigram/trigram
26,unfollowed day you
26,unfollowed day
26,day you
25,12 via
21,you app
21,day you app
19,14 via
19,13 via
17,via dfk1urrwav
16,15 via
14,via dfk1ur0jcj
13,via ypgwmokxgc
13,16 via
12,17 via
11,person via
11,one person via
11,one person
8,18 via
7,buenas noches
7,20 via
6,va caer
6,15 unfollowed day
6,15 unfollowed
5,you dfk1ur0jcj app
5,you dfk1ur0jcj
5,dfk1ur0jcj app
5,day you dfk1ur0jcj
4,viernes libres
4,soloconverte jajajaja
4,real madrid
4,pasa rt
4,hola gente
4,feliz navidad
4,feliz año
4,19 via
4,14 unfollowed day
4,14 unfollowed
3,vamos vinotinto
3,va caer va
3,tener viernes libres
3,tener viernes
3,tan brutal
3,rt medicenbecha
3,rt leones_cbbc
3,lobo guerra
3,juego selección
3,después tiempo
3,coño madre
3,caer va caer
3,caer va
3,26 via
3,25 unfollowed day
3,25 unfollowed
3,23 via
3,22 via
3,21 via
3,17 unfollowed day
3,17 unfollowed
3,16 unfollowed day
3,16 unfollowed
2,últimos días vacaciones
2,últimos días
2,yquemerlis van extrañar
2,yquemerlis van
2,yormanjhosue fcbarcelona_es
2,visca barça
2,ver si
2,van extrañar liceo
2,van extrañar
2,vamos nojoda
2,vamos ganamos
2,va ser
2,va caer gobierno
2,unas vainas
2,transmisión venevision
2,toda tarde
2,toda semana
2,tiempo pasar acá
2,tiempo pasar
2,tan rápido
2,soloconverte jajaja
2,solo suerte
2,skrillex ultralive
2,si si
2,rt yquemerlis van
2,rt yquemerlis
2,rt rt
2,rt motivacionesf
2,rt leones_cbbc lineup
2,rt kitsnagla
2,queda mucha
2,pasar acá
2,noche quita
2,meses teléfono
2,maldito partido
2,madrid vs
2,lineup juego hoy
2,lineup juego
2,liceo hizo daño
2,liceo hizo
2,leones_cbbc lineup juego
2,leones_cbbc lineup
2,leones caracas
2,juego hoy transmisión
2,juego hoy
2,igual si
2,ig jorge_vilo
2,hoy transmisión venevision
2,hoy transmisión
2,hola vale
2,hola tal
2,hizo daño
2,hablar horas
2,gusta edificio vibran
2,gusta edificio
2,grande neymar
2,grande murillo
2,gracias dios
2,goooooooooool nojoda
2,goooooooooool messi
2,goooooool nojodaaaaaa
2,gobierno va caer
2,gobierno va
2,gente si
2,fifa 15
2,extrañar liceo hizo
2,extrañar liceo
2,edificio vibran
2,días vacaciones
2,día tan brutal
2,día tan
2,dios quiera
2,dejaron seguir
2,david guetta
2,das cuenta
2,da gente
2,creo pase
2,coño ahora
2,conectémonos badoo badoo_e
2,conectémonos badoo
2,claro si
2,ciclo chita
2,caer gobierno va
2,caer gobierno
2,buenos días
2,buen partido
2,buen nivel
2,badoo badoo_e
2,aun queda
2,aun creó
2,así simple
2,así puede
2,arrechera da gente
2,arrechera da
2,alex gonzález
2,ahora si
2,ah ah
2,43 via
2,20 via dfk1ur0jcj
2,16 via dfk1urrwav
2,14 via ypgwmokxgc
2,14 via dfk1ur0jcj
2,14 18 via
2,14 18
2,12 via ypgwmokxgc
2,12 unfollowed day
2,12 unfollowed
2,12 one person
2,12 one
2,12 14 via
2,12 14
1,único hacen pedir
1,único hacen
1,único gusta magallanes
1,único gusta
1,única da ver
1,única da
1,último día vacaciones
1,último día
1,últimamente seco tweets
1,últimamente seco
1,éxitos salud felicidad
1,éxitos salud
1,éxito rt vanejimenezp
1,éxito rt
1,éxito besos
1,época nivel
1,épico ultralive
1,ávila zerpa gerencia
1,ávila zerpa
1,árbitros expulsen quede
1,árbitros expulsen
1,zerpa gerencia así
1,zerpa gerencia
1,yucas aerepas importa
1,yucas aerepas
1,youtube eku8bsvbw7 vpi
1,youtube eku8bsvbw7
1,youtube ahwlhqydyk reparar
1,youtube ahwlhqydyk
1,you worry child
1,you worry
1,yormanjhosue fcbarcelona_es si
1,yormanjhosue fcbarcelona_es claro
1,xbox play ah
1,xbox play
1,worry child faltó
1,worry child
1,wn aprovechando vacaciones
1,wn aprovechando
1,wilker fariñez
1,white dude be
1,white dude
1,whatsapp estan pasando
1,whatsapp estan
1,webo flaco
1,watanabe debería lanzarle
1,watanabe debería
1,vídeo youtube eku8bsvbw7
1,vídeo youtube
1,vídeo llevaba nokia
1,vídeo llevaba
1,vzla mismo día
1,vzla mismo
1,vuelta baile juventus
1,vuelta baile
1,vs barcelona vale
1,vs barcelona
1,vs atlético
1,vpi tv vivo
1,vpi tv
1,voy ver si
1,voy ver
1,voy usb segunda
1,voy usb
1,voy tí
1,voy rumba adjkansksd
1,voy rumba
1,voy ready pa
1,voy ready
1,voy ladilla consume
1,voy ladilla
1,voy dejar vinotinto
1,voy dejar
1,voy crear lista
1,voy crear
1,voy bañar
1,votar juego así
1,votar juego
1,vizca seijas perdido
1,vizca seijas
1,vivo venezolanos información
1,vivo venezolanos
1,vivo directo venezuela
1,vivo directo
1,vive quinta llamado
1,vive quinta
1,viva electronica nojoda
1,viva electronica
1,visça barça
1,visión conformista
1,vinotinto sola
1,vinotinto ido mundial
1,vinotinto ido
1,vinotinto colombia difícil
1,vinotinto colombia
1,vinotinto así ser
1,vinotinto así
1,viera imagen así
1,viera imagen
1,vienen 13 rascas
1,vienen 13
1,viene steve aoki
1,viene steve
1,viene mejor ultralive
1,viene mejor
1,viendo ultra
1,viejo entiende coño
1,viejo entiende
1,viejas partió boca
1,viejas partió
1,video lista reproducción
1,video lista
1,vida personal
1,vida da coñazos
1,vida da
1,vibran gusta edificio
1,vibran gusta
1,vibran ah ah
1,vibran ah
1,via dfk1urisqr
1,veía mal
1,vez chile
1,vez avanzar retrocediendo
1,vez avanzar
1,vestido tenias hacer
1,vestido tenias
1,verdad jodimos
1,ver tomorrowland
1,ver si pongo
1,ver si activan
1,ver selección
1,ver mas tarde
1,ver mas
1,ver gochos después
1,ver gochos
1,ver comienzo nuevo
1,ver comienzo
1,veo malo fiesta
1,veo malo
1,ventaja parece drogaran
1,ventaja parece
1,vengo voy bañar
1,vengo voy
1,venezuela va rusia
1,venezuela va
1,venezuela respeta bocones
1,venezuela respeta
1,venezuela pierde interés
1,venezuela pierde
1,venezuela mas labia
1,venezuela mas
1,venezuela hagan amistosos
1,venezuela hagan
1,venezuela despierten yaaaaaaaaaaaaaaaaaaaaaa
1,venezuela despierten
1,venezuela argentina colombia
1,venezuela argentina
1,venezuela 3lkxo05tdd
1,venezolanos saben fútbol
1,venezolanos saben
1,venezolanos información
1,venezolanos esperamos hagan
1,venezolanos esperamos
1,venezolanos así simple
1,venezolanos así
1,venezolano cagada
1,venezolanas siempre bellas
1,venezolanas siempre
1,venezolana venezolana
1,venevision siemprecaracaquista vvypf0vgwo
1,venevision siemprecaracaquista
1,venevision gq3pcxrjak
1,ven unas vainas
1,ven unas
1,ven llorar conmigo
1,ven llorar
1,veces seguidas creo
1,veces seguidas
1,veces pasa desesperas
1,veces pasa
1,veces mismo error
1,veces mismo
1,vea minutos uwot7nvxeg
1,vea minutos
1,ve snap
1,ve si pierden
1,ve si
1,ve partidos
1,ve luna
1,ve borroso escucha
1,ve borroso
1,ve bien aveces
1,ve bien
1,vas tumbar miami
1,vas tumbar
1,vas dormir lluvia
1,vas dormir
1,vas cocinar gradas
1,vas cocinar
1,varias partes
1,vargas talento crack
1,vargas talento
1,vanejimenezp usb voy
1,vanejimenezp usb
1,vane_nathy si bella
1,vane_nathy si
1,vane éxito rt
1,vane éxito
1,van votar juego
1,van votar
1,van robar ayuda
1,van robar
1,van entregar venezolana
1,van entregar
1,van buuren ultralive
1,van buuren
1,van apelar tas
1,van apelar
1,vamos todavía vinotinto
1,vamos todavía
1,vamos nuevo dijo
1,vamos nuevo
1,vamos nojoda rt
1,vamos leones
1,vamos jugar c9rfvugnm6
1,vamos jugar
1,vamos ganamos carajooo
1,vamos crack hara
1,vamos crack
1,vamos carajoooooo
1,vamos carajoooo lacapitalesaurinegra
1,vamos carajoooo
1,vamos carajooo
1,vamos carajo rt
1,vamos carajo
1,vamos aurinegro
1,vamos arriba carajoooo
1,vamos arriba
1,vamos abrir gym
1,vamos abrir
1,vamooos vinotintooo
1,vamooooos aurinegro
1,vamoooooooos nojodaaaa
1,vamoooooooos aurinegroooo nojoda
1,vamoooooooos aurinegroooo
1,vamooooooooooooooooooos vinotintoooooo
1,vamooooooooooooooooooos nojodaaaaaaaaaaaaaaa
1,vamooooooooooooooooooos empatamos
1,valeriecldr spam manda
1,valeriecldr spam
1,valeriecldr si pagina
1,valeriecldr si
1,valeriecldr dm
1,vale voy ver
1,vale voy
1,vale verdad
1,vale r8qjbjrglk
1,vale pena real
1,vale pena
1,vale ganaste competir
1,vale ganaste
1,vainas locas
1,vainas juego boto
1,vainas juego
1,vainas jajajajajaja
1,vaina vamos jugar
1,vaina vamos
1,vaina arrecha teques
1,vaina arrecha
1,vacila camina
1,vacaciones época nivel
1,vacaciones época
1,vacaciones sagrados
1,vacaciones pasan tan
1,vacaciones pasan
1,vacaciones igual si
1,vacaciones igual
1,va tocar chile
1,va tocar
1,va ser éxito
1,va ser épico
1,va rusia 2018
1,va rusia
1,va menos mas
1,va menos
1,va hacer ultralive
1,va hacer
1,va diferido tvesaldia
1,va diferido
1,va criticar apenas
1,va criticar
1,va cambiar camiseta
1,va cambiar
1,va brutal
1,ustedes todavía usan
1,ustedes todavía
1,ustedes daban favorito
1,ustedes daban
1,usb voy tí
1,usb voy
1,usb segunda parte
1,usb segunda
1,usando listas
1,usan listas leer
1,usan listas
1,usan conocer gente
1,usan conocer
1,usa emoción espiche
1,usa emoción
1,uruguay paraguay jamaica
1,uruguay paraguay
1,universo preguntas
1,unfollow divos dejaron
1,unfollow divos
1,unfollow becerros dejaron
1,unfollow becerros
1,unas vainas locas
1,unas vainas jajajajajaja
1,una_celosaa tener viernes
1,una_celosaa tener
1,una_celosaa saque 01
1,una_celosaa saque
1,ultralive ultra2015
1,ultralive qizuvtsw9k
1,ultra apenas comienza
1,ultra apenas
1,ultima hora ejemplo
1,ultima hora
1,uf divos
1,ucab voy
1,título ingeniero
1,twitter siguen usando
1,twitter siguen
1,twitter rt iquedrogado
1,twitter rt
1,twitter respondan
1,twitter cayéndose diciembre
1,twitter cayéndose
1,twittear animos puede
1,twittear animos
1,tweetsito_ voy rumba
1,tweetsito_ voy
1,tweetdeck actualiza cada
1,tweetdeck actualiza
1,tweet pregunta
1,tves tvesaldia
1,tves pasara juego
1,tves pasara
1,tves anuncié juego
1,tves anuncié
1,tv vivo venezolanos
1,tv vivo
1,tumbar miami ultralive
1,tumbar miami
1,tumba mainstage nadie
1,tumba mainstage
1,tuitear concentró olvido
1,tuitear concentró
1,tuitazo rt rt
1,tuitazo rt
1,tridente titular barca
1,tridente titular
1,trata bonito
1,trata acompañar jugada
1,trata acompañar
1,tras temazo grande
1,tras temazo
1,transmisión venevision siemprecaracaquista
1,transmisión venevision gq3pcxrjak
1,transmisión clásico giraltpablo
1,transmisión clásico
1,transmisiones tves tvesaldia
1,transmisiones tves
1,traen telf nuevos
1,traen telf
1,trabajo debería afectar
1,trabajo debería
1,trabajo constancia apoyar
1,trabajo constancia
1,trabajando toda semana
1,trabajando toda
1,tomas rincón va
1,tomas rincón
1,tomar mala decisión
1,tomar mala
1,todavía vinotinto
1,todavía usan listas
1,todavía usan
