frequency,bigram/trigram
28,publicar foto
28,acaba publicar foto
28,acaba publicar
10,publicar foto samanes
10,publicar foto caracas
10,foto samanes
10,foto caracas
9,000 000
8,venezuela caracas
8,caracas venezuela
8,000 casos
7,días 000
6,salud mental
6,foto caracas venezuela
6,días 000 000
6,cada vez
6,000 000 casos
5,ver si
5,miranda venezuela
5,bad bunny
5,algún día
4,vayan darle
4,solo quiero
4,real madrid
4,puede dar
4,publicar foto colinas
4,monte miranda venezuela
4,monte miranda
4,metro caracas
4,instagram isaacsb2121priv_
4,foto colinas bello
4,foto colinas
4,cota 905
4,colinas bello monte
4,colinas bello
4,casos días
4,buenos días
4,bello monte miranda
4,bello monte
4,91 usd
4,276 91 usd
4,276 91
4,000 casos días
3,zona rental
3,vayan darle amor
3,vamos venezuela
3,toda vida
3,toda venezuela
3,tienda física
3,they deactivated my
3,they deactivated
3,suele pasar
3,si quiere
3,si día
3,servicio eléctrico
3,ser humano
3,semana flexible
3,redes sociales
3,quiere montar
3,plaza venezuela
3,persona quiero
3,paz mental
3,montero sb
3,isaacsb followforfollowback
3,isaac montero sb
3,isaac montero
3,ig isaacsb2121priv_
3,hola hola
3,función autocine
3,forrest gump
3,feliz día
3,di cuenta
3,deactivated my
3,darle amor
3,daniela alvarado
3,charles bukowski
3,casos días 000
3,bien mal
3,asi mismo
3,alguna vez
3,alguien puede
3,21 21
2,única persona
2,última vez
2,zona rental unimet
2,yesterday at 00
2,yesterday at
2,web policía minneapolis
2,web policía
2,was victim of
2,was victim
2,voy dejar
2,viral night
2,vida solo
2,vida si
2,vida mejor
2,victim of theft
2,victim of
2,vez historia
2,verdad si
2,venezuela libre
2,vehículos retenidos zona
2,vehículos retenidos
2,veces necesitamos
2,varias personas vehículos
2,varias personas
2,van invadir
2,vamos ver si
2,vamos ver
2,va ir
2,usuario isaacsb1 wj72vdbubr
2,usuario isaacsb1
2,usd they deactivated
2,usd they
2,usd amount of
2,usd amount
2,unimet 3jul 22
2,unimet 3jul
2,tráelo vuelta
2,trump asesinatos trata
2,trump asesinatos
2,trujillo transaction date
2,trujillo transaction
2,tristeza hace llorar
2,tristeza hace
2,triste siempre
2,triste recordando
2,trata niños 2020
2,trata niños
2,transaction date february
2,transaction date
2,transaction case number
2,transaction case
2,transaction amount 276
2,transaction amount
2,tocarte atrevo textearte
2,tocarte atrevo
2,tipo tristeza hace
2,tipo tristeza
2,tik tok
2,theft of 276
2,theft of
2,tener vida
2,tener permisos alcaldía
2,tener permisos
2,tendencia venezuela
2,tendencia instagram
2,tantas personas
2,tantas cosas
2,tan malo
2,snapchat nombre usuario
2,snapchat nombre
2,skatelife lifestyle life
2,skatelife lifestyle
2,skateboard skatelife lifestyle
2,skateboard skatelife
2,skate fuck día
2,skate fuck
2,sitio web policía
2,sitio web
2,sigue país
2,sigan cuenta
2,siempre van
2,si veo
2,si van
2,si vaina
2,si quiere montar
2,si lees
2,si extraño
2,si busco
2,si ayudan
2,semana radical
2,seller name sasha
2,seller name
2,sasha trujillo transaction
2,sasha trujillo
2,sale puerta
2,sabana grande
2,ruedavicto buen punto
2,ruedavicto buen
2,rostro boca arriba
2,rostro boca
2,rieles metro
2,retenidos zona rental
2,retenidos zona
2,rental unimet 3jul
2,rental unimet
2,regresa horas cerrando
2,regresa horas
2,really feel that
2,really feel
2,radios policía chicago
2,radios policía
2,quiero alguien
2,quedo versión
2,puso canción fuck
2,puso canción
2,puntos ventaja
2,punto final
2,puede pasar cara
2,puede pasar
2,puede decir
2,propia mente
2,promesas recuerdos
2,procedimiento policial tener
2,procedimiento policial
2,primera vez
2,presentar nuevo
2,pp 103954929 seller
2,pp 103954929
2,ponerse triste recordando
2,ponerse triste
2,poner punto final
2,poner punto
2,policía minneapolis hackeó
2,policía minneapolis
2,policía chicago puso
2,policía chicago
2,policial tener permisos
2,policial tener
2,police expuso trump
2,police expuso
2,pidan directvlibre importante
2,pidan directvlibre
2,personas vehículos retenidos
2,personas vehículos
2,persona correcta
2,permisos alcaldía miranda
2,permisos alcaldía
2,peor todas
2,pasar cara boca
2,pasar cara
2,of transaction case
2,of transaction
2,of theft of
2,of theft
2,of dispute 276
2,of dispute
2,of 276 96
2,of 276
2,number pp 103954929
2,number pp
2,nuevo día
2,nombre usuario isaacsb1
2,nombre usuario
2,niños 2020 puede
2,niños 2020
2,necesito tiempo
2,necesitamos alguien
2,name sasha trujillo
2,name sasha
2,nadie sabe
2,my paypal
2,muchas personas
2,muchas gracias
2,momento equivocado
2,miranda varias personas
2,miranda varias
2,miranda vargas
2,minneapolis hackeó radios
2,minneapolis hackeó
2,mas claro
2,maracay aragua
2,lunesdeganarseguidores lunesdemotivacion
2,luna llena
2,loco tocarte atrevo
2,loco tocarte
2,llorar peor todas
2,llorar peor
2,limón maracay aragua
2,limón maracay
2,lifestyle life
2,juntarnos gente
2,juan rulfo
2,jalo bolas
2,isaacsb2121priv_ viral
2,isaacsb1 wj72vdbubr
2,isaacsb follow
2,instagram ajshopmakeup
2,imposible caerle
2,importante exigir venezuela
2,importante exigir
2,hoy día
2,horas cerrando sitio
2,horas cerrando
2,hora concluye función
2,hora concluye
2,happy cute
2,haga si quiere
2,haga si
2,hackeó radios policía
2,hackeó radios
2,haces bien
2,hacer dinero
2,hacer daño
2,hace llorar peor
2,hace llorar
2,hace efecto
2,hace cambiar
2,habla mal
2,gump 1994
2,gran campeón
2,good afternoon yesterday
2,good afternoon
2,george floyd
2,gente va
2,gente merece
2,gasolina subsidiada
2,función autocine cinex
2,funcionarios cicpc
2,fuck police expuso
2,fuck police
2,fuck día
2,forros iphone
2,forrest gump 1994
2,formas pago
2,feliziniciodesemana felizlunes
2,feel that
2,february 24 2021
2,february 24
2,extraño extraño
2,extrañar alguien
2,expuso trump asesinatos
2,expuso trump
2,exigir venezuela libre
2,exigir venezuela
2,edo miranda
2,días peores
2,día tan
2,día hoy
2,dtto capital
2,dispute 276 91
2,dispute 276
2,disculpame presentar nuevo
2,disculpame presentar
2,directvlibre importante exigir
2,directvlibre importante
2,diferentes formas pago
2,diferentes formas
2,dia skateboarding
2,details of transaction
2,details of
2,date february 24
2,date february
2,das cuenta
2,da igual
2,cuesta bs
2,cuenta jamessanche9418
2,cualquier información
2,cruda realidad
2,country club
2,cosas lindas
2,cosas gente
2,contigo mismo
2,concluye función autocine
2,concluye función
2,clavo saca
2,cinex procedimiento policial
2,cinex procedimiento
2,chicago puso canción
2,chicago puso
2,cerrando sitio web
2,cerrando sitio
2,cerco sanitario
2,case number pp
2,case number
2,casa blanca
2,cara boca abierta
2,cara boca
2,canción fuck police
2,canción fuck
2,cae plata
2,cada persona
2,buenosdías felizdomingo
2,buenosdias buenosdiasatodos
2,buenos momentos
2,buen punto
2,bs 18 000
2,bs 18
2,boys girls
2,boca arriba
2,boca abierta
2,bien voy
2,bien pidan directvlibre
2,bien pidan
2,bien contigo
2,banco tesoro
2,añádeme snapchat nombre
2,añádeme snapchat
2,autocine cinex procedimiento
2,autocine cinex
2,atrevo textearte
2,at 00 was
2,at 00
2,asi mas claro
2,asi mas
2,asesinatos trata niños
2,asesinatos trata
2,anonymous regresa horas
2,anonymous regresa
2,amount of dispute
2,amount of
2,amount 276 91
2,amount 276
2,amor vida
2,amor foto
2,alguien quieres
2,alguien quiere
2,alguien gusta
2,alguien bien
2,alcaldía miranda varias
2,alcaldía miranda
2,afternoon yesterday at
2,afternoon yesterday
2,96 details of
2,96 details
2,91 usd they
2,91 usd amount
2,500 000
2,3jul 22 02
2,3jul 22
2,30may caracas
2,276 96 details
2,276 96
2,24 2021 transaction
2,24 2021
2,22 02
2,21 21 21
2,2021 transaction amount
2,2021 transaction
2,2020 puede pasar
2,2020 puede
2,2018 disculpame presentar
2,2018 disculpame
2,18 000 000
2,18 000
2,103954929 seller name
2,103954929 seller
2,000 dólar
2,000 bs
2,00 was victim
2,00 was
1,𝙏𝙀 𝘼𝙍𝙍𝙀𝙋𝙄𝙀𝙉𝙏𝘼𝙎
1,𝙎𝙊𝙇𝙊 𝙀𝙎𝙋𝙀𝙍𝙊 𝙌𝙐𝙀
1,𝙎𝙊𝙇𝙊 𝙀𝙎𝙋𝙀𝙍𝙊
1,𝙌𝙐𝙀 𝙉𝙊 𝙏𝙀
1,𝙌𝙐𝙀 𝙉𝙊
1,𝙉𝙊 𝙏𝙀 𝘼𝙍𝙍𝙀𝙋𝙄𝙀𝙉𝙏𝘼𝙎
1,𝙉𝙊 𝙏𝙀
1,𝙀𝙎𝙋𝙀𝙍𝙊 𝙌𝙐𝙀 𝙉𝙊
1,𝙀𝙎𝙋𝙀𝙍𝙊 𝙌𝙐𝙀
1,𝗦𝗘 𝗟𝗟𝗘𝗩𝗔 𝗟𝗔
1,𝗦𝗘 𝗟𝗟𝗘𝗩𝗔
1,𝗟𝗟𝗘𝗩𝗔 𝗟𝗔 𝗖𝗛𝗔𝗠𝗣𝗜𝗢𝗡𝗦
1,𝗟𝗟𝗘𝗩𝗔 𝗟𝗔
1,𝗟𝗔 𝗖𝗛𝗔𝗠𝗣𝗜𝗢𝗡𝗦 havertz
1,𝗟𝗔 𝗖𝗛𝗔𝗠𝗣𝗜𝗢𝗡𝗦
1,𝗖𝗛𝗘𝗟𝗦𝗘𝗔 𝗦𝗘 𝗟𝗟𝗘𝗩𝗔
1,𝗖𝗛𝗘𝗟𝗦𝗘𝗔 𝗦𝗘
1,𝗖𝗛𝗔𝗠𝗣𝗜𝗢𝗡𝗦 havertz marcó
1,𝗖𝗛𝗔𝗠𝗣𝗜𝗢𝗡𝗦 havertz
1,𝑣𝑖𝑑𝑎 𝑡𝑒 𝑡𝑖𝑒𝑛𝑒𝑠
1,𝑣𝑖𝑑𝑎 𝑡𝑒
1,𝑡𝑖𝑒𝑛𝑒𝑠 𝑞𝑢𝑒 𝑎𝑟𝑟𝑖𝑒𝑠𝑔𝑎𝑟
1,𝑡𝑖𝑒𝑛𝑒𝑠 𝑞𝑢𝑒
1,𝑡𝑒 𝑡𝑖𝑒𝑛𝑒𝑠 𝑞𝑢𝑒
1,𝑡𝑒 𝑡𝑖𝑒𝑛𝑒𝑠
1,𝑞𝑢𝑒 𝑎𝑟𝑟𝑖𝑒𝑠𝑔𝑎𝑟 isaac
1,𝑞𝑢𝑒 𝑎𝑟𝑟𝑖𝑒𝑠𝑔𝑎𝑟
1,𝑙𝑎 𝑣𝑖𝑑𝑎 𝑡𝑒
1,𝑙𝑎 𝑣𝑖𝑑𝑎
1,𝑎𝑟𝑟𝑖𝑒𝑠𝑔𝑎𝑟 isaac isaacsb
1,𝑎𝑟𝑟𝑖𝑒𝑠𝑔𝑎𝑟 isaac
1,𝐸𝑛 𝑙𝑎 𝑣𝑖𝑑𝑎
1,𝐸𝑛 𝑙𝑎
1,ايطاليا_اسبانيا tiktokdown masterchef
1,ايطاليا_اسبانيا tiktokdown
1,único tesoro puedes
1,único tesoro
1,único quedó intacto
1,único quedó
1,único queda mirar
1,único queda
1,único necesito sentarme
1,único necesito
