,word,count
0,✌️,11
1,hola,11
2,si,100
3,das,4
4,❤️,13
5,dolares,1
6,selfie,4
7,flow,1
8,work,2
9,style,2
10,❤️❤️,1
11,jamessanche,7
12,👈👈👈,1
13,tiktokbacol,1
14,tiktokchallenge,2
15,tiktokviral,4
16,tiktokhotindo,1
17,tiktokuncensored,1
18,tiktokthots,1
19,tiktok,10
20,brutal,2
21,sabes,9
22,buenosdiastvn,1
23,buenosdias,7
24,buenosdiasatodos,5
25,felizmiercoles,9
26,soscubalibre,1
27,mentirasverdaderas,1
28,flaco,2
29,paypal,12
30,zelle,3
31,help,3
32,martesdeganarseguidores,1
33,martes,3
34,insistir,1
35,quieren,5
36,cuenta,14
37,acto,1
38,amor,21
39,propio,2
40,hoy,23
41,puedes,11
42,amar,3
43,nadie,24
44,procura,1
45,menos,10
46,hacer,16
47,daño,2
48,ser,34
49,inteligentes,1
50,evitar,2
51,sufrimientos,1
52,innecesarios,1
53,reporta,1
54,asedio,1
55,detención,2
56,diputado,1
57,freddy,1
58,guevara,1
59,freddyguevarac,1
60,asilado,1
61,embajada,1
62,chile,3
63,años,10
64,luego,6
65,regresó,1
66,casa,9
67,fuerzas,3
68,seguridad,2
69,vivienda,1
70,juan,1
71,guaidó,1
72,jguaido,1
73,buscándolo,1
74,según,1
75,informado,1
76,fabiirosales,1
77,libertad,3
78,cuba,2
79,🇨🇺,1
80,soscuba,1
81,protestas,5
82,gobierno,3
83,habana,1
84,reacción,1
85,presidente,2
86,jefe,1
87,partido,4
88,comunista,1
89,miguel,1
90,díaz,1
91,canel,1
92,fuerza,4
93,hermanos,2
94,cubanos,1
95,peleen,1
96,dictadura,1
97,cuba💪🍀,1
98,dice,6
99,entrenar,1
100,hace,19
101,efecto,3
102,sigan,7
103,motivation,2
104,venezuela,71
105,caracas,46
106,rt,7
107,felizdomingo,12
108,buenasnochesatodos,2
109,voy,14
110,dejar,5
111,ganar,6
112,lluvia,3
113,skateboarding,6
114,alguien,51
115,diga,3
116,bowling,1
117,sambil,1
118,ccs,2
119,abierto,1
120,quitaron,1
121,quisiera,3
122,mega,1
123,ayuda,4
124,gente❤️,1
125,emprendiendo,1
126,nuevo,8
127,negocio,1
128,amigo,7
129,instagram,15
130,ajshopmakeup,2
131,variedad,2
132,mercancía,1
133,precios,1
134,locura,2
135,diferentes,5
136,formas,5
137,pago,3
138,envíos,4
139,lados,1
140,sinceros,1
141,seres,1
142,humanos,1
143,diablos,1
144,tierra,2
145,animales,4
146,almas,1
147,atormentadas,1
148,arthur,1
149,schopenhauer,1
150,arte,3
151,envejecer,1
152,artwork,1
153,karol,1
154,bak,1
155,sabado,2
156,follow,14
157,cbrandoncami,2
158,jajajjaa,1
159,caballero,2
160,meto,3
161,damas,1
162,va,25
163,mejor,24
164,sigo,12
165,😂😂😂😂💩,1
166,imagínate,1
167,sentado,1
168,comiendo,1
169,helado,1
170,hablando,3
171,paja,1
172,pase,3
173,altamira,2
174,acabo,1
175,ver,13
176,perfil,2
177,di,4
178,perderé,1
179,tiempo,8
180,😂😂,2
181,mentalidad,1
182,peor,11
183,droga,1
184,humano,3
185,felizviernesatodos,3
186,felizviernes,2
187,viral,20
188,pobre,3
189,manos,5
190,cayó,2
191,usted,1
192,entienden,1
193,cota,8
194,faes,2
195,rflamasgrande,1
196,they,4
197,say,1
198,that,3
199,if,2
200,place,1
201,my,9
202,will,2
203,see,1
204,it,2
205,be,1
206,true,1
207,cruda,2
208,realidad,12
209,bala,1
210,perdida,2
211,gente,31
212,inocente,1
213,paga,4
214,caracasbajofuego,1
215,amigos,5
216,pueden,4
217,ayudar,1
218,siguiendo,1
219,emprendimiento,1
220,helloaa,1
221,please,1
222,support,1
223,in,1
224,new,2
225,endeavor,1
226,and,3
227,on,1
228,like,18
229,miercolesdeganarseguidores,1
230,empredimiento,2
231,vida,46
232,da,11
233,vueltas,1
234,adios,1
235,twitter,13
236,twitch,1
237,caraotadigital,1
238,viraltwitter,7
239,ocurrió,2
240,quinta,1
241,crespo,1
242,cerca,3
243,mercado,1
244,noticias,2
245,quintacrespo,1
246,jul,4
247,koki,3
248,plomoparejo,1
249,am,8
250,vecinos,3
251,vega,2
252,reportaron,1
253,comenzaron,1
254,sentir,4
255,ráfagas,1
256,tiros,1
257,hora,8
258,ninguna,2
259,fuente,1
260,oficial,2
261,pronunciado,1
262,acontecimientos,1
263,policías,1
264,ciudadanos,1
265,heridos,1
266,balas,1
267,ataques,2
268,sedes,2
269,policiales,1
270,dos,9
271,fallecidos,1
272,robos,1
273,ordenan,1
274,policía,9
275,intervenir,1
276,personas,34
277,temor,1
278,¿el,1
279,ganó,2
280,guerra,1
281,ruedavicto,2
282,buen,4
283,punto,8
284,bandas,1
285,bajaron,1
286,boulevard,1
287,cementerio,1
288,adyacente,1
289,ivss,1
290,atravesaron,1
291,camionetas,2
292,fusiles,1
293,disparando,2
294,pasen,1
295,vehículos,4
296,motos,1
297,momentos,11
298,registra,1
299,fuerte,4
300,enfrentamiento,1
301,banda,2
302,garbis,1
303,vampi,1
304,funcionarios,5
305,cicpc,2
306,orden,1
307,transitar,1
308,adyacencias,1
309,pm,7
310,rico,3
311,exclusivamente,1
312,sola,3
313,persona,37
314,conocer,3
315,cuerpo,4
316,puntos,4
317,debiles,1
318,miedos,1
319,inseguridades,1
320,ganarse,1
321,confianza,1
322,placer,2
323,confirman,1
324,detesto,1
325,extrañar,4
326,parecer,1
327,síganme,3
328,miercolesderocio,1
329,compartan,4
330,mismo,20
331,skate,8
332,skateintolove,1
333,skatetwitter,2
334,ايطاليا,1
335,اسبانيا,1
336,tiktokdown,1
337,masterchef,1
338,mexicocity,1
339,argentinaunida,1
340,colombia,1
341,usa,2
342,espana,1
343,ironía,2
344,ponerse,3
345,triste,10
346,recordando,2
347,cosas,26
348,hacían,1
349,feliz,18
350,rockstar,1
351,parte,8
352,lastimar,2
353,quiere,8
354,mardita,1
355,luzグッズ,1
356,siganme,1
357,sinluz,8
358,apagones,2
359,juntos,3
360,matan,1
361,separados,1
362,mueren,1
363,leal,2
364,nunca,33
365,dejaría,2
366,solo,40
367,paz,7
368,salud,9
369,mental,9
370,dignidad,1
371,gustan,2
372,mayores,2
373,😏🔱,1
374,venezolano,5
375,get,1
376,to,2
377,👈❤️🙏,1
378,instagramdown,3
379,instalive,1
380,instagramban,1
381,instagramstaytophotos,1
382,instagrammarketing,1
383,marketingdigital,1
384,marketingpower,1
385,motivacion,2
386,picoftheday,4
387,compartir,5
388,tendencias,4
389,probablemente,1
390,esperándote,2
391,❤️❤️🇻🇪,1
392,venezolanos,4
393,dejulio,1
394,diane,1
395,razón,6
396,mundo,18
397,cambiando,4
398,música,4
399,drogas,1
400,hombres,1
401,mujeres,5
402,dentro,6
403,mil,6
404,chicos,1
405,chicas,1
406,sólo,10
407,idiotas,1
408,trainspotting,1
409,danny,2
410,boyle,1
411,difícil,5
412,terrible,3
413,tragedia,2
414,ocasionó,1
415,caída,2
416,árbol,2
417,unidad,1
418,pasajeros,1
419,av,1
420,méxico,1
421,bellas,1
422,artes,1
423,¡cuanta,1
424,indignación,1
425,¡negligencia,1
426,criminal,1
427,¿cuantos,1
428,debemos,2
429,morir,2
430,culpa,4
431,mediocridad,2
432,indignos,1
433,incapaces,1
434,trabajo,5
435,carga,1
436,celular,3
437,iphone,3
438,escucha,3
439,vez,26
