tweet,tweet_tokenized
✌️  https://t.co/6x3LEZNsfx,['✌️']
Hola   Si no le das ❤️ no tendrás #dolares 🤣  #selfie #flow #work #style  https://t.co/l7j7blmrs2,"['hola', 'si', 'das', '❤️', 'dolares', 'selfie', 'flow', 'work', 'style']"
❤️❤️ @jamessanche9418 👈👈👈  #tiktokbacol  #tiktokchallenge  #TikTokviral  #tiktokhotindo  #tiktokuncensored  #tiktokthots  #TikTok  https://t.co/fxWHNJm62b,"['❤️❤️', 'jamessanche', '👈👈👈', 'tiktokbacol', 'tiktokchallenge', 'tiktokviral', 'tiktokhotindo', 'tiktokuncensored', 'tiktokthots', 'tiktok']"
😉  https://t.co/Y2JqpqdT6f,[]
 https://t.co/G84LvNgPA0,[]
Brutal  https://t.co/rs1tYCCnHA,['brutal']
Ya sabes ...  #BuenosDiasTVN  #BuenosDias  #BuenosDiasATodos  #FelizMiercoles  #SOSCubaLibre  #mentirasverdaderas  https://t.co/EbHnqHHaRA,"['sabes', 'buenosdiastvn', 'buenosdias', 'buenosdiasatodos', 'felizmiercoles', 'soscubalibre', 'mentirasverdaderas']"
Flaco pero no tu flaco ✌️  https://t.co/jHhLoEFvRI,"['flaco', 'flaco', '✌️']"
Quien tiene Paypal o zelle   #help  #MartesDeGanarSeguidores  #Martes13,"['paypal', 'zelle', 'help', 'martesdeganarseguidores', 'martes']"
No insistir donde no te quieren cuenta como un acto de amor propio.,"['insistir', 'quieren', 'cuenta', 'acto', 'amor', 'propio']"
"Si hoy no puedes amar a nadie, procura al menos no hacer daño a nadie.","['si', 'hoy', 'puedes', 'amar', 'nadie', 'procura', 'menos', 'hacer', 'daño', 'nadie']"
Hay que ser inteligentes para evitar sufrimientos innecesarios.,"['ser', 'inteligentes', 'evitar', 'sufrimientos', 'innecesarios']"
