tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized
"Cada episodio de Ted Lasso es literal un abrazo que da fuerza. Pura gente promedio pero genuina, lo único especial es que no se dan mala vida frente a la desgracia.   Es medicina contra el pesimismo, que nunca sobra. Ah, y mucho fútbol y puns que sí dan risa.  Véanla.  https://t.co/v2LLZbO6LO","['cada', 'episodio', 'ted', 'lasso', 'literal', 'abrazo', 'da', 'fuerza', 'pura', 'gente', 'promedio', 'genuina', 'único', 'especial', 'dan', 'mala', 'vida', 'frente', 'desgracia', 'medicina', 'pesimismo', 'nunca', 'sobra', 'ah', 'fútbol', 'puns', 'dan', 'risa', 'véanla']","Every episode of Ted Lasso is literally a hug that gives strength. Pure average but genuine people, the only special thing is that they do not give themselves a bad life in the face of misfortune. It is medicine against pessimism, which is never superfluous. Oh, and a lot of football and puns that are funny. Check it out. https://t.co/v2LLZbO6LO","['every', 'episode', 'ted', 'lasso', 'literally', 'hug', 'gives', 'strength', 'pure', 'average', 'genuine', 'people', 'special', 'thing', 'give', 'bad', 'life', 'face', 'misfortune', 'medicine', 'pessimism', 'never', 'superfluous', 'oh', 'lot', 'football', 'puns', 'funny', 'check']"
@oriana_gv Imposible quejarse.,"['oriana', 'gv', 'imposible', 'quejarse']",@oriana_gv Impossible to complain.,"['oriana', 'gv', 'impossible', 'complain']"
"@_RamiroC @vallha11a @edul3on Expenses are significantly lower too, tho.","['ramiroc', 'vallha', 'edul', 'on', 'expenses', 'are', 'significantly', 'lower', 'too', 'tho']","@_RamiroC @vallha11a @edul3on Expenses are significantly lower too, tho.","['ramiroc', 'vallha', 'edul', 'expenses', 'significantly', 'lower', 'tho']"
"@SebasPelaezF Y sí, compartimos el mismo flow jsjaja","['sebaspelaezf', 'compartimos', 'mismo', 'flow', 'jsjaja']","@SebasPelaezF And yes, we share the same flow jsjaja","['sebaspelaezf', 'yes', 'share', 'flow', 'jsjaja']"
"@luis1210 Sencillamente increíble, orgullo patrio.","['luis', 'sencillamente', 'increíble', 'orgullo', 'patrio']","@ luis1210 Simply incredible, national pride.","['luis', 'simply', 'incredible', 'national', 'pride']"
"UNIMET, USB, UCAB, UCV.  https://t.co/8jX7Li7lo8","['unimet', 'usb', 'ucab', 'ucv']","UNIMET, USB, UCAB, UCV.  https://t.co/8jX7Li7lo8","['unimet', 'usb', 'ucab', 'ucv']"
@marilgarciam @adrienartez  https://t.co/zR5ZxD2cjn,"['marilgarciam', 'adrienartez']",@marilgarciam @adrienartez https://t.co/zR5ZxD2cjn,"['marilgarciam', 'adrienartez']"
@adrienartez @marilgarciam Que fuerte que tengo 30 segundos despierto y me cruzo con ESTO xd feliz miércoles no soy el mismo,"['adrienartez', 'marilgarciam', 'fuerte', 'segundos', 'despierto', 'cruzo', 'xd', 'feliz', 'miércoles', 'mismo']",@adrienartez @marilgarciam How strong that I have 30 seconds awake and I come across THIS xd happy Wednesday I'm not the same,"['adrienartez', 'marilgarciam', 'strong', 'seconds', 'awake', 'come', 'across', 'xd', 'happy', 'wednesday']"
"@Alessandrxo Formalmente es cierto, esos resultados son contradictorios. Pero la relativa facilidad con la que neutralizaron a tales mayorías también ilustra el grip que tenían sobre todo el aparataje político.","['alessandrxo', 'formalmente', 'cierto', 'resultados', 'contradictorios', 'relativa', 'facilidad', 'neutralizaron', 'tales', 'mayorías', 'ilustra', 'grip', 'aparataje', 'político']","@Alessandrxo Formally true, those results are contradictory. But the relative ease with which they neutralized such majorities also illustrates the grip they had on the entire political apparatus.","['alessandrxo', 'formally', 'true', 'results', 'contradictory', 'relative', 'ease', 'neutralized', 'majorities', 'also', 'illustrates', 'grip', 'entire', 'political', 'apparatus']"
"@Alessandrxo La última división la pondría un pelo antes, entre la enmienda y la reelección 2012. Legislativa (y empíricamente) el poder ejecutivo cooptó muchos espacios. De resto, 10/10.","['alessandrxo', 'última', 'división', 'pondría', 'pelo', 'enmienda', 'reelección', 'legislativa', 'empíricamente', 'poder', 'ejecutivo', 'cooptó', 'espacios', 'resto']","@Alessandrxo The last division would be a hair earlier, between the amendment and re-election 2012. Legislatively (and empirically) the executive power cooperated many spaces. Of rest, 10/10.","['alessandrxo', 'last', 'division', 'would', 'hair', 'earlier', 'amendment', 'election', 'legislatively', 'empirically', 'executive', 'power', 'cooperated', 'many', 'spaces', 'rest']"
"Mis raíces cubanas y 23 años de la hecatombe chavista me hacen inmune a creer en la buena voluntad de los matones rojos.  Si no es por la calle del medio, con convicción y haciendo ruido, estos impresentables se mueren gobernando. Cómo los Castro, cómo Chávez, cómo en Corea.","['raíces', 'cubanas', 'años', 'hecatombe', 'chavista', 'hacen', 'inmune', 'creer', 'buena', 'voluntad', 'matones', 'rojos', 'si', 'calle', 'medio', 'convicción', 'haciendo', 'ruido', 'impresentables', 'mueren', 'gobernando', 'cómo', 'castro', 'cómo', 'chávez', 'cómo', 'corea']","My Cuban roots and 23 years of the Chavista hecatomb make me immune to believing in the good will of the red thugs. If it is not through the middle street, with conviction and making noise, these unpresentable ones will die ruling. Like the Castros, like Chávez, like in Korea.","['cuban', 'roots', 'years', 'chavista', 'hecatomb', 'make', 'immune', 'believing', 'good', 'red', 'thugs', 'middle', 'street', 'conviction', 'making', 'noise', 'unpresentable', 'ones', 'die', 'ruling', 'like', 'castros', 'like', 'chávez', 'like', 'korea']"
