frequency,bigram/trigram
9,muchas gracias
6,muchas bendiciones
4,muchísimas gracias
4,buenas vibras
3,nuevamente agradecido
3,muchas gracias apoyo
3,gracias apoyo
3,deber periodista
2,vinzorsky urijijami
2,todas buenas
2,tan pronto
2,social ucab
2,rawayana deynac18 luissilvatwitt
2,rawayana deynac18
2,puerto ordaz
2,periodista debe
2,nuevamente muchas gracias
2,nuevamente muchas
2,nuevamente agradezco
2,ninguna circunstancia periodista
2,ninguna circunstancia
2,microtdh luisitocomunica alextienda
2,microtdh luisitocomunica
2,mejor futuro
2,material informativo
2,maitedelgadovv losmesoneros lamusublog
2,maitedelgadovv losmesoneros
2,luisitocomunica alextienda dayanamendoza
2,luisitocomunica alextienda
2,losmesoneros lamusublog rawayana
2,losmesoneros lamusublog
2,libertad expresión
2,lamusublog rawayana deynac18
2,lamusublog rawayana
2,gracias buenos deseos
2,gracias buenos
2,gracias buenas vibras
2,gracias buenas
2,escribirle dm
2,edgarramirez25 microtdh luisitocomunica
2,edgarramirez25 microtdh
2,difundir información
2,deynac18 luissilvatwitt
2,dayanamendoza maitedelgadovv losmesoneros
2,dayanamendoza maitedelgadovv
2,conoces alguien
2,circunstancia periodista debe
2,circunstancia periodista
2,carrera nuevamente
2,buenos días
2,buenos deseos
2,buenas tardes
2,bajo ninguna circunstancia
2,bajo ninguna
2,alextienda dayanamendoza maitedelgadovv
2,alextienda dayanamendoza
2,agradezco apoyo
1,último momento mata
1,último momento
1,ánimos recomendaciones cómo
1,ánimos recomendaciones
1,ángeles hecho llegar
1,ángeles hecho
1,ángeles disfrazados humanos
1,ángeles disfrazados
1,youtubernautas invito ver
1,youtubernautas invito
1,what does it
1,what does
1,vía youtube
1,vuelve crossfit pendiente
1,vuelve crossfit
1,vuelta nuevamente muchas
1,vuelta nuevamente
1,votado gente hoy
1,votado gente
1,vivo puerto ordaz
1,vivo puerto
1,vivo estudio sede
1,vivo estudio
1,vitales sociedad periodista
1,vitales sociedad
1,violación cepvg periodista
1,violación cepvg
1,vinzorsky urijijami muchas
1,vinzorsky urijijami buenos
1,video 50 cosas
1,video 50
1,vida privada propia
1,vida privada
1,vida hacer cosas
1,vida hacer
1,vibras tan pronto
1,vibras tan
1,vibras solo quedan
1,vibras solo
1,vibras rendirse opción
1,vibras rendirse
1,vibras recomendaciones
1,verdaderamente así estudiantes
1,verdaderamente así
1,verdad ángeles disfrazados
1,verdad ángeles
1,verdad libertad expresión
1,verdad libertad
1,verdad agradecido mensajes
1,verdad agradecido
1,verbo pronombre adverbio
1,verbo pronombre
1,veraz oportuna interés
1,veraz oportuna
1,ver video 50
1,ver video
1,veo fútbol misma
1,veo fútbol
1,venezuela ejercicio responsable
1,venezuela ejercicio
1,vas sentir mejor
1,vas sentir
1,van terminar siendo
1,van terminar
1,valoro muchísimo apoyo
1,valoro muchísimo
1,valora profesión pueblo
1,valora profesión
1,valor si hiciera
1,valor si
1,valor alguien soluciona
1,valor alguien
1,va perder emoción
1,va perder
1,utilice transmitir información
1,utilice transmitir
1,uso correcto idioma
1,uso correcto
1,usaba polo polo
1,usaba polo
1,urijijami muchas gracias
1,urijijami muchas
1,urijijami buenos días
1,urijijami buenos
1,universitaria contexto conocemos
1,universitaria contexto
1,universidad aspiraciones mejor
1,universidad aspiraciones
1,universal derechos humanos
1,universal derechos
1,uni busco empleo
1,uni busco
1,ucab votado gente
1,ucab votado
1,ucab reciente aumento
1,ucab reciente
1,ucab puerto ordaz
1,ucab puerto
1,ucab guayana leído
1,ucab guayana
1,uc uni busco
1,uc uni
1,trato escribirle dm
1,trato escribirle
1,transmitir información estipulado
1,transmitir información
1,transmitida responsablemente
1,trabajando nivel inglés
1,trabajando nivel
1,trabajando ello muchas
1,trabajando ello
1,trabajado debe reconocer
1,trabajado debe
1,todas ilusiones
1,todas buenas vibras
1,todas buenas sugerencias
1,to be masculine
1,to be
1,terreno opresión what
1,terreno opresión
1,terminar siendo pequeños
1,terminar siendo
1,terminar pagar estudios
1,terminar pagar
1,terminar carrera nuevamente
1,terminar carrera
1,tardes sr tanzi
1,tardes sr
1,tardes agradezco apoyo
1,tardes agradezco
1,tarde reconstruir vida
1,tarde reconstruir
1,tarde interesado
1,tanziamigos honor escribirle
1,tanziamigos honor
1,tanziamigos buenas tardes
1,tanziamigos buenas
1,tanzi cordial saludo
1,tanzi cordial
1,tan solo
1,tan pronto obtenga
1,tan pronto interrumpe
1,tan pequeño si
1,tan pequeño
1,sustantivo adjetivo artículo
1,sustantivo adjetivo
1,sustantivo abstracto
1,sust colectivos denotan
1,sust colectivos
1,susieistkrieg muchísimas gracias
1,susieistkrieg muchísimas
1,superliga valor si
1,superliga valor
1,sumamente necesarios
1,sugerencias verdad
1,sugerencia cuenta nuevamente
1,sugerencia cuenta
1,sufijo idad ez
1,sufijo idad
1,sube foto camisa
1,sube foto
1,suarezmleo sust colectivos
1,suarezmleo sust
1,suarezmleo polo usaba
1,suarezmleo polo
1,suarezmleo cat gramaticales
1,suarezmleo cat
1,suarezmleo andrés juega
1,suarezmleo andrés
1,suarezmleo adjetivo sufijo
1,suarezmleo adjetivo
1,sra belkys muchas
1,sra belkys
1,sr tanzi cordial
1,sr tanzi
1,soluciona problema sentimos
1,soluciona problema
1,solo quedan dos
1,solo quedan
1,sociedad periodista encuentra
1,sociedad periodista
1,sociedad digno reconocer
1,sociedad digno
1,social ucab reciente
1,social ucab guayana
1,sincero cálido abrazo
1,sincero cálido
1,siglo xxi
1,siendo pequeños torneo
1,siendo pequeños
1,si tan solo
1,si tan
1,si pueden apoyar
1,si pueden
1,si hiciera cada
1,si hiciera
1,si convierte competición
1,si convierte
1,si conoces alguien
1,si conoces
1,serlo verdad ángeles
1,serlo verdad
1,ser transmitida responsablemente
1,ser transmitida
1,ser resiliente adversidad
1,ser resiliente
1,sentir mejor cuánta
1,sentir mejor
1,sentir experimentar paz
1,sentir experimentar
1,sentimos gusto llaman
1,sentimos gusto
1,semestres terminar carrera
1,semestres terminar
1,semestres cursar gustaría
1,semestres cursar
1,semestre comunicación social
1,semestre comunicación
1,semestre com social
1,semestre com
1,seguiré trabajando nivel
1,seguiré trabajando
1,sede ucab puerto
1,sede ucab
1,samisabelc muchísimas gracias
1,samisabelc muchísimas
1,samisabelc mucha razón
1,samisabelc mucha
1,samisabelc hola nivel
1,samisabelc hola
1,saludo nombre roger
1,saludo nombre
1,salud pública aspectos
1,salud pública
1,sacrificio aspirar mejor
1,sacrificio aspirar
1,saber medio muchas
1,saber medio
1,saber cómo agradecer
1,saber cómo
1,récord revolución elecciones
1,récord revolución
1,ruiz 22 años
1,ruiz 22
1,rt agradecido
1,roger ruiz 22
1,roger ruiz
1,revolución elecciones estudiantiles
1,revolución elecciones
1,retos experiencias vienen
1,retos experiencias
1,respuesta antemano muchas
1,respuesta antemano
1,responsable periodismo cepvg
1,responsable periodismo
1,responsabilidad debe asumir
1,responsabilidad debe
1,respeto defensa verdad
1,respeto defensa
1,respeto creencias ideas
1,respeto creencias
1,respetar hacer uso
1,respetar hacer
1,respecto esperando respuesta
1,respecto esperando
1,resiliente adversidad luchar
1,resiliente adversidad
1,república bolivariana venezuela
1,república bolivariana
1,reputación vida privada
1,reputación vida
1,rendirse opción menos
1,rendirse opción
1,relacionarse prepara terreno
1,relacionarse prepara
1,regular va perder
1,regular va
1,redactor medios si
1,redactor medios
1,reconstruir vida hacer
1,reconstruir vida
1,reconocer propiedad intelectual
1,reconocer propiedad
1,reconocer aquellos inician
1,reconocer aquellos
1,recomendaciones cómo puedo
1,recomendaciones cómo
1,recientes veo fútbol
1,recientes veo
1,reciente aumento uc
1,reciente aumento
1,recibir mentoría respecto
1,recibir mentoría
1,realmente digno imitar
1,realmente digno
1,razón iré trabajando
1,razón iré
1,rafaelrm0190jp jamás muchas
1,rafaelrm0190jp jamás
1,quedan dos semestres
1,quedan dos
1,pública aspectos vitales
1,pública aspectos
1,pulidobelkys1 vinzorsky urijijami
1,pulidobelkys1 vinzorsky
1,pulidobelkys1 buenos días
1,pulidobelkys1 buenos
1,puerto ordaz muchas
1,puerto ordaz estudiante
1,puedo inferir textos
1,puedo inferir
1,puedo contactar hijo
1,puedo contactar
1,pueden apoyar rt
1,pueden apoyar
1,pueblo cepvg
1,proyecto basado principios
1,proyecto basado
1,protección medio ambiente
1,protección medio
1,propuesta siglo xxi
1,propuesta siglo
1,propiedad intelectual dónde
1,propiedad intelectual
1,propia imagen persona
1,propia imagen
1,pronto obtenga empleo
1,pronto obtenga
1,pronto interrumpe obstaculiza
1,pronto interrumpe
1,pronto carrera nuevamente
1,pronto carrera
1,pronombre adverbio preposición
1,pronombre adverbio
1,profesión pueblo cepvg
1,profesión pueblo
1,profesional cepvg
1,problema sentimos gusto
1,problema sentimos
1,privada propia imagen
1,privada propia
1,principios libro gustaría
1,principios libro
1,principios democráticos pluralidad
1,principios democráticos
1,primeros 25 años
1,primeros 25
1,preposición interjección conjunción
1,preposición interjección
1,prepara terreno opresión
1,prepara terreno
1,poniendo marcha proyecto
1,poniendo marcha
1,política diversidad opiniones
1,política diversidad
1,polo usaba polo
1,polo usaba
1,polo sur
1,polo polo sur
1,polo polo
1,poder culminar pronto
1,poder culminar
1,poder conseguir empleo
1,poder conseguir
1,pluralidad política diversidad
1,pluralidad política
1,pluralidad forma plural
1,pluralidad forma
1,plata jeje
1,pienso plata
1,personas aparentan serlo
1,personas aparentan
1,persona información debe
1,persona información
1,permitir modificación material
1,permitir modificación
1,periodístico manera evidencian
1,periodístico manera
1,periodista respetar hacer
1,periodista respetar
1,periodista exigir empleador
1,periodista exigir
1,periodista encuentra obligación
1,periodista encuentra
1,periodista ejercicio manera
1,periodista ejercicio
1,periodista difundir información
1,periodista difundir
1,periodista debe difundir
1,periodista debe actuar
1,periodista adjudique autoría
1,periodista adjudique
1,periodismo cepvg
1,perder emoción grandes
1,perder emoción
1,pequeños torneo
1,pequeño si conoces
1,pequeño si
1,pensar nuevos retos
1,pensar nuevos
1,pendiente morir cosa
1,pendiente morir
1,paz alegría confort
1,paz alegría
1,pasamanos palabrascompuestas sustantivopropio
1,pasamanos palabrascompuestas
1,pasa confirma pienso
1,pasa confirma
1,pares sube foto
1,pares sube
1,palabrascompuestas sustantivopropio
1,palabras saber cómo
1,palabras saber
1,pagar estudios experiencia
1,pagar estudios
1,ornellasgomezm verdaderamente así
1,ornellasgomezm verdaderamente
1,ordaz muchas bendiciones
1,ordaz muchas
1,ordaz estudiante 5to
1,ordaz estudiante
1,opresión what does
1,opresión what
1,oportuna interés colectivo
1,oportuna interés
1,opiniones ningún motivo
1,opiniones ningún
1,opiniones fundada nación
1,opiniones fundada
1,opción menos semestres
1,opción menos
1,oguevaras jmpuentec buenas
1,oguevaras jmpuentec
1,obtenga empleo haré
1,obtenga empleo
1,obstaculiza habilidad humana
1,obstaculiza habilidad
1,obligación defender ejercicio
1,obligación defender
1,nunca tarde reconstruir
1,nunca tarde
1,nuevos retos experiencias
1,nuevos retos
1,nuevo gobierno propuesta
1,nuevo gobierno
1,nuevamente agradezco buenas
1,nuevamente agradezco apoyo
1,nuevamente agradecido envío
1,nombre roger ruiz
1,nombre roger
1,njlrvb79ls vía youtube
1,njlrvb79ls vía
1,nivel inglés nuevamente
1,nivel inglés
1,nivel básico inglés
1,nivel básico
1,ningún motivo debe
1,ningún motivo
1,nación cepvg
1,nacholacriatura alejandraoraa empresaspolar
1,nacholacriatura alejandraoraa
1,mundo tan pequeño
1,mundo tan
1,mueca olji1xuzhq
1,muchísimo apoyo difusión
1,muchísimo apoyo
1,muchísimas gracias futuro
1,muchísimas gracias cuenta
1,muchísimas gracias buenos
1,muchísimas gracias buenas
1,muchas gracias ánimos
1,muchas gracias todas
1,muchas gracias sugerencia
1,muchas gracias buenas
1,mucha razón iré
1,mucha razón
1,motivo debe permitir
1,motivo debe
1,morir cosa ayuda
1,morir cosa
1,morgen gran semana
1,morgen gran
1,momentos sumamente necesarios
1,momentos sumamente
1,momento mata todas
1,momento mata
1,modificación material informativo
1,modificación material
1,misma forma intensidad
1,misma forma
1,miguelromero97_ jajajaja mano
1,miguelromero97_ jajajaja
1,metas gran abrazo
1,metas gran
1,mentoría respecto esperando
1,mentoría respecto
1,mensajes apoyo muchas
1,mensajes apoyo
1,mensaje poniendo marcha
1,mensaje poniendo
1,mensaje interés ayudarme
1,mensaje interés
1,mensaje apoyo
1,menos semestres terminar
1,menos semestres
1,menester difusión imparcial
1,menester difusión
1,mejores feliz día
1,mejores feliz
1,mejor futuro nuevamente
1,mejor futuro aportar
1,mejor cuánta razón
1,mejor cuánta
1,medios si pueden
1,medios si
1,medio muchas gracias
1,medio muchas
1,medio ambiente fomento
1,medio ambiente
1,mean to be
1,mean to
1,material informativo trabajado
1,material informativo elabora
1,mata todas ilusiones
1,mata todas
1,masculine dw documentary
1,masculine dw
1,marcha proyecto basado
1,marcha proyecto
1,mano vuelve crossfit
1,mano vuelve
1,mano pares sube
1,mano pares
