tweet,tweet_tokenized
@FranjolysBorges Se prendió 😎,"['franjolysborges', 'prendió']"
Tengo un legendario antojo de paella.,"['legendario', 'antojo', 'paella']"
"@FoodVides Cuando leí ""parrillera"", pensé en algo así, @fabiolaag_. Siento el llamado.","['foodvides', 'leí', 'parrillera', 'pensé', 'así', 'fabiolaag', 'siento', 'llamado']"
Kumandra 🐉. @Kari_Celis,"['kumandra', 'kari', 'celis']"
@bardinetsimon Su mentalidad este año con respecto a los anteriores ha cambiado un mundo. Yo le creo todo lo que dice. Sí siento que maduró y eso potenció su juego.,"['bardinetsimon', 'mentalidad', 'año', 'respecto', 'anteriores', 'cambiado', 'mundo', 'creo', 'dice', 'siento', 'maduró', 'potenció', 'juego']"
"@DoSivira @ShowTimeChapo @AndresU11 ¿Estás en drogas, Dorian?","['dosivira', 'showtimechapo', 'andresu', '¿estás', 'drogas', 'dorian']"
@Una_Tal_Gess @FranjolysBorges 😴😴😴😴,"['tal', 'gess', 'franjolysborges', '😴😴😴😴']"
@fabiolaag_ Encomienda tu alma ⚰☠,"['fabiolaag', 'encomienda', 'alma', '⚰☠']"
@ShowTimeChapo @AndresU11 no quiero creer que sea posible. Ni 1 %. Sería ilusionarme y apuntar a la decepción =(,"['showtimechapo', 'andresu', 'quiero', 'creer', 'posible', 'ilusionarme', 'apuntar', 'decepción']"
@fabiolaag_ Un buen cumpleaños 😉,"['fabiolaag', 'buen', 'cumpleaños']"
@JoseD_LCRN Jajajaja buen dato 😅,"['josed', 'lcrn', 'jajajaja', 'buen', 'dato']"
"Próximas paradas: Guanare, Maracaibo y Barinas 😎","['próximas', 'paradas', 'guanare', 'maracaibo', 'barinas']"
"@FabriCuzzo22 Menos mal que veo que hay tremendos prospectos para el periodismo deportivo venezolano. Estudien, saquen su título y denle uso a lo aprendido. No sigan los malos ejemplos que hoy, lamentablemente, sobran. Qué pena con la visita.","['fabricuzzo', 'menos', 'mal', 'veo', 'tremendos', 'prospectos', 'periodismo', 'deportivo', 'venezolano', 'estudien', 'saquen', 'título', 'denle', 'uso', 'aprendido', 'sigan', 'malos', 'ejemplos', 'hoy', 'lamentablemente', 'sobran', 'pena', 'visita']"
@JessicaAraujoG @LeoCarrasquero 😍😍😍😍😍😍,"['jessicaaraujog', 'leocarrasquero', '😍😍😍😍😍😍']"
"Panas, háganme caso: tienen que probar estos nuevos Flips de Chocofudge. Una cosa de locos 🥣  https://t.co/KTmHfvjlHh","['panas', 'háganme', 'caso', 'probar', 'nuevos', 'flips', 'chocofudge', 'cosa', 'locos']"
Hoy vi uno de los mejores videos de la historia.  https://t.co/fsRjN8E937,"['hoy', 'vi', 'mejores', 'videos', 'historia']"
@sdvnet @jahcbayern ¿Ah? Puede leer en los comentarios que se dejo viva y en el cerro del cual salió.,"['sdvnet', 'jahcbayern', '¿ah', 'puede', 'leer', 'comentarios', 'dejo', 'viva', 'cerro', 'salió']"
@sonjanik13 😂😂,"['sonjanik', '😂😂']"
@Mundo_Vinotint0 La deseo. ¿En cuánto la tienen? 😄,"['mundo', 'vinotint', 'deseo', '¿en', 'cuánto']"
"@lilghost115_ @MalvadoElvis Gracias por la información y tu disposición, amigo. Fue en Caracas, lamentablemente. Ya la serpiente regresó al cerro.","['lilghost', 'malvadoelvis', 'gracias', 'información', 'disposición', 'amigo', 'caracas', 'lamentablemente', 'serpiente', 'regresó', 'cerro']"
"@JRIsaza79 Jajajaja. ¿Opiniones, @Jer_emi?","['jrisaza', 'jajajaja', '¿opiniones', 'jer', 'emi']"
@gochitler Ok 🤚🏻,"['gochitler', 'ok', '🤚🏻']"
"@snakenovoa @AlexSMSJ Mil gracias, amigo. Bueno saberlo.","['snakenovoa', 'alexsmsj', 'mil', 'gracias', 'amigo', 'bueno', 'saberlo']"
@Jer_emi Nooooooooo JABSJAHSJAJAJAHSJAHAJAHAJAHAJAHAHSBJAJWJAJA.,"['jer', 'emi', 'nooooooooo', 'jabsjahsjajajahsjahajahajahajahahsbjajwjaja']"
"@FranjolysBorges Jajajaja deja la vendedera de humo, que tú sabes que mi casa es su casa.","['franjolysborges', 'jajajaja', 'deja', 'vendedera', 'humo', 'sabes', 'casa', 'casa']"
"@fabiolaag_ Deja el show y llégate que te quieres llegar en Alta. Tráete a @danipalenciap, que yo las cuido.","['fabiolaag', 'deja', 'show', 'llégate', 'quieres', 'llegar', 'alta', 'tráete', 'danipalenciap', 'cuido']"
