frequency,bigram/trigram
18,parchís star
18,necesito salir
17,únete partida amistosa
17,únete partida
17,vínculo parchís star
17,vínculo parchís
17,ven jugar conmigo
17,ven jugar
17,usando código mesa
17,usando código
17,star realmente divertido
17,star realmente
17,salir necesito salir
17,salir necesito
17,realmente divertido ven
17,realmente divertido
17,pulsando vínculo parchís
17,pulsando vínculo
17,partida amistosa usando
17,partida amistosa
17,parchís star realmente
17,necesito salir necesito
17,mesa privada
17,jugar conmigo
17,divertido ven jugar
17,divertido ven
17,código mesa privada
17,código mesa
17,amistosa usando código
17,amistosa usando
13,muchas gracias
10,bad bunny
9,buenos días
8,controlar carácter
7,feliz cumpleaños
7,controlar carácter controlar
7,carácter controlar carácter
7,carácter controlar
6,semestre virtual
6,jugar parchís
5,yes yes
5,mejor amiga
5,clases virtuales
5,alguien jugar
4,yes yes yes
4,with an
4,vis vis
4,vida novela
4,nuevo álbum
4,marlys franciscony
4,imasu ka
4,historia vida
4,hacer ejercicio
4,eh eh
4,dramaticvikiing amo
4,doko imasu ka
4,doko imasu
4,buenas tardes
4,buenas buenas
4,anne with an
4,anne with
4,amo extraño
4,alguien jugar parchís
4,adivinen quién
3,álbum bad bunny
3,álbum bad
3,vivir venezuela
3,síganme tiktok
3,sufrimiento llamado
3,puto infierno
3,privada 1519284 pulsando
3,privada 1519284
3,privada 1133237 pulsando
3,privada 1133237
3,primer día
3,perfectly splendid
3,parece chiste anécdota
3,parece chiste
3,nuevo álbum bad
3,my passion
3,muchas graciaaas
3,mil veces
3,mesa privada 1519284
3,mesa privada 1133237
3,malas decisiones
3,luz internet
3,jugar conmigo tkonvydgys
3,jugar conmigo cu5jlx0rjz
3,is my passion
3,is my
3,finanzas internacionales
3,escuchar nuevo álbum
3,escuchar nuevo
3,elfo puto infierno
3,elfo puto
3,dramaticvikingg amo
3,debe ser
3,conmigo tkonvydgys
3,conmigo cu5jlx0rjz
3,chiste anécdota
3,cansadita vida
3,califato ortodoxa
3,bring back
3,amo locura
3,ahora hago
3,1519284 pulsando vínculo
3,1519284 pulsando
3,1133237 pulsando vínculo
3,1133237 pulsando
2,ᵒⁿᵉ ᵗʷᵒ
2,you love
2,yeh yeh
2,way you love
2,way you
2,wa sekkusushitai demo
2,wa sekkusushitai
2,voy dejar estudiar
2,voy dejar
2,volvió dura
2,ver clases virtuales
2,ver clases
2,ustedes preparados conversación
2,ustedes preparados
2,unas foticos lentes
2,unas foticos
2,tremendas ganas
2,tomar malas decisiones
2,tomar malas
2,toast to ones
2,toast to
2,to ones
2,to dake doko
2,to dake
2,tiktok marlysfranciscony
2,then not
2,thefuckingkik únete partida
2,thefuckingkik únete
2,that we
2,tener vida
2,tas tóxico
2,sáquenme venezuela
2,stickers animados
2,soltera pusiera moda
2,soltera pusiera
2,si lees
2,si acaso
2,ser tan
2,ser perfecta
2,send help
2,self love
2,sekkusushitai demo anata
2,sekkusushitai demo
2,segunda temporada
2,sam smith
2,salvar semestre
2,saimn_ aquí
2,saber mas
2,requiere carácter urgencia
2,requiere carácter
2,quiero tener
2,quiero saber mas
2,quiero saber
2,quiero pase
2,quiero novio
2,quiero muchísimo
2,quiero lata pirulin
2,quiero lata
2,quiere chivirica
2,pusiera moda cree
2,pusiera moda
2,puede ser
2,proteína fit9
2,problema pararme 00
2,problema pararme
2,probado caramelo
2,privada 1748191 pulsando
2,privada 1748191
2,privada 1724177 pulsando
2,privada 1724177
2,privada 1596447 pulsando
2,privada 1596447
2,primer día clases
2,preparados conversación
2,país luz internet
2,país luz
2,paso aquí
2,pararme 00
2,pan jamón
2,pal mal amores
2,pal mal
2,pa pa
2,orgullosa amo
2,opción bye
2,nombró dedicatoria agradecimientos
2,nombró dedicatoria
2,nivel estrés
2,necesito segunda temporada
2,necesito segunda
2,necesito chucherías
2,modern family
2,moda cree amor
2,moda cree
2,mesa privada 1748191
2,mesa privada 1724177
2,mesa privada 1596447
2,mentira amiguitos
2,mente corazón
2,memories bring back
2,memories bring
2,mejor opción bye
2,mejor opción
2,mejor amiga mundo
2,mal amores encontró
2,mal amores
2,love language
2,lloradita seguir
2,lloradita dormir
2,llamado tener
2,levmauc recuerdamebot
2,lata pirulin
2,kyō wa sekkusushitai
2,kyō wa
2,ka doko imasu
2,ka doko
2,jugar conmigo ysbeld7ttj
2,jugar conmigo gumnwu7hhl
2,jugar conmigo 4m5vneuovh
2,iyosoyoscar únete partida
2,iyosoyoscar únete
2,it on
2,intentando salvar semestre
2,intentando salvar
2,imasu ka doko
2,iba ser
2,háganse favor
2,hola quiero
2,hola hola
2,hago ganas
2,hacer ejercicio días
2,hace tiempo
2,ganas comer
2,foticos lentes
2,fin semana
