id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1415157126171926533,1415157126171926533,2021-07-13 23:52:05 Venezuela Standard Time,2021-07-13,23:52:05,-0400,128242736,yosoymarlys,Marlys.,,Mi nivel de cansancio es tal que ya el café no tiene efecto en mí.,es,[],[],[],0,1,3,[],[],https://twitter.com/YoSoyMarlys/status/1415157126171926533,False,,0,,,,,,,,[],,,,
1410406063485095942,1410406063485095942,2021-06-30 21:13:04 Venezuela Standard Time,2021-06-30,21:13:04,-0400,128242736,yosoymarlys,Marlys.,,Qué dolor... 💔,es,[],[],[],0,1,1,[],[],https://twitter.com/YoSoyMarlys/status/1410406063485095942,False,https://twitter.com/Urruchurtu/status/1410380255047598082,0,,,,,,,,[],,,,
1408674277713403909,1408592920073101312,2021-06-26 02:31:34 Venezuela Standard Time,2021-06-26,02:31:34,-0400,128242736,yosoymarlys,Marlys.,,@Dr_LawC FELICIDADEEEES🥳🥳🎉🎉❤️,pt,[],[],[],0,0,1,[],[],https://twitter.com/YoSoyMarlys/status/1408674277713403909,False,,0,,,,,,,,"[{'screen_name': 'Dr_LawC', 'name': 'ChinoTrampa', 'id': '16397370'}]",,,,
1408263274773295107,1408263274773295107,2021-06-24 23:18:23 Venezuela Standard Time,2021-06-24,23:18:23,-0400,128242736,yosoymarlys,Marlys.,,Mía 😍,und,[],[],[],0,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1408263274773295107,False,https://twitter.com/DramaticVikingg/status/1407210569485230083,0,,,,,,,,[],,,,
1408263174311325706,1408263174311325706,2021-06-24 23:17:59 Venezuela Standard Time,2021-06-24,23:17:59,-0400,128242736,yosoymarlys,Marlys.,,Sí soy,es,[],[],[],0,0,1,[],[],https://twitter.com/YoSoyMarlys/status/1408263174311325706,False,https://twitter.com/DramaticVikingg/status/1408250649930878978,0,,,,,,,,[],,,,
1408144812700733449,1408076482740736001,2021-06-24 15:27:40 Venezuela Standard Time,2021-06-24,15:27:40,-0400,128242736,yosoymarlys,Marlys.,,@Rccs999 Ahorita te escribooooo. Love u ❤️,es,[],[],[],0,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1408144812700733449,False,,0,,,,,,,,"[{'screen_name': 'Rccs999', 'name': 'S', 'id': '143934570'}]",,,,
1408076482740736001,1408076482740736001,2021-06-24 10:56:08 Venezuela Standard Time,2021-06-24,10:56:08,-0400,128242736,yosoymarlys,Marlys.,,Esto pasó en mi primer día de trabajo 😂😂😂😂  https://t.co/kmlmQdHiM0,es,[],[],['https://pbs.twimg.com/media/E4p-GVZXwA8VveL.jpg'],2,0,4,[],[],https://twitter.com/YoSoyMarlys/status/1408076482740736001,False,,1,https://pbs.twimg.com/media/E4p-GVZXwA8VveL.jpg,,,,,,,[],,,,
1406772285638426624,1406749663382970368,2021-06-20 20:33:44 Venezuela Standard Time,2021-06-20,20:33:44,-0400,128242736,yosoymarlys,Marlys.,,@Saimn_ 😍😍😍😍😍😍😍😍,und,[],[],[],0,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1406772285638426624,False,,0,,,,,,,,"[{'screen_name': 'Saimn_', 'name': 'Simón A. Azócar', 'id': '335116990'}]",,,,
1406652294855286788,1406652294855286788,2021-06-20 12:36:56 Venezuela Standard Time,2021-06-20,12:36:56,-0400,128242736,yosoymarlys,Marlys.,,NOOOooooOoooOo EN DÓNDE TE SENTASTEEEEEEEEE,es,[],[],[],0,2,1,[],[],https://twitter.com/YoSoyMarlys/status/1406652294855286788,False,https://twitter.com/Saimn_/status/1406516474655789056,0,,,,,,,,[],,,,
1405057965233672199,1405057717518094342,2021-06-16 03:01:38 Venezuela Standard Time,2021-06-16,03:01:38,-0400,128242736,yosoymarlys,Marlys.,,"bueno sí, disculpa por desaparecerme por 2 meses jejeje pero aquí estoy. Cuéntame, cómo andas? 😊",es,[],[],[],0,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1405057965233672199,False,,0,,,,,,,,[],,,,
1405057717518094342,1405057717518094342,2021-06-16 03:00:39 Venezuela Standard Time,2021-06-16,03:00:39,-0400,128242736,yosoymarlys,Marlys.,,Cara de tabla nivel: respondiendo 62 chats que tenía sin abrir en WhatsApp a las 2:00 AM,es,[],[],[],2,0,4,[],[],https://twitter.com/YoSoyMarlys/status/1405057717518094342,False,,0,,,,,,,,[],,,,
1405056920814239745,1404535778823315462,2021-06-16 02:57:29 Venezuela Standard Time,2021-06-16,02:57:29,-0400,128242736,yosoymarlys,Marlys.,,@ChristianELZC JAKSJKSJSKJSKAJSKAJAJAJAJJAJAJAA @DramaticVikingg,sl,"[{'screen_name': 'dramaticvikingg', 'name': 'erika.', 'id': '267519783'}]",[],[],1,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1405056920814239745,False,,0,,,,,,,,"[{'screen_name': 'ChristianELZC', 'name': 'Christian con h', 'id': '1123972288360124420'}]",,,,
1405028835498893313,1405028835498893313,2021-06-16 01:05:53 Venezuela Standard Time,2021-06-16,01:05:53,-0400,128242736,yosoymarlys,Marlys.,,mood,en,[],[],[],0,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1405028835498893313,False,https://twitter.com/sanbenito/status/1404863246813827081,0,,,,,,,,[],,,,
1405010789380104194,1404318602526924802,2021-06-15 23:54:10 Venezuela Standard Time,2021-06-15,23:54:10,-0400,128242736,yosoymarlys,Marlys.,,@DramaticVikingg No había visto estooooo😭😭 lloré tanto como tú al escribirlo. Te amo inmensamente ❤️,es,[],[],[],0,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1405010789380104194,False,,0,,,,,,,,"[{'screen_name': 'DramaticVikingg', 'name': 'Erika.', 'id': '267519783'}]",,,,
1403907548508561416,1403903020618891269,2021-06-12 22:50:17 Venezuela Standard Time,2021-06-12,22:50:17,-0400,128242736,yosoymarlys,Marlys.,,@Saimn_ Ta loca,es,[],[],[],1,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1403907548508561416,False,,0,,,,,,,,"[{'screen_name': 'Saimn_', 'name': 'Simón A. Azócar', 'id': '335116990'}]",,,,
1403903606227714050,1403903020618891269,2021-06-12 22:34:37 Venezuela Standard Time,2021-06-12,22:34:37,-0400,128242736,yosoymarlys,Marlys.,,@Saimn_ Te están afectando los tragos????,es,[],[],[],1,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1403903606227714050,False,,0,,,,,,,,"[{'screen_name': 'Saimn_', 'name': 'Simón A. Azócar', 'id': '335116990'}]",,,,
1403896833831751682,1403896833831751682,2021-06-12 22:07:42 Venezuela Standard Time,2021-06-12,22:07:42,-0400,128242736,yosoymarlys,Marlys.,,Pa la terapia.,in,[],[],[],1,0,2,[],[],https://twitter.com/YoSoyMarlys/status/1403896833831751682,False,https://twitter.com/vers0libre/status/1403680469221363717,0,,,,,,,,[],,,,
1403894553007071235,1403894553007071235,2021-06-12 21:58:39 Venezuela Standard Time,2021-06-12,21:58:39,-0400,128242736,yosoymarlys,Marlys.,,"no me busques en instagram, papi búscame en casa, pa' que veas lo que pasa.  https://t.co/uU9ABteAnH",es,[],[],['https://pbs.twimg.com/media/E3uip5lXwAElblk.jpg'],1,1,43,[],[],https://twitter.com/YoSoyMarlys/status/1403894553007071235,False,,1,https://pbs.twimg.com/media/E3uip5lXwAElblk.jpg,,,,,,,[],,,,
1403565217305538563,1403215789159714824,2021-06-12 00:09:59 Venezuela Standard Time,2021-06-12,00:09:59,-0400,128242736,yosoymarlys,Marlys.,,@TheWarchafter El lunes al entrego y tengo que esperar que me digan la fecha de la defensa 🥺🥺🥺,es,[],[],[],1,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1403565217305538563,False,,0,,,,,,,,"[{'screen_name': 'TheWarchafter', 'name': 'Kevin Arriaga', 'id': '1059077582648500227'}]",,,,
1403563890546446339,1403563890546446339,2021-06-12 00:04:43 Venezuela Standard Time,2021-06-12,00:04:43,-0400,128242736,yosoymarlys,Marlys.,,Comiencen a tratarme bien para que aparezcan en la dedicatoria de mi tesis 😌,es,[],[],[],2,0,4,[],[],https://twitter.com/YoSoyMarlys/status/1403563890546446339,False,,0,,,,,,,,[],,,,
1403563118878408710,1403562954126245889,2021-06-12 00:01:39 Venezuela Standard Time,2021-06-12,00:01:39,-0400,128242736,yosoymarlys,Marlys.,,@GaboQ92 Así me sentí hoy cuando fuí 💔,es,[],[],[],0,0,1,[],[],https://twitter.com/YoSoyMarlys/status/1403563118878408710,False,,0,,,,,,,,"[{'screen_name': 'GaboQ92', 'name': 'Gabriel.', 'id': '105391935'}]",,,,
1403530516561793029,1403530516561793029,2021-06-11 21:52:06 Venezuela Standard Time,2021-06-11,21:52:06,-0400,128242736,yosoymarlys,Marlys.,,Tweet de apreciación de lo hermosa que es la UCAB 🔰❤️ @enlaucab  https://t.co/5YePg8Cdem,es,"[{'screen_name': 'enlaucab', 'name': 'ucab', 'id': '50366308'}]",[],"['https://pbs.twimg.com/media/E3pXdhQXEAAfNhv.jpg', 'https://pbs.twimg.com/media/E3pXfjgXIAEs8n-.jpg', 'https://pbs.twimg.com/media/E3pXh34WQAEsGx8.jpg', 'https://pbs.twimg.com/media/E3pXkLPWUAEhBMU.jpg']",0,2,11,[],[],https://twitter.com/YoSoyMarlys/status/1403530516561793029,False,,1,https://pbs.twimg.com/media/E3pXdhQXEAAfNhv.jpg,,,,,,,[],,,,
1403216107700326400,1403216107700326400,2021-06-11 01:02:45 Venezuela Standard Time,2021-06-11,01:02:45,-0400,128242736,yosoymarlys,Marlys.,,Onvre,fr,[],[],[],0,0,1,[],[],https://twitter.com/YoSoyMarlys/status/1403216107700326400,False,https://twitter.com/oripreguntas/status/1402810253130018816,0,,,,,,,,[],,,,
1403215789159714824,1403215789159714824,2021-06-11 01:01:29 Venezuela Standard Time,2021-06-11,01:01:29,-0400,128242736,yosoymarlys,Marlys.,,No quiero saber mas nada de la bendita tesis 😭😭😭😭😭😭😭😭😭😭😭,es,[],[],[],1,0,2,[],[],https://twitter.com/YoSoyMarlys/status/1403215789159714824,False,,0,,,,,,,,[],,,,
1403215635367174149,1403215635367174149,2021-06-11 01:00:52 Venezuela Standard Time,2021-06-11,01:00:52,-0400,128242736,yosoymarlys,Marlys.,,permiso,es,[],[],[],0,0,1,[],[],https://twitter.com/YoSoyMarlys/status/1403215635367174149,False,https://twitter.com/itsdaniux/status/1403050953843019783,0,,,,,,,,[],,,,
1402834887841923072,1402826261118992384,2021-06-09 23:47:55 Venezuela Standard Time,2021-06-09,23:47:55,-0400,128242736,yosoymarlys,Marlys.,,@DramaticVikingg La amo😭😭❤️❤️,es,[],[],[],0,0,0,[],[],https://twitter.com/YoSoyMarlys/status/1402834887841923072,False,,0,,,,,,,,"[{'screen_name': 'DramaticVikingg', 'name': 'Erika.', 'id': '267519783'}]",,,,
1402467732088569857,1402467732088569857,2021-06-08 23:28:58 Venezuela Standard Time,2021-06-08,23:28:58,-0400,128242736,yosoymarlys,Marlys.,,"si tú me pruebas, te casas",es,[],[],[],0,0,4,[],[],https://twitter.com/YoSoyMarlys/status/1402467732088569857,False,,0,,,,,,,,[],,,,
1402334803412897799,1402334803412897799,2021-06-08 14:40:45 Venezuela Standard Time,2021-06-08,14:40:45,-0400,128242736,yosoymarlys,Marlys.,,Cuando Bad Bunny dice:    kyō wa sekkusushitai demo anata to dake doko ni imasu ka? doko ni imasu ka? kyō wa sekkusushitai demo anata to dake doko ni imasu ka? doko ni imasu ka?   Bro... I really felt that shit,in,[],[],[],0,0,1,[],[],https://twitter.com/YoSoyMarlys/status/1402334803412897799,False,,0,,,,,,,,[],,,,
