,word,count
0,bueno,19
1,profe,2
2,suba,1
3,chingada,2
4,hoy,18
5,cabo,1
6,quería,4
7,🥲🥲,2
8,laujisa,4
9,llegué,1
10,tarde,6
11,apunto,1
12,quiero,21
13,enamorarme,2
14,ccigada,3
15,voto,2
16,troncodilo,1
17,varickotis,8
18,swiftieboston,1
19,vamos,5
20,omg,15
21,si,66
22,preguntan,1
23,enamoraría,1
24,échate,1
25,sábila,1
26,luiseduardo,3
27,rd,3
28,that,10
29,shorty,1
30,conamorycafeina,1
31,angeliccubus,4
32,bobis,1
33,vaquitabruull,22
34,hombres,1
35,nunca,3
36,dejan,2
37,sorprenderme,1
38,call,1
39,it,9
40,cerrar,1
41,ciclos,1
42,semestre,9
43,tóxico,1
44,próxima,1
45,meta,2
46,pintarme,1
47,cabello,4
48,from,3
49,cuchi,1
50,to,11
51,cuchillo,1
52,really,1
53,quick,1
54,bue,1
55,buenop,1
56,holareserve,9
57,💸anthxnyb,6
58,irinamiljevic,1
59,escuché,3
60,álbum,2
61,spotify,2
62,youtube,1
63,pa,11
64,bailar,4
65,juan,2
66,luis,4
67,peor,3
68,puede,5
69,pasar,2
70,gustemos,1
71,marianalrh,5
72,debe,1
73,haber,4
74,extensión,1
75,idk,3
76,menos,3
77,opera,1
78,viene,2
79,integrado,1
80,unu,4
81,not,5
82,gonna,3
83,lie,1
84,enamorado,1
85,collab,1
86,cami,1
87,morat,5
88,🥺🥺🥺🥺,1
89,mverobas,23
90,solo,17
91,😃👍🏼,2
92,encantó,1
93,picadito,1
94,sido,3
95,tan,4
96,pocas,1
97,canciones,3
98,nuevas,1
99,exijo,1
100,edición,1
101,especial,2
102,ganas,7
103,jaja,24
104,cosas,6
105,buenas,7
106,simplemente,2
107,pasan,3
108,cobarde,1
109,orgullo,1
110,contigo,2
111,nadie,3
112,ve,5
113,consecuencias,1
114,juego,1
115,salga,4
116,bien,8
117,importa,1
118,vaya,1
119,primer,4
120,beso,1
121,queda,1
122,vida,3
123,period,1
124,noches,4
125,partir,1
126,momento,7
127,stan,2
128,account,1
129,amor,2
130,mejor,2
131,ponerle,1
132,punto,2
133,dejarlo,1
134,coma,1
135,mundo,2
136,acaba,1
137,dejenme,1
138,terminar,3
139,escuchar,5
140,album,2
141,completo,2
142,miss,3
143,missing,1
144,you,35
145,now,4
146,and,19
147,then,1
148,aiexaander,1
149,nota,1
150,sabor,1
151,primera,2
152,comprarme,1
153,laptop,1
154,podría,1
155,emular,1
156,switch,1
157,prioridades,1
158,ay,4
159,provoquen,1
160,orial,1
161,jahsksjw,1
162,colapso,3
163,buenos,4
164,días,7
165,darnos,2
166,coñazos,4
167,rip,1
168,likewhtfck,2
169,luissaidthat,1
170,some,2
171,dark,2
172,shit,1
173,cesarreds,2
174,realmente,1
175,xd,5
176,último,1
177,pueden,5
178,rascar,1
179,puntos,7
180,asíes,1
181,marico,4
182,sé,3
183,estudiar,6
184,mañana,5
185,like,9
186,ayuda,2
187,abrilavr,50
188,victor,2
189,mismo,5
190,gobierno,2
191,víctima,1
192,ciberataque,1
193,páginas,1
194,ministerio,1
195,justicia,1
196,educación,1
197,economía,1
198,abril,3
199,horas,1
200,poder,4
201,hacer,8
202,dice,4
203,pudieron,3
204,romper,1
205,encriptado,1
206,fin,4
207,whatsapp,2
208,chiste,3
209,cuenta,4
210,dio,5
211,amsiedad,1
212,cantarle,1
213,as,2
214,jesse,1
215,joy,1
216,said,3
217,libreto,1
218,siempre,5
219,predecible,1
220,seguro,1
221,culpan,1
222,lluvia,1
223,ayer,1
224,maldita,2
225,agua,3
226,hora,8
227,dormir,3
228,día,10
229,largo,1
230,seguir,4
231,raiden,1
