tweet,tweet_tokenized
Bueno profe no suba una chingada hoy al cabo que ni quería 🥲🥲,"['bueno', 'profe', 'suba', 'chingada', 'hoy', 'cabo', 'quería', '🥲🥲']"
@laujisa_ llegué tarde pero me apunto,"['laujisa', 'llegué', 'tarde', 'apunto']"
ya no quiero enamorarme una ccigada,"['quiero', 'enamorarme', 'ccigada']"
Yo voto por troncodilo y tu ?,"['voto', 'troncodilo']"
@varickotis @swiftieboston Vamos omg,"['varickotis', 'swiftieboston', 'vamos', 'omg']"
Si me preguntan yo me enamoraría,"['si', 'preguntan', 'enamoraría']"
Échate sábila,"['échate', 'sábila']"
"@LuisEduardo_RD that's me, i'm shorty","['luiseduardo', 'rd', 'that', 'shorty']"
@conamorycafeina @angeliccubus Es que es con ella bobis,"['conamorycafeina', 'angeliccubus', 'bobis']"
@vaquitabruull los hombres nunca dejan de sorprenderme,"['vaquitabruull', 'hombres', 'nunca', 'dejan', 'sorprenderme']"
@vaquitabruull NO ESTO,['vaquitabruull']
"I call it, cerrar ciclos de un semestre tóxico","['call', 'it', 'cerrar', 'ciclos', 'semestre', 'tóxico']"
Próxima meta: pintarme el cabello,"['próxima', 'meta', 'pintarme', 'cabello']"
from cuchi to cuchillo really quick  https://t.co/seyt229kgP,"['from', 'cuchi', 'to', 'cuchillo', 'really', 'quick']"
Bue  https://t.co/AHAWMbAlrF,['bue']
🥵  buenop,['buenop']
@holareserve 💸anthxnyb,"['holareserve', '💸anthxnyb']"
a,[]
@irinamiljevic Escuché el álbum en Spotify pero están en YouTube,"['irinamiljevic', 'escuché', 'álbum', 'spotify', 'youtube']"
quien pa bailar una de Juan Luis,"['pa', 'bailar', 'juan', 'luis']"
Que lo peor que puede pasar es que nos gustemos,"['peor', 'puede', 'pasar', 'gustemos']"
"@marianalrh Debe haber una extensión para eso pero idk, al menos con Opera eso viene integrado unu","['marianalrh', 'debe', 'haber', 'extensión', 'idk', 'menos', 'opera', 'viene', 'integrado', 'unu']"
Not gonna lie estoy: enamorado con ese collab de Cami y Morat 🥺🥺🥺🥺,"['not', 'gonna', 'lie', 'enamorado', 'collab', 'cami', 'morat', '🥺🥺🥺🥺']"
@mverobas yo solo una de 4 😃👍🏼,"['mverobas', 'solo', '😃👍🏼']"
"Me encantó el álbum de Morat pero estoy picadito que hayan sido tan pocas canciones nuevas, exijo una Edición Especial 😿","['encantó', 'álbum', 'morat', 'picadito', 'sido', 'tan', 'pocas', 'canciones', 'nuevas', 'exijo', 'edición', 'especial']"
y estas ganas de enamorarme?? Jaja,"['ganas', 'enamorarme', 'jaja']"
"Porque cuando las cosas buenas tienen que pasar, simplemente pasan","['cosas', 'buenas', 'pasar', 'simplemente', 'pasan']"
Porque fui un cobarde que por orgullo no está contigo,"['cobarde', 'orgullo', 'contigo']"
Pero nadie ve las consecuencias de que este juego no salga bien,"['nadie', 've', 'consecuencias', 'juego', 'salga', 'bien']"
Se que no importa que se vaya el primer beso si nos queda una vida,"['importa', 'vaya', 'primer', 'beso', 'si', 'queda', 'vida']"
period,['period']
buenas noches a partir de este momento soy una Morat Stan Account,"['buenas', 'noches', 'partir', 'momento', 'morat', 'stan', 'account']"
A este amor será mejor ponerle un punto que dejarlo en coma,"['amor', 'mejor', 'ponerle', 'punto', 'dejarlo', 'coma']"
si el mundo se acaba hoy dejenme terminar de escuchar el album de Morat completo,"['si', 'mundo', 'acaba', 'hoy', 'dejenme', 'terminar', 'escuchar', 'album', 'morat', 'completo']"
I miss missing you now and then  https://t.co/3MHFf7bm78,"['miss', 'missing', 'you', 'now', 'and', 'then']"
 https://t.co/ldLiqNhTKg,[]
@aIexaander se nota más el sabor UnU,"['aiexaander', 'nota', 'sabor', 'unu']"
"bueno mi primera meta es comprarme una laptop y con ella podría emular una switch, prioridades","['bueno', 'primera', 'meta', 'comprarme', 'laptop', 'podría', 'emular', 'switch', 'prioridades']"
ay no provoquen,"['ay', 'provoquen']"
@orial_ no esto JAHSKSJW,"['orial', 'jahsksjw']"
Colapso  https://t.co/rYxwZBGyX2,['colapso']
BUENOS DÍAS A DARNOS COÑAZOS HOY,"['buenos', 'días', 'darnos', 'coñazos', 'hoy']"
rip me,['rip']
@likewhtfck @LuisSaidThat no por,"['likewhtfck', 'luissaidthat']"
@vaquitabruull that's some dark shit,"['vaquitabruull', 'that', 'some', 'dark', 'shit']"
"@CesarReds_ realmente sí xd, hasta el último se pueden rascar puntos asíes","['cesarreds', 'realmente', 'xd', 'último', 'pueden', 'rascar', 'puntos', 'asíes']"
marico no sé de donde estudiar más pa mañana like ??? ayuda,"['marico', 'sé', 'estudiar', 'pa', 'mañana', 'like', 'ayuda']"
@abrilavr ni Victor,"['abrilavr', 'victor']"
quien pa,['pa']
"El mismo gobierno que fue víctima de un ciberataque de las páginas de Ministerio de Justicia, Educación y Economía en abril, durante HORAS sin poder hacer nada es el mismo que dice que pudieron romper el encriptado de fin a fin de WhatsApp.   El chiste se cuenta solo.","['mismo', 'gobierno', 'víctima', 'ciberataque', 'páginas', 'ministerio', 'justicia', 'educación', 'economía', 'abril', 'horas', 'poder', 'hacer', 'mismo', 'dice', 'pudieron', 'romper', 'encriptado', 'fin', 'fin', 'whatsapp', 'chiste', 'cuenta', 'solo']"
me dio amsiedad,"['dio', 'amsiedad']"
quien pa cantarle a donde vamos de Morat?,"['pa', 'cantarle', 'vamos', 'morat']"
"as Jesse y Joy (2011) said: ""Libreto de siempre tan predecible""  https://t.co/lMT8L7Gl8C","['as', 'jesse', 'joy', 'said', 'libreto', 'siempre', 'tan', 'predecible']"
seguro culpan a la lluvia de ayer,"['seguro', 'culpan', 'lluvia', 'ayer']"
maldita sea no tengo agua,"['maldita', 'agua']"
Buenas noches es hora de dormir mañana será un día largo y tienes que seguir,"['buenas', 'noches', 'hora', 'dormir', 'mañana', 'día', 'largo', 'seguir']"
Raiden y Kitana,"['raiden', 'kitana']"
@urfancycowboyx Deja de copiarme,"['urfancycowboyx', 'deja', 'copiarme']"
hoy si necesito un sábado de lokiar urgente 😭😭😭,"['hoy', 'si', 'necesito', 'sábado', 'lokiar', 'urgente', '😭😭😭']"
@angelmolina7_ Una de mis favoritas😻,"['angelmolina', 'favoritas😻']"
@CesarReds_ oblígame,"['cesarreds', 'oblígame']"
jaja(?),['jaja']
Este episodio de Game of Thrones ta como raro,"['episodio', 'game', 'of', 'thrones', 'ta', 'raro']"
EL CIELO SE CAE,"['cielo', 'cae']"
reducción supremacy,"['reducción', 'supremacy']"
4 semanas nada más vamos Banda si se puede,"['semanas', 'vamos', 'banda', 'si', 'puede']"
@jalearis el 7 de agosto específicamente,"['jalearis', 'agosto', 'específicamente']"
Puros colapsos  https://t.co/AIzOZQ5PaQ,"['puros', 'colapsos']"
@saschagayness Tiene mi voto aunque no entienda nada,"['saschagayness', 'voto', 'aunque', 'entienda']"
@juanfq_ @vaquitabruull JUAN,"['juanfq', 'vaquitabruull', 'juan']"
@romerohenryy @SurrealistJoss a falta que Daniela no ha pagado la paca😭😭,"['romerohenryy', 'surrealistjoss', 'falta', 'daniela', 'pagado', 'paca😭😭']"
@juanfq_ @vaquitabruull cuando nos veamos comprobamos eso 😾,"['juanfq', 'vaquitabruull', 'veamos', 'comprobamos']"
oomf  https://t.co/hiYos5beka,['oomf']
circuitos no vas a poder conmigo,"['circuitos', 'vas', 'poder', 'conmigo']"
FILHO DA PUTA AGORA SIM ENTENDO,"['filho', 'da', 'puta', 'agora', 'sim', 'entendo']"
@juanfq_ @vaquitabruull señor haga cola q ese es mi puesto,"['juanfq', 'vaquitabruull', 'señor', 'haga', 'cola', 'puesto']"
@tonestone99 @juanfq_ @urfancycowboyx era s*faero😭😭,"['tonestone', 'juanfq', 'urfancycowboyx', 'faero😭😭']"
