frequency,bigram/trigram
16,plixi com
13,derechos humanos
12,ramo verde
11,fuerte abrazo
11,audiencia leopoldolopez
9,lockerz com
9,debe ser
8,muchas gracias
8,convocatoria constituyente fraude
8,convocatoria constituyente
8,constituyente fraude
7,fmarquez77 gsanmiguelr
7,cdh onu
7,cada vez
7,bit ly
7,are we
6,sala constitucional
6,elecciones abiertas voluntadpopular
6,elecciones abiertas
6,detención arbitraria
6,abiertas voluntadpopular
5,yfrog com
5,scarano lucchese lópez
5,scarano lucchese
5,rt votodondesea
5,privado libertad
5,presos políticos
5,mucha fuerza
5,miss you
5,lucchese lópez
5,jmartucci dougbarrios
5,fuerza fe
5,ceballos scarano lucchese
5,ceballos scarano
4,we human
4,vzla dictadura represión
4,vzla dictadura
4,votar elecciones abiertas
4,votar elecciones
4,velar democracia respeto
4,velar democracia
4,separación poderes
4,sentencia tsj
4,secmercosur debe velar
4,secmercosur debe
4,san josé
4,rt ligiabolivar
4,respeto ddhh región
4,respeto ddhh
4,represión liberenapanchoygabo
4,región vzla dictadura
4,región vzla
4,puede ser
4,poder judicial
4,mil gracias
4,haga justicia
4,dictadura represión liberenapanchoygabo
4,dictadura represión
4,democracia respeto ddhh
4,democracia respeto
4,debe velar democracia
4,debe velar
4,ddhh región vzla
4,ddhh región
4,corte interamericana
4,convención americana
4,comisión interamericana
4,cidhve plixi com
4,cidhve plixi
4,are we human
3,www votodondesea com
3,www votodondesea
3,we human or
3,way before swear
3,way before
3,votodondesea com
3,voluntad popular
3,violación derechos
3,veronicabakhos elisatot
3,twitpic com
3,to duke
3,time of my
3,time of
3,this way before
3,this way
3,this is true
3,this is
3,swear this is
3,swear this
3,susana barreiros
3,sistema judicial
3,siguen siendo
3,si bien
3,sesión hoy
3,ser candidato
3,seguridad ciudadana
3,seguir luchando
3,seguimos trabajando
3,rt la_patilla
3,rt cdh_ucab
3,respeten derechos
3,página web
3,puedo decir
3,privativa libertad
3,primera vez
3,portuguesa ayudar
3,owe it all
3,owe it
3,ortega dice
3,or are we
3,or are
3,of my life
3,of my
3,ningún tipo
3,never felt this
3,never felt
3,my life
3,mumford sons
3,ministerio público
3,mejor venezuela
3,mejor política
3,mejor país
3,medida cautelar
3,ley contribuciones especiales
3,ley contribuciones
3,jueza macaulay
3,it all to
3,it all
3,is true
3,interroga leopoldolopez
3,inexistencia separación poderes
3,inexistencia separación
3,human or are
3,human or
3,hoy leopoldolopez
3,hermano andrespulidom
3,had time of
3,had time
3,haciendo cola
3,gracias pendiente
3,felt this way
3,felt this
3,feliz cumpleaños
3,excedentes petroleros
3,especiales excedentes petroleros
3,especiales excedentes
3,día hoy
3,dsmolansky gerardoblyde
3,derechos políticos
3,deja ser
3,cumplimiento decisión
3,contribuciones especiales excedentes
3,contribuciones especiales
3,construir mejor
3,cayapa judicial
3,before swear this
3,before swear
3,audiencia cidhve
3,atención cliente
3,all to duke
3,all to
3,12 años
2,única entra nivel
2,única entra
2,últimos años
2,última actuación
2,índice transparencia
2,zq129ju6h8 amnistíaescambio
2,young giant
2,you too
2,www facebook com
2,www facebook
2,we dancers
2,votando elecciones
2,voluntadpopular lockerz com
2,voluntadpopular lockerz
2,vez cerca
2,verde seguimos
2,venezuela cumpleleopoldo
2,venezuela cidhve
2,venezolano pedro nikken
2,venezolano pedro
2,venezolano entiende
2,ve never felt
2,ve never
2,ve had time
2,ve had
