tweet,tweet_tokenized
U.S. judge blocks new applicants to program that protects undocumented ‘Dreamers’ who arrived as children  https://t.co/ccrIiq2NCG,"['judge', 'blocks', 'new', 'applicants', 'to', 'program', 'that', 'protects', 'undocumented', '‘dreamers’', 'who', 'arrived', 'as', 'children']"
"Nah Webona' Vladimir, por @Rawayana   https://t.co/uISM7iZ9nX","['nah', 'webona', 'vladimir', 'rawayana']"
@miblogestublog @DoriToribio Eso parece!,"['miblogestublog', 'doritoribio', 'parece']"
‘Modern Love’ Season 2: Watch the Trailer  https://t.co/DwoqYb6DJo   ¡QUÉ EMOCIÓN!,"['‘modern', 'love’', 'season', 'watch', 'the', 'trailer', '¡qué', 'emoción']"
"Tu meme puede cotizarse: ¿ya sabes qué es un NFT? 🖼️:  https://t.co/L7gqQTWK6F   Miren la #Guarapita de hoy, el destilado de @SoyArepita.  ¿Te gusta? Suscríbete aquí:  https://t.co/yoMqbaDWl4","['meme', 'puede', 'cotizarse', '¿ya', 'sabes', 'nft', '🖼️', 'miren', 'guarapita', 'hoy', 'destilado', 'soyarepita', '¿te', 'gusta', 'suscríbete', 'aquí']"
"¡Feliz cumpleaños, señor Andrés @ajcaleca ! Le regalo esta fotico:  https://t.co/U0fMcEtAuY","['¡feliz', 'cumpleaños', 'señor', 'andrés', 'ajcaleca', 'regalo', 'fotico']"
"Esta es la historia de una joven venezolana  que migra a Argentina huyendo de sus padres, descubre una vocación  y hace una amistad entrañable con una anciana. Bellísima.   Era su forma de agradecer la compañía, de @jaimemerrick  https://t.co/xMvZ3eWGYU via @lavidadenos","['historia', 'joven', 'venezolana', 'migra', 'argentina', 'huyendo', 'padres', 'descubre', 'vocación', 'hace', 'amistad', 'entrañable', 'anciana', 'bellísima', 'forma', 'agradecer', 'compañía', 'jaimemerrick', 'via', 'lavidadenos']"
@maribelastrid Una tipa clara,"['maribelastrid', 'tipa', 'clara']"
"""Según el Departamento de Justicia, los servicios secretos del régimen querían raptar a Masih Alinejad, autora estadounidense de origen iraní, y estudiaban llevársela por mar con destino a Venezuela""   https://t.co/jUdYPM2Fqn a través de @elpais_america","['según', 'departamento', 'justicia', 'servicios', 'secretos', 'régimen', 'querían', 'raptar', 'masih', 'alinejad', 'autora', 'estadounidense', 'origen', 'iraní', 'estudiaban', 'llevársela', 'mar', 'destino', 'venezuela', 'través', 'elpais', 'america']"
@Joaquinamusica Una canción de @Joaquinamusica + @LassoMusica 🥲.,"['joaquinamusica', 'canción', 'joaquinamusica', 'lassomusica']"
