tweet,tweet_tokenized
"@besade Si! En Chacao. Es una comunidad pequeña, yo calculo que deben vivir unas 20-30 familias","['besade', 'si', 'chacao', 'comunidad', 'pequeña', 'calculo', 'deben', 'vivir', 'unas', 'familias']"
"@besade En la parte norte del municipio, un poco más arriba de Pedregal.","['besade', 'parte', 'norte', 'municipio', 'arriba', 'pedregal']"
Hoy en el Tártago celebrando el día del niño con la comunidad.  #SiHayAlternativa  https://t.co/fjZgNlQuop,"['hoy', 'tártago', 'celebrando', 'día', 'niño', 'comunidad', 'sihayalternativa']"
@marco_tulioc Es así Marco!,"['marco', 'tulioc', 'así', 'marco']"
Esta es la cola para inscribirse o cambiarse de centro de votación en el Registro Electoral en la Plaza el Indio de Chacao.  ¡Mañana es el último día!  https://t.co/eHIMMxeIpI,"['cola', 'inscribirse', 'cambiarse', 'centro', 'votación', 'registro', 'electoral', 'plaza', 'indio', 'chacao', '¡mañana', 'último', 'día']"
@gash276 @IsaGimenez12 Tienes hasta mañana para cambiar tu centro de votación en el Registro Electoral jejeje  Abrazos Gaby! Gracias por el apoyo!,"['gash', 'isagimenez', 'mañana', 'cambiar', 'centro', 'votación', 'registro', 'electoral', 'jejeje', 'abrazos', 'gaby', 'gracias', 'apoyo']"
Gracias Gaby! Muy lindo escuchar estas palabras de ti.  Seguiré muchos años más trabajando con los vecinos de Chacao por nuestro municipio.,"['gracias', 'gaby', 'lindo', 'escuchar', 'palabras', 'seguiré', 'años', 'trabajando', 'vecinos', 'chacao', 'municipio']"
"Toda mi solidaridad con @EmilioGrateron, ex Alcalde de nuestro municipio Chacao y líder de Voluntad Popular.  Venezuela tiene que cambiar. No más persecución por querer ver a nuestro país libre y próspero.","['toda', 'solidaridad', 'emiliograteron', 'ex', 'alcalde', 'municipio', 'chacao', 'líder', 'voluntad', 'popular', 'venezuela', 'cambiar', 'persecución', 'querer', 'ver', 'país', 'libre', 'próspero']"
@rubenvivasd En la plaza el indio de Chacao. De 8am a 2pm.  Tienes hasta el 15!,"['rubenvivasd', 'plaza', 'indio', 'chacao', 'am', 'pm']"
@hcapriles Gracias por tu apoyo Henrique,"['hcapriles', 'gracias', 'apoyo', 'henrique']"
Hola a todos.  A mi papá Elias Santana le diagnosticaron Cáncer de Colon. Necesita de tu apoyo para poder hacerse todos los tratamientos necesarios.  Él está tranquilo y lleno de energía.  Muchas gracias por sus buenos deseos.    https://t.co/O8isDpWBkt,"['hola', 'papá', 'elias', 'santana', 'diagnosticaron', 'cáncer', 'colon', 'necesita', 'apoyo', 'poder', 'hacerse', 'tratamientos', 'necesarios', 'tranquilo', 'lleno', 'energía', 'muchas', 'gracias', 'buenos', 'deseos']"
@chittydelgado Hola Tomas! En la página del CNE están todos los puntos donde te puedes cambiar.  Están abiertos de 8am a 2pm y tienes chance hasta el 15 de Julio!  Saludos.,"['chittydelgado', 'hola', 'tomas', 'página', 'cne', 'puntos', 'puedes', 'cambiar', 'abiertos', 'am', 'pm', 'chance', 'julio', 'saludos']"
Nos quedan 5 días para inscribirnos o cambiarnos de centro de votación en el Registro Electoral.  Si tienes alguna duda ¡Escríbeme!  https://t.co/0Imys6aU3O,"['quedan', 'días', 'inscribirnos', 'cambiarnos', 'centro', 'votación', 'registro', 'electoral', 'si', 'alguna', 'duda', '¡escríbeme']"
"Y si las pagó la alcaldía, que sea público el proceso de compra. Si queremos tener un municipio de primer mundo, hace falta instituciones fuertes y transparentes, donde el vecino pueda saber toda esta información, no es mucho pedir.  (3/3)","['si', 'pagó', 'alcaldía', 'público', 'proceso', 'compra', 'si', 'queremos', 'tener', 'municipio', 'primer', 'mundo', 'hace', 'falta', 'instituciones', 'fuertes', 'transparentes', 'vecino', 'pueda', 'saber', 'toda', 'información', 'pedir']"
"¿Todas las unidades son donadas o las compró la alcaldía?  En ambos casos, creo que es necesario la transparencia. No creo que hoy un “amigo empresario” esté dispuesto a hacer un aporte así sin tener grandes intereses económicos en el municipio.  (2/3)","['¿todas', 'unidades', 'donadas', 'compró', 'alcaldía', 'ambos', 'casos', 'creo', 'necesario', 'transparencia', 'creo', 'hoy', 'amigo', 'empresario”', 'dispuesto', 'hacer', 'aporte', 'así', 'tener', 'grandes', 'intereses', 'económicos', 'municipio']"
"Sobre los Mustangs de Chacao:  Primero, creo que para los vecinos es positiva la noticia de nuevas patrullas policiales, todo suma a mejorar la seguridad de nuestro municipio.  Pero me surgen muchas preguntas al respecto:  (1/3)","['mustangs', 'chacao', 'primero', 'creo', 'vecinos', 'positiva', 'noticia', 'nuevas', 'patrullas', 'policiales', 'suma', 'mejorar', 'seguridad', 'municipio', 'surgen', 'muchas', 'preguntas', 'respecto']"
@Daniel_Santolo Por eso digo que es un error hablar de elecciones sin poner en el centro del debate la ciudades comunales.  No es solo una elección para elegir alcaldes y gobernadores. Tenemos que buscar líderes que estén dispuestos a hacerle frente al régimen desde esos espacios.,"['daniel', 'santolo', 'digo', 'error', 'hablar', 'elecciones', 'poner', 'centro', 'debate', 'ciudades', 'comunales', 'solo', 'elección', 'elegir', 'alcaldes', 'gobernadores', 'buscar', 'líderes', 'dispuestos', 'hacerle', 'frente', 'régimen', 'espacios']"
"@Daniel_Santolo Yo creo que el 21N es un día muy importante para el futuro de la oposición.  Es un error verlo como una elección en Disney, es un proceso en el que hay que participar para luchar, re organizarnos y movilizar a los venezolanos. Pero nos estamos enfrentando a una dictadura.","['daniel', 'santolo', 'creo', 'día', 'importante', 'futuro', 'oposición', 'error', 'verlo', 'elección', 'disney', 'proceso', 'participar', 'luchar', 're', 'organizarnos', 'movilizar', 'venezolanos', 'enfrentando', 'dictadura']"
Feliz domingo! Comparto con ustedes mi entrevista en @EfectoCocuyo sobre el Estado Comunal.  Atento a sus comentarios sobre el tema!   https://t.co/NBMczMGw35  https://t.co/KCj4vs7VgH,"['feliz', 'domingo', 'comparto', 'ustedes', 'entrevista', 'efectococuyo', 'comunal', 'atento', 'comentarios', 'tema']"
@mscdisenos Si! En todos los centros habilitados. Están todos los días de 8am a 2pm.,"['mscdisenos', 'si', 'centros', 'habilitados', 'días', 'am', 'pm']"
"Si no lo estás, te acompañamos mañana a inscribirte!  Sábado 3 de Julio, a las 10AM en la Plaza Bolívar de Chacao.  https://t.co/9rdfTQwXDp","['si', 'acompañamos', 'mañana', 'inscribirte', 'sábado', 'julio', 'am', 'plaza', 'bolívar', 'chacao']"
¿Estás inscrito en el Registro Electoral?,"['¿estás', 'inscrito', 'registro', 'electoral']"
"@mulatomusica @EfectoCocuyo ¿Haz tenido la posibilidad de leer el proyecto de leyes comunales?  Esa amenaza es real y hay que enfrentarla. Estas elecciones no son para salir de Maduro, son para reorganizarnos y fortalecernos.  Desde Twitter no vamos a poder hacerle frente al régimen.","['mulatomusica', 'efectococuyo', '¿haz', 'posibilidad', 'leer', 'proyecto', 'leyes', 'comunales', 'amenaza', 'real', 'enfrentarla', 'elecciones', 'salir', 'maduro', 'reorganizarnos', 'fortalecernos', 'twitter', 'vamos', 'poder', 'hacerle', 'frente', 'régimen']"
"Mañana a las 2:30pm estaré en el programa Es Noticia con Oscar Arnal (@OscarArnal). Conversaremos sobre el Estado Comunal, la amenaza que representa y como hacerle frente.  Pueden escucharlo en  https://t.co/gXC5HSLBQX y 105.7 FM Y 1.390 AM","['mañana', 'pm', 'programa', 'noticia', 'oscar', 'arnal', 'oscararnal', 'conversaremos', 'comunal', 'amenaza', 'representa', 'hacerle', 'frente', 'pueden', 'escucharlo', 'fm', 'am']"
"A todos los jóvenes que se quieren inscribir en el Registro Electoral, nos vemos este sábado a las 10am en la Plaza Bolívar de Chacao.  ¡Te esperamos junto a @VotoJoven!  https://t.co/Dfcts5uA6H","['jóvenes', 'quieren', 'inscribir', 'registro', 'electoral', 'vemos', 'sábado', 'am', 'plaza', 'bolívar', 'chacao', '¡te', 'esperamos', 'junto', 'votojoven']"
"Parte fundamental de luchar contra el régimen es entender sus planteamientos e intenciones.  Les comparto este PDF del Instituto Fermin Toro sobre el Estado Comunal, los explica y lo analiza muy bien.    https://t.co/ZPCpE8MIMd","['parte', 'fundamental', 'luchar', 'régimen', 'entender', 'planteamientos', 'intenciones', 'comparto', 'pdf', 'instituto', 'fermin', 'toro', 'comunal', 'explica', 'analiza', 'bien']"
"Vecino de #Chacao  Mañana miércoles, a las 5:30pm junto a @AngelMedinaD estaremos conversando sobre las amenazas del Estado Comunal y cómo organizarnos para hacerle frente desde los municipios.  ¡Te esperamos!  #SiHayAlternativa  https://t.co/p4jVFEovL2","['vecino', 'chacao', 'mañana', 'miércoles', 'pm', 'junto', 'angelmedinad', 'conversando', 'amenazas', 'comunal', 'cómo', 'organizarnos', 'hacerle', 'frente', 'municipios', '¡te', 'esperamos', 'sihayalternativa']"
