tweet,tweet_tokenized
WhatsApp could take notes 📝,"['whatsapp', 'could', 'take', 'notes']"
@Braacho_ Ivy is a mood 👁👄👁✨,"['braacho', 'ivy', 'is', 'mood', '👁👄👁✨']"
Peach y Baby Peach 👑💖,"['peach', 'baby', 'peach', '👑💖']"
@_ferduque  https://t.co/JE1NCeMU6f,['ferduque']
@capricarlos91 Hay veces que ni es la salsa lista para mezclar. Es comprar los tomates y hacer tu mismo esa vaina,"['capricarlos', 'veces', 'salsa', 'lista', 'mezclar', 'comprar', 'tomates', 'hacer', 'mismo', 'vaina']"
"@capricarlos91 Ya voy a coordinar para que le instalen Windows, no me llama la atención lo try hard de tener que resolver vainas que en los otros sistemas operativos simplemente funciona","['capricarlos', 'voy', 'coordinar', 'instalen', 'windows', 'llama', 'atención', 'try', 'hard', 'tener', 'resolver', 'vainas', 'sistemas', 'operativos', 'simplemente', 'funciona']"
¿Cuántos reinicios harán falta para que el computador del trabajo (Ubuntu) decida iniciar bien? ✨,"['¿cuántos', 'reinicios', 'harán', 'falta', 'computador', 'trabajo', 'ubuntu', 'decida', 'iniciar', 'bien']"
@carlosedrincon Soy Melanie 😤,"['carlosedrincon', 'melanie']"
"@Arkhast1 @alejoboreal Que bello, gracias. Nosotros también te amamos 🥺💖","['arkhast', 'alejoboreal', 'bello', 'gracias', 'amamos', '🥺💖']"
@_SebasabeS_ Stronger S9 Finale tho? 👁,"['sebasabes', 'stronger', 'finale', 'tho']"
@mtiradoArq @YohaKunst maybe,"['mtiradoarq', 'yohakunst', 'maybe']"
@carlosedrincon God is definitely a bottom 😎,"['carlosedrincon', 'god', 'is', 'definitely', 'bottom']"
"@OphCourse Soy venezolano trabajando en Colombia, amo los festivos 💖🇨🇴","['ophcourse', 'venezolano', 'trabajando', 'colombia', 'amo', 'festivos', '💖🇨🇴']"
So-sour pussy 📢🎶  https://t.co/PkDPIHLBbf,"['so', 'sour', 'pussy', '📢🎶']"
"@Tritti95 Yo, hasta que la nación del chavismo evitó que siguiera llegando 😾","['tritti', 'nación', 'chavismo', 'evitó', 'siguiera', 'llegando']"
@randyck_ Que bolas 👀,"['randyck', 'bolas']"
@Braacho_  https://t.co/7myVTv5Flc,['braacho']
Soñé que por Pride Month estaban vacunando a todo aquel que demostrara ser LGBTQ™️. Luego desperté en mi realidad sin prioridad en MiVacuna 🥲✨  https://t.co/HflH9z5rk3,"['soñé', 'pride', 'month', 'vacunando', 'aquel', 'demostrara', 'ser', 'lgbtq™️', 'luego', 'desperté', 'realidad', 'prioridad', 'mivacuna', '🥲✨']"
@carlosedrincon As a side effect…  https://t.co/Vflrwojx0z,"['carlosedrincon', 'as', 'side', 'effect…']"
@capricarlos91  https://t.co/ALOrmbTkhr,['capricarlos']
Lunes festivo but also un día menos en el sprint 🤣,"['lunes', 'festivo', 'but', 'also', 'día', 'menos', 'sprint']"
✨👁👄👁✨💸💸💸,['✨👁👄👁✨💸💸💸']
@carlosedrincon @Braacho_ HAHSGAJAHAH same (tampoco estoy priorizado 🥲),"['carlosedrincon', 'braacho', 'hahsgajahah', 'same', 'tampoco', 'priorizado']"
@Braacho_ You are… not safe? 🤣  https://t.co/zIbcGMhZ5V,"['braacho', 'you', 'are…', 'not', 'safe']"
@TheSugarRadar Maestría 7 🥺,"['thesugarradar', 'maestría']"
Is this me trying to get M7 with Ahri? ✨✨✨,"['is', 'this', 'trying', 'to', 'get', 'with', 'ahri', '✨✨✨']"
Ver a mis perritos trabajando en equipo para sacar un juguete que cayó bajo un mueble es súper tierno 🐶🐶💖,"['ver', 'perritos', 'trabajando', 'equipo', 'sacar', 'juguete', 'cayó', 'bajo', 'mueble', 'súper', 'tierno', '🐶🐶💖']"
@AceStarThe3rd THAT moment during THAT song hits so hard in the feels 😩🥺❄️,"['acestarthe', 'rd', 'that', 'moment', 'during', 'that', 'song', 'hits', 'so', 'hard', 'in', 'the', 'feels', '😩🥺❄️']"
@Daniflohe Tienes algo que quieras ilustrar en svg? 👨🏻‍💻✨,"['daniflohe', 'quieras', 'ilustrar', 'svg', '👨🏻\u200d💻✨']"
@alejoboreal  https://t.co/Rjw0q0D9Wx,['alejoboreal']
Por fin llegó el día donde me es útil saber armar svg manualmente (sin utilizar software de diseño) 👨🏻‍💻🎨✨,"['fin', 'llegó', 'día', 'útil', 'saber', 'armar', 'svg', 'manualmente', 'utilizar', 'software', 'diseño', '👨🏻\u200d💻🎨✨']"
POV: me ves haciendo ejercicios que están evidentemente mal redactados por una profesora que no admite cuando se equivoca ⚡️  https://t.co/vzbiao3VyP,"['pov', 'ves', 'haciendo', 'ejercicios', 'evidentemente', 'mal', 'redactados', 'profesora', 'admite', 'equivoca', '⚡️']"
@Braacho_ 👀,['braacho']
“El sentido común es el menos común de los sentidos” sabias palabras que te preparan para no decepcionarte en ciertas situaciones 😵‍💫,"['común', 'menos', 'común', 'sentidos”', 'sabias', 'palabras', 'preparan', 'decepcionarte', 'ciertas', 'situaciones', '😵\u200d💫']"
"@Braacho_ No todo se trata de ti oistessss. Pero si, hazme pasticho por fi 🥺💖","['braacho', 'trata', 'oistessss', 'si', 'hazme', 'pasticho', 'fi', '🥺💖']"
Quiero comer pasticho/lasaña 🍽🥺💖,"['quiero', 'comer', 'pasticho', 'lasaña', '🍽🥺💖']"
@capricarlos91 Yaaaaas 😱✨ ya se viene otro BOP del girl group challenge haha,"['capricarlos', 'yaaaaas', '😱✨', 'viene', 'bop', 'girl', 'group', 'challenge', 'haha']"
Ojalá me pagaran por el tiempo que invierto viendo las secuencias de transformación de Sailor Moon en YouTube 🤣🌙  https://t.co/1syJu4zThQ,"['ojalá', 'pagaran', 'tiempo', 'invierto', 'viendo', 'secuencias', 'transformación', 'sailor', 'moon', 'youtube', '🤣🌙']"
@Tritti95 @alejoboreal ¿Cuáles años de inocencia señora?,"['tritti', 'alejoboreal', '¿cuáles', 'años', 'inocencia', 'señora']"
¿Cuántos devs hacen falta para darse cuenta que falta un / en  http:/localhost:3000? ✨👁👄👁✨,"['¿cuántos', 'devs', 'hacen', 'falta', 'darse', 'cuenta', 'falta', '✨👁👄👁✨']"
"Luego de procrastinarlo por tanto tiempo, por fin terminé BotW y puedo pasar la página. Listo para los anuncios de mañana 👀 #e3  https://t.co/l3M3fZOkgR","['luego', 'procrastinarlo', 'tiempo', 'fin', 'terminé', 'botw', 'puedo', 'pasar', 'página', 'listo', 'anuncios', 'mañana']"
Justo entre Jupiter y Uranus 🪐✨,"['justo', 'jupiter', 'uranus', '🪐✨']"
"@Leaf_Pch Envidia, basically ✨","['leaf', 'pch', 'envidia', 'basically']"
