frequency,bigram/trigram
31,puerto ordaz
30,covid 19
26,santa elena
21,santa elena uairén
21,elena uairén
20,justo noguera
18,ciudad guayana
15,despacho gasolina
14,san félix
9,guayana puertoordaz
9,guayana bolívar
9,ayuda humanitaria
9,audiencia presentación
8,ángela aguirre
8,zoraida rodríguez
8,terminal placa
8,rubén gonzález
8,hace días
8,angela aguirre
7,surtir gasolina
7,otoniel ramos
7,detenidos caso
7,ciudad bolívar
7,boa vista
6,williams arrieta
6,privativa libertad
6,plan especial
6,paseo caroní
6,pableostos marcosdavidv
6,nuevos casos
6,kumarakapay santaelenadeuairén
6,gasolina guayana
6,destacamento 625
6,delcy rodríguez
6,casos covid 19
6,casos covid
6,buenas tardes
6,alta vista
5,varias zonas
5,transporte público
5,suministro gasolina
5,sectores prioritarios
5,presentación detenidos
5,nicolás maduro
5,ingreso ayuda humanitaria
5,ingreso ayuda
5,hospital santa elena
5,hospital santa
5,hola buenas
5,gustaría contactar
5,gran sabana
5,echar gasolina
5,dos semanas
5,derechos digitales
5,covid 19 bolívar
5,chikynan reporteya
5,19 bolívar
5,12 mediodía
4,tardes gustaría
4,sindical ferrominera rubén
4,sindical ferrominera
4,servicio eléctrico
4,según terminal placa
4,según terminal
4,redoma chilemex
4,puertoordaz guayana
4,puertoordaz bolívar
4,primer caso
4,primarias psuv
4,presentación detenidos caso
4,plan especial despacho
4,leonervis chama
4,josé hernández
4,jorge rodríguez
4,información oficial
4,hospital uyapar
4,horas cola
4,hola buenas tardes
4,gustaría contactar contigo
4,guayana venezuela
4,gobernación bolívar
4,gasolina bolívar
4,ferrominera rubén gonzález
4,ferrominera rubén
4,feliz día
4,estaciones servicio
4,especial despacho gasolina
4,especial despacho
4,escribirme dm
4,energía eléctrica
4,dirigente sindical ferrominera
4,dirigente sindical
4,detenciones arbitrarias
4,destacamento 625 gn
4,correo caroní
4,contactar contigo
4,comandante redi
4,colas gasolina
4,caso ángela aguirre
4,caso ángela
4,caso angela
4,cadenas whatsapp
4,buenos días
4,buenas tardes gustaría
4,bs 100 000
4,bs 100
4,bajones luz
4,arresto domiciliario
4,apagón nacional
4,américo grazia
4,625 gn
4,22 23
4,20 litros
4,14 años
4,100 000
3,últimos días
3,zonas puerto ordaz
3,zonas puerto
3,vía youtube
3,vía lavidadenos
3,vista hermosa
3,violentas mundo
3,viernes 22
3,tribunal dictó privativa
3,tribunal dictó
3,tras ataque
3,terminales placa
3,terminal placa vehicular
3,tardes gustaría contactar
3,si saben dónde
3,si saben
3,sector prioritario
3,saben dónde
3,rzch hola
3,rosa bela
3,rolando garcía
3,richard fernández
3,redoma piña
3,redi guayana
3,ramos detenido 18abr
3,ramos detenido
3,puerto ordaz san
3,primera vez
3,presentar síntomas
