frequency,bigram/trigram
23,sistema penitenciario
18,pdt nicolasmaduro
13,presidente nicolasmaduro
12,derechos humanos
10,privadas libertad
9,humana humanidad
8,personas privadas libertad
8,personas privadas
7,ministra mirelct
7,humanos ddhh
7,derechos humanos ddhh
7,covid 19
6,privados libertad
6,nuevo régimen
5,régimen confianza tutelada
5,régimen confianza
5,penitenciario venezolano
5,participación ciudadana
5,irisvarela mirelct
5,código orgánico
5,confianza tutelada
4,sistema penitenciario venezolano
4,régimen penitenciario
4,privad libertad
4,orgánico penitenciario
4,gestionperfecta ministra
4,ddhh personas privadas
4,ddhh personas
4,código orgánico penitenciario
3,privada libertad
3,pena muerte
3,nuevo régimen penitenciario
3,nicolasmaduro irisvarela mirelct
3,nicolasmaduro irisvarela
3,instrucción pdt nicolasmaduro
3,instrucción pdt
3,instrucciones pdt nicolasmaduro
3,instrucciones pdt
3,gestionperfecta ministra mirelct
3,equipo trabajo
3,debe ser
3,centro penitenciario
3,atención integral
3,aquí parte
3,agradezco dios
2,vuela alto
2,unlibroparatransformar participa
2,trabajar descanso
2,tomar medidas
2,sistema penitenciario humana
2,sistema justicia
2,ser prioridad
2,sectorial gestionperfecta ministra
2,sectorial gestionperfecta
2,rodeo ii iii
2,rodeo ii
2,república bolivariana venezuela
2,república bolivariana
2,recinto penitenciario
2,programa unlibroparatransformar participa
2,programa unlibroparatransformar
2,privadas libertad familiares
2,prevención delito
2,política vísceras
2,persona privada libertad
2,persona privada
2,permitirme trabajar
2,penitenciario humana humanidad
2,penitenciario humana
2,penal guanare
2,pdte nicolasmaduro
2,pdt nicolasmaduro mspenitenciario
2,pdt nicolasmaduro fuerza
2,patria soberana
2,pastilla carcelaria
2,organización onipvenezuela
2,ocurrido cárcel guanare
2,ocurrido cárcel
2,nicolasmaduro seguir
2,nicolasmaduro mspenitenciario
2,nicolasmaduro mirelct
2,nicolasmaduro fuerza
2,nicolasmaduro drodriven2
2,nicolasmaduro continuar fortaleciendo
2,nicolasmaduro continuar
2,necesario evaluar
2,maría corina machado
2,maría corina
2,libertad familiares
2,lamentable hecho
2,lado pdt nicolasmaduro
2,lado pdt
2,inicio programa unlibroparatransformar
2,inicio programa
2,implementar nuevo régimen
2,implementar nuevo
2,ii iii
2,humanos ddhh personas
2,humanos ddhh humana
2,humanización sistema penitenciario
2,humanización sistema
2,humanidad mirelct
2,humana humanidad mirelct
2,hoy día
2,hacer política vísceras
2,hacer política
2,fortaleciendo sistema penitenciario
2,fortaleciendo sistema
2,dirigencia opositora
2,dirección presidente nicolasmaduro
2,dirección presidente
2,dios permitirme trabajar
2,dios permitirme
2,derecho penal
2,derecho justicia
2,delcyrodriguezv gestionperfecta
2,deber seguir
2,deben ser
2,debe ser prioridad
2,ddhh humana humanidad
2,ddhh humana
2,ddhh cárcel
2,cárceles relación
2,cárcel guanare
2,cumpliendo instrucción pdt
2,cumpliendo instrucción
2,corina machado
2,continuar fortaleciendo
2,contactamos privado
2,constitucional sistema penitenciario
2,constitucional sistema
2,concientizar sociedad
2,comandante chávez
2,campaña concientización
2,calabozos policiales
2,bolivariana venezuela
2,avanza consolidar
2,artículo 272
2,amor patria
2,agradezco dios permitirme
2,acceso justicia
2,272 constitución
2,20 años
1,único objetivo
1,único abrigo alma
1,único abrigo
1,única opción real
1,única opción
1,últimos días noticia
1,últimos días
1,órganos justicia hacemos
1,órganos justicia
1,ésta organización delictiva
1,ésta organización
1,áreas recinto penitenciario
1,áreas recinto
1,área especial recinto
1,área especial
1,área cmdbka0ixn
1,zonas populares cometen
1,zonas populares
1,zfhaglybuh ybdlfzlgpp
1,yd9i1kl3hg cx2fd4fn7l
1,yare iii explica
1,yare iii
1,vísceras oposición enterrada
1,vísceras oposición
1,vísceras neuronas saludos
1,vísceras neuronas
1,vísceras hace neuronas
1,vísceras hace
1,víctimas familiares deben
1,víctimas familiares
1,vértice fortalecimiento sistema
1,vértice fortalecimiento
1,vuela alto maestro
1,vuela alto general
1,voz viva patria
1,voz viva
1,vivirlo algún error
1,vivirlo algún
1,vive colombia país
1,vive colombia
1,viva revolución cubana
1,viva revolución
1,viva patria seguirá
1,viva patria
1,viva fidel viva
1,viva fidel
1,viva cuba viva
1,viva cuba
1,viva aristóbulo nicolasmaduro
1,viva aristóbulo
1,vital social democrático
1,vital social
1,visten uniforme hacen
1,visten uniforme
1,visitas nivel control
1,visitas nivel
1,visita centro simon
1,visita centro
1,viene guía comandante
1,viene guía
1,vieja mentalidad uso
1,vieja mentalidad
1,vida tras rejas
1,vida tras
1,vida puedes devolver
1,vida puedes
1,vida libre opinión
1,vida libre
1,vida conté mano
1,vida conté
1,vida cada familiares
1,vida cada
1,victoria rebeldíabicentenaria uav3zdwph5
1,victoria rebeldíabicentenaria
1,victoria popular presidente
1,victoria popular
1,vicesectorial gestionperfecta ministra
1,vicesectorial gestionperfecta
1,vicepresidenta sectorial gestionperfecta
1,vicepresidenta sectorial
1,viceministerio atención privad
1,viceministerio atención
1,vice sectorial gestionperfecta
1,vice sectorial
1,vez realizada investigaciones
1,vez realizada
1,vez pidiendo sanciones
1,vez pidiendo
1,verificar dónde brutal
1,verificar dónde
1,verdadero maestro solo
1,verdadero maestro
1,verdadero interés sino
1,verdadero interés
1,verdadera democracia participativa
1,verdadera democracia
1,verdad pueblo atent
1,verdad pueblo
1,verdad podrán callar
1,verdad podrán
1,ver importancia debida
1,ver importancia
1,ver contradicción lado
1,ver contradicción
1,ventanalibertad ciertamente vida
1,ventanalibertad ciertamente
1,venimos inicio parte
1,venimos inicio
1,venimos humanismo puede
1,venimos humanismo
1,venganza extremadamente peligroso
1,venganza extremadamente
1,venezuela redactor artículo
1,venezuela redactor
1,venezuela otorga ciertas
1,venezuela otorga
1,venezuela operan formas
1,venezuela operan
1,venezuela haría falta
1,venezuela haría
