,word,count
0,ayudemos,1
1,almagro,1
2,oea,1
3,verificar,1
4,dónde,2
5,brutal,1
6,represión,2
7,venezuela,12
8,cuba,2
9,nicaragua,1
10,si,4
11,eeuu,1
12,suspenden,1
13,sueldo,1
14,decían,1
15,derecha,1
16,pueblo,11
17,cubano,1
18,vean,1
19,cómo,3
20,sale,3
21,calles,2
22,defensa,1
23,patria,11
24,libertad,27
25,revolución,5
26,viva,5
27,fidel,1
28,cubana,1
29,seguir,10
30,haciendo,1
31,bajo,2
32,dirección,3
33,presidente,18
34,nicolasmaduro,43
35,continuar,3
36,fortaleciendo,4
37,sistema,26
38,penitenciario,38
39,venezolano,5
40,penitenciarismo,2
41,actividad,3
42,pesar,2
43,conectada,1
44,directamente,3
45,jurídico,1
46,principal,1
47,profundamente,1
48,social,2
49,agradezco,4
50,dios,3
51,haberme,1
52,permitido,1
53,formarme,1
54,académica,2
55,profesionalmente,1
56,área,2
57,libros,2
58,preferidos,1
59,historia,1
60,👏👏👏,1
61,orgullo,1
62,pertenecer,2
63,partido,1
64,democrático,2
65,participativo,1
66,grande,1
67,partidopsuv,2
68,legado,1
69,comandante,2
70,chávez,4
71,hoy,12
72,sigue,4
73,ejerciendo,1
74,democracia,3
75,plena,1
76,militantes,1
77,guiados,4
78,profesional,2
79,especialista,1
80,materia,3
81,penitenciaria,1
82,jóven,1
83,revolucionario,3
84,aplaudo,1
85,decisión,3
86,instruir,1
87,renovación,1
88,permanente,1
89,justicia,9
90,garante,2
91,ddhh,22
92,acompañamos,2
93,peruanos,1
94,leído,1
95,maldición,1
96,liliantintori,1
97,cuenta,2
98,leyenda,1
99,toma,3
100,fotografía,1
101,muerde,1
102,polvo,2
103,fracaso,2
104,🤣😂🤣😂,1
105,perú,1
106,castillo,1
107,fujimori,1
108,vargas,1
109,llosa,1
110,liderazgo,3
111,equipo,4
112,trabajo,6
113,ministro,1
114,ctrompiz,1
115,sabiduría,1
116,garantía,3
117,vencer,2
118,solo,10
119,covid,8
120,sino,4
121,cualquier,4
122,ataque,1
123,enemigos,1
124,joven,2
125,siento,1
126,orgulloso,3
127,transformó,1
128,política,6
129,venezolana,1
130,contamos,1
131,mayúscula,1
132,basada,1
133,verdadera,1
134,participativa,1
135,protagónica,1
136,gobernar,1
137,obedeciendo,1
138,felíz,1
139,martes,1
140,deseo,1
141,día,4
142,cargado,2
143,bendiciones,1
144,conocimos,1
145,lealtad,2
146,coraje,4
147,patriotismo,1
148,amor,5
149,guaira,1
150,gj,1
151,garcía,1
152,carneiro,1
153,sabemos,2
154,ejemplo,6
155,juventud,7
156,generaciones,1
157,futuras,1
158,guía,5
159,paso,2
160,siempre,5
161,lado,3
162,pdt,18
163,vuela,2
164,alto,2
165,general,3
166,revolucionaria,3
167,conciente,1
168,momento,2
169,histórico,1
170,guiado,1
171,líder,2
172,bolivariana,3
173,continúa,2
174,avanza,2
175,consolidar,4
176,bonita,1
177,soñó,1
178,instrucciones,3
179,junto,2
180,gestionperfecta,7
181,ministra,9
182,mirelys,1
183,contreras,1
184,desarrolló,2
185,jordana,1
186,atención,6
187,integral,6
188,personal,1
189,custodia,1
190,parte,8
191,incorporación,1
192,ix,1
193,vértice,1
194,fortalecimiento,2
195,cuadrantes,1
196,paz,2
197,humanismo,7
198,base,4
199,cumplir,4
200,instruido,1
201,mejora,1
202,continua,1
203,derechos,16
204,humanos,12
205,penitenciarista,3
206,permitirme,2
207,trabajar,4
208,hermosa,1
209,tarea,2
210,delcyrodriguezv,2
211,verdadero,2
212,maestro,3
213,profesión,2
214,vida,5
215,conté,1
216,mano,3
217,solidaria,2
218,supuesto,1
219,enseñanzas,1
220,orientaciones,3
221,gracias,3
222,profe,2
223,aristobuloporsiempre,1
224,nicmaduroguerra,2
225,motor,2
226,energía,1
227,voz,1
228,seguirá,1
229,cada,3
230,damos,2
231,aristóbulo,1
232,oposición,3
233,llena,1
234,odio,6
235,revuelca,1
236,diligencias,1
237,logro,1
238,drodriven,3
239,jorgerpsuv,1
240,compra,1
241,vacunas,1
242,protección,2
243,mueve,2
244,clave,2
245,victoria,2
246,rebeldíabicentenaria,1
247,año,2
248,bicentenario,2
249,bolivariano,1
250,valiente,1
251,hizo,1
252,morder,1
253,imperio,2
254,turno,1
255,años,6
256,después,2
257,aquí,7
258,seguimos,1
259,defendiendo,1
260,libre,2
261,soberana,3
262,radicalescontralacovid,1
263,todas,6
264,batalla,2
265,verdad,2
266,podrán,1
267,callar,1
268,atent,1
269,redes,1
