frequency,bigram/trigram
8,forzar forzar
7,forzar forzar forzar
4,amo amo
3,vuelta atrás
3,violencia sexual
3,va ser
3,holaa puedo
3,hace dos
3,dos semanas
3,dos horas
3,demasiado feliz
3,breaking bad
3,amo amo amo
3,acoso violencia sexual
3,acoso violencia
2,voy ver
2,voy playa
2,voy pa
2,voy hacer
2,voy acuchillar
2,vayan darle amor
2,vayan darle
2,valentía poder
2,vainas hacer
2,vaina buena
2,va ser día
2,va bien
2,two mimir
2,todas personas
2,tarea escénica
2,sé si
2,soda stereo
2,si voy
2,si pasa
2,si hago
2,ser día
2,ser adulto
2,respuesta arriésgate
2,ramos empanadas
2,quiero quiero
2,quesillo sol
2,puse escuchar
2,puedo mandar dm
2,puedo mandar
2,pueden creer
2,práctica escénica
2,protocolo prevención atención
2,protocolo prevención
2,primer reel
2,prevención atención casos
2,prevención atención
2,pq ai covi
2,pq ai
2,penelopealmeida literalmente
2,pasa dato
2,partirme cara
2,ok acaban
2,novio novio
2,necesito saber
2,nadie habla
2,miembros comunidad
2,mejor mundo
2,megas muetos
2,marico wtf
2,marico si
2,marico pana
2,mandar dm
2,magalystika si
2,jerry di
2,janiceportes divino
2,hoy va ser
2,hoy va
2,hoy hoy
2,holaa puedo mandar
2,hola si
2,hacer todas
2,hace dos días
2,green day
2,gracias gracias
2,georgndrw acabo
2,fin semana
2,escuchar música
2,eliminé spotify
2,dónde puedo
2,dos días
2,darle amor
2,cómo hacer
2,contar historia
2,claro yes
2,chaqueta jean
2,casos acoso violencia
2,casos acoso
2,casi 100
2,cada like
2,buenos días
2,buena idea
2,atención casos acoso
2,atención casos
2,amanecí ganas
2,ai covi
2,acabo encontrar
1,únanse causa critiquen
1,únanse causa
1,últimos días profe
1,últimos días
1,último atardecer vimos
1,último atardecer
1,ñao ñao amigao
1,ñao ñao
1,ñao amigao
1,éxito ayuden alma
1,éxito ayuden
1,época tomé foto
1,época tomé
1,época mono quiere
1,época mono
1,época loca bachillerato
1,época loca
1,época dónde flequillo
1,época dónde
1,época así
1,élite pol granch
1,élite pol
1,ángel cachapa osmel
1,ángel cachapa
1,álbum canción
1,zelle lit muero
1,zelle lit
1,zapatos lavadora
1,zampándome empanada carne
1,zampándome empanada
1,yujuuu sjoe7riluc
1,yuju jdjkrmqrce
1,yositecreo noestassola 1zfueyi7zf
1,yositecreo noestassola
1,yop tcjzomx3mn
1,yop 4iso2os5ua
1,yooyoyo vivo montalban
1,yooyoyo vivo
1,yogurt natural siento
1,yogurt natural
1,yldemarismatos kejesooooo noo
1,yldemarismatos kejesooooo
1,yisuskraist quién hace
1,yisuskraist quién
1,yhlqmdlg declaro depresión
1,yhlqmdlg declaro
1,yhlqmdlg conjuntos himnos
1,yhlqmdlg conjuntos
1,yes it is
1,yes it
1,ycjr4 wujjuu
1,xxi punto robarse
1,xxi punto
1,xfabo dame playa
1,xfabo dame
1,xfa pa aumenten
1,xfa pa
1,wtf mundo apaga
1,wtf mundo
1,wtf gente
1,wjuyqnvwmr aquí soundtrack
1,wjuyqnvwmr aquí
1,whosssandy meta
1,whosssandy marico jevo
1,whosssandy marico
1,whosssandy kesoo
1,whosss next
1,wha dejaste gris
1,wha dejaste
1,weno siempre ahorita
1,weno siempre
1,weno apoyen talento
1,weno apoyen
1,wenas zty0nvmjcj
1,wena canción daniela
1,wena canción
1,wandapmarin voy
1,wandapmarin muackiti
1,vístete vamos playa
1,vístete vamos
1,víctimas responsables hagan
1,víctimas responsables
1,vulnere derechos integridad
1,vulnere derechos
1,vuelvo llorar
1,vuelvo hacer stand
1,vuelvo hacer
1,vuelta atrás tcsl17yjho
1,voy ver vez
1,voy ver cap
1,voy twitter pone
1,voy twitter
1,voy tucacas
1,voy ser cm
1,voy ser
1,voy playa lloro
1,voy playa así
1,voy pa vale
1,voy meter coñazo
1,voy meter
1,voy hooy
1,voy hacer tw
1,voy hacer hoy
1,voy comenzar ver
1,voy comenzar
1,voy chao
1,voy cansar decir
1,voy cansar
1,voy buscar reso
1,voy buscar
1,voy acuchillar nadie
1,voy acuchillar mentira
1,volví tenerlo gracias
1,volví tenerlo
1,volví tener spotify
1,volví tener
1,volví caer droga
1,volví caer
1,volvió pesadilla internet
1,volvió pesadilla
1,volvió internet
1,volver ver audiovisuales
1,volver ver
1,volver descargar spotify
1,volver descargar
1,vivo montalbronx dónde
1,vivo montalbronx
1,vivo montalban así
1,vivo montalban
1,vivir conmigo
1,vives tuu
1,viva salto angel
1,viva salto
1,viste sol lindo
1,viste sol
1,visible mismo dolorr
1,visible mismo
1,violencia sexual universidad
1,violencia sexual importante
1,violencia sexual deberás
1,violencia conductas acoso
1,violencia conductas
1,vintage criticar mujeres
1,vintage criticar
1,vino potear computadora
1,vino potear
1,vimos juntas mejor
1,vimos juntas
1,vimos jakajajajjs
1,villxlobxs ver red
1,villxlobxs ver
1,villxlobxs valeria ajjajajakakak
1,villxlobxs valeria
1,villxlobxs sugar misma
1,villxlobxs sugar
1,villxlobxs rflgpd2rui
1,villxlobxs onvre
1,villxlobxs marica casi
1,villxlobxs marica
1,villxlobxs mami así
1,villxlobxs mami
1,villxlobxs literalmente asi
1,villxlobxs literalmente
1,villxlobxs flagss
1,villxlobxs digas bueno
1,villxlobxs digas
1,villxlobxs andresoto15 exacto
1,villxlobxs andresoto15
1,vil aaaaaaaa amo
1,vil aaaaaaaa
1,viii akakkajaja
1,viernes salga serie
1,viernes salga
1,viernes paqwwzuvpo
1,vieneee pues
1,viene voy tucacas
1,viene voy
1,viene gustaba casi
1,viene gustaba
1,viene carro declarado
1,viene carro
1,viendo vaina bpsvle1pht
1,viendo vaina
1,viendo superbad pq
1,viendo superbad
1,viendo serie parece
1,viendo serie
1,viendo red flags
1,viendo red
1,viendo puros tweets
1,viendo puros
1,viejos tiempos sábado
1,viejos tiempos
1,vieja prematura
1,video mmm bue
1,video mmm
1,video imovie
1,video 2tqpdw0jus
1,vida repetirlo mil
1,vida repetirlo
1,vida real
1,vida cuenta trabajo
1,vida cuenta
1,vida cambió descubrí
1,vida cambió
1,vida alguien zzz
1,vida alguien
1,vida achantada
1,vibren altooo
1,vibrando altooooo comenzamos
1,vibrando altooooo
1,vibe nqifmauwl0
1,viajar momento vida
1,viajar momento
1,vi única
1,vguglielmelli_ marica rt
1,vguglielmelli_ marica
1,vguglielmelli_ creo buenoo
1,vguglielmelli_ creo
1,vez élite pol
1,vez élite
1,vez tlqirgv3tv
