,word,count
0,¿le,1
1,aconsejarían,1
2,niño,4
3,joven,3
4,consigas,1
5,mujer,17
6,dinero,3
7,mantenga,1
8,¿no,2
9,exacto,3
10,tampoco,3
11,digan,1
12,niñas,1
13,aureliscontwtt,3
14,thanks,1
15,hoy,65
16,peores,5
17,días,14
18,menstruación,1
19,acostumbrada,1
20,normal,5
21,mujeres,10
22,tener,16
23,dolores,1
24,agudos,1
25,horrorosos,1
26,nauseas,1
27,inflamación,1
28,siempre,24
29,sufre,1
30,debería,3
31,poder,11
32,pedir,2
33,sick,1
34,day,4
35,trabajo,15
36,así,31
37,lorebornacelly,29
38,dice,8
39,maría,1
40,fernanda,1
41,eversalazar,19
42,momento,12
43,mamma,2
44,sempre,1
45,impotencia,1
46,da,13
47,ver,19
48,leer,10
49,cuba,1
50,desespera,1
51,pienso,3
52,venezuela,70
53,indefenso,1
54,tales,1
55,dictaduras,2
56,protestar,1
57,valentía,2
58,guáramo,1
59,fuerza,5
60,espíritu,1
61,¡fuerza,2
62,soscuba,1
63,ayer,20
64,tormenta,4
65,granizo,1
66,terrible,5
67,nervios,1
68,¿pero,4
69,pasó,3
70,carro,4
71,👀😅,1
72,papá,8
73,todavía,6
74,regaña,1
75,media,2
76,noche,6
77,despierta,1
78,❤😅,1
79,grazie,2
80,donnaruma,3
81,il,4
82,calcio,3
83,torna,1
84,casa,13
85,ma,2
86,italia,46
87,non,5
88,inghilterra,1
89,campeone,1
90,euro,7
91,mitico,2
92,grandeeeee,1
93,giggiooooo,1
94,chiesa,2
95,italiano,11
96,pronuncia,2
97,quiesa,1
98,significa,1
99,iglesia,2
100,che,4
101,bravo,1
102,final,6
103,supero,1
104,gol,5
105,inglaterra,1
106,grande,9
107,penales,1
108,vi,9
109,venir,2
110,forzaazzurri,1
111,laturistakam,2
112,oggi,3
113,ho,3
114,fatto,1
115,vaccinocovid,1
116,pfizer,1
117,biontech,1
118,giuro,1
119,sentito,1
120,puntura,1
121,ne,3
122,dolore,1
123,nausea,1
124,niente,1
125,¡¡qué,1
126,emoción,2
127,mianiversariodetwitter,2
128,creo,11
129,paul,1
130,rudd,1
131,hizo,5
132,falta,14
133,reencuentro,2
134,friends,7
135,genial,4
136,hablar,8
137,cine,2
138,querido,1
139,raulvejarw,11
140,silenzio,1
141,bruno,1
142,puedo,7
143,entender,5
144,si,51
145,britney,3
146,tan,8
147,mal,7
148,psicologicamente,1
149,trabajando,3
150,full,2
151,bajo,4
152,tutela,1
153,legal,1
154,darle,2
155,tiempo,18
156,recuperación,1
157,total,10
158,alejada,1
159,mundo,18
160,freebritney,5
161,soydesireelugo,2
162,hot,1
163,girls,1
164,wanted,1
165,interesante,1
166,🇮🇹,3
167,semi,1
168,ismet,5
169,verdaderamente,1
170,mancini,1
171,luciendo,1
172,insiñe,1
173,unión,1
174,sonido,1
175,segundo,3
176,insigne,1
177,digo,5
178,gracias,41
179,tono,2
180,molesta,2
181,riéndome,1
182,sigo,3
183,salgo,1
184,dicen,4
185,¿entonces,1
186,¿pudiste,1
187,ir,7
188,ayuda,12
189,generación,2
190,cristal,1
191,solo,18
192,queremos,1
193,respeto,6
194,punto,5
195,tomarme,1
196,bar,2
197,baño,3
198,dos,14
199,señores,1
200,mayores,2
201,barra,1
202,cerca,2
203,paran,1
204,acompañamos,1
205,broma,1
206,wow,3
207,chistoso,1
208,vuelta,1
209,bobo,2
210,giro,1
211,dell,1
212,oca,2
213,obvio,3
214,diciendo,1
215,ordenar,1
216,ordena,1
217,pensamientos,2
218,consejo,3
219,dio,6
220,mamá,2
221,suscribo,2
222,comparto,4
223,ahora,17
224,vince,1
225,rumbo,1
226,cuantos,1
227,gooooooooooollllll,1
228,🇮🇹🇮🇹🇮🇹🇮🇹,1
229,spears,2
230,confirmó,1
231,rumores,1
232,prácticamente,5
233,secuestrada,1
234,manager,1
235,dejan,4
236,decidir,2
237,hacer,23
238,paso,5
239,coreografía,1
240,genera,2
241,cientos,2
242,millones,3
243,carrera,1
244,propia,1
245,vida,22
246,abominable,1
247,amood,2
248,prime,3
249,chimbo,1
250,jaja,14
251,this,12
252,naky,1
253,casualmente,1
254,película,6
255,primera,5
256,vez,12
257,máximo,4
258,❤😂,2
259,preguntaré,1
260,seguro,4
261,sabe,2
262,afortunada,2
263,¡feliz,4
264,día,21
265,padre,5
266,xabierizar,1
267,ustedes,7
268,van,3
269,creer,2
270,conversando,1
271,tema,5
272,dijo,8
273,mejor,12
274,contratar,2
275,podían,1
276,poner,1
277,acuerdo,2
278,embarazarse,1
279,mismo,11
280,fregar,1
281,patrón,1
282,empleador,1
283,feminismo,1
284,necesario,1
285,ser,16
286,as,1
287,in,12
288,dragon,1
289,queme,1
290,ajo,1
291,debe,5
292,tragedias,1
293,cocina,3
294,vecino,1
295,años,32
296,sale,6
297,manejar,2
298,bicicleta,1
299,hora,6
300,aquí,13
301,quejándome,1
302,dolor,1
303,espalda,2
304,mondaymotivation,2
305,viendo,2
306,orden,5
307,enésima,1
308,increíble,5
309,cómo,9
310,riendo,1
311,aunque,8
312,sepa,3
313,capítulos,1
314,víctimas,5
315,enfrentado,1
316,alcalde,2
317,callao,2
318,video,23
319,mata,1
320,covid,14
321,va,11
322,matar,2
323,hambre,3
324,comen,1
325,maten,1
326,matan,1
327,importó,1
328,dije,2
329,diogelis,9
330,campo,1
331,sorprendió,1
332,matthew,2
333,perry,2
334,chama,4
335,genuino,1
336,amé,2
337,demasiado,5
338,bolas,1
339,junio,4
340,matt,1
341,blanc,1
342,tanti,1
343,auguri,3
344,favorito,2
345,clinteastwood,1
346,pues,9
347,opción,1
348,escuchar,7
349,audios,5
350,rápidos,2
351,whatsapp,3
352,vengo,4
353,confieso,1
354,gusta,2
355,plátano,1
356,laura,1
357,weffer,1
358,sumo,2
359,grupo,7
360,ama,1
361,voice,1
362,largos,1
363,aprendí,3
364,existe,2
365,expresión,1
366,rabo,1
367,paja,1
368,coda,1
369,di,11
370,paglia,1
371,🇻🇪,2
372,informarnoesdelito,18
373,vinto,1
374,eurovision,1
375,siamo,1
376,fuori,1
377,testaaa,1
378,grandi,1
379,maneskin,1
380,but,5
381,they,2
382,don,1
383,know,6
384,that,4
385,we,6
386,lindo,1
387,recordar,2
388,daba,1
389,libros,2
390,harrypotter,1
391,niña,2
392,always,3
393,stay,1
394,gracious,1
395,best,2
396,revenge,1
397,is,18
398,your,8
399,paper,1
400,perfecto,3
401,comprarme,2
402,comida,4
403,china,2
404,venezolana,5
405,llevar,2
406,💛😥,1
407,doloroso,1
408,nombre,4
409,hecho,1
410,elnacionalweb,1
411,carloscarli,5
412,forza,3
413,ah,11
414,existen,1
415,sacando,1
416,licencia,3
417,quieren,3
418,hacerte,1
419,vaina,1
420,imposible,1
421,lograr,1
422,después,14
423,manejas,1
424,dé,1
425,gana,3
426,poema,1
427,ansiedad,2
428,gente,15
429,adelantar,1
430,loco,1
431,vas,2
432,velocidad,1
433,permitido,2
434,via,2
435,pareciera,1
436,única,2
437,respeta,1
438,límite,2
439,km,1
440,glad,3
441,you,13
442,re,2
443,here,2
444,just,3
445,holding,1
446,so,7
447,say,1
448,won,1
449,live,5
450,cause,1
451,since,2
452,the,30
453,came,1
454,ve,5
455,been,2
456,jlo,3
457,bennifer,1
458,español,10
459,dialecto,4
460,véneto,8
461,nol,1
462,ghe,1
463,nè,1
464,actualización,2
465,arepas,4
466,vendieron,1
467,arepita,1
468,pollo,1
469,nunca,8
470,defrauda,1
471,lologramosvenezuela,1
472,netflixit,1
473,dark,6
474,hice,4
475,tiramisú,1
476,escuchando,2
477,super,1
478,podcast,4
479,nanutria,4
480,acompañó,1
481,momentos,2
482,difíciles,1
483,haciendo,2
484,merengue,1
485,además,3
486,enteré,1
487,chisme,1
488,superliga,1
489,escena,2
490,capitana,1
491,marvel,1
492,peleando,1
493,girl,4
494,fondo,2
495,daguirrev,1
496,raeinforma,5
497,jajajaja,8
498,wtf,3
499,loca,1
500,people,1
501,chupi,2
502,meteora,1
503,gran,18
504,álbum,2
505,danizuritac,3
506,elias,7
507,rivas,7
508,alta,16
509,vista,21
510,jajaja,20
511,metan,1
512,quise,1
513,decir,13
514,hate,1
515,ahí,5
516,dejen,1
517,chamas,1
518,bailar,1
519,tiktok,2
520,fiestas,1
521,vale,5
522,tuit,6
523,negada,1
524,reloj,1
525,agujas,1
526,steven,2
527,seagal,1
528,south,1
529,park,2
530,alvarocord,1
531,totalmente,5
532,palabra,4
533,vergüenza,4
534,ajena,1
535,escucharlo,1
536,linda,1
537,unafranelaquediga,1
538,omg,6
539,salvini,2
540,dirigente,1
541,derechista,1
542,partido,1
543,liga,1
544,bloquea,1
545,contradice,1
546,adversa,1
547,twitter,7
548,políticos,3
549,iguales,1
550,¿quién,3
551,springcleaning,1
552,tardecita,1
553,chill,1
554,birritas,1
555,incluidas,1
556,obviamente,3
