,word,count
0,msonrisazulia,1
1,dtvtotal,1
2,futboltotaldirectv,8
3,vinotinto,15
4,echa,1
5,resto,2
6,fvf,3
7,oficial,5
8,quiero,13
9,gracias,78
10,pepsiven,1
11,asiercazalis,1
12,tremendo,2
13,comercial,1
14,tema,2
15,quesiganlosqueempezaron,1
16,inició,1
17,copa,1
18,america,2
19,viendo,7
20,comentaristas,3
21,venezolanos,11
22,haciendo,5
23,referencia,2
24,tenemos”,1
25,sres,9
26,claro,6
27,menosprecio,1
28,jugando,2
29,hecho,7
30,ustedes,10
31,juntos,1
32,parte,23
33,terminen,1
34,comenzaron,1
35,dios,26
36,emoción,4
37,dan,2
38,muchachos,11
39,pecho,1
40,alto,3
41,fuerza,3
42,nunca,11
43,bajar,1
44,brazos,3
45,adelante,4
46,juego,48
47,acaba,1
48,diga,2
49,árbitro,2
50,bien,35
51,rojo,2
52,aristigueta,1
53,directv,3
54,puede,28
55,poner,4
56,comentar,2
57,venezuela,37
58,venezolano,8
59,sienta,2
60,selección,5
61,análisis”,1
62,centren,1
63,criticar,3
64,exaltar,1
65,bueno”,1
66,ezequieldaray,2
67,saludos,14
68,ezequiel,1
69,peor,9
70,cambio,3
71,can,5
72,sabe,11
73,entro,1
74,porlagoma,1
75,total,8
76,resultado,5
77,trabajo,10
78,hablamos,2
79,wuilker,1
80,farinez,1
81,verdad,16
82,excepcional,1
83,feraristeguieta,1
84,superlativo,1
85,nivel,6
86,entrega,2
87,dolor,5
88,camisa,2
89,respeto,10
90,pais,6
91,mismo,11
92,gran,17
93,fácil,5
94,trinchera,1
95,digital,2
96,salieron,1
97,jugadores,4
98,dejar,7
99,piel,2
100,campo,2
101,alineaciones,1
102,anteriores,1
103,mejor,41
104,preparadas,1
105,encajaron,1
106,goles,5
107,brasil,8
108,menos,22
109,galáctico,1
110,puso,4
111,grande,7
112,jugaron,1
113,hoy,66
114,habla,4
115,turco,2
116,pablo,5
117,gala,1
118,armó,1
119,vente,1
120,tú”,1
121,bajaron,1
122,conocer,2
